ID;RegioS;Perioden;VoorzieningenBeginVerslagperiode_1;NieuweVoorzieningen_2;BeeindigdeVoorzieningen_3;VoorzieningenEindVerslagperiode_4;AdministratiefVerschil_5;VoorzieningenBeginVerslagperiode_6;NieuweVoorzieningen_7;BeeindigdeVoorzieningen_8;VoorzieningenEindVerslagperiode_9;AdministratiefVerschil_10;VoorzieningenBeginVerslagperiode_11;NieuweVoorzieningen_12;BeeindigdeVoorzieningen_13;VoorzieningenEindVerslagperiode_14;AdministratiefVerschil_15;VoorzieningenBeginVerslagperiode_16;NieuweVoorzieningen_17;BeeindigdeVoorzieningen_18;VoorzieningenEindVerslagperiode_19;AdministratiefVerschil_20;VoorzieningenBeginVerslagperiode_21;NieuweVoorzieningen_22;BeeindigdeVoorzieningen_23;VoorzieningenEindVerslagperiode_24;AdministratiefVerschil_25
0;Nederland;2013 1e halfjaar;177400.0;115890.0;97880.0;195410.0;;6290.0;2500.0;2420.0;6370.0;;4310.0;0.0;1280.0;3030.0;;13130.0;9020.0;7740.0;14410.0;;153670.0;104370.0;86440.0;171600.0;
1;Nederland;2013 2e halfjaar;193140.0;114910.0;107890.0;200150.0;-2270.0;6080.0;3380.0;2310.0;7150.0;-290.0;2870.0;0.0;390.0;2480.0;-160.0;14120.0;8050.0;7860.0;14310.0;-280.0;170060.0;103480.0;97330.0;176210.0;-1540.0
2;Nederland;2014 1e halfjaar;193570.0;126260.0;103770.0;216060.0;-6580.0;6540.0;3230.0;2150.0;7630.0;-600.0;2360.0;0.0;710.0;1650.0;-130.0;12790.0;9360.0;7130.0;15020.0;-1530.0;171880.0;113670.0;93790.0;191760.0;-4330.0
3;Nederland;2014 2e halfjaar;203970.0;100290.0;89990.0;214270.0;-12090.0;6880.0;2220.0;2260.0;6830.0;-750.0;1580.0;0.0;160.0;1420.0;-70.0;14060.0;6560.0;6790.0;13830.0;-970.0;181460.0;91520.0;80780.0;192190.0;-10310.0
4;Noord-Nederland (LD);2013 1e halfjaar;25110.0;14390.0;11120.0;28390.0;;920.0;240.0;220.0;940.0;;260.0;0.0;10.0;250.0;;1380.0;820.0;570.0;1630.0;;22550.0;13330.0;10310.0;25570.0;
5;Noord-Nederland (LD);2013 2e halfjaar;28580.0;14040.0;12810.0;29810.0;190.0;870.0;170.0;180.0;860.0;-70.0;270.0;0.0;10.0;260.0;20.0;1860.0;710.0;910.0;1650.0;230.0;25580.0;13160.0;11710.0;27030.0;10.0
6;Noord-Nederland (LD);2014 1e halfjaar;28050.0;14880.0;13170.0;29750.0;-1760.0;850.0;260.0;200.0;910.0;-10.0;250.0;0.0;0.0;250.0;-10.0;1600.0;940.0;800.0;1740.0;-60.0;25340.0;13680.0;12180.0;26850.0;-1690.0
7;Noord-Nederland (LD);2014 2e halfjaar;29240.0;12680.0;12360.0;29560.0;-510.0;880.0;90.0;150.0;830.0;-30.0;240.0;0.0;10.0;230.0;-10.0;1700.0;640.0;590.0;1750.0;-40.0;26420.0;11940.0;11610.0;26760.0;-430.0
8;Oost-Nederland (LD);2013 1e halfjaar;37760.0;22190.0;16760.0;43200.0;;1430.0;550.0;420.0;1560.0;;780.0;0.0;200.0;580.0;;2710.0;1870.0;1140.0;3440.0;;32840.0;19770.0;14990.0;37620.0;
9;Oost-Nederland (LD);2013 2e halfjaar;41660.0;22930.0;19280.0;45310.0;-1530.0;1490.0;920.0;440.0;1970.0;-60.0;480.0;0.0;80.0;410.0;-100.0;3580.0;1530.0;1430.0;3680.0;140.0;36110.0;20480.0;17330.0;39260.0;-1510.0
10;Oost-Nederland (LD);2014 1e halfjaar;43910.0;25440.0;17200.0;52150.0;-1400.0;1750.0;660.0;350.0;2060.0;-210.0;390.0;0.0;30.0;360.0;-20.0;3490.0;1780.0;1090.0;4180.0;-190.0;38290.0;23000.0;15740.0;45550.0;-980.0
11;Oost-Nederland (LD);2014 2e halfjaar;49210.0;19230.0;16830.0;51610.0;-2940.0;1900.0;490.0;370.0;2020.0;-160.0;330.0;0.0;20.0;310.0;-40.0;3350.0;1460.0;1380.0;3430.0;-830.0;43630.0;17290.0;15060.0;45860.0;-1910.0
12;West-Nederland (LD);2013 1e halfjaar;84860.0;57650.0;52650.0;89850.0;;2990.0;1250.0;1460.0;2780.0;;2870.0;0.0;1030.0;1840.0;;7710.0;5170.0;5230.0;7640.0;;71300.0;51230.0;44930.0;77590.0;
13;West-Nederland (LD);2013 2e halfjaar;90250.0;57140.0;57830.0;89550.0;390.0;2350.0;1730.0;1300.0;2770.0;-430.0;1770.0;0.0;230.0;1540.0;-70.0;6980.0;4550.0;4610.0;6920.0;-660.0;79150.0;50860.0;51700.0;78320.0;1560.0
14;West-Nederland (LD);2014 1e halfjaar;89230.0;65410.0;56140.0;98500.0;-320.0;2590.0;1790.0;1270.0;3110.0;-180.0;1500.0;0.0;660.0;850.0;-40.0;5750.0;5410.0;4390.0;6760.0;-1170.0;79390.0;58220.0;49830.0;87780.0;1070.0
15;West-Nederland (LD);2014 2e halfjaar;91020.0;51260.0;45970.0;96310.0;-7480.0;2680.0;1190.0;1270.0;2600.0;-430.0;840.0;0.0;110.0;730.0;-10.0;6850.0;3230.0;3810.0;6270.0;90.0;80660.0;46830.0;40780.0;86710.0;-7120.0
16;Zuid-Nederland (LD);2013 1e halfjaar;29660.0;21670.0;17360.0;33980.0;;950.0;460.0;310.0;1100.0;;400.0;0.0;50.0;360.0;;1320.0;1170.0;790.0;1700.0;;26990.0;20040.0;16200.0;30820.0;
17;Zuid-Nederland (LD);2013 2e halfjaar;32650.0;20800.0;17960.0;35490.0;-1320.0;1380.0;570.0;390.0;1550.0;280.0;350.0;0.0;70.0;270.0;-10.0;1710.0;1260.0;900.0;2070.0;10.0;29220.0;18980.0;16600.0;31600.0;-1610.0
18;Zuid-Nederland (LD);2014 1e halfjaar;32380.0;20530.0;17250.0;35660.0;-3110.0;1350.0;530.0;340.0;1540.0;-200.0;210.0;0.0;20.0;190.0;-60.0;1950.0;1240.0;850.0;2340.0;-110.0;28870.0;18770.0;16050.0;31590.0;-2730.0
19;Zuid-Nederland (LD);2014 2e halfjaar;34500.0;17130.0;14840.0;36790.0;-1160.0;1410.0;450.0;470.0;1390.0;-130.0;180.0;0.0;30.0;150.0;-20.0;2160.0;1230.0;1000.0;2390.0;-180.0;30740.0;15450.0;13330.0;32860.0;-840.0
20;Groningen (PV);2013 1e halfjaar;11010.0;5820.0;4870.0;11970.0;;590.0;20.0;90.0;520.0;;100.0;0.0;0.0;90.0;;330.0;270.0;140.0;460.0;;10000.0;5530.0;4640.0;10890.0;
21;Groningen (PV);2013 2e halfjaar;12580.0;5030.0;5220.0;12400.0;610.0;480.0;20.0;80.0;410.0;-40.0;90.0;0.0;0.0;90.0;-10.0;510.0;190.0;100.0;600.0;40.0;11510.0;4830.0;5040.0;11300.0;620.0
22;Groningen (PV);2014 1e halfjaar;12290.0;5250.0;4870.0;12670.0;-110.0;410.0;10.0;70.0;350.0;-10.0;90.0;0.0;0.0;90.0;0.0;500.0;220.0;140.0;580.0;-90.0;11290.0;5010.0;4650.0;11650.0;-10.0
23;Groningen (PV);2014 2e halfjaar;12380.0;4280.0;4600.0;12060.0;-290.0;350.0;20.0;40.0;320.0;0.0;80.0;0.0;0.0;80.0;0.0;550.0;110.0;130.0;540.0;-30.0;11400.0;4150.0;4430.0;11130.0;-260.0
