ID;RegioS;Perioden;TotaleKosten_1;TotaalInzameling_2;ReinigenVanStratenMarktenED_3;OphalenVanAfval_4;DienstEigenGemeente_5;Derden_6;TotaalVerwerking_7;Storten_8;Verbranden_9;Composteren_10;ScheidenAchteraf_11;OverigeVerwerkingsmethoden_12;TotaalGescheidenInzameling_13;KleinChemischAfvalKCA_14;Glas_15;OudPapierEnKarton_16;KoelEnVriesapparatuur_17;OverigeKosten_18;TotaleKosten_19;TotaalInzameling_20;ReinigenVanStratenMarktenED_21;OphalenVanAfval_22;Verwerking_23;GescheidenInzameling_24;OverigeKosten_25;TotaleInkomsten_26;Afvalstoffenheffing_27;AannemenVanAfval_28;OverigeInkomsten_29;ReinigenVanMarktenEnDergelijke_30;TotaleInkomsten_31;Afvalstoffenheffing_32;OverigeInkomsten_33;DekkingspercentageMethode1_34;DekkingspercentageMethode2_35;TotaalInvesteringen_36;GrondEnStortTerreinen_37;Bedrijfsruimten_38;VervoersmiddelenExternTransport_39;VervoersmiddelenInternTransport_40;OverigeInvesteringen_41;GemeentenInPopulatie_42;GemeentenInTelling_43;InwonersInPopulatie_44;InwonersInTelling_45
0;Nederland;1993;1075;551;187;364;445;106;401;;;;;;112;57;;39;;12;71;36;12;24;26;7;1;844;732;87;17;8;55;48;7;78;93;497.0;3.0;9.0;39.0;0.0;446.0;646;85;15220;88
1;Nederland;1995;1267;660;190;470;531;128;511;;;;;;83;53;;10;;12;82;43;12;30;33;5;1;1064;974;75;10;5;69;63;6;84;99;82.0;9.0;22.0;24.0;1.0;26.0;633;64;15432;80
2;Nederland;1997;1437;699;168;531;529;171;599;;;;;;108;46;11.0;45;5.0;31;92;45;11;34;39;7;2;1139;1061;60;12;5;73;68;5;79;88;64.0;10.0;7.0;24.0;1.0;23.0;572;72;15567;79
3;Nederland;1999;1568;793;183;610;534;259;640;75.0;346.0;103.0;97.0;20.0;93;37;11.0;43;2.0;42;100;50;12;39;41;6;3;1290;1201;60;26;4;82;76;6;82;91;53.0;3.0;14.0;15.0;1.0;20.0;538;47;15760;61
4;Nederland;2001;1778;968;217;751;619;349;693;83.0;298.0;114.0;181.0;17.0;83;29;10.0;40;4.0;34;111;61;14;47;43;5;2;1417;1324;56;34;3;89;83;6;80;88;76.0;3.0;14.0;15.0;0.0;44.0;504;28;15987;36
5;Nederland;2003;1841;1020;240;780;670;351;693;32.0;384.0;108.0;151.0;18.0;90;30;14.0;44;2.0;37;114;63;15;48;43;6;2;1589;1458;68;58;6;98;90;8;86;95;126.0;14.0;19.0;30.0;1.0;62.0;489;36;16193;38
6;Nederland;2005;1942;1164;235;929;609;555;644;15.0;361.0;91.0;162.0;15.0;92;31;14.0;46;2.0;42;119;71;14;57;39;6;3;1781;1626;85;65;5;109;100;10;92;100;;;;;;;467;35;16306;38
7;Nederland;2007;2008;1284;246;1038;741;542;590;18.0;355.0;88.0;128.0;0.0;90;30;13.0;45;2.0;44;123;78;15;63;36;6;3;1886;1706;95;79;6;115;104;11;94;102;;;;;;;443;61;16358;70
8;Nederland;2009;2055;1306;239;1067;718;588;605;2.0;359.0;87.0;157.0;0.0;93;32;14.0;46;2.0;50;125;79;14;65;37;6;3;1964;1788;96;75;5;119;108;11;96;104;;;;;;;441;71;16486;80
9;Nederland;2011;2022;1306;259;1048;672;635;562;1.0;325.0;87.0;149.0;0.0;96;34;15.0;46;1.0;58;121;78;16;63;34;6;3;2007;1786;121;93;7;121;107;13;99;108;;;;;;;418;61;16656;72
