ID;KenmerkenVanHuishoudens;RegioS;Perioden;ParticuliereHuishoudens_1;ParticuliereHuishoudensRelatief_2;TotaalVermogen_3;GemiddeldVermogen_4;MediaanVermogen_5
0;Particuliere huishoudens;Nederland;2011;7347.5;100;1213.1;165.1;32.8
1;Particuliere huishoudens;Nederland;2012;7412.1;100;1141.6;154.0;25.5
2;Particuliere huishoudens;Nederland;2013;7467.8;100;1029.7;137.9;17.2
3;Particuliere huishoudens;Nederland;2014;7496.4;100;1042.9;139.1;16.8
4;Particuliere huishoudens;Nederland;2015;7568.5;100;1096.4;144.9;20.1
5;Particuliere huishoudens;Nederland;2016;7623.2;100;1167.2;153.1;22.2
6;Particuliere huishoudens;Nederland;2017;7694.9;100;1269.3;164.9;28.3
7;Particuliere huishoudens;Nederland;2018;7755.1;100;1416.9;182.7;38.4
8;Particuliere huishoudens;Noord-Nederland (LD);2011;763.2;100;106.3;139.3;37.9
9;Particuliere huishoudens;Noord-Nederland (LD);2012;768.2;100;99.4;129.4;29.6
10;Particuliere huishoudens;Noord-Nederland (LD);2013;772.8;100;89.9;116.3;20.2
11;Particuliere huishoudens;Noord-Nederland (LD);2014;774.0;100;90.4;116.8;19.1
12;Particuliere huishoudens;Noord-Nederland (LD);2015;779.0;100;93.8;120.4;21.3
13;Particuliere huishoudens;Noord-Nederland (LD);2016;781.3;100;98.3;125.8;22.6
14;Particuliere huishoudens;Noord-Nederland (LD);2017;786.3;100;104.4;132.8;27.3
15;Particuliere huishoudens;Noord-Nederland (LD);2018;789.3;100;114.5;145.1;33.9
16;Particuliere huishoudens;Oost-Nederland (LD);2011;1482.8;100;241.7;163.0;40.7
17;Particuliere huishoudens;Oost-Nederland (LD);2012;1496.8;100;227.3;151.9;31.3
18;Particuliere huishoudens;Oost-Nederland (LD);2013;1510.0;100;205.8;136.3;21.2
19;Particuliere huishoudens;Oost-Nederland (LD);2014;1513.7;100;206.9;136.7;20.6
20;Particuliere huishoudens;Oost-Nederland (LD);2015;1527.5;100;216.3;141.6;23.5
21;Particuliere huishoudens;Oost-Nederland (LD);2016;1538.9;100;228.3;148.4;25.8
22;Particuliere huishoudens;Oost-Nederland (LD);2017;1555.6;100;244.2;157.0;31.6
23;Particuliere huishoudens;Oost-Nederland (LD);2018;1568.9;100;273.5;174.3;42.5
24;Particuliere huishoudens;West-Nederland (LD);2011;3542.5;100;589.9;166.5;24.1
25;Particuliere huishoudens;West-Nederland (LD);2012;3575.4;100;556.2;155.6;19.0
26;Particuliere huishoudens;West-Nederland (LD);2013;3601.3;100;499.1;138.6;11.3
27;Particuliere huishoudens;West-Nederland (LD);2014;3619.0;100;508.2;140.4;11.3
28;Particuliere huishoudens;West-Nederland (LD);2015;3658.9;100;540.4;147.7;15.2
29;Particuliere huishoudens;West-Nederland (LD);2016;3690.0;100;582.0;157.7;17.6
30;Particuliere huishoudens;West-Nederland (LD);2017;3724.7;100;644.4;173.0;23.4
31;Particuliere huishoudens;West-Nederland (LD);2018;3755.8;100;721.9;192.2;33.0
32;Particuliere huishoudens;Zuid-Nederland (LD);2011;1557.9;100;275.1;176.6;54.3
33;Particuliere huishoudens;Zuid-Nederland (LD);2012;1571.1;100;258.5;164.6;42.7
34;Particuliere huishoudens;Zuid-Nederland (LD);2013;1583.3;100;234.9;148.4;30.0
35;Particuliere huishoudens;Zuid-Nederland (LD);2014;1589.7;100;237.4;149.4;29.0
36;Particuliere huishoudens;Zuid-Nederland (LD);2015;1603.2;100;245.9;153.4;32.0
37;Particuliere huishoudens;Zuid-Nederland (LD);2016;1613.0;100;258.6;160.3;35.2
38;Particuliere huishoudens;Zuid-Nederland (LD);2017;1628.4;100;276.2;169.6;41.7
39;Particuliere huishoudens;Zuid-Nederland (LD);2018;1641.0;100;307.1;187.1;53.5
40;Particuliere huishoudens;Groningen (PV);2011;274.6;100;32.0;116.5;20.0
41;Particuliere huishoudens;Groningen (PV);2012;277.3;100;29.7;107.2;14.8
42;Particuliere huishoudens;Groningen (PV);2013;279.6;100;26.8;95.9;8.6
43;Particuliere huishoudens;Groningen (PV);2014;280.1;100;27.3;97.3;8.4
44;Particuliere huishoudens;Groningen (PV);2015;282.9;100;28.7;101.5;10.3
45;Particuliere huishoudens;Groningen (PV);2016;283.7;100;30.3;106.9;11.3
46;Particuliere huishoudens;Groningen (PV);2017;284.5;100;31.6;111.0;14.0
47;Particuliere huishoudens;Groningen (PV);2018;285.1;100;34.2;119.8;17.7
48;Particuliere huishoudens;Friesland (PV);2011;279.8;100;41.3;147.7;48.0
49;Particuliere huishoudens;Friesland (PV);2012;281.1;100;38.9;138.3;38.5
50;Particuliere huishoudens;Friesland (PV);2013;282.5;100;35.4;125.5;27.2
51;Particuliere huishoudens;Friesland (PV);2014;283.3;100;35.4;124.9;25.3
52;Particuliere huishoudens;Friesland (PV);2015;284.6;100;36.3;127.5;27.7
53;Particuliere huishoudens;Friesland (PV);2016;285.4;100;37.8;132.5;29.4
54;Particuliere huishoudens;Friesland (PV);2017;287.4;100;40.5;141.0;36.1
55;Particuliere huishoudens;Friesland (PV);2018;288.6;100;44.7;154.8;44.8
56;Particuliere huishoudens;Drenthe (PV);2011;208.8;100;33.0;158.0;59.4
57;Particuliere huishoudens;Drenthe (PV);2012;209.9;100;30.8;146.9;47.7
58;Particuliere huishoudens;Drenthe (PV);2013;210.7;100;27.6;131.1;33.2
59;Particuliere huishoudens;Drenthe (PV);2014;210.6;100;27.8;131.9;31.6
60;Particuliere huishoudens;Drenthe (PV);2015;211.5;100;28.8;136.3;35.0
61;Particuliere huishoudens;Drenthe (PV);2016;212.2;100;30.1;142.0;38.0
62;Particuliere huishoudens;Drenthe (PV);2017;214.3;100;32.3;150.9;43.3
63;Particuliere huishoudens;Drenthe (PV);2018;215.6;100;35.7;165.4;52.6
64;Particuliere huishoudens;Overijssel (PV);2011;474.6;100;73.6;155.0;40.4
65;Particuliere huishoudens;Overijssel (PV);2012;477.9;100;70.0;146.5;31.8
66;Particuliere huishoudens;Overijssel (PV);2013;481.0;100;63.9;132.8;22.1
67;Particuliere huishoudens;Overijssel (PV);2014;480.0;100;64.3;133.9;22.0
68;Particuliere huishoudens;Overijssel (PV);2015;483.4;100;67.4;139.4;24.7
69;Particuliere huishoudens;Overijssel (PV);2016;486.6;100;71.6;147.2;27.7
70;Particuliere huishoudens;Overijssel (PV);2017;491.2;100;76.8;156.2;33.2
71;Particuliere huishoudens;Overijssel (PV);2018;494.7;100;84.8;171.4;43.3
72;Particuliere huishoudens;Flevoland (PV);2011;157.4;100;15.3;97.3;13.8
73;Particuliere huishoudens;Flevoland (PV);2012;159.9;100;14.2;88.6;7.9
74;Particuliere huishoudens;Flevoland (PV);2013;161.4;100;12.3;76.0;2.8
75;Particuliere huishoudens;Flevoland (PV);2014;162.2;100;12.9;79.6;3.0
76;Particuliere huishoudens;Flevoland (PV);2015;163.9;100;14.3;87.3;5.8
77;Particuliere huishoudens;Flevoland (PV);2016;165.4;100;15.6;94.0;7.9
78;Particuliere huishoudens;Flevoland (PV);2017;167.5;100;17.4;103.8;13.4
79;Particuliere huishoudens;Flevoland (PV);2018;169.6;100;20.3;119.5;23.2
80;Particuliere huishoudens;Gelderland (PV);2011;850.9;100;152.8;179.6;49.9
81;Particuliere huishoudens;Gelderland (PV);2012;859.1;100;143.1;166.6;38.5
82;Particuliere huishoudens;Gelderland (PV);2013;867.6;100;129.6;149.4;26.1
83;Particuliere huishoudens;Gelderland (PV);2014;871.5;100;129.7;148.8;24.8
84;Particuliere huishoudens;Gelderland (PV);2015;880.2;100;134.6;152.9;27.5
85;Particuliere huishoudens;Gelderland (PV);2016;886.8;100;141.1;159.1;29.6
86;Particuliere huishoudens;Gelderland (PV);2017;896.8;100;150.1;167.4;36.3
87;Particuliere huishoudens;Gelderland (PV);2018;904.6;100;168.4;186.2;47.7
88;Particuliere huishoudens;Utrecht (PV);2011;555.5;100;104.5;188.2;36.2
89;Particuliere huishoudens;Utrecht (PV);2012;560.4;100;99.5;177.6;28.7
90;Particuliere huishoudens;Utrecht (PV);2013;565.6;100;90.4;159.8;19.3
91;Particuliere huishoudens;Utrecht (PV);2014;569.2;100;90.8;159.6;18.7
92;Particuliere huishoudens;Utrecht (PV);2015;575.8;100;95.8;166.4;22.3
93;Particuliere huishoudens;Utrecht (PV);2016;580.9;100;102.0;175.7;25.6
94;Particuliere huishoudens;Utrecht (PV);2017;586.6;100;113.1;192.8;36.0
95;Particuliere huishoudens;Utrecht (PV);2018;591.5;100;128.7;217.7;53.1
96;Particuliere huishoudens;Noord-Holland (PV);2011;1249.6;100;221.1;176.9;22.3
97;Particuliere huishoudens;Noord-Holland (PV);2012;1261.3;100;209.8;166.3;17.5
98;Particuliere huishoudens;Noord-Holland (PV);2013;1271.0;100;188.5;148.3;10.4
99;Particuliere huishoudens;Noord-Holland (PV);2014;1280.8;100;191.9;149.8;10.5
100;Particuliere huishoudens;Noord-Holland (PV);2015;1296.5;100;205.3;158.4;14.6
101;Particuliere huishoudens;Noord-Holland (PV);2016;1309.3;100;225.7;172.4;17.6
102;Particuliere huishoudens;Noord-Holland (PV);2017;1321.9;100;256.0;193.7;24.2
103;Particuliere huishoudens;Noord-Holland (PV);2018;1331.7;100;282.0;211.8;33.8
104;Particuliere huishoudens;Zuid-Holland (PV);2011;1570.2;100;233.7;148.8;19.8
105;Particuliere huishoudens;Zuid-Holland (PV);2012;1585.3;100;217.5;137.2;14.9
106;Particuliere huishoudens;Zuid-Holland (PV);2013;1595.3;100;192.4;120.6;8.2
107;Particuliere huishoudens;Zuid-Holland (PV);2014;1599.5;100;196.7;123.0;8.2
108;Particuliere huishoudens;Zuid-Holland (PV);2015;1616.5;100;209.5;129.6;11.5
109;Particuliere huishoudens;Zuid-Holland (PV);2016;1629.2;100;223.2;137.0;13.3
110;Particuliere huishoudens;Zuid-Holland (PV);2017;1644.5;100;242.4;147.4;17.9
111;Particuliere huishoudens;Zuid-Holland (PV);2018;1660.1;100;275.2;165.8;24.5
112;Particuliere huishoudens;Zeeland (PV);2011;167.2;100;30.6;183.1;73.1
113;Particuliere huishoudens;Zeeland (PV);2012;168.4;100;29.4;174.7;60.8
114;Particuliere huishoudens;Zeeland (PV);2013;169.4;100;27.8;164.3;46.9
115;Particuliere huishoudens;Zeeland (PV);2014;169.6;100;28.7;169.5;47.8
116;Particuliere huishoudens;Zeeland (PV);2015;170.1;100;29.8;175.2;52.1
117;Particuliere huishoudens;Zeeland (PV);2016;170.7;100;31.1;181.9;55.4
118;Particuliere huishoudens;Zeeland (PV);2017;171.7;100;32.8;191.2;61.8
119;Particuliere huishoudens;Zeeland (PV);2018;172.6;100;35.8;207.6;70.8
120;Particuliere huishoudens;Noord-Brabant (PV);2011;1057.0;100;203.2;192.2;62.4
121;Particuliere huishoudens;Noord-Brabant (PV);2012;1066.9;100;190.8;178.8;48.6
122;Particuliere huishoudens;Noord-Brabant (PV);2013;1076.5;100;173.3;161.0;33.9
123;Particuliere huishoudens;Noord-Brabant (PV);2014;1082.8;100;174.8;161.5;32.7
124;Particuliere huishoudens;Noord-Brabant (PV);2015;1093.9;100;181.5;165.9;36.0
125;Particuliere huishoudens;Noord-Brabant (PV);2016;1101.9;100;189.8;172.2;39.0
126;Particuliere huishoudens;Noord-Brabant (PV);2017;1113.5;100;202.9;182.2;46.4
127;Particuliere huishoudens;Noord-Brabant (PV);2018;1124.4;100;225.2;200.3;59.1
128;Particuliere huishoudens;Limburg (PV);2011;500.9;100;71.9;143.6;40.8
129;Particuliere huishoudens;Limburg (PV);2012;504.3;100;67.8;134.4;33.0
130;Particuliere huishoudens;Limburg (PV);2013;506.7;100;61.7;121.7;23.4
131;Particuliere huishoudens;Limburg (PV);2014;507.0;100;62.6;123.5;22.7
132;Particuliere huishoudens;Limburg (PV);2015;509.3;100;64.4;126.4;24.7
133;Particuliere huishoudens;Limburg (PV);2016;511.1;100;68.9;134.7;27.8
134;Particuliere huishoudens;Limburg (PV);2017;514.9;100;73.3;142.4;32.8
135;Particuliere huishoudens;Limburg (PV);2018;516.6;100;81.9;158.5;42.8
136;Particuliere huishoudens;Oost-Groningen (CR);2011;60.9;100;7.2;119.0;37.9
137;Particuliere huishoudens;Oost-Groningen (CR);2012;61.1;100;6.9;112.1;30.2
138;Particuliere huishoudens;Oost-Groningen (CR);2013;61.3;100;6.0;98.5;19.2
139;Particuliere huishoudens;Oost-Groningen (CR);2014;60.8;100;6.0;98.6;18.2
140;Particuliere huishoudens;Oost-Groningen (CR);2015;61.5;100;6.2;101.2;19.7
141;Particuliere huishoudens;Oost-Groningen (CR);2016;61.5;100;6.4;104.7;19.5
142;Particuliere huishoudens;Oost-Groningen (CR);2017;61.3;100;6.9;111.8;22.4
143;Particuliere huishoudens;Oost-Groningen (CR);2018;61.5;100;7.6;123.2;27.5
144;Particuliere huishoudens;Delfzijl en omgeving (CR);2011;21.6;100;2.5;114.8;32.4
145;Particuliere huishoudens;Delfzijl en omgeving (CR);2012;21.6;100;2.4;109.4;26.8
146;Particuliere huishoudens;Delfzijl en omgeving (CR);2013;21.6;100;2.1;99.5;19.2
147;Particuliere huishoudens;Delfzijl en omgeving (CR);2014;21.4;100;2.2;101.7;17.8
148;Particuliere huishoudens;Delfzijl en omgeving (CR);2015;21.4;100;2.2;102.8;19.0
149;Particuliere huishoudens;Delfzijl en omgeving (CR);2016;21.4;100;2.2;102.3;18.3
150;Particuliere huishoudens;Delfzijl en omgeving (CR);2017;21.4;100;2.3;109.2;20.3
151;Particuliere huishoudens;Delfzijl en omgeving (CR);2018;21.4;100;2.4;114.5;23.0
152;Particuliere huishoudens;Overig Groningen (CR);2011;192.1;100;22.3;115.9;14.5
153;Particuliere huishoudens;Overig Groningen (CR);2012;194.6;100;20.5;105.4;10.5
154;Particuliere huishoudens;Overig Groningen (CR);2013;196.8;100;18.6;94.7;6.2
155;Particuliere huishoudens;Overig Groningen (CR);2014;197.8;100;19.1;96.5;6.1
156;Particuliere huishoudens;Overig Groningen (CR);2015;199.9;100;20.3;101.4;8.0
157;Particuliere huishoudens;Overig Groningen (CR);2016;200.8;100;21.7;108.0;9.1
158;Particuliere huishoudens;Overig Groningen (CR);2017;201.8;100;22.4;110.9;11.4
159;Particuliere huishoudens;Overig Groningen (CR);2018;202.2;100;24.1;119.3;14.6
160;Particuliere huishoudens;Noord-Friesland (CR);2011;140.4;100;18.3;130.1;37.9
161;Particuliere huishoudens;Noord-Friesland (CR);2012;141.3;100;17.3;122.1;30.2
162;Particuliere huishoudens;Noord-Friesland (CR);2013;142.1;100;15.7;110.6;21.3
163;Particuliere huishoudens;Noord-Friesland (CR);2014;142.7;100;15.6;109.4;19.3
164;Particuliere huishoudens;Noord-Friesland (CR);2015;143.4;100;16.2;112.7;21.8
