ID;KenmerkenContactenMetPolitie;Perioden;Telefonisch_1;OpPolitiebureau_2;BijAgentOpStraat_3;Anders_4;InEigenDorpBuurt_5;EldersInWoongemeente_6;InAangrenzendeWoongemeente_7;EldersInNederland_8;InBuitenland_9;ViaAlarmnummer_10;PolitieGevraagdTeKomen_11;PolitieIsGekomen_12;MinderDan5Minuten_13;k_514Minuten_14;k_1529Minuten_15;k_3059Minuten_16;k_1UurOfLanger_17;Snel_18;TamelijkSnel_19;NietSnel_20;DocumentOndertekendTotaal_21;WaaronderOpPolitiebureau_22;InformatieAdvies_23;ProcesVerbaalOpgemaakt_24;Doorverwezen_25;Bemiddeld_26;IemandMeegenomen_27;WegVrijgehouden_28;BrandweerAmbulanceGewaarschuwd_29;TerPlekkeOpHoogteGesteld_30;IetsAnders_31;NietsGedaan_32
0;1;1997;75.5;21.1;1.6;1.9;54.3;34.1;5.4;5.9;0.3;;52.8;85.5;15.4;40.7;19.9;11.8;12.2;47.5;20.6;31.9;;;17.0;19.4;3.5;10.3;3.7;3.8;3.8;33.5;11.6;16.2
1;1;1998;79.4;16.3;2.4;1.9;55.9;28.7;5.3;5.4;0.3;4.4;54.7;84.4;16.4;37.3;20.6;12.2;13.4;47.6;23.7;28.7;;;16.5;20.5;2.8;11.5;5.7;4.5;3.2;30.5;13.4;17.5
2;1;1999;74.1;21.8;2.2;1.9;61.7;21.9;6.3;6.9;0.1;3.1;53.4;82.5;17.9;35.9;19.5;10.7;16.0;51.6;23.3;25.2;;;18.0;23.1;3.0;10.3;4.4;2.5;5.1;29.0;11.7;19.1
3;1;2000;77.4;17.6;2.0;2.9;62.6;17.2;6.1;8.2;0.2;5.7;52.9;84.6;19.0;37.4;20.3;13.1;10.1;50.9;22.0;27.1;;;15.3;22.4;4.7;10.5;4.0;4.5;3.6;28.4;12.8;18.1
4;1;2001;80.8;15.5;1.7;2.1;65.7;15.1;5.8;6.7;0.6;6.1;56.4;82.0;15.0;34.9;22.8;10.0;17.4;45.0;25.1;30.0;;;21.0;21.8;5.4;15.2;4.5;5.3;4.9;29.2;12.3;15.8
5;1;2002;80.9;15.5;2.3;1.3;58.1;16.9;6.7;7.6;0.2;10.5;56.9;82.8;15.0;38.8;18.5;14.6;13.1;46.4;21.9;31.6;;;15.9;20.7;2.9;11.2;5.1;2.9;3.3;27.6;11.2;17.3
6;1;2003;78.3;16.8;2.2;2.7;53.7;17.4;8.7;6.1;0.4;13.8;51.1;78.9;13.0;37.6;22.0;10.7;16.7;44.2;24.3;31.5;;;17.3;18.7;4.2;11.4;3.1;4.1;3.6;27.6;10.9;18.8
7;1;2004;78.8;17.7;1.6;2.0;55.2;20.8;6.7;7.5;0.2;9.6;53.6;79.7;16.2;37.4;20.2;12.8;13.4;48.1;22.7;29.2;;;17.5;20.1;3.7;10.0;4.7;3.9;3.6;27.0;13.1;16.4
8;2;1997;75.9;20.8;1.5;1.9;49.9;38.7;4.6;6.3;0.4;;44.3;86.1;12.8;39.0;25.5;7.1;15.5;48.4;19.6;31.9;;;18.7;16.1;4.6;7.0;2.9;1.8;3.9;38.1;13.7;15.0
9;2;1998;75.1;22.4;1.6;0.9;51.7;33.1;3.4;6.1;0.4;5.3;42.0;85.7;12.4;36.9;18.1;13.6;19.0;47.0;18.7;34.2;;;15.1;18.0;3.0;5.7;4.0;1.2;1.8;28.2;17.5;16.8
10;2;1999;73.3;24.3;1.6;0.8;65.6;21.0;6.3;5.1;0.0;1.9;43.3;78.1;25.3;32.3;15.7;6.8;19.9;59.4;23.5;17.1;;;18.0;21.4;1.2;7.7;5.2;0.3;4.9;31.3;12.9;17.2
11;2;2000;74.4;21.2;1.8;2.6;70.2;13.6;6.6;5.6;0.0;4.0;37.9;80.2;26.3;39.2;18.2;7.2;9.1;69.1;19.1;11.8;;;10.8;21.6;2.1;6.9;1.6;1.5;4.3;26.9;13.1;21.1
12;2;2001;79.2;18.0;0.6;2.1;67.2;13.1;5.7;6.8;1.2;6.1;48.9;83.2;16.1;40.8;20.0;1.1;22.0;55.2;14.8;30.0;;;23.2;14.2;6.7;10.1;2.0;3.2;6.2;24.2;18.8;17.9
13;2;2002;81.3;17.5;0.6;0.5;59.8;20.8;5.5;4.3;0.0;9.6;45.9;72.4;21.9;28.3;24.5;14.2;11.0;56.8;21.6;21.6;;;17.2;15.9;3.4;8.1;3.4;0.6;3.9;27.2;9.9;17.9
14;2;2003;74.6;22.0;1.3;2.1;55.3;18.6;6.3;6.8;0.0;13.0;41.5;74.0;12.7;41.7;18.4;9.9;17.3;53.2;28.2;18.6;;;19.4;16.4;3.6;6.0;2.9;2.8;2.4;26.1;14.8;17.2
15;2;2004;77.0;19.3;1.7;2.0;54.9;23.2;5.9;5.3;0.2;10.6;40.9;80.0;20.0;37.9;19.4;9.4;13.3;51.2;20.3;28.5;;;14.5;16.0;3.0;5.1;4.9;1.5;2.6;28.2;19.1;16.3
