ID;Perioden;TotaalInstellingenMetKinderopvang_1;InstellingenMetEenWerkvorm_2;OverigeInstellingen_3;HeleDagopvang_4;HalveDagopvang_5;BuitenschoolseOpvang_6;HeleDagopvang_7;HalveDagopvang_8;BuitenschoolseOpvang_9;Gastouderopvang_10;Combinaties_11;TotaalVoorzieningen_12;HeleDagopvang_13;HalveDagopvang_14;BuitenschoolseOpvang_15;HeleDagopvang_16;HalveDagopvang_17;BuitenschoolseOpvang_18;HeleDagopvang_19;HalveDagopvang_20;BuitenschoolseOpvang_21;TotaalPlaatsenTerBeschikking_22;HeleDagopvang_23;HalveDagopvang_24;BuitenschoolseOpvang_25;TotaalHeleDagopvang_26;Bedrijfsplaatsen_27;ParticulierePlaatsen_28;GesubsidieerdePlaatsen_29;SZWPlaatsen_30;LegePlaatsen_31;TotaalBuitenschoolseOpvang_32;Bedrijfsplaatsen_33;ParticulierePlaatsen_34;GesubsidieerdePlaatsen_35;SZWPlaatsen_36;LegePlaatsen_37;TotaalInstellingenMetTekorten_38;TotaalVoorzieningenAanwezig_39;TotaalTekortAanPlaatsen_40;InstellingenMetTekorten_41;VoorzieningenAanwezig_42;TekortAanAantalPlaatsen_43;InstellingenMetTekorten_44;VoorzieningenAanwezig_45;TekortAanAantalPlaatsen_46;InstellingenMetTekorten_47;VoorzieningenAanwezig_48;TekortAanAantalPlaatsen_49;TotaalKinderenInNederland_50;k_0TM3JarigeKinderen_51;k_4TM12JarigeKinderen_52;TotaalDeelnemendeKinderen_53;HeleDagopvang_54;HalveDagopvang_55;BuitenschoolseOpvang_56;Koppelingen_57;BijKoppelingenBetrokkenKinderen_58;TotaalDeelnemendeKinderen_59;Bedrijfsplaatsen_60;ParticulierePlaatsen_61;GesubsidieerdePlaatsen_62;SZWPlaatsen_63;TotaalDeelnemendeKinderen_64;Bedrijfsplaatsen_65;ParticulierePlaatsen_66;GesubsidieerdePlaatsen_67;SZWPlaatsen_68;TotaalPersoneelInLoondienst_69;Kinderdagverblijven_70;OverigeInstellingen_71;TotaalInstellingenMetVrijwilligers_72;Kinderdagverblijven_73;OverigeInstellingen_74;TotaalUrenVrijwilligersPerWeek_75;Kinderdagverblijven_76;OverigeInstellingen_77;TotaalInstellingenMetStagiaires_78;Kinderdagverblijven_79;OverigeInstellingen_80;TotaalUrenStagiairesPerWeek_81;Kinderdagverblijven_82;OverigeInstellingen_83;TotaalInstellingenMetFormatieplaatsen_84;Kinderdagopvang_85;OverigeInstellingen_86;TotaalFormatieplaatsen_87;Kinderdagopvang_88;OverigeInstellingen_89;AantalInstellingen_90;Voorzieningen_91;Formatieplaatsen_92;PersoneelInLoondienst_93;Vrijwilligers_94;UrenVrijwilligerswerkPerWeek_95;Stagiaires_96;UrenStagiairesPerWeek_97;TotaalInstellingenMetKinderopvang_98;Gesubsidieerd_99;Ongesubsidieerd_100;TotaalKinderdagverblijven_101;Gesubsidieerd_102;Ongesubsidieerd_103;TotaalOverigeInstellingen_104;Gesubsidieerd_105;Ongesubsidieerd_106;TotaalOpbrengstenKinderopvang_107;TotaalOverheidssubsidies_108;SZWRegelingAlleenstaandeOuders_109;Gemeenten_110;ProvincieOfRijk_111;Ouderbijdragen_112;BijdragenVanBedrijven_113;OverigeBaten_114;TotaalOpbrengstenKinderdagverblijven_115;TotaalOverheidssubsidies_116;SZWRegelingAlleenstaandeOuders_117;Gemeenten_118;ProvincieOfRijk_119;Ouderbijdragen_120;BijdragenVanBedrijven_121;OverigeBaten_122;TotaalOpbrengstenOverigeInstellingen_123;TotaalOverheidssubsidies_124;SZWRegelingAlleenstaandeOuders_125;Gemeenten_126;ProvincieOfRijk_127;Ouderbijdragen_128;BijdragenVanBedrijven_129;OverigeBaten_130;TotaalLastenKinderopvang_131;TotaalPersoneelskosten_132;Loonkosten_133;KostenPersoneelNietInLoondienst_134;VergoedingenVrijwilligersBestuursleden_135;TotaalHuisvestingskosten_136;HuurGebouwenEnTerreinen_137;GasEnElectriciteit_138;OnderhoudGebouwenOvHuisvestKosten_139;BetaaldeRente_140;AflossingenAfschrijvingen_141;Speelmaterialen_142;Verzorgingskosten_143;OverigeBedrijfskosten_144;TotaalLastenKinderdagverblijven_145;TotaalPersoneelskosten_146;Loonkosten_147;KostenPersoneelNietInLoondienst_148;VergoedingenVrijwilligersBestuursleden_149;TotaalHuisvestingskosten_150;HuurGebouwenEnTerreinen_151;GasEnElectriciteit_152;OnderhoudGebouwenOvHuisvestKosten_153;BetaaldeRente_154;OverigeBedrijfskosten_155;TotaalLastenOverigeInstellingen_156;TotaalPersoneelskosten_157;Loonkosten_158;KostenPersoneelNietInLoondienst_159;VergoedingenVrijwilligersBestuursleden_160;TotaalHuisvestingskosten_161;HuurGebouwenEnTerreinen_162;GasEnElectriciteit_163;OnderhoudGebouwenOvHuisvestKosten_164;BetaaldeRente_165;OverigeBedrijfskosten_166;TotaalOpbrengstenKinderopvang_167;Overheidssubsidies_168;Ouderbijdragen_169;BijdragenVanBedrijven_170;OverigeBaten_171;TotaalOpbrengstenKinderdagverblijven_172;Overheidssubsidies_173;Ouderbijdragen_174;BijdragenVanBedrijven_175;OverigeBaten_176;TotaalOpbrengstenOverigeInstellingen_177;Overheidssubsidies_178;Ouderbijdragen_179;BijdragenVanBedrijven_180;OverigeBaten_181;TotaalLastenKinderopvang_182;Personeelskosten_183;Huisvestingskosten_184;OverigeBedrijfskosten_185;TotaalLastenKinderdagverblijven_186;Personeelskosten_187;Huisvestingskosten_188;OverigeBedrijfskosten_189;TotaalLastenOverigeInstellingen_190;Personeelskosten_191;Huisvestingskosten_192;OverigeBedrijfskosten_193;Vakantieopvang_194;AantalInstellingen_195;AantalKinderen_196;AantalInstellingen_197;AantalKinderen_198;AantalInstellingen_199;AantalKinderen_200;AantalInstellingen_201;AantalKinderen_202;AantalInstellingen_203;AantalKinderen_204;AantalInstellingen_205;AantalKinderen_206;AantalInstellingen_207;AantalKinderen_208
0;1995;833;509;324;653;109;330;322;18;21;39;433;2307;1502;164;641;33.9;14.0;18.8;65.2;24.1;29.5;65195;50878;2288;12029;50878;;;;;;12029;;;;;;;;;;;;;;;;;;2864765;788609;2076156;129158;92371;3960;18902;12924;13925;92371;;;;;18902;;;;;19908;8628;11280;229;124;105;7743;2451;5292;665;408;257;57030;23625;33405;797;484;313;12788;5691;7097;271;345;5.6;8.7;0.6;3.7;2.4;31.4;833;683;150;509;380;129;324;303;21;431955;158590;;;;95499;166915;10950;177894;50728;;;;45659;77994;3512;254061;107862;;;;49840;88921;7438;408486;281523;276749;3318;1456;55485;31197;6793;15251;2245;8330;5386;13109;44652;170316;121294;119869;956;469;22930;12992;2528;6257;1154;26092;238170;160229;156880;2362;987;32555;18205;4265;8994;1091;45385;431955;;;;;177894;;;;;254061;;;;;408486;;;;170316;;;;238170;;;;;;;;;;;;;;;;;;
1;1996;831;514;317;717;109;367;315;19;21;39;437;2492;1587;168;737;34.1;14.1;18.7;63.5;24.5;34.2;70268;54142;2363;13763;54142;25485.0;8328.0;15394.0;962.0;3973.0;13763;2884.0;1945.0;6554.0;692.0;1688.0;;;;;;;;;;;;;2485647;780427;1705220;145870;100783;4119;25240;14619;15728;100783;48059.0;19135.0;31249.0;2340.0;25240;6083.0;4914.0;12970.0;1273.0;21202;9049;12153;232;135;97;7534;2786;4748;663;411;252;56385;24081;32304;801;490;311;13558;5857;7701;315;409;6.1;9.8;0.4;3.0;2.4;31.1;831;636;195;514;357;157;317;279;38;461642;168306;;;;94744;183381;15212;192421;52236;;;;46427;87646;6112;269221;116070;;;;48317;95734;9100;445926;317401;312031;4155;1214;60173;34838;7036;15898;2401;9101;5309;13087;40855;185178;132238;130840;939;459;24102;13653;2758;6505;1187;28838;260748;185163;181191;3216;756;36071;21185;4278;9393;1215;39514;461642;36.0;21.0;41.0;2.0;192421;27.0;24.0;46.0;3.0;269221;43.0;18.0;36.0;3.0;445926;71.0;13.0;16.0;185178;71.0;13.0;16.0;260748;71.0;14.0;15.0;;;;;;;;;;;;;;;
2;1997;802;482;320;705;117;370;296;15;14;36;441;2692;1679;173;840;34.2;14.4;21.9;65.3;23.9;37.6;78300;57383;2489;18428;57383;27799.0;8452.0;15982.0;1142.0;4008.0;18428;4369.0;2495.0;8379.0;1105.0;2080.0;795.0;2043.0;27563.0;523.0;1352.0;21464.0;61.0;89.0;796.0;211.0;602.0;5303.0;2505999;774693;1731306;164026;109483;4128;31568;16839;18847;109483;54616.0;18414.0;34294.0;2259.0;31568;8237.0;5405.0;15989.0;1937.0;24895;9662;15233;229;119;110;7953;2994;4959;614;370;244;52598;23280;29318;790;472;318;15273;5989;9284;296;432;5.9;9.8;0.3;2.6;2.3;27.1;802;622;180;482;319;163;320;303;17;521234;173315;21280.0;144801.0;7234.0;110782;223446;13691;178028;47340;3518.0;41563.0;2259.0;47056;79354;4279;343206;125975;17762.0;103239.0;4974.0;63726;144092;9412;509496;362840;353316;7355;2169;66730;38671;7650;17844;2564;10342;5561;17662;46363;173738;124757;120818;3013;926;21499;12380;2535;5546;1037;27483;335758;238083;232498;4342;1243;45231;26290;5115;12299;1527;52444;521234;33.0;21.0;43.0;3.0;178028;27.0;24.0;46.0;3.0;343206;37.0;20.0;41.0;2.0;509496;71.0;13.0;16.0;173738;71.0;13.0;16.0;335758;71.0;13.0;16.0;248.0;218.0;4061.0;76.0;2017.0;17.0;160.0;121.0;2000.0;12.0;130.0;8.0;62.0;42.0;671.0
3;1998;789;480;309;696;103;388;287;11;18;39;434;2910;1749;169;992;34.8;14.6;23.6;67.0;23.1;39.3;86685;60848;2465;23372;60848;30632.0;9511.0;15265.0;1426.0;4014.0;23372;5998.0;3544.0;9539.0;1555.0;2736.0;772.0;2197.0;30582.0;512.0;1381.0;22571.0;51.0;104.0;875.0;209.0;712.0;7136.0;2547398;778177;1769221;181795;117177;3908;38991;19795;21719;117177;61094.0;20320.0;33150.0;2613.0;38992;11090.0;6732.0;18584.0;2586.0;27524;9247;18277;203;114;89;8159;2958;5201;599;367;232;55472;25336;30136;780;472;308;17435;6031;11404;287;383;5.9;9.3;0.6;4.4;2.3;32.7;789;609;180;480;314;166;309;295;14;589507;194944;24694.0;164620.0;5631.0;111701;265020;17842;193980;49523;5645.0;41673.0;2205.0;49966;89914;4577;395527;145421;19049.0;122946.0;3426.0;61735;175107;13265;581871;413422;402262;9433;1728;75415;43861;7949;20583;3022;13040;6370;19557;54067;190165;137784;135523;1778;482;23380;12919;2662;6620;1179;29002;391707;275639;266739;7654;1246;52035;30943;5287;13963;1843;64033;589507;33.0;19.0;45.0;3.0;193980;25.0;26.0;46.0;3.0;395527;37.0;16.0;44.0;3.0;581872;71.0;13.0;16.0;190165;72.0;12.0;16.0;391707;70.0;13.0;17.0;261.0;226.0;4415.0;81.0;2556.0;17.0;181.0;123.0;2915.0;13.0;161.0;11.0;237.0;41.0;806.0
4;1999;855;550;305;755;90;394;348;11;21;41;434;3187;1878;141;1168;35.7;14.3;26.3;71.2;24.5;44.8;99788;67030;2023;30735;67030;35565.0;10735.0;14586.0;1666.0;4478.0;30735;9659.0;4313.0;10951.0;2155.0;3657.0;822.0;2141.0;32467.0;557.0;1333.0;22813.0;53.0;88.0;679.0;212.0;720.0;8975.0;2566426;790157;1776269;212991;133691;3454;52289;20778;23557;133691;76474.0;23381.0;30856.0;2980.0;52289;18861.0;8614.0;21436.0;3378.0;34138;11407;22731;243;139;104;9349;3010;6339;629;412;217;58617;29866;28751;848;545;304;21822;7151;14671;348;466;6.8;10.7;0.5;3.7;2.4;29.8;855;661;194;551;375;176;304;286;18;703232;203618;24942.0;171720.0;6956.0;130477;343993;25144;231690;47416;6177.0;38088.0;3152.0;58521;120768;4985;471542;156202;18765.0;133632.0;3805.0;71956;223224;20160;691099;498503;489965;7290;1248;89438;49356;9311;25221;5550;14732;6928;22999;58498;225507;165303;163193;1555;555;28082;15053;2923;7737;2369;32123;465591;333200;326771;5735;694;61357;34303;6388;17484;3181;71034;703233;29.0;19.0;48.0;4.0;231690;21.0;25.0;52.0;2.0;471543;33.0;15.0;48.0;4.0;691099;72.0;13.0;15.0;225507;73.0;13.0;14.0;465591;72.0;13.0;15.0;265.0;217.0;4444.0;104.0;3763.0;17.0;219.0;128.0;3097.0;22.0;423.0;11.0;305.0;32.0;750.0
5;2000;1002;654;348;888;101;483;388;12;28;43;531;3932;2247;164;1521;36.6;15.0;26.4;72.7;23.3;44.0;124938;82277;2468;40193;82277;45323.0;14930.0;15262.0;2147.0;4615.0;40193;13930.0;6491.0;13196.0;2360.0;4216.0;955.0;2629.0;44692.0;683.0;1706.0;31343.0;44.0;78.0;638.0;228.0;845.0;12711.0;2589922;807374;1782548;261258;163333;3815;66934;24764;27176;163333;95744.0;29817.0;33081.0;4691.0;66934;27106.0;12477.0;23143.0;4208.0;41977;14321;27656;299;185;114;9759;3246;6513;730;473;257;64764;32360;32404;998;651;347;25823;9089;16734;388;501;6.8;10.3;0.6;3.2;2.2;28.6;1002;824;178;654;495;159;348;329;19;883260;229688;34531.0;188449.0;6708.0;175752;447420;30398;314835;62968;10451.0;49448.0;3069.0;80662;159452;11752;568425;166720;24080.0;139001.0;3639.0;95091;287968;18646;870995;619440;607340;10359;1741;108308;62436;12334;27867;5672;19527;10825;28644;84251;306393;218101;214352;2950;799;38361;20343;4405;11191;2422;49931;564602;401339;392988;7409;943;69947;42092;7929;16676;3250;93316;883260;26.0;20.0;51.0;3.0;314835;20.0;26.0;51.0;4.0;568425;29.0;17.0;51.0;3.0;870995;71.0;12.0;16.0;306393;71.0;13.0;16.0;564602;71.0;12.0;17.0;299.0;236.0;4706.0;105.0;3769.0;18.0;233.0;136.0;3180.0;24.0;486.0;12.0;364.0;27.0;638.0
