ID;Motief;OmvangReisgezelschap;Perioden;Reisgezelschap_1
0;Totaal motief;4;2005/'06;100
1;Totaal motief;1;2005/'06;39
2;Totaal motief;2;2005/'06;41
3;Totaal motief;3;2005/'06;20
4;Privé;4;2005/'06;100
5;Privé;1;2005/'06;20
6;Privé;2;2005/'06;53
7;Privé;3;2005/'06;27
8;Zaken;4;2005/'06;100
9;Zaken;1;2005/'06;66
10;Zaken;2;2005/'06;24
11;Zaken;3;2005/'06;10
