ID;Geslacht;Leeftijd;BurgerlijkeStaat;Perioden;TotaalPersonenInHuishoudens_1;TotaalPersonenInParticuliereHuish_2;ThuiswonendKind_3;Alleenstaand_4;Samenwonend_5;OuderInEenouderhuishouden_6;OverigLidHuishouden_7;PersonenInInstitutioneleHuishoudens_8
0;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;2013;16777674.0;16562235.0;4589792.0;2814298.0;8386073.0;523650.0;248422;215439
1;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;2014;16824182.0;16611341.0;4575213.0;2859058.0;8398756.0;531361.0;246953;212841
2;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;2015;16870726.0;16659545.0;4551488.0;2898067.0;8426334.0;535569.0;248087;211181
3;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;2016;16920256.0;16710032.0;4522575.0;2933423.0;8466190.0;537024.0;250820;210224
4;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;2017;16973104.0;16763283.0;4498712.0;2970187.0;8502637.0;538436.0;253311;209821
5;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;2018;17030266.0;16820360.0;4479657.0;3008184.0;8537027.0;539633.0;255859;209906
6;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;2019;17086402.0;16876073.0;4462972.0;3047103.0;8566996.0;540622.0;258380;210329
7;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;2020;17141077.0;16930035.0;4448317.0;3086032.0;8593600.0;541247.0;260839;211042
8;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;2021;17193906.0;16981854.0;4435283.0;3124384.0;8617321.0;541676.0;263190;212052
9;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;2022;17245133.0;17031768.0;4423752.0;3162397.0;8638550.0;541550.0;265519;213365
10;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;2023;17294398.0;17079419.0;4413659.0;3199464.0;8657339.0;541246.0;267711;214979
11;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;2024;17342391.0;17125463.0;4405457.0;3235882.0;8673667.0;540606.0;269851;216928
12;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;2025;17389090.0;17169890.0;4399458.0;3271369.0;8687295.0;539872.0;271896;219200
13;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;2026;17434079.0;17212276.0;4395552.0;3305970.0;8697924.0;538904.0;273926;221803
14;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;2027;17477092.0;17252374.0;4393379.0;3339810.0;8705387.0;537821.0;275977;224718
15;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;2028;17518107.0;17290193.0;4392931.0;3372819.0;8709678.0;536697.0;278068;227914
