ID;BedrijfstakkenBranchesSBI2008;Perioden;OutputBasisprijzen_1;IntermediairVerbruik_2;BrutoToegevoegdeWaardeBasisprijzen_3;OutputBasisprijzen_4;IntermediairVerbruik_5;BrutoToegevoegdeWaardeBasisprijzen_6;OutputBasisprijzen_7;IntermediairVerbruik_8;BrutoToegevoegdeWaardeBasisprijzen_9;OutputBasisprijzen_10;IntermediairVerbruik_11;BrutoToegevoegdeWaardeBasisprijzen_12;Totaal_13;Lonen_14;SocialePremiesTLVWerkgevers_15;Bruto_16;VerbruikVanVasteActiva_17;Netto_18;Saldo_19;NietProductgebondenBelastingen_20;NietProductgebondenSubsidies_21;BrutoToegevoegdeWaardeBasisprijzen_22
0;A-U Alle economische activiteiten;1995;592653.0;292906.0;299747.0;944182.0;476339.0;467976.0;;;;62.8;61.5;64.1;165560.0;138950.0;26610.0;133337.0;52832.0;80505.0;850.0;3165.0;2315.0;299747.0
1;A-U Alle economische activiteiten;1996;628103.0;316110.0;311993.0;987407.0;505260.0;482571.0;4.6;6.1;3.1;63.6;62.6;64.7;171981.0;144255.0;27726.0;139952.0;54638.0;85314.0;60.0;3239.0;3179.0;311993.0
2;A-U Alle economische activiteiten;1997;677228.0;343699.0;333529.0;1042208.0;539139.0;503705.0;5.6;6.7;4.4;65.0;63.7;66.2;181634.0;153571.0;28063.0;152477.0;57023.0;95454.0;-582.0;3235.0;3817.0;333529.0
3;A-U Alle economische activiteiten;1998;721160.0;365278.0;355882.0;1101136.0;575106.0;526905.0;5.7;6.7;4.6;65.5;63.5;67.5;194666.0;155070.0;39596.0;162448.0;59843.0;102605.0;-1232.0;3374.0;4606.0;355882.0
4;A-U Alle economische activiteiten;1999;768810.0;392270.0;376540.0;1159772.0;608816.0;552062.0;5.3;5.9;4.8;66.3;64.4;68.2;209646.0;166790.0;42856.0;168589.0;63648.0;104941.0;-1695.0;3790.0;5485.0;376540.0
5;A-U Alle economische activiteiten;2000;844418.0;438445.0;405973.0;1215471.0;640163.0;576584.0;4.8;5.1;4.4;69.5;68.5;70.4;226797.0;178788.0;48009.0;180662.0;69098.0;111564.0;-1486.0;4067.0;5553.0;405973.0
6;A-U Alle economische activiteiten;2001;894163.0;463688.0;430475.0;1242811.0;653933.0;590166.0;2.2;2.2;2.4;71.9;70.9;72.9;239194.0;191543.0;47651.0;192894.0;74565.0;118329.0;-1613.0;4489.0;6102.0;430475.0
7;A-U Alle economische activiteiten;2002;916457.0;467313.0;449144.0;1240742.0;650502.0;591460.0;-0.2;-0.5;0.2;73.9;71.8;75.9;251188.0;198956.0;52232.0;199433.0;79464.0;119969.0;-1477.0;4686.0;6163.0;449144.0
8;A-U Alle economische activiteiten;2003;930561.0;470985.0;459576.0;1237120.0;646398.0;591820.0;-0.3;-0.6;0.1;75.2;72.9;77.7;257981.0;203146.0;54835.0;203038.0;82835.0;120203.0;-1443.0;4725.0;6168.0;459576.0
9;A-U Alle economische activiteiten;2004;964259.0;490687.0;473572.0;1262349.0;659170.0;604274.0;2.0;2.0;2.1;76.4;74.4;78.4;261726.0;205183.0;56543.0;213726.0;85821.0;127905.0;-1880.0;4918.0;6798.0;473572.0
10;A-U Alle economische activiteiten;2005;1014469.0;522228.0;492241.0;1293320.0;677797.0;616768.0;2.5;2.8;2.1;78.4;77.0;79.8;265911.0;209140.0;56771.0;227405.0;88843.0;138562.0;-1075.0;5295.0;6370.0;492241.0
11;A-U Alle economische activiteiten;2006;1075574.0;553517.0;522057.0;1338896.0;702152.0;638049.0;3.5;3.6;3.5;80.3;78.8;81.8;274752.0;218819.0;55933.0;248667.0;92764.0;155903.0;-1362.0;5359.0;6721.0;522057.0
12;A-U Alle economische activiteiten;2007;1144773.0;590120.0;554653.0;1392848.0;730766.0;663451.0;4.0;4.1;4.0;82.2;80.8;83.6;290622.0;232090.0;58532.0;266336.0;97499.0;168837.0;-2305.0;5495.0;7800.0;554653.0
13;A-U Alle economische activiteiten;2008;1204623.0;624453.0;580170.0;1421574.0;743232.0;679650.0;2.1;1.7;2.4;84.7;84.0;85.4;307808.0;242900.0;64908.0;274955.0;102870.0;172085.0;-2593.0;5961.0;8554.0;580170.0
14;A-U Alle economische activiteiten;2009;1153249.0;589069.0;564180.0;1370919.0;715045.0;657110.0;-3.6;-3.8;-3.3;84.1;82.4;85.9;312320.0;246210.0;66110.0;255419.0;106740.0;148679.0;-3559.0;6355.0;9914.0;564180.0
15;A-U Alle economische activiteiten;2010;1192983.0;617278.0;575705.0;1381767.0;715928.0;666890.0;0.8;0.1;1.5;86.3;86.2;86.3;311900.0;247258.0;64642.0;267402.0;109569.0;157833.0;-3597.0;6578.0;10175.0;575705.0
16;A-U Alle economische activiteiten;2011;1262956.0;673787.0;589169.0;1424533.0;744591.0;681034.0;3.1;4.0;2.1;88.7;90.5;86.5;319887.0;252650.0;67237.0;271950.0;109885.0;162065.0;-2668.0;6967.0;9635.0;589169.0
17;A-U Alle economische activiteiten;2012;1284508.0;691393.0;593115.0;1420575.0;745540.0;675985.0;-0.3;0.1;-0.7;90.4;92.7;87.7;324274.0;254221.0;70053.0;270385.0;110836.0;159549.0;-1544.0;7367.0;8911.0;593115.0
18;A-U Alle economische activiteiten;2013;1290536.0;692216.0;598320.0;1426260.0;748720.0;678483.0;0.4;0.4;0.4;90.5;92.5;88.2;325151.0;255087.0;70064.0;273266.0;112776.0;160490.0;-97.0;8281.0;8378.0;598320.0
19;A-U Alle economische activiteiten;2014;1315224.0;705915.0;609309.0;1460247.0;771282.0;689703.0;2.4;3.0;1.7;90.1;91.5;88.3;328743.0;254708.0;74035.0;277894.0;113837.0;164057.0;2672.0;10608.0;7936.0;609309.0
20;A-U Alle economische activiteiten;2015;1357585.0;729959.0;627626.0;1516466.0;813747.0;703025.0;3.8;5.5;1.9;89.5;89.7;89.3;330994.0;260224.0;70770.0;295263.0;115177.0;180086.0;1369.0;9503.0;8134.0;627626.0
21;A-U Alle economische activiteiten;2016;1386436.0;742124.0;644312.0;1561305.0;842791.0;718804.0;3.0;3.6;2.2;88.8;88.1;89.6;342642.0;268961.0;73681.0;299861.0;117405.0;182456.0;1809.0;10265.0;8456.0;644312.0
22;A-U Alle economische activiteiten;2017;1463821.0;791887.0;671934.0;1616149.0;877711.0;738833.0;3.5;4.1;2.8;90.6;90.2;90.9;354478.0;277944.0;76534.0;315751.0;120217.0;195534.0;1705.0;10611.0;8906.0;671934.0
23;A-U Alle economische activiteiten;2018;1558226.0;854669.0;703557.0;1682695.0;928046.0;755173.0;4.1;5.7;2.2;92.6;92.1;93.2;372900.0;290470.0;82430.0;328764.0;125574.0;203190.0;1893.0;11276.0;9383.0;703557.0
24;A-U Alle economische activiteiten;2019;1622350.0;882842.0;739508.0;1716839.0;944115.0;773227.0;2.0;1.7;2.4;94.5;93.5;95.6;393062.0;304577.0;88485.0;344713.0;131355.0;213358.0;1733.0;11603.0;9870.0;739508.0
25;A-U Alle economische activiteiten;2020;1573914.0;847765.0;726149.0;1653756.0;912184.0;742117.0;-3.7;-3.4;-4.0;95.2;92.9;97.8;406330.0;314084.0;92246.0;340593.0;137280.0;203313.0;-20774.0;12928.0;33702.0;726149.0
26;A-U Alle economische activiteiten;2021;1740104.0;948374.0;791730.0;1740104.0;948374.0;791730.0;5.2;4.0;6.7;100.0;100.0;100.0;423799.0;327960.0;95839.0;385948.0;144622.0;241326.0;-18017.0;13356.0;31373.0;791730.0
27;A-U Alle economische activiteiten;2022;2010010.0;1121836.0;888174.0;1823761.0;987065.0;836696.0;4.8;4.1;5.7;110.2;113.7;106.2;454769.0;348914.0;105855.0;441318.0;157385.0;283933.0;-7913.0;12972.0;20885.0;888174.0
28;A-U Alle economische activiteiten;2023;2089999.0;1127915.0;962084.0;1826642.0;989002.0;837613.0;0.2;0.2;0.1;114.4;114.0;114.9;489593.0;377580.0;112013.0;474793.0;167048.0;307745.0;-2302.0;12780.0;15082.0;962084.0
29;A Landbouw, bosbouw en visserij;1995;20986.0;10726.0;10260.0;27031.0;16911.0;10073.0;;;;77.6;63.4;101.9;1816.0;1554.0;262.0;8537.0;2217.0;6320.0;-93.0;293.0;386.0;10260.0
30;A Landbouw, bosbouw en visserij;1996;21399.0;11447.0;9952.0;26920.0;17509.0;9617.0;-0.4;3.5;-4.5;79.5;65.4;103.5;1881.0;1610.0;271.0;8331.0;2239.0;6092.0;-260.0;269.0;529.0;9952.0
31;A Landbouw, bosbouw en visserij;1997;22598.0;11603.0;10995.0;27720.0;17378.0;10313.0;3.0;-0.7;7.2;81.5;66.8;106.6;1937.0;1675.0;262.0;9210.0;2270.0;6940.0;-152.0;275.0;427.0;10995.0
32;A Landbouw, bosbouw en visserij;1998;21747.0;11617.0;10130.0;27450.0;17804.0;9841.0;-1.0;2.4;-4.6;79.2;65.2;102.9;2015.0;1656.0;359.0;8289.0;2308.0;5981.0;-174.0;272.0;446.0;10130.0
33;A Landbouw, bosbouw en visserij;1999;21529.0;11702.0;9827.0;28688.0;18258.0;10506.0;4.5;2.5;6.8;75.0;64.1;93.5;2154.0;1751.0;403.0;8055.0;2375.0;5680.0;-382.0;272.0;654.0;9827.0
34;A Landbouw, bosbouw en visserij;2000;22825.0;12376.0;10449.0;29013.0;18473.0;10619.0;1.1;1.2;1.1;78.7;67.0;98.4;2281.0;1816.0;465.0;8353.0;2512.0;5841.0;-185.0;288.0;473.0;10449.0
35;A Landbouw, bosbouw en visserij;2001;23686.0;12890.0;10796.0;28345.0;18461.0;10093.0;-2.3;-0.1;-5.0;83.6;69.8;107.0;2396.0;1948.0;448.0;8628.0;2647.0;5981.0;-228.0;340.0;568.0;10796.0
36;A Landbouw, bosbouw en visserij;2002;23483.0;12985.0;10498.0;28572.0;18594.0;10184.0;0.8;0.7;0.9;82.2;69.8;103.1;2551.0;2067.0;484.0;8011.0;2762.0;5249.0;-64.0;340.0;404.0;10498.0
37;A Landbouw, bosbouw en visserij;2003;23477.0;12830.0;10647.0;28545.0;18166.0;10452.0;-0.1;-2.3;2.6;82.2;70.6;101.9;2572.0;2053.0;519.0;8333.0;2810.0;5523.0;-258.0;312.0;570.0;10647.0
38;A Landbouw, bosbouw en visserij;2004;23285.0;13320.0;9965.0;29558.0;18509.0;11032.0;3.5;1.9;5.6;78.8;72.0;90.3;2523.0;2030.0;493.0;7691.0;2866.0;4825.0;-249.0;316.0;565.0;9965.0
39;A Landbouw, bosbouw en visserij;2005;23956.0;13606.0;10350.0;29683.0;18564.0;11097.0;0.4;0.3;0.6;80.7;73.3;93.3;2495.0;2020.0;475.0;8028.0;2923.0;5105.0;-173.0;346.0;519.0;10350.0
40;A Landbouw, bosbouw en visserij;2006;25992.0;14479.0;11513.0;30080.0;18905.0;11173.0;1.3;1.8;0.7;86.4;76.6;103.0;2539.0;2080.0;459.0;9432.0;2984.0;6448.0;-458.0;343.0;801.0;11513.0
41;A Landbouw, bosbouw en visserij;2007;27282.0;15874.0;11408.0;31052.0;19599.0;11473.0;3.2;3.7;2.7;87.9;81.0;99.4;2669.0;2182.0;487.0;9390.0;3089.0;6301.0;-651.0;331.0;982.0;11408.0
42;A Landbouw, bosbouw en visserij;2008;28254.0;17492.0;10762.0;32053.0;20320.0;11769.0;3.2;3.7;2.6;88.1;86.1;91.4;2745.0;2243.0;502.0;8762.0;3240.0;5522.0;-745.0;345.0;1090.0;10762.0
43;A Landbouw, bosbouw en visserij;2009;26557.0;16689.0;9868.0;32577.0;20465.0;12138.0;1.6;0.7;3.1;81.5;81.5;81.3;2768.0;2252.0;516.0;7804.0;3386.0;4418.0;-704.0;387.0;1091.0;9868.0
44;A Landbouw, bosbouw en visserij;2010;28817.0;17321.0;11496.0;33011.0;20920.0;12117.0;1.3;2.2;-0.2;87.3;82.8;94.9;2822.0;2285.0;537.0;9412.0;3495.0;5917.0;-738.0;388.0;1126.0;11496.0
45;A Landbouw, bosbouw en visserij;2011;29650.0;19164.0;10486.0;33254.0;21205.0;12092.0;0.7;1.4;-0.2;89.2;90.4;86.7;2896.0;2316.0;580.0;8453.0;3560.0;4893.0;-863.0;394.0;1257.0;10486.0
46;A Landbouw, bosbouw en visserij;2012;30948.0;19778.0;11170.0;33316.0;21273.0;12084.0;0.2;0.3;-0.1;92.9;93.0;92.4;2967.0;2349.0;618.0;9045.0;3679.0;5366.0;-842.0;375.0;1217.0;11170.0
47;A Landbouw, bosbouw en visserij;2013;32762.0;20484.0;12278.0;33963.0;21747.0;12258.0;1.9;2.2;1.4;96.5;94.2;100.2;3017.0;2400.0;617.0;10174.0;3840.0;6334.0;-913.0;349.0;1262.0;12278.0
48;A Landbouw, bosbouw en visserij;2014;31889.0;19667.0;12222.0;34624.0;21763.0;12880.0;1.9;0.1;5.1;92.1;90.4;94.9;3025.0;2391.0;634.0;10013.0;3940.0;6073.0;-816.0;331.0;1147.0;12222.0
49;A Landbouw, bosbouw en visserij;2015;31972.0;19345.0;12627.0;35366.0;22082.0;13295.0;2.1;1.5;3.2;90.4;87.6;95.0;3009.0;2398.0;611.0;10400.0;4040.0;6360.0;-782.0;345.0;1127.0;12627.0
50;A Landbouw, bosbouw en visserij;2016;32776.0;19352.0;13424.0;36388.0;22711.0;13688.0;2.9;2.8;3.0;90.1;85.2;98.1;3102.0;2464.0;638.0;10913.0;4123.0;6790.0;-591.0;358.0;949.0;13424.0
