ID;Geslacht;Leeftijd;Perioden;Bevolking_1
91;Totaal mannen en vrouwen;1 jaar;2029;197568
92;Totaal mannen en vrouwen;1 jaar;2030;199790
93;Totaal mannen en vrouwen;1 jaar;2031;201267
94;Totaal mannen en vrouwen;1 jaar;2032;202144
95;Totaal mannen en vrouwen;1 jaar;2033;202620
96;Totaal mannen en vrouwen;1 jaar;2034;202678
97;Totaal mannen en vrouwen;1 jaar;2035;202422
98;Totaal mannen en vrouwen;1 jaar;2036;201843
99;Totaal mannen en vrouwen;1 jaar;2037;201152
100;Totaal mannen en vrouwen;1 jaar;2038;200398
101;Totaal mannen en vrouwen;1 jaar;2039;199345
102;Totaal mannen en vrouwen;1 jaar;2040;198105
103;Totaal mannen en vrouwen;1 jaar;2041;196788
104;Totaal mannen en vrouwen;1 jaar;2042;195517
105;Totaal mannen en vrouwen;1 jaar;2043;194312
106;Totaal mannen en vrouwen;1 jaar;2044;193211
107;Totaal mannen en vrouwen;1 jaar;2045;192268
108;Totaal mannen en vrouwen;1 jaar;2046;191499
109;Totaal mannen en vrouwen;1 jaar;2047;190880
110;Totaal mannen en vrouwen;1 jaar;2048;190418
111;Totaal mannen en vrouwen;1 jaar;2049;190123
112;Totaal mannen en vrouwen;1 jaar;2050;190064
113;Totaal mannen en vrouwen;1 jaar;2051;190309
114;Totaal mannen en vrouwen;1 jaar;2052;190876
115;Totaal mannen en vrouwen;1 jaar;2053;191748
116;Totaal mannen en vrouwen;1 jaar;2054;192879
117;Totaal mannen en vrouwen;1 jaar;2055;194245
118;Totaal mannen en vrouwen;1 jaar;2056;195840
119;Totaal mannen en vrouwen;1 jaar;2057;197588
120;Totaal mannen en vrouwen;1 jaar;2058;199440
121;Totaal mannen en vrouwen;1 jaar;2059;201314
122;Totaal mannen en vrouwen;1 jaar;2060;203134
123;Totaal mannen en vrouwen;2 jaar;2020;172374
124;Totaal mannen en vrouwen;2 jaar;2021;171693
125;Totaal mannen en vrouwen;2 jaar;2022;174213
126;Totaal mannen en vrouwen;2 jaar;2023;174256
127;Totaal mannen en vrouwen;2 jaar;2024;177121
128;Totaal mannen en vrouwen;2 jaar;2025;180736
129;Totaal mannen en vrouwen;2 jaar;2026;185141
130;Totaal mannen en vrouwen;2 jaar;2027;189293
131;Totaal mannen en vrouwen;2 jaar;2028;192734
132;Totaal mannen en vrouwen;2 jaar;2029;196264
133;Totaal mannen en vrouwen;2 jaar;2030;199141
134;Totaal mannen en vrouwen;2 jaar;2031;201355
