ID;Leeftijd;Geslacht;Perioden;Autochtonen_1;Allochtonen_2;k_1eGeneratie_3;Totaal2eGeneratie_4;k_2eGeneratieMet1AllochtoneOuder_5;k_2eGeneratieMet2AllochtoneOuders_6;NietWesterseAllochtonen_7;WesterseAllochtonen_8
0;Totaal over alle leeftijden;Mannen en vrouwen;2007;13183860;3170116;1601744;1568371;909452;658916;1738106;1432011
1;Totaal over alle leeftijden;Mannen en vrouwen;2008;13178827;3198068;1605080;1592984;917749;675239;1758987;1439082
2;Totaal over alle leeftijden;Mannen en vrouwen;2009;13172674;3230344;1612532;1617816;926262;691551;1782134;1448222
3;Totaal over alle leeftijden;Mannen en vrouwen;2010;13167068;3265454;1623001;1642445;934831;707615;1806545;1458906
4;Totaal over alle leeftijden;Mannen en vrouwen;2011;13161566;3302744;1635214;1667524;943778;723747;1831606;1471137
5;Totaal over alle leeftijden;Mannen en vrouwen;2012;13156232;3341026;1648368;1692656;952854;739809;1856733;1484298
6;Totaal over alle leeftijden;Mannen en vrouwen;2013;13151224;3379223;1662142;1717083;961790;755295;1881414;1497807
7;Totaal over alle leeftijden;Mannen en vrouwen;2014;13146113;3417139;1676256;1740875;970620;770257;1905813;1511324
8;Totaal over alle leeftijden;Mannen en vrouwen;2015;13140702;3454700;1690600;1764101;979364;784732;1929931;1524766
9;Totaal over alle leeftijden;Mannen en vrouwen;2016;13134996;3491991;1705186;1786801;988037;798766;1953783;1538203
10;Totaal over alle leeftijden;Mannen en vrouwen;2017;13128890;3529029;1720005;1809025;996668;812355;1977395;1551633
11;Totaal over alle leeftijden;Mannen en vrouwen;2018;13122462;3565869;1735089;1830786;1005252;825532;2000758;1565113
12;Totaal over alle leeftijden;Mannen en vrouwen;2019;13115787;3602563;1750434;1852134;1013822;838315;2023894;1578670
13;Totaal over alle leeftijden;Mannen en vrouwen;2020;13108749;3639142;1766057;1873085;1022346;850743;2046826;1592316
14;Totaal over alle leeftijden;Mannen en vrouwen;2021;13101186;3675636;1781937;1893699;1030853;862849;2069559;1606078
15;Totaal over alle leeftijden;Mannen en vrouwen;2022;13092887;3712092;1798052;1914039;1039372;874671;2092123;1619968
16;Totaal over alle leeftijden;Mannen en vrouwen;2023;13083551;3748549;1814382;1934174;1047921;886248;2114565;1633981
17;Totaal over alle leeftijden;Mannen en vrouwen;2024;13072924;3785080;1830910;1954165;1056521;897642;2136919;1648160
18;Totaal over alle leeftijden;Mannen en vrouwen;2025;13060781;3821683;1847623;1974062;1065175;908885;2159205;1662481
19;Totaal over alle leeftijden;Mannen en vrouwen;2026;13046877;3858384;1864479;1993904;1073901;920002;2181423;1676959
