ID;Brandstofsoort;LeeftijdVoertuig;Eigendomssituatie;Perioden;TotaalKilometersInNederland_1;KilometersDoorNederlandseVoertuigen_2;KilometersDoorBuitenlandseVoertuigen_3;TotaalKilometers_4;KilometersInNederland_5;KilometersInHetBuitenland_6;TotaalGemiddeldJaarkilometrage_7;GemiddeldJaarkilometrageInNederland_8;GemiddeldJaarkilometrageInBuitenland_9;NederlandsePersonenautoSInGebruik_10
0;Totaal;Totaal leeftijd voertuig;Totaal;2018;109337.4;103785.6;5551.8;120338.8;103785.6;16553.1;13198;11383;1815;9117964
1;Totaal;Totaal leeftijd voertuig;Totaal;2019;109086.8;103493.0;5593.7;121231.5;103493.0;17738.5;13060;11149;1911;9282552
2;Totaal;Totaal leeftijd voertuig;Totaal;2020;91723.0;88390.5;3332.5;99650.6;88390.5;11260.1;10660;9455;1205;9348088
3;Totaal;Totaal leeftijd voertuig;Totaal;2021;96988.8;93657.3;3331.5;105424.8;93657.3;11767.6;11115;9875;1241;9484581
4;Totaal;Totaal leeftijd voertuig;Totaal;2022;102679.6;97763.4;4916.3;114616.7;97763.4;16853.3;12024;10256;1768;9532220
5;Totaal;Totaal leeftijd voertuig;Totaal;2023;107143.1;101662.5;5480.6;119551.6;101662.5;17889.1;12353;10505;1849;9677567
6;Totaal;Totaal leeftijd voertuig;Particulier;2018;85947.6;81583.5;4364.1;94595.5;81583.5;13012.0;11809;10184;1624;8010554
7;Totaal;Totaal leeftijd voertuig;Particulier;2019;85313.0;80938.3;4374.7;94811.0;80938.3;13872.7;11689;9979;1710;8111218
8;Totaal;Totaal leeftijd voertuig;Particulier;2020;73634.0;70958.7;2675.3;79998.1;70958.7;9039.4;9743;8642;1101;8210928
9;Totaal;Totaal leeftijd voertuig;Particulier;2021;78078.3;75396.3;2682.0;84869.5;75396.3;9473.2;10159;9025;1134;8354446
10;Totaal;Totaal leeftijd voertuig;Particulier;2022;81411.4;77513.4;3897.9;90875.9;77513.4;13362.5;10880;9280;1600;8352485
11;Totaal;Totaal leeftijd voertuig;Particulier;2023;84264.3;79954.0;4310.3;94023.2;79954.0;14069.2;11154;9485;1669;8429715
12;Totaal;Totaal leeftijd voertuig;Bedrijf;2018;23389.8;22202.2;1187.7;25743.3;22202.2;3541.1;23246;20049;3198;1107410
13;Totaal;Totaal leeftijd voertuig;Bedrijf;2019;23773.7;22554.7;1219.1;26420.5;22554.7;3865.8;22556;19256;3300;1171334
14;Totaal;Totaal leeftijd voertuig;Bedrijf;2020;18089.0;17431.8;657.2;19652.4;17431.8;2220.6;17282;15329;1953;1137160
15;Totaal;Totaal leeftijd voertuig;Bedrijf;2021;18910.5;18260.9;649.6;20555.3;18260.9;2294.4;18188;16158;2030;1130135
16;Totaal;Totaal leeftijd voertuig;Bedrijf;2022;21268.3;20249.9;1018.3;23740.8;20249.9;3490.9;20124;17165;2959;1179735
17;Totaal;Totaal leeftijd voertuig;Bedrijf;2023;22878.8;21708.5;1170.3;25528.4;21708.5;3819.9;20458;17397;3061;1247852
18;Totaal;Voertuig 0 jaar oud;Totaal;2018;4951.9;4700.5;251.4;5450.2;4700.5;749.7;12296;10604;1691;443263
