ID;BuitenlandsBelang;BedrijfstakkenBranchesSBI2008;Perioden;Ondernemingengroep_1;AantalWerknemersFTE_2;BalanstotaalEindstand_3;ImmaterieleVasteActiva_4;MaterieleVasteActiva_5;DeelnemingenTotaal_6;DeelnemingenBinnenland_7;DeelnemingenBuitenland_8;LanglVorderingenEnBeleggingenTotaal_9;LanglVorderingenOpDeelnBinnenland_10;LanglVorderingenOpDeelnBuitenland_11;VorderingenOpFinancieleInstellingen_12;OverigeLanglVorderingenEnBeleggingen_13;Voorraden_14;KortlVorderingenEnBeleggingenTotaal_15;KortlVorderingenOpDeelnBinnenland_16;KortlVorderingenOpDeelnBuitenland_17;Handelsdebiteuren_18;Belastingen_19;OverigeVorderingen_20;BeleggingenOpKorteTermijn_21;LiquideMiddelenTotaal_22;Kasmiddelen_23;TermijndepositoS_24;VorderingenOpFinancieleInstellingen_25;EigenVermogenTotaal_26;Aandelenkapitaal_27;Agioreserve_28;Herwaarderingsreserve_29;NietVerdeeldeWinstEnOverigeReserves_30;LanglopendeSchuldenTotaalGeenRente_31;BelangVanDerden_32;Egalisatierekening_33;Voorzieningen_34;LanglopendeSchuldenTotaalWelRente_35;LanglSchuldenOpDeelnBinnenland_36;LanglSchuldenOpDeelnBuitenland_37;Obligatieleningen_38;SchuldenAanFinancieleInstellingen_39;OverigeLanglopendeSchulden_40;KortlopendeSchuldenTotaal_41;KortlSchuldenOpDeelnBinnenland_42;KortlSchuldenOpDeelnBuitenland_43;Handelscrediteuren_44;SchuldenAanFinancieleInstellingen_45;Belastingen_46;OverigeKortlopendeSchulden_47;BalanstotaalBeginstand_48;ImmaterieleVasteActiva_49;MaterieleVasteActiva_50;DeelnemingenTotaal_51;DeelnemingenBinnenland_52;DeelnemingenBuitenland_53;LanglVorderingenEnBeleggingenTotaal_54;LanglVorderingenOpDeelnBinnenland_55;LanglVorderingenOpDeelnBuitenland_56;VorderingenOpFinancieleInstellingen_57;OverigeLanglVorderingenEnBeleggingen_58;Voorraden_59;KortlVorderingenEnBeleggingenTotaal_60;KortlVorderingenOpDeelnBinnenland_61;KortlVorderingenOpDeelnBuitenland_62;Handelsdebiteuren_63;Belastingen_64;OverigeKortlopendeVorderingen_65;BeleggingenOpKorteTermijn_66;LiquideMiddelenTotaal_67;Kasmiddelen_68;TermijndepositoS_69;VorderingenOpFinancieleInstellingen_70;EigenVermogenTotaal_71;Aandelenkapitaal_72;Agioreserve_73;Herwaarderingsreserve_74;NietVerdeeldeWinstEnOverigeReserves_75;LanglopendeSchuldenTotaalGeenRente_76;BelangVanDerden_77;Egalisatierekening_78;Voorzieningen_79;LanglopendeSchuldenTotaalWelRente_80;LanglSchuldenOpDeelnBinnenland_81;LanglSchuldenOpDeelnBuitenland_82;Obligatieleningen_83;SchuldenAanFinancieleInstellingen_84;OverigeLanglopendeSchulden_85;KortlopendeSchuldenTotaal_86;KortlSchuldenOpDeelnBinnenland_87;KortlSchuldenOpDeelnBuitenland_88;Handelscrediteuren_89;Belastingen_90;SchuldenAanFinancieleInstellingen_91;OverigeKortlopendeSchulden_92;TotaleNettoOmzet_93;NettoOmzetUitBuitenland_94;LoonSalarisEnSocialePremies_95;Afschrijvingen_96;TotaleKostenVanDeOmzet_97;KostenVanDeOmzetUitBuitenland_98;Investeringspremies_99;Bedrijfsresultaat_100;ResultaatUitDeelnemingenTotaal_101;ResultatenUitDeelnemingenBinnenland_102;ResultatenUitDeelnemingenBuitenland_103;Rentebaten_104;Rentelasten_105;OverigeFinancieleResultaten_106;BuitengewoneBaten_107;BuitengewoneLasten_108;ResultaatVoorBelastingen_109;Vennootschapsbelasting_110;AandeelVanDerden_111;Nettoresultaat_112
0;Totaal;Totaal, ex. financiële sector, vastgoed;2019;2645.0;1801.8;2317834.3;229075.8;288799.5;951784.4;71463.0;880321.4;285363.4;20025.4;222436.6;2296.2;40605.2;91482.7;376488.5;36533.6;201896.2;89263.5;10473.5;28860.7;9461.0;94839.9;733.3;21323.5;72783.1;1169278.8;93179.2;665979.7;26373.6;383746.3;60627.9;16867.7;4017.7;39742.5;631491.8;122390.8;195112.5;119026.5;64335.7;130626.3;456436.0;36674.2;188258.9;82741.3;38964.1;21929.1;87868.4;2188331.9;186556.2;268643.8;894771.5;58999.6;835771.9;269486.9;28687.8;198004.6;1556.0;41238.5;86678.0;383880.0;39510.9;204406.3;89058.6;10628.6;29861.2;10414.4;98315.4;817.5;29208.5;68289.4;1082979.1;77771.8;587310.4;19018.0;398878.9;56851.7;15452.4;3859.0;37540.3;592324.7;109148.7;182293.8;116105.9;58357.0;126419.3;456176.4;43451.5;187837.9;84531.6;21064.3;41728.0;77563.1;1024854.4;514782.5;124429.1;42801.6;806549.5;421474.6;774.6;51849.0;56964.8;5015.1;51949.7;17527.1;25555.0;935.1;330.2;226.5;101824.7;10871.1;1297.2;89656.3
1;Totaal;Totaal, ex. financiële sector, vastgoed;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Totaal;Totaal, ex. financiële sector, vastgoed;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Totaal;Totaal, ex. financiële sector, vastgoed;2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;Totaal;Totaal, exclusief financiële sector;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;Totaal;Totaal, exclusief financiële sector;2020;2698.0;1735.0;2591079.2;208437.0;340049.5;1099060.9;92532.2;1006528.7;329961.9;19807.2;254685.3;1834.2;53635.2;84447.6;408232.2;38822.1;218479.7;85702.8;11734.4;34192.3;19300.9;120890.1;617.9;25508.9;94763.3;1337911.0;139254.7;831076.5;32756.1;334823.7;64596.7;16947.0;4226.0;43423.7;705818.3;140440.3;181892.4;139389.0;76697.5;167399.1;482753.4;31971.4;207945.0;82311.7;35522.8;25091.7;99910.8;2625750.8;205548.4;332807.1;1139697.3;100368.5;1039328.8;321056.4;21564.0;246788.2;1555.1;51149.1;92674.1;432629.8;43569.0;229800.3;93668.2;11515.1;43636.4;10440.8;101337.7;707.6;21679.3;78950.8;1361914.6;131894.9;798065.0;31821.0;400133.7;64326.7;17581.5;4000.1;42745.1;694295.2;123634.0;207391.4;127768.0;73494.7;162007.1;505214.3;42769.4;217065.3;85804.3;22899.1;40486.4;96189.8;955897.3;478005.7;125288.8;46154.6;755385.9;378490.7;3833.0;32901.0;54646.2;7747.6;46898.6;16504.2;27009.6;-2327.8;798.7;363.5;75149.3;8622.9;-58.8;66585.2
6;Totaal;Totaal, exclusief financiële sector;2021;2691.0;1688.9;2927751.3;249994.5;356821.1;1235202.1;94326.4;1140875.7;391293.6;26456.9;301422.4;2545.4;60868.9;100418.6;451593.2;45889.6;223910.9;105071.7;16189.7;41334.2;19197.1;142428.3;1047.0;32664.5;108716.8;1623152.3;192727.5;815016.7;39434.4;575973.7;66954.2;15527.0;4377.6;47049.6;708258.2;152627.0;156680.4;147309.9;87882.8;163758.1;529386.6;33948.6;218612.0;100791.3;36691.0;28034.8;111308.9;2698688.9;227699.3;341251.0;1154630.4;85262.6;1069367.8;360902.8;20349.3;286062.2;1734.3;52757.0;84331.9;409507.2;44920.8;210822.9;85866.1;12641.9;34489.0;20766.5;120366.1;859.5;24501.9;95004.7;1478773.1;169551.4;755928.7;34822.1;518470.9;58767.3;12672.2;4215.5;41879.6;696565.6;147349.4;177155.9;129687.3;82176.2;160196.8;464583.0;34695.5;194324.7;80732.8;25945.9;34731.9;94152.2;1085567.7;557462.6;126967.4;46382.0;854371.1;419408.8;3436.4;61283.7;125440.8;19588.3;105852.5;13141.4;22462.0;4595.8;880.6;364.7;182515.6;14488.2;2075.3;165952.0
7;Totaal;Totaal, exclusief financiële sector;2022;2737.0;1999.8;3305328.0;220248.9;399410.2;1477159.3;93986.2;1383173.1;387333.4;20851.0;293680.8;3013.5;69788.1;135611.1;522565.7;58079.5;235513.9;127533.8;18786.5;63269.8;19382.2;162999.6;1120.5;54917.8;106961.3;1858460.4;224775.7;912329.8;41202.8;680152.1;69780.3;14379.5;4697.1;50703.7;741041.9;129673.0;166126.9;158418.9;97514.6;189308.5;636045.3;46312.4;237285.6;124883.9;39996.4;36452.8;151114.2;3076980.2;255589.1;380172.6;1339130.3;82864.6;1256265.7;385234.8;24964.1;292187.9;2674.4;65408.4;104927.7;457473.6;54061.6;206416.7;114492.2;17030.5;44457.5;21015.1;154452.1;1021.3;41022.1;112408.7;1715980.3;199087.4;879842.0;40403.8;596647.1;66299.2;14034.3;4423.3;47841.6;721665.6;121775.6;173876.0;152577.3;93243.8;180192.9;573035.2;39654.8;229462.7;108948.2;31256.1;39602.3;124111.1;1425617.4;717351.1;152947.7;50498.8;1133187.6;562461.5;1289.0;90272.3;153298.1;15296.3;138001.8;17778.2;26363.9;-5253.5;3156.9;1806.3;231081.8;23520.7;1260.4;206300.7
8;Totaal;A-F Landbouw en nijverheid;2019;1020.0;535.5;1268629.1;78100.5;134326.1;608032.7;24550.7;583482.0;165974.9;4782.0;146948.6;482.0;13762.3;48663.4;192791.0;22222.2;109632.1;35339.0;6085.1;11714.8;7797.8;40740.5;93.9;13201.0;27445.6;675698.7;51731.1;267014.6;10272.1;346680.9;42007.7;14836.5;3661.6;23509.6;331929.6;75652.0;100618.2;80853.8;25543.9;49261.7;218993.1;22552.2;100931.5;37252.6;15311.7;9375.8;33569.3;1207879.4;72142.7;125482.5;556827.8;18942.5;537885.3;152901.7;15361.2;122117.0;522.5;14901.0;44956.9;210971.6;26713.7;119891.8;36655.1;6230.6;13027.0;8453.4;44596.0;71.6;20188.9;24335.5;629830.4;39911.5;238527.3;10860.2;340531.4;38949.9;13245.0;3494.6;22210.3;313633.5;72740.5;92099.9;75757.7;24937.3;48098.1;225465.6;26053.2;108076.0;39039.1;9205.1;14272.7;28819.5;418934.0;252832.9;45086.5;15198.5;333602.6;178347.2;391.4;25437.9;50667.9;2375.3;48292.6;9778.3;12734.7;37.8;122.8;183.8;73126.1;3897.0;1119.6;68109.5
9;Totaal;A-F Landbouw en nijverheid;2020;985.0;542.8;1261697.0;77417.1;143637.6;580640.4;40511.8;540128.6;163115.6;5888.5;140578.1;388.2;16260.8;40007.9;202273.8;22765.1;116168.8;31242.7;6433.9;11815.0;13848.3;54604.6;137.3;17525.1;36942.2;669134.5;65408.7;286752.7;10083.5;306889.6;43574.3;14973.7;3890.7;24709.9;338129.2;85683.7;88513.5;87865.9;25990.7;50075.4;210859.0;18193.5;94471.2;35891.6;14088.4;9526.6;38687.7;1317783.8;76567.1;143401.4;634615.0;39035.0;595580.0;173324.0;5526.3;153379.8;429.6;13988.3;42667.3;205720.9;28468.3;115312.1;35978.9;6097.0;13146.7;6717.9;41488.0;117.3;12347.4;29023.3;702243.6;61900.7;274110.4;10813.2;355419.3;43159.9;15509.3;3640.4;24010.2;336787.6;77056.3;102131.4;82808.5;27312.1;47479.3;235592.7;27904.6;107735.4;38252.4;9306.3;15628.4;36765.6;385149.3;232286.2;46869.3;17559.2;303545.2;154936.9;684.4;17859.9;16776.0;774.6;16001.4;7701.0;11737.9;358.4;69.5;179.9;30846.9;3650.7;-160.0;27356.2
