ID;Perioden;TotaalStudentenNaarHogerOnderwijs_1;HBO_2;WO_3;TotaalPersonenMetEenUitkeringen_4;PersonenMetArbeidsongeschiktheidsuitk_5;PersonenMetBijstandsuitkering_6;PersonenMetWerkloosheidsuitkering_7;PersonenMetIOAWIOAZUitkering_8;TotaalPlaatsenInHuishouden_9;KindMinderjarig_10;KindMeerderjarig_11;Alleenstaande_12;PartnerInOngehuwdStelZonderKinderen_13;PartnerInGehuwdStelZonderKinderen_14;PartnerInOngehuwdStelMetKinderen_15;PartnerInGehuwdStelMetKinderen_16;OuderInEenoudergezin_17;OverigLidHuishoudenOnbekend_18;InInstitutioneelHuishouden_19;TotaalGeneraties_20;Autochtoon_21;EersteGeneratieAllochtoon_22;TweedeGeneratieAllochtoon_23;TotaalStedelijkheid_24;ZeerSterkStedelijk_25;SterkStedelijk_26;MatigStedelijk_27;WeinigStedelijk_28;NietStedelijk_29;TotaalHogerOnderwijs_30;HBO_31;WO_32;TotaalPersonenMetEenUitkeringen_33;PersonenMetArbeidsongeschiktheidsuitk_34;PersonenMetBijstandsuitkering_35;PersonenMetWerkloosheidsuitkering_36;PersonenMetIOAWIOAZUitkering_37;TotaalPlaatsenInHuishouden_38;KindMinderjarig_39;KindMeerderjarig_40;Alleenstaande_41;PartnerInOngehuwdStelZonderKinderen_42;PartnerInGehuwdStelZonderKinderen_43;PartnerInOngehuwdStelMetKinderen_44;PartnerInGehuwdStelMetKinderen_45;OuderInEenoudergezin_46;OverigLidHuishoudenOnbekend_47;InInstitutioneelHuishouden_48;TotaalGeneraties_49;Autochtoon_50;EersteGeneratieAllochtoon_51;TweedeGeneratieAllochtoon_52;TotaalStedelijkheid_53;ZeerSterkStedelijk_54;SterkStedelijk_55;MatigStedelijk_56;WeinigStedelijk_57;NietStedelijk_58;TotaalHogerOnderwijs_59;HBO_60;WO_61;TotaalPersonenMetEenUitkeringen_62;PersonenMetArbeidsongeschiktheidsuitk_63;PersonenMetBijstandsuitkering_64;PersonenMetWerkloosheidsuitkering_65;PersonenMetIOAWIOAZUitkering_66;TotaalPlaatsenInHuishouden_67;KindMinderjarig_68;KindMeerderjarig_69;Alleenstaande_70;PartnerInOngehuwdStelZonderKinderen_71;PartnerInGehuwdStelZonderKinderen_72;PartnerInOngehuwdStelMetKinderen_73;PartnerInGehuwdStelMetKinderen_74;OuderInEenoudergezin_75;OverigLidHuishoudenOnbekend_76;InInstitutioneelHuishouden_77;TotaalGeneraties_78;Autochtoon_79;EersteGeneratieAllochtoon_80;TweedeGeneratieAllochtoon_81;TotaalStedelijkheid_82;ZeerSterkStedelijk_83;SterkStedelijk_84;MatigStedelijk_85;WeinigStedelijk_86;NietStedelijk_87;TotaalStudentenNaarHogerOnderwijs_88;HBO_89;WO_90;TotaalPersonenMetEenUitkeringen_91;PersonenMetArbeidsongeschiktheidsuitk_92;PersonenMetBijstandsuitkering_93;PersonenMetWerkloosheidsuitkering_94;PersonenMetIOAWIOAZUitkering_95;TotaalPlaatsenInHuishouden_96;KindMinderjarig_97;KindMeerderjarig_98;Alleenstaande_99;PartnerInOngehuwdStelZonderKinderen_100;PartnerInGehuwdStelZonderKinderen_101;PartnerInOngehuwdStelMetKinderen_102;PartnerInGehuwdStelMetKinderen_103;OuderInEenoudergezin_104;OverigLidHuishoudenOnbekend_105;InInstitutioneelHuishouden_106;TotaalGeneraties_107;Autochtoon_108;EersteGeneratieAllochtoon_109;TweedeGeneratieAllochtoon_110;TotaalStedelijkheid_111;ZeerSterkStedelijk_112;SterkStedelijk_113;MatigStedelijk_114;WeinigStedelijk_115;NietStedelijk_116
0;1 mei 2006;11520;7280;4240;7660;2390;3820;1510;30;231160;22110;32280;76310;18820;13470;5300;18580;4790;34220;5290;231160;72820;132730;25620;231160;88670;64350;35010;28500;14630;8990;5660;3320;5460;1850;2560;1080;20;172800;16550;24110;57380;13590;11130;3870;14620;3550;23710;4300;172800;55630;98450;18720;172800;64180;47970;26640;22390;11610;2.1;2.1;2.2;0.5;0.3;0.9;0.6;0.2;1.4;0.8;1.9;3.1;1.9;0.4;1.0;0.5;1.1;9.5;2.7;1.4;0.6;8.3;1.7;1.4;3.1;1.4;1.0;0.8;0.7;1.7;1.6;1.7;0.4;0.2;0.6;0.4;0.1;1.1;0.6;1.4;2.3;1.4;0.4;0.7;0.4;0.8;6.6;2.2;1.1;0.4;6.1;1.2;1.1;2.2;1.1;0.8;0.6;0.6
1;1 mei 2007;8990;5280;3700;5040;1850;2390;820;20;201580;20650;21340;67150;15650;12370;4530;14950;3970;35950;5020;201580;56710;124380;20490;201580;77890;58370;27950;24200;13170;7420;4400;3020;3730;1440;1710;600;10;150710;15320;16900;50800;11370;10050;3350;11820;3010;24360;3740;150710;44820;90760;15130;150710;56310;43880;21240;18900;10380;1.7;1.6;1.9;0.4;0.2;0.6;0.4;0.1;1.2;0.6;1.9;2.7;1.6;0.4;0.8;0.4;0.9;9.9;2.6;1.2;0.4;7.7;1.3;1.2;2.7;1.3;0.9;0.7;0.7;1.4;1.3;1.6;0.3;0.2;0.5;0.3;0.1;0.9;0.4;1.5;2.0;1.2;0.3;0.6;0.3;0.7;6.7;1.9;0.9;0.3;5.6;1.0;0.9;1.9;0.9;0.6;0.5;0.5
2;1 mei 2008;9920;5780;4140;5430;1910;2870;660;60;195860;16900;19040;64650;15130;12580;4040;13940;3410;41700;4480;195860;52540;125240;18080;195860;76920;57220;26430;22660;12630;8410;4910;3500;4280;1550;2230;490;60;152810;12970;15540;51560;11660;10800;3090;11540;2660;29310;3680;152810;43100;95770;13940;152810;59160;44360;20810;18200;10270;1.9;1.7;2.1;0.4;0.3;0.8;0.4;0.5;1.2;0.5;1.4;2.5;1.5;0.4;0.7;0.4;0.7;11.0;2.3;1.2;0.4;7.7;1.1;1.2;2.6;1.2;0.8;0.6;0.6;1.6;1.5;1.8;0.3;0.2;0.6;0.3;0.5;0.9;0.4;1.2;2.0;1.2;0.3;0.5;0.3;0.6;7.7;1.9;0.9;0.3;5.9;0.9;0.9;2.0;1.0;0.6;0.5;0.5
3;1 mei 2009;11250;6470;4780;5550;1830;2310;1440;20;193700;15560;16830;67620;15250;11240;3890;12320;3000;43820;4170;193700;45350;131850;16500;193700;81660;56160;23540;21240;11100;9540;5540;4000;3990;1410;1570;1030;20;152240;12120;13940;53650;11920;9450;3030;10100;2440;32210;3400;152240;37280;102060;12900;152240;63250;44110;18700;17050;9140;2.0;1.9;2.4;0.4;0.2;0.6;0.7;0.2;1.2;0.5;1.2;2.6;1.5;0.4;0.6;0.4;0.6;11.2;2.1;1.2;0.3;7.9;1.0;1.2;2.6;1.2;0.7;0.6;0.6;1.7;1.6;2.0;0.3;0.2;0.4;0.5;0.1;0.9;0.4;1.0;2.1;1.2;0.3;0.5;0.3;0.5;8.3;1.7;0.9;0.3;6.1;0.8;0.9;2.0;1.0;0.6;0.5;0.5
4;1 mei 2010;11520;6480;5040;5370;1470;2450;1470;30;174610;12150;14880;66120;14920;9710;3500;10210;2400;37020;3690;174610;35900;124650;14060;174610;76240;51600;19280;18600;8890;9600;5470;4130;3770;1130;1610;1030;20;136450;9320;12220;52480;11550;8160;2730;8410;1940;26510;3130;136450;29130;96360;10950;136450;58900;40660;14950;14750;7180;2.1;1.9;2.5;0.4;0.2;0.6;0.6;0.2;1.1;0.4;1.1;2.6;1.5;0.3;0.6;0.3;0.5;9.5;1.9;1.1;0.3;7.4;0.9;1.1;2.4;1.1;0.6;0.5;0.4;1.7;1.6;2.0;0.3;0.1;0.4;0.4;0.2;0.8;0.3;0.9;2.0;1.2;0.3;0.4;0.2;0.4;6.8;1.6;0.8;0.2;5.7;0.7;0.8;1.9;0.9;0.5;0.4;0.4
