ID;SectorEnVermogensklasse;RegioS;Perioden;Installaties_1;OpgesteldVermogenVanZonnepanelen_2;OpgesteldVermogenOmvormers_3;ProductieVanZonnestroom_4
0;Alle economische activiteit en woningen;Nederland;2019;1062265.0;7225864.0;;5399.0
1;Alle economische activiteit en woningen;Nederland;2020;1383888.0;11108427.0;;8567.0
2;Alle economische activiteit en woningen;Nederland;2021 ;1730285.0;14822880.0;;11304.0
3;Alle economische activiteit en woningen;Nederland;2022;2298859.0;19536096.0;17451365.0;16659.0
4;Alle economische activiteit en woningen;Nederland;2023 ;2875487.0;24301725.0;21394768.0;19580.0
5;Alle economische activiteit en woningen;Nederland;2024 eerste helft;3023653.0;26065113.0;22814464.0;10984.0
6;Alle economische activiteit en woningen;Noord-Nederland (LD);2019;158397.0;1304483.0;;930.0
7;Alle economische activiteit en woningen;Noord-Nederland (LD);2020;201759.0;2247534.0;;1557.0
8;Alle economische activiteit en woningen;Noord-Nederland (LD);2021 ;246365.0;2919133.0;;2283.0
9;Alle economische activiteit en woningen;Noord-Nederland (LD);2022;309909.0;3748906.0;3335609.0;3172.0
10;Alle economische activiteit en woningen;Noord-Nederland (LD);2023 ;379524.0;4521629.0;3969351.0;3663.0
11;Alle economische activiteit en woningen;Noord-Nederland (LD);2024 eerste helft;398051.0;4820016.0;4225506.0;2009.0
12;Alle economische activiteit en woningen;Oost-Nederland (LD);2019;254775.0;1823265.0;;1309.0
13;Alle economische activiteit en woningen;Oost-Nederland (LD);2020;329788.0;2789903.0;;2126.0
14;Alle economische activiteit en woningen;Oost-Nederland (LD);2021 ;407109.0;3740599.0;;2778.0
15;Alle economische activiteit en woningen;Oost-Nederland (LD);2022;532433.0;4996742.0;4490272.0;4195.0
16;Alle economische activiteit en woningen;Oost-Nederland (LD);2023 ;671946.0;6267252.0;5557457.0;4987.0
17;Alle economische activiteit en woningen;Oost-Nederland (LD);2024 eerste helft;709308.0;6762705.0;5938911.0;2835.0
18;Alle economische activiteit en woningen;West-Nederland (LD);2019;396075.0;2309132.0;;1797.0
19;Alle economische activiteit en woningen;West-Nederland (LD);2020;516829.0;3311294.0;;2713.0
20;Alle economische activiteit en woningen;West-Nederland (LD);2021 ;655231.0;4394528.0;;3362.0
21;Alle economische activiteit en woningen;West-Nederland (LD);2022;917449.0;5956140.0;5360882.0;5135.0
22;Alle economische activiteit en woningen;West-Nederland (LD);2023 ;1140286.0;7463203.0;6615965.0;6039.0
23;Alle economische activiteit en woningen;West-Nederland (LD);2024 eerste helft;1198009.0;7984097.0;7038230.0;3482.0
24;Alle economische activiteit en woningen;Zuid-Nederland (LD);2019;252659.0;1787681.0;;1363.0
25;Alle economische activiteit en woningen;Zuid-Nederland (LD);2020;335080.0;2757875.0;;2170.0
26;Alle economische activiteit en woningen;Zuid-Nederland (LD);2021 ;421154.0;3754231.0;;2870.0
27;Alle economische activiteit en woningen;Zuid-Nederland (LD);2022;538559.0;4817100.0;4249835.0;4142.0
28;Alle economische activiteit en woningen;Zuid-Nederland (LD);2023 ;683211.0;6020962.0;5228305.0;4866.0
29;Alle economische activiteit en woningen;Zuid-Nederland (LD);2024 eerste helft;717752.0;6322441.0;5471693.0;2630.0
30;Alle economische activiteit en woningen;Niet in te delen (LD);2019;359.0;1303.0;;1.0
31;Alle economische activiteit en woningen;Niet in te delen (LD);2020;432.0;1823.0;;1.0
32;Alle economische activiteit en woningen;Niet in te delen (LD);2021 ;426.0;14389.0;;12.0
33;Alle economische activiteit en woningen;Niet in te delen (LD);2022;509.0;17208.0;14768.0;16.0
34;Alle economische activiteit en woningen;Niet in te delen (LD);2023 ;520.0;28679.0;23689.0;25.0
35;Alle economische activiteit en woningen;Niet in te delen (LD);2024 eerste helft;533.0;175854.0;140124.0;28.0
36;Alle economische activiteit en woningen;Groningen (PV);2019;47925.0;491687.0;;304.0
37;Alle economische activiteit en woningen;Groningen (PV);2020;61954.0;942544.0;;594.0
38;Alle economische activiteit en woningen;Groningen (PV);2021 ;77736.0;1156477.0;;901.0
39;Alle economische activiteit en woningen;Groningen (PV);2022;98213.0;1334696.0;1155914.0;1182.0
40;Alle economische activiteit en woningen;Groningen (PV);2023 ;120133.0;1631399.0;1391598.0;1328.0
41;Alle economische activiteit en woningen;Groningen (PV);2024 eerste helft;126774.0;1788593.0;1530937.0;738.0
42;Alle economische activiteit en woningen;Fryslân (PV);2019;57120.0;440734.0;;345.0
43;Alle economische activiteit en woningen;Fryslân (PV);2020;74474.0;701584.0;;513.0
44;Alle economische activiteit en woningen;Fryslân (PV);2021 ;92028.0;865297.0;;690.0
45;Alle economische activiteit en woningen;Fryslân (PV);2022;117815.0;1040289.0;955883.0;917.0
46;Alle economische activiteit en woningen;Fryslân (PV);2023 ;143300.0;1248600.0;1131499.0;1014.0
47;Alle economische activiteit en woningen;Fryslân (PV);2024 eerste helft;149750.0;1303461.0;1176509.0;567.0
48;Alle economische activiteit en woningen;Drenthe (PV);2019;53352.0;372062.0;;281.0
49;Alle economische activiteit en woningen;Drenthe (PV);2020;65331.0;603405.0;;450.0
50;Alle economische activiteit en woningen;Drenthe (PV);2021 ;76601.0;897359.0;;692.0
51;Alle economische activiteit en woningen;Drenthe (PV);2022;93881.0;1373921.0;1223811.0;1072.0
52;Alle economische activiteit en woningen;Drenthe (PV);2023 ;116091.0;1641630.0;1446254.0;1322.0
53;Alle economische activiteit en woningen;Drenthe (PV);2024 eerste helft;121527.0;1727962.0;1518060.0;703.0
54;Alle economische activiteit en woningen;Overijssel (PV);2019;80283.0;605941.0;;435.0
55;Alle economische activiteit en woningen;Overijssel (PV);2020;103969.0;945375.0;;711.0
56;Alle economische activiteit en woningen;Overijssel (PV);2021 ;129004.0;1268994.0;;931.0
57;Alle economische activiteit en woningen;Overijssel (PV);2022;166640.0;1610957.0;1425321.0;1385.0
58;Alle economische activiteit en woningen;Overijssel (PV);2023 ;213419.0;1957508.0;1723447.0;1571.0
59;Alle economische activiteit en woningen;Overijssel (PV);2024 eerste helft;226788.0;2107318.0;1840472.0;895.0
60;Alle economische activiteit en woningen;Flevoland (PV);2019;29900.0;329471.0;;233.0
61;Alle economische activiteit en woningen;Flevoland (PV);2020;37691.0;483727.0;;376.0
62;Alle economische activiteit en woningen;Flevoland (PV);2021 ;46201.0;585708.0;;436.0
63;Alle economische activiteit en woningen;Flevoland (PV);2022;61319.0;893172.0;822438.0;654.0
64;Alle economische activiteit en woningen;Flevoland (PV);2023 ;76533.0;1184493.0;1073819.0;936.0
65;Alle economische activiteit en woningen;Flevoland (PV);2024 eerste helft;80486.0;1263114.0;1135213.0;519.0
66;Alle economische activiteit en woningen;Gelderland (PV);2019;144592.0;887853.0;;640.0
67;Alle economische activiteit en woningen;Gelderland (PV);2020;188128.0;1360800.0;;1039.0
68;Alle economische activiteit en woningen;Gelderland (PV);2021 ;231904.0;1885896.0;;1411.0
69;Alle economische activiteit en woningen;Gelderland (PV);2022;304474.0;2492612.0;2242512.0;2157.0
70;Alle economische activiteit en woningen;Gelderland (PV);2023 ;381994.0;3125250.0;2760191.0;2480.0
71;Alle economische activiteit en woningen;Gelderland (PV);2024 eerste helft;402034.0;3392274.0;2963226.0;1421.0
72;Alle economische activiteit en woningen;Utrecht (PV);2019;78653.0;405418.0;;307.0
73;Alle economische activiteit en woningen;Utrecht (PV);2020;103445.0;593814.0;;466.0
74;Alle economische activiteit en woningen;Utrecht (PV);2021 ;132865.0;781852.0;;597.0
75;Alle economische activiteit en woningen;Utrecht (PV);2022;182955.0;1047213.0;940568.0;909.0
76;Alle economische activiteit en woningen;Utrecht (PV);2023 ;226233.0;1313617.0;1161105.0;1050.0
77;Alle economische activiteit en woningen;Utrecht (PV);2024 eerste helft;237637.0;1418213.0;1247239.0;607.0
78;Alle economische activiteit en woningen;Noord-Holland (PV);2019;132597.0;785626.0;;599.0
79;Alle economische activiteit en woningen;Noord-Holland (PV);2020;174277.0;1107106.0;;903.0
