ID;Perioden;TotaalBaten_1;ContributiesLesEnEntreegelden_2;SubsidiesEnBijdragen_3;SponsorEnReclamegelden_4;Kantineverkopen_5;OverigeBaten_6;TotaalLasten_7;LonenEnSocialeLasten_8;PersoneelNietInLoondienst_9;Huisvestingskosten_10;OnderhoudEnSchoonmaak_11;InkoopkostenKantine_12;RenteEnAfschrijving_13;Bondscontributies_14;WedstrijdEnReiskosten_15;OverigeLasten_16;PersonenInLoondienst_17;ArbeidsvolumePersoneelInLoondienst_18;ArbeidsvolumePersoneelNietLoondienst_19;TotaalSportorganisaties_20;AantalSportclubs_21;AantalManeges_22;AantalSportscholenEnInstructeurs_23;SportorganisatiesMetVrijwilligers_24;Vrijwilligers_25;ArbeidsurenVrijwilligers_26;SportclubsMetVrijwilligers_27;Vrijwilligers_28;ArbeidsurenVrijwilligers_29;ClubsMetVrijwilligers_30;Vrijwilligers_31;ArbeidsurenVrijwilligers_32;ClubsMetVrijwilligers_33;Vrijwilligers_34;ArbeidsurenVrijwilligers_35;ClubsMetVrijwilligers_36;Vrijwilligers_37;ArbeidsurenVrijwilligers_38;OrganisatiesMetVrijwilligers_39;Vrijwilligers_40;ArbeidsurenVrijwilligers_41;ClubsMetVrijwilligers_42;Vrijwilligers_43;ArbeidsurenVrijwilligers_44;ClubsMetVrijwilligers_45;Vrijwilligers_46;ArbeidsurenVrijwilligers_47;ClubsMetVrijwilligers_48;Vrijwilligers_49;ArbeidsurenVrijwilligers_50;OrganisatiesMetVrijwilligers_51;Vrijwilligers_52;ArbeidsurenVrijwilligers_53;ClubsMetVrijwilligers_54;Vrijwilligers_55;ArbeidsurenVrijwilligers_56;ClubsMetVrijwilligers_57;Vrijwilligers_58;ArbeidsurenVrijwilligers_59;LedenKlantenAbonnementen_60
0;1987;537;290;57;35;128;28;511;62;32;113;20;67;40;34;40;102;9280;3720;2790;24050;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45
1;1990;739;397;80;64;178;19;692;115;33;139;33;97;58;42;37;137;13870;5140;2960;25600;;;;65.0;299.0;930.0;;;;89.0;104.0;391.0;83.0;43.0;113.0;80.0;30.0;96.0;55.0;8.0;26.0;80.0;17.0;39.0;65.0;40.0;99.0;72.0;28.0;76.0;47.0;5.0;19.0;;;;47.0;24.0;71.0;50
2;1993;910;474;90;86;183;77;861;171;40;164;40;97;72;55;57;164;17360;6540;1820;28150;;;;67.0;399.0;1114.0;;;;95.0;145.0;471.0;85.0;69.0;145.0;79.0;27.0;91.0;70.0;13.0;36.0;84.0;20.0;40.0;66.0;53.0;127.0;73.0;30.0;72.0;52.0;8.0;30.0;36.0;3.0;13.0;51.0;31.0;88.0;57
3;1996;960;492;82;91;194;100;915;188;48;161;46;104;72;50;67;180;18790;6210;2780;25900;23650.0;900.0;1350.0;81.0;466.0;1533.0;85.0;461.0;1508.0;97.0;160.0;633.0;97.0;78.0;213.0;95.0;44.0;121.0;72.0;19.0;61.0;95.0;22.0;57.0;82.0;47.0;108.0;93.0;40.0;105.0;59.0;10.0;31.0;63.0;6.0;20.0;70.0;41.0;184.0;53
4;2000;1450;682;144;178;246;200;1380;381;60;227;70;131;93;63;105;249;20790;7370;3820;29770;26620.0;1160.0;1980.0;82.0;548.0;2142.0;86.0;539.0;2110.0;98.0;193.0;950.0;97.0;89.0;327.0;98.0;46.0;157.0;69.0;20.0;71.0;94.0;28.0;77.0;85.0;49.0;157.0;92.0;37.0;126.0;52.0;13.0;45.0;77.0;8.0;27.0;77.0;64.0;205.0;59
5;2003;1651;799;151;204;282;214;1578;416;72;262;89;152;107;74;132;274;20440;7860;3650;30070;26910.0;1190.0;1970.0;79.0;538.0;2049.0;85.0;532.0;2020.0;98.0;186.0;905.0;97.0;96.0;349.0;96.0;45.0;148.0;68.0;20.0;68.0;94.0;28.0;84.0;82.0;43.0;125.0;91.0;35.0;106.0;46.0;11.0;42.0;76.0;7.0;21.0;75.0;68.0;201.0;60
6;2006;1986;945;134;292;317;298;1837;452;90;331;99;166;167;86;154;291;21500;8550;4500;32710;27590.0;1460.0;3660.0;74.0;541.0;2134.0;84.0;533.0;2098.0;98.0;181.0;898.0;94.0;91.0;337.0;96.0;44.0;148.0;65.0;21.0;83.0;95.0;27.0;85.0;85.0;46.0;145.0;89.0;32.0;98.0;30.0;12.0;43.0;74.0;7.0;25.0;73.0;82.0;272.0;63
