ID;Persoonskenmerken;Perioden;PersonenMetEenWerkloosheidsuitkering_1
0;Totaal personen;2013 januari;354590.0
1;Totaal personen;2013 februari;358710.0
2;Totaal personen;2013 maart;358260.0
3;Totaal personen;2013 april;356030.0
4;Totaal personen;2013 mei;355410.0
5;Totaal personen;2013 juni;357990.0
6;Totaal personen;2013 juli;369340.0
7;Totaal personen;2013 augustus;368450.0
8;Totaal personen;2013 september;368080.0
9;Totaal personen;2013 oktober;378550.0
10;Totaal personen;2013 november;390150.0
11;Totaal personen;2013 december;418590.0
12;Totaal personen;2014 januari;425350.0
13;Totaal personen;2014 februari;422630.0
14;Totaal personen;2014 maart;405790.0
15;Totaal personen;2014 april;400570.0
16;Totaal personen;2014 mei;395260.0
17;Totaal personen;2014 juni;395620.0
18;Totaal personen;2014 juli;395400.0
19;Totaal personen;2014 augustus;386010.0
20;Totaal personen;2014 september;375880.0
21;Totaal personen;2014 oktober;379120.0
22;Totaal personen;2014 november;385060.0
23;Totaal personen;2014 december;411470.0
24;Totaal personen;2015 januari;412030.0
25;Totaal personen;2015 februari;407110.0
26;Totaal personen;2015 maart;389040.0
27;Totaal personen;2015 april;379300.0
28;Totaal personen;2015 mei;371670.0
29;Totaal personen;2015 juni;376810.0
30;Totaal personen;2015 juli;376520.0
31;Totaal personen;2015 augustus;367080.0
32;Totaal personen;2015 september;362980.0
33;Totaal personen;2015 oktober;366040.0
34;Totaal personen;2015 november;375160.0
35;Totaal personen;2015 december;393020.0
36;Totaal personen;2016 januari;396840.0
37;Totaal personen;2016 februari;397660.0
38;Totaal personen;2016 maart;390040.0
39;Totaal personen;2016 april;385200.0
40;Totaal personen;2016 mei;363540.0
41;Totaal personen;2016 juni;362830.0
42;Totaal personen;2016 juli;358070.0
43;Totaal personen;2016 augustus;360690.0
44;Totaal personen;2016 september;353680.0
45;Totaal personen;2016 oktober;354980.0
46;Totaal personen;2016 november;356470.0
47;Totaal personen;2016 december;362900.0
48;Totaal personen;2017 januari;360560.0
49;Totaal personen;2017 februari;358070.0
50;Totaal personen;2017 maart;346550.0
51;Totaal personen;2017 april;339060.0
