ID;Persoonskenmerken;Perioden;VertrouwenInVerkiezingen_1;Stemcomputer_2;PapierenStembiljet_3;PerTelefoon_4;PerComputerThuis_5;PerPost_6;Kerken_7;Leger_8;Rechters_9;Pers_10;Politie_11;Ambtenaren_12;GroteBedrijven_13;EuropeseUnie_14;NAVO_15;TweedeKamer_16;VertrouwenInAndereMensen_17
54;18719;2006;62.0;78.0;70.0;8.0;27.0;14.0;43.0;60.0;62.0;29.0;70.0;33.0;29.0;36.0;47.0;54.0;45.0
55;18719;2010;57.0;56.0;70.0;;;;32.0;75.0;64.0;30.0;62.0;44.0;53.0;46.0;69.0;52.0;38.0
56;18719;2012;48.0;;;;;;29.0;56.0;54.0;20.0;56.0;26.0;40.0;33.0;49.0;36.0;40.0
57;18730;2006;75.0;82.0;69.0;9.0;30.0;11.0;32.0;60.0;61.0;26.0;70.0;32.0;32.0;41.0;51.0;46.0;52.0
58;18730;2010;68.0;61.0;83.0;;;;32.0;79.0;65.0;29.0;66.0;52.0;43.0;43.0;61.0;57.0;53.0
59;18730;2012;54.0;;;;;;38.0;59.0;66.0;23.0;61.0;33.0;42.0;41.0;49.0;38.0;41.0
60;18750;2006;77.0;83.0;73.0;11.0;33.0;14.0;38.0;63.0;75.0;35.0;69.0;35.0;38.0;42.0;58.0;63.0;62.0
61;18750;2010;77.0;66.0;74.0;;;;33.0;75.0;71.0;32.0;69.0;51.0;47.0;43.0;68.0;60.0;60.0
62;18750;2012;69.0;;;;;;34.0;69.0;78.0;26.0;68.0;37.0;40.0;42.0;59.0;52.0;53.0
63;18789;2006;91.0;88.0;81.0;16.0;36.0;18.0;46.0;60.0;84.0;39.0;74.0;49.0;40.0;47.0;61.0;73.0;80.0
64;18789;2010;89.0;82.0;84.0;;;;36.0;75.0;87.0;40.0;82.0;64.0;47.0;53.0;71.0;74.0;81.0
65;18789;2012;90.0;;;;;;34.0;70.0;87.0;37.0;80.0;57.0;42.0;59.0;72.0;75.0;80.0
66;10020;2006;70.0;71.0;72.0;10.0;27.0;14.0;40.0;64.0;73.0;33.0;71.0;39.0;34.0;48.0;55.0;59.0;56.0
67;10020;2010;70.0;62.0;78.0;;;;32.0;68.0;70.0;34.0;69.0;54.0;49.0;50.0;60.0;60.0;56.0
68;10020;2012;74.0;;;;;;30.0;63.0;79.0;31.0;69.0;49.0;37.0;52.0;63.0;60.0;57.0
69;10030;2006;76.0;83.0;71.0;12.0;33.0;16.0;40.0;57.0;70.0;38.0;73.0;39.0;36.0;38.0;51.0;60.0;60.0
70;10030;2010;69.0;62.0;72.0;;;;28.0;71.0;71.0;36.0;65.0;50.0;48.0;44.0;67.0;56.0;58.0
71;10030;2012;67.0;;;;;;31.0;68.0;74.0;29.0;68.0;37.0;37.0;41.0;57.0;50.0;54.0
72;10040;2006;72.0;79.0;72.0;11.0;35.0;15.0;44.0;63.0;74.0;39.0;75.0;41.0;40.0;40.0;59.0;64.0;64.0
73;10040;2010;78.0;69.0;80.0;;;;35.0;84.0;73.0;31.0;74.0;56.0;46.0;47.0;69.0;64.0;58.0
74;10040;2012;70.0;;;;;;33.0;66.0;71.0;25.0;69.0;38.0;41.0;42.0;59.0;54.0;58.0
75;10060;2006;77.0;83.0;80.0;9.0;32.0;17.0;48.0;65.0;74.0;31.0;65.0;34.0;32.0;40.0;55.0;61.0;57.0
76;10060;2010;68.0;63.0;73.0;;;;35.0;74.0;66.0;28.0;67.0;44.0;42.0;39.0;65.0;57.0;54.0
77;10060;2012;68.0;;;;;;38.0;64.0;72.0;26.0;69.0;36.0;44.0;42.0;56.0;51.0;54.0
78;10070;2006;75.0;83.0;78.0;15.0;27.0;15.0;39.0;54.0;66.0;23.0;66.0;31.0;33.0;41.0;56.0;53.0;67.0
79;10070;2010;78.0;70.0;80.0;;;;44.0;77.0;74.0;34.0;80.0;56.0;49.0;46.0;71.0;61.0;60.0
80;10070;2012;62.0;;;;;;40.0;63.0;73.0;24.0;65.0;39.0;41.0;40.0;56.0;46.0;50.0
81;CDA;2006;87.0;91.0;78.0;10.0;33.0;11.0;61.0;70.0;75.0;29.0;76.0;43.0;46.0;50.0;67.0;71.0;67.0
82;CDA;2010;81.0;71.0;81.0;;;;65.0;83.0;73.0;29.0;79.0;56.0;55.0;58.0;80.0;75.0;64.0
83;CDA;2012;82.0;;;;;;76.0;67.0;73.0;18.0;73.0;46.0;44.0;59.0;70.0;61.0;64.0
84;PvdA;2006;74.0;80.0;73.0;10.0;29.0;14.0;33.0;56.0;78.0;36.0;72.0;42.0;28.0;45.0;52.0;66.0;57.0
85;PvdA;2010;77.0;68.0;81.0;;;;31.0;65.0;79.0;36.0;77.0;66.0;38.0;54.0;61.0;72.0;61.0
86;PvdA;2012;76.0;;;;;;28.0;63.0;82.0;34.0;75.0;49.0;33.0;53.0;58.0;64.0;63.0
87;VVD;2006;90.0;89.0;78.0;15.0;40.0;15.0;38.0;69.0;75.0;35.0;66.0;36.0;54.0;44.0;65.0;70.0;70.0
88;VVD;2010;85.0;78.0;84.0;;;;29.0;84.0;81.0;36.0;74.0;53.0;58.0;42.0;74.0;69.0;73.0
89;VVD;2012;85.0;;;;;;29.0;76.0;77.0;31.0;74.0;44.0;57.0;53.0;70.0;69.0;68.0
90;GroenLinks;2006;88.0;85.0;87.0;15.0;33.0;18.0;35.0;37.0;90.0;40.0;83.0;53.0;25.0;52.0;45.0;72.0;89.0
91;GroenLinks;2010;91.0;74.0;89.0;;;;30.0;67.0;82.0;46.0;75.0;61.0;32.0;55.0;70.0;76.0;82.0
92;GroenLinks;2012;;;;;;;;;;;;;;;;;
93;SP;2006;75.0;79.0;74.0;11.0;27.0;11.0;27.0;51.0;69.0;40.0;67.0;37.0;24.0;32.0;42.0;53.0;58.0
94;SP;2010;66.0;67.0;79.0;;;;23.0;66.0;74.0;30.0;73.0;53.0;38.0;38.0;56.0;58.0;57.0
95;SP;2012;65.0;;;;;;28.0;68.0;79.0;27.0;64.0;43.0;25.0;41.0;61.0;49.0;51.0
96;ChristenUnie;2006;90.0;88.0;86.0;9.0;23.0;14.0;93.0;70.0;77.0;24.0;79.0;43.0;26.0;30.0;57.0;76.0;66.0
97;ChristenUnie;2010;89.0;70.0;81.0;;;;90.0;84.0;74.0;21.0;91.0;65.0;43.0;41.0;63.0;66.0;74.0
98;ChristenUnie;2012;;;;;;;;;;;;;;;;;
99;D66;2006;;;;;;;;;;;;;;;;;
100;D66;2010;86.0;79.0;81.0;;;;24.0;75.0;87.0;39.0;81.0;64.0;47.0;52.0;74.0;79.0;85.0
101;D66;2012;91.0;;;;;;33.0;69.0;93.0;37.0;85.0;56.0;46.0;67.0;77.0;80.0;82.0
102;PVV;2006;64.0;87.0;66.0;9.0;29.0;17.0;26.0;65.0;46.0;39.0;45.0;20.0;29.0;19.0;47.0;31.0;49.0
103;PVV;2010;61.0;57.0;74.0;;;;22.0;77.0;56.0;32.0;53.0;35.0;50.0;28.0;61.0;35.0;43.0
104;PVV;2012;51.0;;;;;;20.0;50.0;52.0;21.0;43.0;17.0;26.0;6.0;40.0;20.0;30.0
105;Overige politieke partijen;2006;80.0;83.0;82.0;19.0;32.0;21.0;46.0;64.0;78.0;35.0;66.0;39.0;36.0;38.0;59.0;63.0;64.0
106;Overige politieke partijen;2010;75.0;56.0;81.0;;;;54.0;73.0;69.0;22.0;70.0;47.0;48.0;34.0;53.0;47.0;45.0
107;Overige politieke partijen;2012;62.0;;;;;;43.0;66.0;78.0;25.0;67.0;44.0;32.0;31.0;58.0;43.0;54.0
108;Niet gestemd;2006;47.0;60.0;66.0;10.0;32.0;23.0;39.0;60.0;60.0;33.0;70.0;27.0;33.0;37.0;52.0;43.0;47.0
109;Niet gestemd;2010;55.0;49.0;61.0;;;;29.0;72.0;57.0;30.0;60.0;42.0;45.0;42.0;62.0;44.0;38.0
110;Niet gestemd;2012;47.0;;;;;;29.0;61.0;62.0;20.0;61.0;26.0;40.0;33.0;45.0;32.0;36.0
