ID;Inkomensbegrippen;Inkomensgroepen;KenmerkenVanHetHuishouden;Perioden;HoogsteInkomen_1;GemiddeldInkomen_2;Aantal_3;PercentageVanHetTotaal_4;TotaalAantal_5;GemiddeldPerHuishouden_6;TotaalAantal_7;GemiddeldPerHuishouden_8
0;15;1;1;2000;;33.2;6791.0;100.0;15650.0;2.3;11622.0;1.7
1;15;1;1;2001;;35.3;6862.0;100.0;15785.0;2.3;11734.0;1.7
2;15;1;1;2002;;36.4;6919.0;100.0;15864.0;2.3;11835.0;1.7
3;15;1;1;2003;;36.6;6948.0;100.0;15905.0;2.3;11852.0;1.7
4;15;1;1;2004;;37.8;6990.0;100.0;15954.0;2.3;11897.0;1.7
5;15;1;1;2005;;38.4;7063.0;100.0;16006.0;2.3;11993.0;1.7
6;15;1;1;2006;;40.0;7109.0;100.0;16034.0;2.3;12090.0;1.7
7;15;1;1;2007;;42.4;7166.0;100.0;16090.0;2.2;12246.0;1.7
8;15;1;1;2008;;43.2;7242.0;100.0;16186.0;2.2;12411.0;1.7
9;15;1;1;2009;;42.9;7303.0;100.0;16258.0;2.2;12489.0;1.7
10;15;1;1;2010;;42.9;7337.0;100.0;16303.0;2.2;12596.0;1.7
11;15;1;1;2011;;43.2;7416.0;100.0;16392.0;2.2;12712.0;1.7
12;15;1;1;2012;;43.6;7470.0;100.0;16442.0;2.2;12782.0;1.7
13;15;1;1;2013;;43.7;7488.0;100.0;16452.0;2.2;12815.0;1.7
14;15;1;1;2014;;44.9;7557.0;100.0;16524.0;2.2;12925.0;1.7
15;15;1;22;2000;;14.8;2249.0;100.0;2249.0;1.0;2248.0;1.0
16;15;1;22;2001;;16.1;2288.0;100.0;2288.0;1.0;2283.0;1.0
17;15;1;22;2002;;16.7;2325.0;100.0;2325.0;1.0;2321.0;1.0
18;15;1;22;2003;;16.5;2342.0;100.0;2342.0;1.0;2337.0;1.0
19;15;1;22;2004;;16.7;2368.0;100.0;2368.0;1.0;2365.0;1.0
20;15;1;22;2005;;17.2;2436.0;100.0;2436.0;1.0;2433.0;1.0
21;15;1;22;2006;;18.2;2473.0;100.0;2473.0;1.0;2470.0;1.0
22;15;1;22;2007;;19.0;2511.0;100.0;2511.0;1.0;2508.0;1.0
23;15;1;22;2008;;19.6;2561.0;100.0;2561.0;1.0;2556.0;1.0
24;15;1;22;2009;;19.0;2599.0;100.0;2599.0;1.0;2594.0;1.0
25;15;1;22;2010;;19.0;2617.0;100.0;2617.0;1.0;2612.0;1.0
26;15;1;22;2011;;18.8;2679.0;100.0;2679.0;1.0;2674.0;1.0
27;15;1;22;2012;;19.1;2717.0;100.0;2717.0;1.0;2713.0;1.0
28;15;1;22;2013;;19.0;2716.0;100.0;2716.0;1.0;2710.0;1.0
29;15;1;22;2014;;19.5;2774.0;100.0;2774.0;1.0;2769.0;1.0
30;15;1;23;2000;;20.7;1008.0;100.0;1008.0;1.0;1007.0;1.0
31;15;1;23;2001;;22.5;1028.0;100.0;1028.0;1.0;1025.0;1.0
32;15;1;23;2002;;22.9;1050.0;100.0;1050.0;1.0;1047.0;1.0
33;15;1;23;2003;;22.5;1063.0;100.0;1063.0;1.0;1061.0;1.0
34;15;1;23;2004;;22.7;1072.0;100.0;1072.0;1.0;1070.0;1.0
35;15;1;23;2005;;23.3;1106.0;100.0;1106.0;1.0;1104.0;1.0
36;15;1;23;2006;;24.8;1126.0;100.0;1126.0;1.0;1124.0;1.0
37;15;1;23;2007;;25.8;1149.0;100.0;1149.0;1.0;1146.0;1.0
38;15;1;23;2008;;26.7;1183.0;100.0;1183.0;1.0;1181.0;1.0
39;15;1;23;2009;;25.5;1203.0;100.0;1203.0;1.0;1201.0;1.0
40;15;1;23;2010;;25.3;1217.0;100.0;1217.0;1.0;1214.0;1.0
41;15;1;23;2011;;24.8;1254.0;100.0;1254.0;1.0;1251.0;1.0
42;15;1;23;2012;;25.1;1279.0;100.0;1279.0;1.0;1277.0;1.0
43;15;1;23;2013;;24.8;1284.0;100.0;1284.0;1.0;1281.0;1.0
44;15;1;23;2014;;25.5;1311.0;100.0;1311.0;1.0;1308.0;1.0
45;15;1;24;2000;;24.1;851.0;100.0;851.0;1.0;850.0;1.0
