ID;BedrijfstakkenBranchesSBI2008;RegioS;Perioden;NettoOmzet_1
0;C Industrie;Nederland;2016;319789.0
1;C Industrie;Nederland;2017;344202.0
2;C Industrie;Noord-Nederland (LD);2016;22966.0
3;C Industrie;Noord-Nederland (LD);2017;25683.0
4;C Industrie;Oost-Nederland (LD);2016;57625.0
5;C Industrie;Oost-Nederland (LD);2017;62039.0
6;C Industrie;West-Nederland (LD);2016;144688.0
7;C Industrie;West-Nederland (LD);2017;152854.0
8;C Industrie;Zuid-Nederland (LD);2016;94510.0
9;C Industrie;Zuid-Nederland (LD);2017;103627.0
10;C Industrie;Groningen (PV);2016;6855.0
11;C Industrie;Groningen (PV);2017;7186.0
12;C Industrie;Friesland (PV);2016;9874.0
13;C Industrie;Friesland (PV);2017;11833.0
14;C Industrie;Drenthe (PV);2016;6238.0
15;C Industrie;Drenthe (PV);2017;6664.0
16;C Industrie;Overijssel (PV);2016;17798.0
17;C Industrie;Overijssel (PV);2017;18986.0
18;C Industrie;Flevoland (PV);2016;4339.0
19;C Industrie;Flevoland (PV);2017;4457.0
20;C Industrie;Gelderland (PV);2016;35489.0
21;C Industrie;Gelderland (PV);2017;38595.0
22;C Industrie;Utrecht (PV);2016;13628.0
23;C Industrie;Utrecht (PV);2017;14435.0
24;C Industrie;Noord-Holland (PV);2016;53320.0
25;C Industrie;Noord-Holland (PV);2017;55414.0
26;C Industrie;Zuid-Holland (PV);2016;68481.0
27;C Industrie;Zuid-Holland (PV);2017;72591.0
28;C Industrie;Zeeland (PV);2016;9259.0
29;C Industrie;Zeeland (PV);2017;10415.0
30;C Industrie;Noord-Brabant (PV);2016;68312.0
31;C Industrie;Noord-Brabant (PV);2017;75410.0
32;C Industrie;Limburg (PV);2016;26198.0
33;C Industrie;Limburg (PV);2017;28217.0
34;C Industrie;Oost-Groningen (CR);2016;1799.0
35;C Industrie;Oost-Groningen (CR);2017;1780.0
36;C Industrie;Delfzijl en omgeving (CR);2016;1197.0
37;C Industrie;Delfzijl en omgeving (CR);2017;1313.0
38;C Industrie;Overig Groningen (CR);2016;3859.0
39;C Industrie;Overig Groningen (CR);2017;4092.0
40;C Industrie;Noord-Friesland (CR);2016;3637.0
41;C Industrie;Noord-Friesland (CR);2017;4065.0
42;C Industrie;Zuidwest-Friesland (CR);2016;2387.0
43;C Industrie;Zuidwest-Friesland (CR);2017;2469.0
44;C Industrie;Zuidoost-Friesland (CR);2016;3850.0
45;C Industrie;Zuidoost-Friesland (CR);2017;5300.0
46;C Industrie;Noord-Drenthe (CR);2016;1537.0
47;C Industrie;Noord-Drenthe (CR);2017;1606.0
48;C Industrie;Zuidoost-Drenthe (CR);2016;2373.0
49;C Industrie;Zuidoost-Drenthe (CR);2017;2584.0
50;C Industrie;Zuidwest-Drenthe (CR);2016;2328.0
51;C Industrie;Zuidwest-Drenthe (CR);2017;2474.0
52;C Industrie;Noord-Overijssel (CR);2016;5475.0
53;C Industrie;Noord-Overijssel (CR);2017;5870.0
54;C Industrie;Zuidwest-Overijssel (CR);2016;2485.0
55;C Industrie;Zuidwest-Overijssel (CR);2017;2523.0
56;C Industrie;Twente (CR);2016;9837.0
57;C Industrie;Twente (CR);2017;10594.0
58;C Industrie;Veluwe (CR);2016;14106.0
59;C Industrie;Veluwe (CR);2017;14911.0
60;C Industrie;Achterhoek (CR);2016;8056.0
61;C Industrie;Achterhoek (CR);2017;8601.0
62;C Industrie;Arnhem/Nijmegen (CR);2016;10437.0
63;C Industrie;Arnhem/Nijmegen (CR);2017;12134.0
64;C Industrie;Zuidwest-Gelderland (CR);2016;2889.0
65;C Industrie;Zuidwest-Gelderland (CR);2017;2950.0
66;C Industrie;Utrecht (CR);2016;13628.0
67;C Industrie;Utrecht (CR);2017;14435.0
68;C Industrie;Kop van Noord-Holland (CR);2016;
69;C Industrie;Kop van Noord-Holland (CR);2017;2881.0
70;C Industrie;Alkmaar en omgeving (CR);2016;1389.0
71;C Industrie;Alkmaar en omgeving (CR);2017;1460.0
72;C Industrie;IJmond (CR);2016;4161.0
73;C Industrie;IJmond (CR);2017;5070.0
74;C Industrie;Agglomeratie Haarlem (CR);2016;
75;C Industrie;Agglomeratie Haarlem (CR);2017;1221.0
76;C Industrie;Zaanstreek (CR);2016;4010.0
77;C Industrie;Zaanstreek (CR);2017;4204.0
78;C Industrie;Groot-Amsterdam (CR);2016;38326.0
79;C Industrie;Groot-Amsterdam (CR);2017;38901.0
80;C Industrie;Het Gooi en Vechtstreek (CR);2016;1559.0
81;C Industrie;Het Gooi en Vechtstreek (CR);2017;1677.0
82;C Industrie;Agglomeratie Leiden en Bollenstreek (CR);2016;5999.0
83;C Industrie;Agglomeratie Leiden en Bollenstreek (CR);2017;5897.0
84;C Industrie;Agglomeratie 's-Gravenhage (CR);2016;2494.0
85;C Industrie;Agglomeratie 's-Gravenhage (CR);2017;2595.0
86;C Industrie;Delft en Westland (CR);2016;2502.0
87;C Industrie;Delft en Westland (CR);2017;2381.0
88;C Industrie;Oost-Zuid-Holland (CR);2016;2232.0
89;C Industrie;Oost-Zuid-Holland (CR);2017;2302.0
90;C Industrie;Groot-Rijnmond (CR);2016;47436.0
91;C Industrie;Groot-Rijnmond (CR);2017;51207.0
92;C Industrie;Zuidoost-Zuid-Holland (CR);2016;7819.0
93;C Industrie;Zuidoost-Zuid-Holland (CR);2017;8209.0
94;C Industrie;Zeeuwsch-Vlaanderen (CR);2016;5301.0
95;C Industrie;Zeeuwsch-Vlaanderen (CR);2017;6216.0
96;C Industrie;Overig Zeeland (CR);2016;3958.0
97;C Industrie;Overig Zeeland (CR);2017;4199.0
98;C Industrie;West-Noord-Brabant (CR);2016;16947.0
99;C Industrie;West-Noord-Brabant (CR);2017;18747.0
100;C Industrie;Midden-Noord-Brabant (CR);2016;7324.0
101;C Industrie;Midden-Noord-Brabant (CR);2017;8213.0
102;C Industrie;Noordoost-Noord-Brabant (CR);2016;13724.0
103;C Industrie;Noordoost-Noord-Brabant (CR);2017;14509.0
104;C Industrie;Zuidoost-Noord-Brabant (CR);2016;30316.0
105;C Industrie;Zuidoost-Noord-Brabant (CR);2017;33940.0
106;C Industrie;Noord-Limburg (CR);2016;5497.0
107;C Industrie;Noord-Limburg (CR);2017;6195.0
108;C Industrie;Midden-Limburg (CR);2016;4281.0
109;C Industrie;Midden-Limburg (CR);2017;4455.0
110;C Industrie;Zuid-Limburg (CR);2016;16420.0
111;C Industrie;Zuid-Limburg (CR);2017;17567.0
112;C Industrie;Flevoland (CR);2016;4339.0
113;C Industrie;Flevoland (CR);2017;4457.0
114;10-12 Voedings-, genotmiddelenindustrie;Nederland;2016;73652.0
115;10-12 Voedings-, genotmiddelenindustrie;Nederland;2017;76024.0
116;10-12 Voedings-, genotmiddelenindustrie;Noord-Nederland (LD);2016;8565.0
117;10-12 Voedings-, genotmiddelenindustrie;Noord-Nederland (LD);2017;9254.0
118;10-12 Voedings-, genotmiddelenindustrie;Oost-Nederland (LD);2016;19427.0
119;10-12 Voedings-, genotmiddelenindustrie;Oost-Nederland (LD);2017;20501.0
120;10-12 Voedings-, genotmiddelenindustrie;West-Nederland (LD);2016;28854.0
121;10-12 Voedings-, genotmiddelenindustrie;West-Nederland (LD);2017;28688.0
122;10-12 Voedings-, genotmiddelenindustrie;Zuid-Nederland (LD);2016;16806.0
123;10-12 Voedings-, genotmiddelenindustrie;Zuid-Nederland (LD);2017;17582.0
124;10-12 Voedings-, genotmiddelenindustrie;Groningen (PV);2016;
125;10-12 Voedings-, genotmiddelenindustrie;Groningen (PV);2017;
126;10-12 Voedings-, genotmiddelenindustrie;Friesland (PV);2016;4293.0
127;10-12 Voedings-, genotmiddelenindustrie;Friesland (PV);2017;4687.0
128;10-12 Voedings-, genotmiddelenindustrie;Drenthe (PV);2016;
129;10-12 Voedings-, genotmiddelenindustrie;Drenthe (PV);2017;
130;10-12 Voedings-, genotmiddelenindustrie;Overijssel (PV);2016;4034.0
131;10-12 Voedings-, genotmiddelenindustrie;Overijssel (PV);2017;4561.0
132;10-12 Voedings-, genotmiddelenindustrie;Flevoland (PV);2016;1674.0
133;10-12 Voedings-, genotmiddelenindustrie;Flevoland (PV);2017;1528.0
134;10-12 Voedings-, genotmiddelenindustrie;Gelderland (PV);2016;13719.0
135;10-12 Voedings-, genotmiddelenindustrie;Gelderland (PV);2017;14412.0
136;10-12 Voedings-, genotmiddelenindustrie;Utrecht (PV);2016;6874.0
137;10-12 Voedings-, genotmiddelenindustrie;Utrecht (PV);2017;7376.0
138;10-12 Voedings-, genotmiddelenindustrie;Noord-Holland (PV);2016;8726.0
139;10-12 Voedings-, genotmiddelenindustrie;Noord-Holland (PV);2017;8987.0
140;10-12 Voedings-, genotmiddelenindustrie;Zuid-Holland (PV);2016;11032.0
141;10-12 Voedings-, genotmiddelenindustrie;Zuid-Holland (PV);2017;10033.0
142;10-12 Voedings-, genotmiddelenindustrie;Zeeland (PV);2016;2222.0
143;10-12 Voedings-, genotmiddelenindustrie;Zeeland (PV);2017;2292.0
144;10-12 Voedings-, genotmiddelenindustrie;Noord-Brabant (PV);2016;14019.0
145;10-12 Voedings-, genotmiddelenindustrie;Noord-Brabant (PV);2017;14534.0
146;10-12 Voedings-, genotmiddelenindustrie;Limburg (PV);2016;2787.0
147;10-12 Voedings-, genotmiddelenindustrie;Limburg (PV);2017;3047.0
148;10-12 Voedings-, genotmiddelenindustrie;Oost-Groningen (CR);2016;
149;10-12 Voedings-, genotmiddelenindustrie;Oost-Groningen (CR);2017;589.0
150;10-12 Voedings-, genotmiddelenindustrie;Delfzijl en omgeving (CR);2016;
151;10-12 Voedings-, genotmiddelenindustrie;Delfzijl en omgeving (CR);2017;
152;10-12 Voedings-, genotmiddelenindustrie;Overig Groningen (CR);2016;1345.0
153;10-12 Voedings-, genotmiddelenindustrie;Overig Groningen (CR);2017;1457.0
154;10-12 Voedings-, genotmiddelenindustrie;Noord-Friesland (CR);2016;2074.0
155;10-12 Voedings-, genotmiddelenindustrie;Noord-Friesland (CR);2017;2360.0
156;10-12 Voedings-, genotmiddelenindustrie;Zuidwest-Friesland (CR);2016;1216.0
157;10-12 Voedings-, genotmiddelenindustrie;Zuidwest-Friesland (CR);2017;1198.0
158;10-12 Voedings-, genotmiddelenindustrie;Zuidoost-Friesland (CR);2016;1003.0
159;10-12 Voedings-, genotmiddelenindustrie;Zuidoost-Friesland (CR);2017;1130.0
160;10-12 Voedings-, genotmiddelenindustrie;Noord-Drenthe (CR);2016;
161;10-12 Voedings-, genotmiddelenindustrie;Noord-Drenthe (CR);2017;
162;10-12 Voedings-, genotmiddelenindustrie;Zuidoost-Drenthe (CR);2016;360.0
163;10-12 Voedings-, genotmiddelenindustrie;Zuidoost-Drenthe (CR);2017;
164;10-12 Voedings-, genotmiddelenindustrie;Zuidwest-Drenthe (CR);2016;1100.0
165;10-12 Voedings-, genotmiddelenindustrie;Zuidwest-Drenthe (CR);2017;1231.0
166;10-12 Voedings-, genotmiddelenindustrie;Noord-Overijssel (CR);2016;1483.0
167;10-12 Voedings-, genotmiddelenindustrie;Noord-Overijssel (CR);2017;1620.0
168;10-12 Voedings-, genotmiddelenindustrie;Zuidwest-Overijssel (CR);2016;725.0
169;10-12 Voedings-, genotmiddelenindustrie;Zuidwest-Overijssel (CR);2017;834.0
170;10-12 Voedings-, genotmiddelenindustrie;Twente (CR);2016;1826.0
171;10-12 Voedings-, genotmiddelenindustrie;Twente (CR);2017;2107.0
172;10-12 Voedings-, genotmiddelenindustrie;Veluwe (CR);2016;7882.0
173;10-12 Voedings-, genotmiddelenindustrie;Veluwe (CR);2017;8369.0
174;10-12 Voedings-, genotmiddelenindustrie;Achterhoek (CR);2016;3071.0
175;10-12 Voedings-, genotmiddelenindustrie;Achterhoek (CR);2017;3250.0
176;10-12 Voedings-, genotmiddelenindustrie;Arnhem/Nijmegen (CR);2016;2059.0
177;10-12 Voedings-, genotmiddelenindustrie;Arnhem/Nijmegen (CR);2017;2028.0
178;10-12 Voedings-, genotmiddelenindustrie;Zuidwest-Gelderland (CR);2016;707.0
179;10-12 Voedings-, genotmiddelenindustrie;Zuidwest-Gelderland (CR);2017;765.0
180;10-12 Voedings-, genotmiddelenindustrie;Utrecht (CR);2016;6874.0
181;10-12 Voedings-, genotmiddelenindustrie;Utrecht (CR);2017;7376.0
182;10-12 Voedings-, genotmiddelenindustrie;Kop van Noord-Holland (CR);2016;949.0
183;10-12 Voedings-, genotmiddelenindustrie;Kop van Noord-Holland (CR);2017;
184;10-12 Voedings-, genotmiddelenindustrie;Alkmaar en omgeving (CR);2016;215.0
185;10-12 Voedings-, genotmiddelenindustrie;Alkmaar en omgeving (CR);2017;214.0
186;10-12 Voedings-, genotmiddelenindustrie;IJmond (CR);2016;
187;10-12 Voedings-, genotmiddelenindustrie;IJmond (CR);2017;
188;10-12 Voedings-, genotmiddelenindustrie;Agglomeratie Haarlem (CR);2016;
189;10-12 Voedings-, genotmiddelenindustrie;Agglomeratie Haarlem (CR);2017;240.0
190;10-12 Voedings-, genotmiddelenindustrie;Zaanstreek (CR);2016;2810.0
191;10-12 Voedings-, genotmiddelenindustrie;Zaanstreek (CR);2017;3018.0
192;10-12 Voedings-, genotmiddelenindustrie;Groot-Amsterdam (CR);2016;4394.0
193;10-12 Voedings-, genotmiddelenindustrie;Groot-Amsterdam (CR);2017;4379.0
194;10-12 Voedings-, genotmiddelenindustrie;Het Gooi en Vechtstreek (CR);2016;74.0
195;10-12 Voedings-, genotmiddelenindustrie;Het Gooi en Vechtstreek (CR);2017;79.0
196;10-12 Voedings-, genotmiddelenindustrie;Agglomeratie Leiden en Bollenstreek (CR);2016;
197;10-12 Voedings-, genotmiddelenindustrie;Agglomeratie Leiden en Bollenstreek (CR);2017;
198;10-12 Voedings-, genotmiddelenindustrie;Agglomeratie 's-Gravenhage (CR);2016;915.0
199;10-12 Voedings-, genotmiddelenindustrie;Agglomeratie 's-Gravenhage (CR);2017;905.0
200;10-12 Voedings-, genotmiddelenindustrie;Delft en Westland (CR);2016;
201;10-12 Voedings-, genotmiddelenindustrie;Delft en Westland (CR);2017;
202;10-12 Voedings-, genotmiddelenindustrie;Oost-Zuid-Holland (CR);2016;556.0
203;10-12 Voedings-, genotmiddelenindustrie;Oost-Zuid-Holland (CR);2017;548.0
204;10-12 Voedings-, genotmiddelenindustrie;Groot-Rijnmond (CR);2016;5743.0
205;10-12 Voedings-, genotmiddelenindustrie;Groot-Rijnmond (CR);2017;4701.0
206;10-12 Voedings-, genotmiddelenindustrie;Zuidoost-Zuid-Holland (CR);2016;1681.0
207;10-12 Voedings-, genotmiddelenindustrie;Zuidoost-Zuid-Holland (CR);2017;1847.0
208;10-12 Voedings-, genotmiddelenindustrie;Zeeuwsch-Vlaanderen (CR);2016;1027.0
209;10-12 Voedings-, genotmiddelenindustrie;Zeeuwsch-Vlaanderen (CR);2017;1115.0
210;10-12 Voedings-, genotmiddelenindustrie;Overig Zeeland (CR);2016;1195.0
211;10-12 Voedings-, genotmiddelenindustrie;Overig Zeeland (CR);2017;1177.0
212;10-12 Voedings-, genotmiddelenindustrie;West-Noord-Brabant (CR);2016;3341.0
213;10-12 Voedings-, genotmiddelenindustrie;West-Noord-Brabant (CR);2017;3551.0
214;10-12 Voedings-, genotmiddelenindustrie;Midden-Noord-Brabant (CR);2016;1547.0
215;10-12 Voedings-, genotmiddelenindustrie;Midden-Noord-Brabant (CR);2017;1707.0
216;10-12 Voedings-, genotmiddelenindustrie;Noordoost-Noord-Brabant (CR);2016;5277.0
217;10-12 Voedings-, genotmiddelenindustrie;Noordoost-Noord-Brabant (CR);2017;5416.0
218;10-12 Voedings-, genotmiddelenindustrie;Zuidoost-Noord-Brabant (CR);2016;3854.0
219;10-12 Voedings-, genotmiddelenindustrie;Zuidoost-Noord-Brabant (CR);2017;3860.0
220;10-12 Voedings-, genotmiddelenindustrie;Noord-Limburg (CR);2016;1059.0
221;10-12 Voedings-, genotmiddelenindustrie;Noord-Limburg (CR);2017;1219.0
222;10-12 Voedings-, genotmiddelenindustrie;Midden-Limburg (CR);2016;674.0
223;10-12 Voedings-, genotmiddelenindustrie;Midden-Limburg (CR);2017;677.0
224;10-12 Voedings-, genotmiddelenindustrie;Zuid-Limburg (CR);2016;1054.0
225;10-12 Voedings-, genotmiddelenindustrie;Zuid-Limburg (CR);2017;1151.0
226;10-12 Voedings-, genotmiddelenindustrie;Flevoland (CR);2016;1674.0
227;10-12 Voedings-, genotmiddelenindustrie;Flevoland (CR);2017;1528.0
228;13-15 Textiel-, kleding-, lederindustrie;Nederland;2016;3611.0
229;13-15 Textiel-, kleding-, lederindustrie;Nederland;2017;4015.0
230;13-15 Textiel-, kleding-, lederindustrie;Noord-Nederland (LD);2016;130.0
231;13-15 Textiel-, kleding-, lederindustrie;Noord-Nederland (LD);2017;181.0
232;13-15 Textiel-, kleding-, lederindustrie;Oost-Nederland (LD);2016;1693.0
233;13-15 Textiel-, kleding-, lederindustrie;Oost-Nederland (LD);2017;1726.0
234;13-15 Textiel-, kleding-, lederindustrie;West-Nederland (LD);2016;536.0
235;13-15 Textiel-, kleding-, lederindustrie;West-Nederland (LD);2017;655.0
236;13-15 Textiel-, kleding-, lederindustrie;Zuid-Nederland (LD);2016;1252.0
237;13-15 Textiel-, kleding-, lederindustrie;Zuid-Nederland (LD);2017;1453.0
238;13-15 Textiel-, kleding-, lederindustrie;Groningen (PV);2016;15.0
239;13-15 Textiel-, kleding-, lederindustrie;Groningen (PV);2017;
240;13-15 Textiel-, kleding-, lederindustrie;Friesland (PV);2016;66.0
241;13-15 Textiel-, kleding-, lederindustrie;Friesland (PV);2017;70.0
242;13-15 Textiel-, kleding-, lederindustrie;Drenthe (PV);2016;49.0
243;13-15 Textiel-, kleding-, lederindustrie;Drenthe (PV);2017;
244;13-15 Textiel-, kleding-, lederindustrie;Overijssel (PV);2016;1176.0
245;13-15 Textiel-, kleding-, lederindustrie;Overijssel (PV);2017;1235.0
