ID;Perioden;BeginstandVoorraad_1;Nieuwbouw_2;OverigeToevoeging_3;Sloop_4;OverigeOnttrekking_5;Correctie_6;SaldoVoorraad_7;EindstandVoorraad_8
0;1921;1442;;;1642.0;253.0;;38469;1480
1;1922;1480;;;1485.0;550.0;;43461;1524
2;1923;1524;;;1744.0;885.0;;40503;1564
3;1924;1564;;;2656.0;960.0;;43024;1607
4;1925;1607;;;3245.0;1232.0;;42714;1650
5;1926;1650;48833.0;2456.0;5204.0;1722.0;;44363;1694
6;1927;1694;50246.0;2112.0;5668.0;2000.0;;44690;1739
7;1928;1739;47335.0;2738.0;6426.0;2945.0;;40702;1780
8;1929;1780;47347.0;2476.0;5615.0;3054.0;;41154;1821
9;1930;1821;51501.0;2240.0;5976.0;3234.0;;44531;1865
10;1931;1865;50580.0;2482.0;6401.0;3591.0;;43070;1909
11;1932;1909;41341.0;2888.0;4700.0;2228.0;;37301;1946
12;1933;1946;44425.0;3140.0;4103.0;1836.0;;41626;1987
13;1934;1987;52591.0;3207.0;4330.0;1528.0;;49940;2037
14;1935;2037;45231.0;5367.0;4011.0;3594.0;;42993;2080
15;1936;2080;30285.0;7941.0;3925.0;6962.0;;27339;2108
16;1937;2108;29119.0;7220.0;4887.0;6475.0;;24977;2133
17;1938;2133;38375.0;4534.0;5188.0;3590.0;;34131;2167
18;1939;2167;36830.0;4486.0;5307.0;3801.0;;32208;2199
19;1940;2199;17661.0;3436.0;;;;-13061;2186
20;1941;2186;16450.0;3578.0;;;;14118;2200
21;1942;2200;8355.0;3428.0;;;;6396;2207
22;1943;2207;3228.0;2329.0;;;;-8030;2198
23;1944;2198;675.0;1428.0;;;;-21476;2177
24;1945;2177;389.0;1064.0;26637.0;2744.0;;-27928;2149
25;1946;2149;1593.0;4307.0;3508.0;4078.0;;-1686;2147
26;1947;2147;9243.0;3139.0;1057.0;2612.0;-61308.0;-52595;2095
27;1948;2095;36391.0;2489.0;1261.0;656.0;-72.0;36891;2132
28;1949;2132;42791.0;4304.0;1658.0;826.0;1600.0;46211;2178
29;1950;2178;47300.0;8103.0;2157.0;997.0;-556.0;51693;2230
30;1951;2230;58666.0;6475.0;2276.0;962.0;-390.0;61513;2291
31;1952;2291;54601.0;3013.0;2506.0;917.0;-167.0;54024;2345
32;1953;2345;59597.0;3757.0;7122.0;1221.0;-771.0;54240;2399
33;1954;2399;68487.0;2397.0;8582.0;1394.0;-380.0;60528;2460
34;1955;2460;60819.0;1102.0;8224.0;1377.0;50.0;52370;2512
35;1956;2512;68284.0;891.0;7521.0;2083.0;10870.0;70441;2583
36;1957;2583;88397.0;853.0;6666.0;2472.0;1025.0;81137;2664
37;1958;2664;89037.0;923.0;6823.0;2653.0;0.0;80484;2744
38;1959;2744;83632.0;674.0;7122.0;3215.0;1.0;73970;2818
39;1960;2818;83815.0;794.0;7348.0;3714.0;-20265.0;53282;2872
40;1961;2872;82687.0;667.0;8848.0;3969.0;0.0;70537;2942
41;1962;2942;78375.0;501.0;8970.0;4193.0;0.0;65713;3008
42;1963;3008;79523.0;614.0;9552.0;3823.0;-2558.0;64204;3072
43;1964;3072;100978.0;717.0;9825.0;4085.0;-93.0;87692;3160
44;1965;3160;115027.0;581.0;10378.0;4086.0;134.0;101278;3261
45;1966;3261;121699.0;437.0;10450.0;6451.0;-265.0;104970;3366
46;1967;3366;127433.0;577.0;10538.0;6360.0;-178.0;110934;3477
47;1968;3477;122773.0;653.0;11555.0;6735.0;-42.0;105094;3582
48;1969;3582;123117.0;710.0;11390.0;6919.0;-201.0;105317;3687
49;1970;3687;117284.0;751.0;11573.0;6971.0;-290.0;99201;3787
50;1971;3787;136595.0;943.0;10530.0;8060.0;207.0;119155;3906
51;1972;3906;154209.0;745.0;9862.0;6991.0;-317.0;137784;4043
52;1973;4043;157460.0;929.0;9025.0;6498.0;1.0;142867;4186
53;1974;4186;148389.0;1082.0;9593.0;7745.0;-1.0;132133;4318
54;1975;4318;123005.0;1166.0;8720.0;6218.0;-32148.0;77086;4396
55;1976;4396;109195.0;1430.0;7210.0;7842.0;-1567.0;94006;4490
56;1977;4490;113522.0;1557.0;7045.0;8002.0;-72.0;99960;4590
57;1978;4590;108255.0;1619.0;6597.0;7193.0;69.0;96152;4686
58;1979;4686;90150.0;2097.0;6931.0;7498.0;-70.0;77748;4763
59;1980;4763;116493.0;2675.0;7618.0;7745.0;1264.0;105069;4868
60;1981;4868;120547.0;3913.0;7759.0;6806.0;140.0;110034;4979
61;1982;4979;126211.0;3020.0;7834.0;5034.0;982.0;117346;5096
62;1983;5096;114050.0;3356.0;6282.0;5319.0;3082.0;108887;5205
63;1984;5205;115765.0;4780.0;6036.0;5866.0;5472.0;114115;5319
64;1985;5319;101116.0;5383.0;5031.0;5398.0;1520.0;97590;5416
65;1986;5416;106416.0;5723.0;6897.0;4971.0;1634.0;101905;5518
66;1987;5518;113363.0;5806.0;5846.0;6969.0;2197.0;108551;5627
67;1988;5627;121868.0;5224.0;7601.0;5438.0;-17.0;114036;5741
68;1989;5741;114809.0;4484.0;9657.0;3713.0;345.0;106268;5847
69;1990;5847;100888.0;4159.0;8831.0;3133.0;29.0;93113;5940
70;1991;5940;86428.0;4198.0;9243.0;4056.0;-551.0;76776;6017
71;1992;6017;89728.0;4475.0;8337.0;3804.0;-1667.0;80394;6097
