ID;Geslacht;Perioden;AantalInstellingen_1;TotaalWerkzamePersonen_2;Fulltimers_3;Parttimers_4;TotaalBezet_5;Artsen_6;ArboVerpleegkundigen_7;VerpleegkundigeOverige_8;Laboratoriumpersoneel_9;ParamedischPersoneelOverig_10;Arbeidshygienisten_11;Veiligheidskundigen_12;ArbeidsEnOrganisatiekundigen_13;ArboAdviseurs_14;Verzuimrapporteurs_15;AdministratiefPersoneel_16;OverigPersoneel_17;TotaalBaten_18;OpbrengstenVoorArboActiviteiten_19;OverigeBaten_20;TotaalLasten_21;Personeelskosten_22;OverigeLasten_23;Exploitatiesaldo_24
0;Mannen + vrouwen;1994;187;6296.0;4033.0;2263.0;5421.0;1486.0;437.0;115.0;47.0;687.0;162.0;207.0;;;;1169.0;1111.0;336.8;330.7;6.1;345.1;237.0;108.0;-8.3
1;Mannen + vrouwen;1995;201;7243.0;4500.0;2743.0;6220.0;1661.0;443.0;86.0;35.0;743.0;206.0;246.0;104.0;;;1381.0;1315.0;407.2;402.7;4.4;431.5;289.7;141.8;-24.3
2;Mannen + vrouwen;1996;179;8033.0;4924.0;3109.0;6899.0;1757.0;443.0;51.0;34.0;755.0;213.0;276.0;156.0;236.0;536.0;1498.0;944.0;502.2;491.6;10.5;515.0;342.2;172.8;-12.8
3;Mannen + vrouwen;1997;169;8573.0;5138.0;3435.0;7291.0;1846.0;442.0;60.0;35.0;754.0;246.0;302.0;147.0;251.0;515.0;1785.0;910.0;541.2;531.8;9.4;541.9;352.8;189.1;-0.7
4;Mannen + vrouwen;1998;148;9301.0;5527.0;3774.0;7905.0;1950.0;378.0;69.0;28.0;845.0;261.0;292.0;192.0;340.0;540.0;2080.0;931.0;614.9;600.2;14.7;593.8;395.8;197.9;21.1
5;Mannen + vrouwen;1999;133;9975.0;5885.0;4090.0;8456.0;2023.0;400.0;55.0;28.0;812.0;257.0;308.0;211.0;370.0;552.0;2419.0;1022.0;691.4;678.2;13.2;667.3;455.1;212.3;24.1
6;Mannen + vrouwen;2000;127;10917.0;6299.0;4618.0;9236.0;2165.0;463.0;106.0;17.0;1003.0;273.0;286.0;236.0;318.0;502.0;2708.0;1159.0;788.7;776.6;12.1;764.3;536.5;227.8;24.4
7;Mannen + vrouwen;2001;105;11583.0;6150.0;5433.0;9567.0;2164.0;472.0;193.0;8.0;916.0;274.0;275.0;262.0;315.0;481.0;2717.0;1491.0;859.1;844.5;14.6;830.1;595.2;235.0;29.0
8;Mannen + vrouwen;2002;110;12203.0;;;9996.0;2000.0;436.0;150.0;33.0;712.0;243.0;262.0;247.0;409.0;491.0;2938.0;2076.0;961.3;943.1;18.1;926.7;657.7;269.1;34.6
9;Mannen + vrouwen;2003;100;12362.0;;;10305.0;;;;;;;;;;;;;1031.3;1017.0;14.3;1001.3;697.2;304.1;30.0
10;Mannen + vrouwen;2004;98;11792.0;;;9902.0;;;;;;;;;;;;;1011.5;991.0;20.4;1025.0;686.3;338.7;-13.5
11;Mannen;1994;0;;;;2723.0;1116.0;238.0;35.0;4.0;33.0;113.0;198.0;;;;334.0;651.0;;;;;;;
12;Mannen;1995;0;;;;3021.0;1211.0;236.0;28.0;4.0;31.0;138.0;238.0;53.0;;;342.0;740.0;;;;;;;
13;Mannen;1996;0;;;;3338.0;1292.0;233.0;12.0;4.0;28.0;138.0;258.0;75.0;118.0;389.0;364.0;427.0;;;;;;;
14;Mannen;1997;0;;;;3526.0;1343.0;206.0;17.0;8.0;27.0;146.0;281.0;66.0;139.0;371.0;450.0;475.0;;;;;;;
15;Mannen;1998;0;;;;3779.0;1388.0;175.0;15.0;10.0;149.0;156.0;278.0;89.0;210.0;413.0;440.0;457.0;;;;;;;
16;Mannen;1999;0;;;;3920.0;1433.0;174.0;12.0;13.0;145.0;156.0;291.0;92.0;228.0;407.0;437.0;532.0;;;;;;;
17;Mannen;2000;0;;;;4225.0;1536.0;202.0;37.0;6.0;204.0;166.0;273.0;106.0;184.0;341.0;518.0;654.0;;;;;;;
18;Mannen;2001;0;;;;;;;;;;;;;;;;;;;;;;;
19;Mannen;2002;0;;;;;;;;;;;;;;;;;;;;;;;
20;Mannen;2003;0;;;;;;;;;;;;;;;;;;;;;;;
21;Mannen;2004;0;;;;;;;;;;;;;;;;;;;;;;;
22;Vrouwen;1994;0;;;;2698.0;370.0;199.0;80.0;43.0;654.0;49.0;9.0;;;;835.0;460.0;;;;;;;
23;Vrouwen;1995;0;;;;3199.0;450.0;207.0;58.0;31.0;712.0;68.0;8.0;51.0;;;1039.0;575.0;;;;;;;
24;Vrouwen;1996;0;;;;3561.0;465.0;210.0;39.0;30.0;727.0;75.0;18.0;81.0;118.0;147.0;1134.0;517.0;;;;;;;
25;Vrouwen;1997;0;;;;3765.0;503.0;236.0;43.0;27.0;727.0;100.0;21.0;81.0;112.0;144.0;1335.0;435.0;;;;;;;
26;Vrouwen;1998;0;;;;4126.0;562.0;203.0;54.0;18.0;696.0;105.0;14.0;103.0;130.0;127.0;1640.0;474.0;;;;;;;
27;Vrouwen;1999;0;;;;4536.0;590.0;226.0;44.0;15.0;667.0;101.0;17.0;119.0;142.0;145.0;1981.0;490.0;;;;;;;
28;Vrouwen;2000;0;;;;5011.0;628.0;260.0;69.0;12.0;799.0;107.0;13.0;131.0;134.0;162.0;2191.0;505.0;;;;;;;
29;Vrouwen;2001;0;;;;;;;;;;;;;;;;;;;;;;;
30;Vrouwen;2002;0;;;;;;;;;;;;;;;;;;;;;;;
31;Vrouwen;2003;0;;;;;;;;;;;;;;;;;;;;;;;
32;Vrouwen;2004;0;;;;;;;;;;;;;;;;;;;;;;;
