ID;Btw;Perioden;Transporttarief_1;VastLeveringstarief_2;VariabelLeveringstariefContractprijs_3;VariabelLeveringstariefPrijsplafond_4;OpslagDuurzameEnergieODE_5;Energiebelasting_6;Transporttarief_7;VastLeveringstarief_8;VariabelLeveringstariefContractprijs_9;VariabelLeveringstariefPrijsplafond_10;OpslagDuurzameEnergieODE_11;Energiebelasting_12;VerminderingEnergiebelasting_13
0;Inclusief btw;2021 januari;187.85;67.48;0.2781;;0.10297;0.42176;257.35;67.49;0.0661;;0.0363;0.11408;-558.56
1;Inclusief btw;2021 februari;187.85;67.73;0.2763;;0.10297;0.42176;257.35;67.73;0.0657;;0.0363;0.11408;-558.56
2;Inclusief btw;2021 maart;187.85;67.95;0.2752;;0.10297;0.42176;257.35;67.96;0.0657;;0.0363;0.11408;-558.56
3;Inclusief btw;2021 april;187.85;68.25;0.2754;;0.10297;0.42176;257.35;68.25;0.0659;;0.0363;0.11408;-558.56
4;Inclusief btw;2021 mei;187.85;68.56;0.2764;;0.10297;0.42176;257.35;68.56;0.0663;;0.0363;0.11408;-558.56
5;Inclusief btw;2021 juni;187.85;68.86;0.2779;;0.10297;0.42176;257.35;68.84;0.067;;0.0363;0.11408;-558.56
6;Inclusief btw;2021 juli;187.85;69.31;0.293;;0.10297;0.42176;257.35;69.34;0.0734;;0.0363;0.11408;-558.56
7;Inclusief btw;2021 augustus;187.85;69.54;0.2958;;0.10297;0.42176;257.35;69.57;0.0745;;0.0363;0.11408;-558.56
8;Inclusief btw;2021 september;187.85;69.73;0.2992;;0.10297;0.42176;257.35;69.76;0.0755;;0.0363;0.11408;-558.56
9;Inclusief btw;2021 oktober;187.85;69.95;0.3056;;0.10297;0.42176;257.35;69.98;0.0773;;0.0363;0.11408;-558.56
10;Inclusief btw;2021 november;187.85;70.2;0.3311;;0.10297;0.42176;257.35;70.22;0.083;;0.0363;0.11408;-558.56
11;Inclusief btw;2021 december;187.85;70.48;0.3564;;0.10297;0.42176;257.35;70.5;0.089;;0.0363;0.11408;-558.56
12;Inclusief btw;2021;187.85;69.0;0.295;;0.10297;0.42176;257.35;69.02;0.0725;;0.0363;0.11408;-558.56
13;Inclusief btw;2022 januari;191.33;71.11;0.5036;;0.10467;0.4395;267.12;71.11;0.1256;;0.03691;0.04452;-824.77
14;Inclusief btw;2022 februari;191.33;71.69;0.5493;;0.10467;0.4395;267.12;71.66;0.1377;;0.03691;0.04452;-824.77
15;Inclusief btw;2022 maart;191.33;71.97;0.5696;;0.10467;0.4395;267.12;71.94;0.141;;0.03691;0.04452;-824.77
16;Inclusief btw;2022 april;191.33;72.18;0.6307;;0.10467;0.4395;267.12;72.16;0.1546;;0.03691;0.04452;-824.77
17;Inclusief btw;2022 mei;191.33;72.43;0.6716;;0.10467;0.4395;267.12;72.4;0.1634;;0.03691;0.04452;-824.77
18;Inclusief btw;2022 juni;191.33;72.62;0.6928;;0.10467;0.4395;267.12;72.59;0.1691;;0.03691;0.04452;-824.77
19;Inclusief btw;2022 juli;172.35;65.58;0.7698;;0.09429;0.39591;240.63;65.51;0.1793;;0.03325;0.0401;-742.98
20;Inclusief btw;2022 augustus;172.35;65.71;0.7975;;0.09429;0.39591;240.63;65.64;0.1882;;0.03325;0.0401;-742.98
21;Inclusief btw;2022 september;172.35;65.03;0.8856;;0.09429;0.39591;240.63;65.74;0.2096;;0.03325;0.0401;-742.98
22;Inclusief btw;2022 oktober;172.35;65.89;1.0886;;0.09429;0.39591;240.63;65.8;0.2592;;0.03325;0.0401;-742.98
23;Inclusief btw;2022 november;172.35;66.02;1.4979;;0.09429;0.39591;240.63;65.92;0.3782;;0.03325;0.0401;-742.98
24;Inclusief btw;2022 december;172.35;66.08;1.5162;;0.09429;0.39591;240.63;66.2;0.4028;;0.03325;0.0401;-742.98
25;Inclusief btw;2022;181.84;68.86;0.8478;;0.09948;0.41771;253.88;68.89;0.2091;;0.03508;0.04231;-783.88
26;Inclusief btw;2023 januari;217.69;73.47;1.9961;0.9235;;0.59266;342.16;73.2;0.515;0.2619;;0.15245;-596.86
27;Inclusief btw;2023 februari;217.69;73.53;1.8467;0.904;;0.59266;342.16;73.26;0.4743;0.2558;;0.15245;-596.86
28;Inclusief btw;2023 maart;217.69;73.6;1.7209;0.8875;;0.59266;342.16;73.33;0.4307;0.2489;;0.15245;-596.86
29;Inclusief btw;2023 april;217.69;73.68;1.1846;0.8073;;0.59266;342.16;73.4;0.2979;0.226;;0.15245;-596.86
30;Inclusief btw;2023 mei;217.69;73.75;0.952;0.7605;;0.59266;342.16;73.46;0.2507;0.2167;;0.15245;-596.86
31;Inclusief btw;2023 juni;217.69;73.81;0.8902;0.7453;;0.59266;342.16;73.51;0.2343;0.213;;0.15245;-596.86
32;Inclusief btw;2023 juli;217.69;74.67;0.6951;0.6811;;0.59266;342.16;74.45;0.2017;0.198;;0.15245;-596.86
33;Inclusief btw;2023 augustus;217.69;75.02;0.6697;0.6617;;0.59266;342.16;74.77;0.1963;0.1941;;0.15245;-596.86
34;Inclusief btw;2023 september;217.69;75.44;0.6683;0.6611;;0.59266;342.16;75.22;0.1964;0.1945;;0.15245;-596.86
35;Inclusief btw;2023 oktober;217.69;75.13;0.6609;0.6541;;0.59266;342.16;78.02;0.1922;0.1905;;0.15245;-596.86
36;Inclusief btw;2023 november;217.69;74.21;0.6834;0.6777;;0.59266;342.16;81.62;0.1972;0.1958;;0.15245;-596.86
37;Inclusief btw;2023 december;217.69;74.62;0.6927;0.6882;;0.59266;342.16;81.95;0.1994;0.1983;;0.15245;-596.86
38;Inclusief btw;2023;217.69;74.24;1.0551;0.7543;;0.59266;342.16;75.52;0.2822;0.2161;;0.15245;-596.86
39;Inclusief btw;2024 januari;232.39;73.85;0.698;;;0.70544;415.67;89.2;0.1998;;;0.13165;-631.35
40;Inclusief btw;2024 februari;232.39;74.42;0.6896;;;0.70544;415.67;89.7;0.1988;;;0.13165;-631.35
41;Inclusief btw;2024 maart;232.39;75.23;0.6769;;;0.70544;415.67;90.96;0.1936;;;0.13165;-631.35
42;Inclusief btw;2024 april;232.39;75.85;0.6381;;;0.70544;415.67;92.28;0.1823;;;0.13165;-631.35
43;Inclusief btw;2024 mei;232.39;77.83;0.5904;;;0.70544;415.67;95.86;0.1729;;;0.13165;-631.35
44;Inclusief btw;2024 juni;232.39;78.49;0.5859;;;0.70544;415.67;97.35;0.1703;;;0.13165;-631.35
45;Inclusief btw;2024 juli;232.39;79.63;0.5752;;;0.70544;415.67;98.24;0.157;;;0.13165;-631.35
46;Inclusief btw;2024 augustus;232.39;81.13;0.587;;;0.70544;415.67;97.71;0.1515;;;0.13165;-631.35
47;Inclusief btw;2024 september;232.39;81.49;0.588;;;0.70544;415.67;98.65;0.1512;;;0.13165;-631.35
48;Inclusief btw;2024 oktober;232.39;81.86;0.6097;;;0.70544;415.67;99.57;0.1572;;;0.13165;-631.35
49;Inclusief btw;2024 november;232.39;82.27;0.6224;;;0.70544;415.67;100.28;0.1595;;;0.13165;-631.35
50;Inclusief btw;2024 december;232.39;82.68;0.6222;;;0.70544;415.67;101.06;0.1584;;;0.13165;-631.35
51;Inclusief btw;2024;232.39;78.73;0.6236;;;0.70544;415.67;95.9;0.171;;;0.13165;-631.35
52;Inclusief btw;2025 januari;247.55;84.79;0.6332;;;0.69957;467.17;104.76;0.1589;;;0.12286;-635.19
53;Inclusief btw;2025 februari;247.55;87.56;0.6454;;;0.69957;467.17;106.31;0.1584;;;0.12286;-635.19
54;Inclusief btw;2025 maart;247.55;87.8;0.6494;;;0.69957;467.17;106.6;0.156;;;0.12286;-635.19
55;Exclusief btw;2021 januari;155.25;55.77;0.2298;;0.0851;0.34856;212.69;55.78;0.0546;;0.03;0.09428;-461.62
56;Exclusief btw;2021 februari;155.25;55.97;0.2283;;0.0851;0.34856;212.69;55.98;0.0543;;0.03;0.09428;-461.62
57;Exclusief btw;2021 maart;155.25;56.16;0.2275;;0.0851;0.34856;212.69;56.16;0.0543;;0.03;0.09428;-461.62
58;Exclusief btw;2021 april;155.25;56.41;0.2276;;0.0851;0.34856;212.69;56.41;0.0545;;0.03;0.09428;-461.62
59;Exclusief btw;2021 mei;155.25;56.66;0.2284;;0.0851;0.34856;212.69;56.66;0.0548;;0.03;0.09428;-461.62
60;Exclusief btw;2021 juni;155.25;56.91;0.2297;;0.0851;0.34856;212.69;56.89;0.0554;;0.03;0.09428;-461.62
61;Exclusief btw;2021 juli;155.25;57.28;0.2421;;0.0851;0.34856;212.69;57.3;0.0607;;0.03;0.09428;-461.62
62;Exclusief btw;2021 augustus;155.25;57.47;0.2445;;0.0851;0.34856;212.69;57.49;0.0616;;0.03;0.09428;-461.62
63;Exclusief btw;2021 september;155.25;57.63;0.2473;;0.0851;0.34856;212.69;57.65;0.0624;;0.03;0.09428;-461.62
64;Exclusief btw;2021 oktober;155.25;57.81;0.2526;;0.0851;0.34856;212.69;57.83;0.0639;;0.03;0.09428;-461.62
65;Exclusief btw;2021 november;155.25;58.01;0.2737;;0.0851;0.34856;212.69;58.03;0.0686;;0.03;0.09428;-461.62
66;Exclusief btw;2021 december;155.25;58.25;0.2946;;0.0851;0.34856;212.69;58.27;0.0735;;0.03;0.09428;-461.62
67;Exclusief btw;2021;155.25;57.03;0.2438;;0.0851;0.34856;212.69;57.04;0.0599;;0.03;0.09428;-461.62
68;Exclusief btw;2022 januari;158.12;58.77;0.4162;;0.0865;0.36322;220.76;58.77;0.1038;;0.0305;0.03679;-681.63
69;Exclusief btw;2022 februari;158.12;59.25;0.4539;;0.0865;0.36322;220.76;59.23;0.1138;;0.0305;0.03679;-681.63
70;Exclusief btw;2022 maart;158.12;59.48;0.4708;;0.0865;0.36322;220.76;59.45;0.1166;;0.0305;0.03679;-681.63
71;Exclusief btw;2022 april;158.12;59.66;0.5212;;0.0865;0.36322;220.76;59.63;0.1278;;0.0305;0.03679;-681.63
72;Exclusief btw;2022 mei;158.12;59.86;0.5551;;0.0865;0.36322;220.76;59.83;0.1351;;0.0305;0.03679;-681.63
73;Exclusief btw;2022 juni;158.12;60.02;0.5725;;0.0865;0.36322;220.76;59.99;0.1398;;0.0305;0.03679;-681.63
74;Exclusief btw;2022 juli;158.12;60.16;0.7062;;0.0865;0.36322;220.76;60.1;0.1645;;0.0305;0.03679;-681.63
75;Exclusief btw;2022 augustus;158.12;60.29;0.7316;;0.0865;0.36322;220.76;60.22;0.1727;;0.0305;0.03679;-681.63
76;Exclusief btw;2022 september;158.12;59.66;0.8124;;0.0865;0.36322;220.76;60.31;0.1923;;0.0305;0.03679;-681.63
77;Exclusief btw;2022 oktober;158.12;60.45;0.9987;;0.0865;0.36322;220.76;60.37;0.2378;;0.0305;0.03679;-681.63
78;Exclusief btw;2022 november;158.12;60.57;1.3742;;0.0865;0.36322;220.76;60.47;0.347;;0.0305;0.03679;-681.63
79;Exclusief btw;2022 december;158.12;60.62;1.391;;0.0865;0.36322;220.76;60.73;0.3695;;0.0305;0.03679;-681.63
80;Exclusief btw;2022;158.12;59.9;0.7503;;0.0865;0.36322;220.76;59.93;0.1851;;0.0305;0.03679;-681.63
81;Exclusief btw;2023 januari;179.91;60.72;1.6497;0.7632;;0.4898;282.78;60.5;0.4256;0.2164;;0.12599;-493.27
82;Exclusief btw;2023 februari;179.91;60.77;1.5262;0.7471;;0.4898;282.78;60.55;0.392;0.2114;;0.12599;-493.27
83;Exclusief btw;2023 maart;179.91;60.82;1.4222;0.7335;;0.4898;282.78;60.6;0.356;0.2057;;0.12599;-493.27
84;Exclusief btw;2023 april;179.91;60.89;0.979;0.6672;;0.4898;282.78;60.66;0.2462;0.1867;;0.12599;-493.27
85;Exclusief btw;2023 mei;179.91;60.95;0.7868;0.6285;;0.4898;282.78;60.71;0.2072;0.1791;;0.12599;-493.27
86;Exclusief btw;2023 juni;179.91;61.0;0.7357;0.616;;0.4898;282.78;60.75;0.1936;0.176;;0.12599;-493.27
87;Exclusief btw;2023 juli;179.91;61.71;0.5745;0.5629;;0.4898;282.78;61.53;0.1667;0.1637;;0.12599;-493.27
88;Exclusief btw;2023 augustus;179.91;62.0;0.5535;0.5468;;0.4898;282.78;61.8;0.1622;0.1604;;0.12599;-493.27
89;Exclusief btw;2023 september;179.91;62.34;0.5523;0.5463;;0.4898;282.78;62.16;0.1623;0.1608;;0.12599;-493.27
90;Exclusief btw;2023 oktober;179.91;62.09;0.5462;0.5406;;0.4898;282.78;64.48;0.1588;0.1574;;0.12599;-493.27
91;Exclusief btw;2023 november;179.91;61.33;0.5648;0.5601;;0.4898;282.78;67.46;0.163;0.1618;;0.12599;-493.27
92;Exclusief btw;2023 december;179.91;61.67;0.5725;0.5688;;0.4898;282.78;67.73;0.1648;0.1638;;0.12599;-493.27
93;Exclusief btw;2023;179.91;61.36;0.872;0.6234;;0.4898;282.78;62.41;0.2332;0.1786;;0.12599;-493.27
94;Exclusief btw;2024 januari;192.06;61.03;0.5769;;;0.58301;343.53;73.72;0.1651;;;0.1088;-521.78
95;Exclusief btw;2024 februari;192.06;61.5;0.57;;;0.58301;343.53;74.13;0.1643;;;0.1088;-521.78
96;Exclusief btw;2024 maart;192.06;62.17;0.5594;;;0.58301;343.53;75.17;0.16;;;0.1088;-521.78
97;Exclusief btw;2024 april;192.06;62.69;0.5274;;;0.58301;343.53;76.26;0.1507;;;0.1088;-521.78
98;Exclusief btw;2024 mei;192.06;64.32;0.488;;;0.58301;343.53;79.22;0.1429;;;0.1088;-521.78
99;Exclusief btw;2024 juni;192.06;64.87;0.4842;;;0.58301;343.53;80.45;0.1407;;;0.1088;-521.78
100;Exclusief btw;2024 juli;192.06;65.81;0.4754;;;0.58301;343.53;81.19;0.1298;;;0.1088;-521.78
101;Exclusief btw;2024 augustus;192.06;67.05;0.4851;;;0.58301;343.53;80.75;0.1252;;;0.1088;-521.78
102;Exclusief btw;2024 september;192.06;67.35;0.486;;;0.58301;343.53;81.53;0.1249;;;0.1088;-521.78
103;Exclusief btw;2024 oktober;192.06;67.65;0.5039;;;0.58301;343.53;82.29;0.1299;;;0.1088;-521.78
104;Exclusief btw;2024 november;192.06;68.0;0.5144;;;0.58301;343.53;82.88;0.1318;;;0.1088;-521.78
105;Exclusief btw;2024 december;192.06;68.33;0.5142;;;0.58301;343.53;83.52;0.1309;;;0.1088;-521.78
106;Exclusief btw;2024;192.06;65.07;0.5154;;;0.58301;343.53;79.26;0.1414;;;0.1088;-521.78
107;Exclusief btw;2025 januari;204.59;70.08;0.5233;;;0.57816;386.09;86.58;0.1313;;;0.10154;-524.95
108;Exclusief btw;2025 februari;204.59;72.36;0.5334;;;0.57816;386.09;87.86;0.1309;;;0.10154;-524.95
109;Exclusief btw;2025 maart;204.59;72.57;0.5367;;;0.57816;386.09;88.1;0.1289;;;0.10154;-524.95
