ID;Bedrijfsactiviteiten;Perioden;TotaalInvesteringen_1;GrondEnTerreinen_2;Bedrijfsruimten_3;GrondWaterEnWegenbouwkWerken_4;ExterneVervoermiddelen_5;InterneTransportmiddelen_6;ComputersEnRandapparatuur_7;OverigeMachinesInstallatiesED_8;OverigeMaterieleVasteActiva_9
0;10-45 Nijverheid;1995;11333.3;184.0;1506.4;1507.9;800.4;139.0;517.3;6079.1;599.2
1;10-45 Nijverheid;1996;13565.8;202.4;1762.8;1796.8;909.6;148.2;595.9;7595.9;554.2
2;10-45 Nijverheid;1997;14478.1;260.7;1654.4;1685.8;907.8;156.8;641.9;8568.9;601.8
3;10-45 Nijverheid;1998;13277.2;215.6;1658.0;1593.5;984.0;186.1;769.8;7240.0;630.2
4;10-45 Nijverheid;1999;13560.6;225.6;1890.8;1099.1;1265.1;191.9;835.5;7303.4;749.3
5;10-14 Delfstoffenwinning;1995;779.9;0.2;5.4;327.3;9.5;1.4;4.8;424.1;7.2
6;10-14 Delfstoffenwinning;1996;741.3;3.5;18.5;472.6;5.5;1.8;11.1;222.1;6.3
7;10-14 Delfstoffenwinning;1997;1881.7;10.5;19.0;627.3;3.9;1.5;8.2;1204.0;7.4
8;10-14 Delfstoffenwinning;1998;1140.6;8.0;25.7;542.3;12.6;2.8;11.6;532.1;5.4
9;10-14 Delfstoffenwinning;1999;856.8;16.2;10.3;350.6;10.0;1.3;29.9;413.6;24.8
10;15-37 Industrie;1995;7077.2;119.1;1061.7;65.8;416.3;103.0;406.5;4452.9;451.9
11;15-37 Industrie;1996;7775.5;112.1;1180.8;75.2;418.5;114.5;461.7;5017.8;394.8
12;15-37 Industrie;1997;9052.3;179.0;1268.6;98.2;440.8;111.6;480.2;6047.1;426.7
13;15-37 Industrie;1998;8741.3;143.8;1305.5;83.6;459.9;139.8;571.8;5580.9;456.0
14;15-37 Industrie;1999;8605.8;142.1;1453.4;76.7;495.6;137.8;626.5;5190.9;482.8
15;15    Voedingsmiddelen- en drankenind.;1995;1233.3;23.3;205.7;4.8;80.4;13.2;36.2;765.9;103.8
16;15    Voedingsmiddelen- en drankenind.;1996;1323.6;11.7;236.5;6.4;81.2;19.7;52.6;809.8;105.7
17;15    Voedingsmiddelen- en drankenind.;1997;1487.7;35.9;308.8;12.9;75.0;18.7;57.9;869.1;109.5
18;15    Voedingsmiddelen- en drankenind.;1998;1384.2;17.1;224.2;13.0;94.8;52.3;50.7;824.8;107.2
19;15    Voedingsmiddelen- en drankenind.;1999;1451.4;19.7;238.5;6.4;95.8;29.7;59.8;863.5;137.9
20;16    Tabakverwerkende industrie;1995;66.2;0.1;3.3;0.0;2.2;0.5;3.0;56.3;0.8
21;16    Tabakverwerkende industrie;1996;96.9;0.0;6.9;0.2;4.8;1.0;6.1;76.9;1.0
22;16    Tabakverwerkende industrie;1997;86.7;1.6;12.8;0.0;3.5;1.1;6.4;59.0;2.2
23;16    Tabakverwerkende industrie;1998;63.6;0.0;14.2;0.4;3.7;2.2;5.0;36.4;1.6
24;16    Tabakverwerkende industrie;1999;79.5;0.2;2.5;0.0;3.1;1.0;5.4;63.7;3.6
25;17    Textielindustrie;1995;94.3;1.1;15.4;0.0;8.0;1.2;5.2;59.2;4.1
26;17    Textielindustrie;1996;95.6;0.3;8.7;0.1;8.3;1.0;5.8;66.2;5.4
27;17    Textielindustrie;1997;87.1;0.7;12.6;0.2;6.2;1.7;5.2;55.4;5.1
28;17    Textielindustrie;1998;103.4;0.3;14.2;0.3;7.1;1.3;6.7;66.3;7.3
29;17    Textielindustrie;1999;153.3;2.1;28.7;0.4;8.7;2.9;7.7;97.4;5.4
