ID;RegioS;Perioden;WoningenInEigendomOp1Januari_1;TotaalToename_2;Nieuwbouw_3;Aankoop_4;Fusie_5;TotaalAfname_6;VerkopenAanBewoners_7;OverigeVerkopen_8;AfbraakSamenvoeging_9;Fusie_10;WoningMutatie_11;WoningenInEigendom31December_12;k_3MaandenEnMeer_13;k_12MaandenEnMeer_14;AantalSocialeVerhuurdersOp1Januari_15
0;Nederland;1995;2309377;124275;25933;10727;87615;105738;8158;3770;6420;87390;18537;2327914;;;855
1;Nederland;1996;2364960;128852;30639;7535;90678;114530;13108;4669;6075;90678;14322;2379282;;;864
2;Nederland;1997;2372259;165477;24592;6651;134234;164617;16511;8517;5355;134234;860;2373119;;;830
3;Nederland;1998;2371090;283740;19610;10696;253434;287840;18214;9811;6381;253434;-4100;2366967;2.8;0.9;792
4;Nederland;1999;2367363;347517;14535;11410;321572;352346;16734;5549;8491;321572;-4829;2362534;2.3;0.8;745
5;Nederland;2000;2362853;272211;14602;7657;249952;276015;12700;4445;8918;249952;-3804;2358836;3.4;1.1;693
6;Groningen;1995;91896;1007;664;155;188;997;584;210;203;0;10;91906;;;34
7;Groningen;1996;92418;484;475;9;0;1527;1071;83;373;0;-1043;91375;;;36
8;Groningen;1997;91382;479;477;2;0;1641;1027;413;201;0;-1162;90220;;;36
9;Groningen;1998;90120;23997;492;454;23051;25466;1386;501;528;23051;-1469;88651;9.2;3.8;36
10;Groningen;1999;88650;216;213;3;0;2985;1342;398;1245;0;-2769;85881;8.9;4.5;32
11;Groningen;2000;85876;1425;314;492;619;2853;779;446;1009;619;-1428;84243;8.0;3.9;32
12;Friesland;1995;91795;1019;649;370;0;1467;901;297;269;0;-448;91347;;;32
13;Friesland;1996;91469;724;513;211;0;2234;1094;739;401;0;-1510;89959;;;33
14;Friesland;1997;89892;988;436;235;317;4575;1435;214;201;2725;-3587;86305;;;33
15;Friesland;1998;86222;3429;256;49;3124;5098;1633;137;204;3124;-1669;84530;4.7;1.4;32
16;Friesland;1999;84482;16833;312;167;16354;18624;1084;668;518;16354;-1791;82691;3.6;1.2;31
17;Friesland;2000;78757;8827;195;5;8627;9593;731;106;129;8627;-766;77991;4.3;1.7;29
18;Drenthe;1995;60692;2053;448;61;1544;2455;667;151;169;1468;-402;60290;;;21
19;Drenthe;1996;60225;668;601;67;0;1045;643;154;248;0;-377;59848;;;21
20;Drenthe;1997;59826;15919;330;0;15589;14846;1046;283;336;13181;1073;60899;;;21
21;Drenthe;1998;60899;14464;259;55;14150;15265;745;108;262;14150;-801;60098;4.3;0.8;19
22;Drenthe;1999;60111;8773;246;170;8357;5580;587;32;270;4691;3193;63304;4.6;0.8;18
23;Drenthe;2000;60342;5536;163;231;5142;6015;408;98;367;5142;-479;59957;4.1;1.2;16
24;Overijssel;1995;139704;9346;1522;293;7531;8802;754;113;404;7531;544;140248;;;63
25;Overijssel;1996;139791;2608;1980;628;0;1707;1023;413;271;0;901;140692;;;64
26;Overijssel;1997;140546;2262;1741;82;439;2424;1350;232;403;439;-162;140384;;;64
27;Overijssel;1998;140295;25007;1402;240;23365;18970;1614;140;176;17040;6037;146332;3.7;1.5;63
28;Overijssel;1999;146110;23395;863;595;21937;31520;1010;798;990;28722;-8125;137985;3.1;1.4;60
29;Overijssel;2000;145263;8536;786;507;7243;8873;897;105;628;7243;-337;144949;3.8;2.1;54
30;Flevoland;1995;43437;975;975;0;0;478;188;164;126;0;497;43934;;;10
31;Flevoland;1996;43786;1092;1086;6;0;912;888;22;2;0;180;43966;;;10
32;Flevoland;1997;44089;13008;903;1;12104;13597;1484;9;0;12104;-589;43500;;;10
33;Flevoland;1998;43477;807;807;0;0;1601;1206;310;85;0;-794;42683;22.4;10.6;9
34;Flevoland;1999;42699;800;783;17;0;1806;1645;107;54;0;-1006;41693;9.7;5.3;9
35;Flevoland;2000;41664;790;698;92;0;1455;1249;167;39;0;-665;41066;7.7;4.9;9
36;Gelderland;1995;237450;11855;3010;490;8355;10736;823;201;921;8791;1119;238569;;;100
37;Gelderland;1996;243142;13465;3082;362;10021;12101;1311;240;529;10021;1364;244506;;;95
38;Gelderland;1997;239646;14571;2577;88;11906;14920;1724;748;307;12141;-349;239297;;;91
39;Gelderland;1998;239629;33963;2265;108;31590;40126;1376;445;390;37915;-6163;233466;0.5;0.1;86
40;Gelderland;1999;235085;21161;1060;6892;13209;12711;1625;513;483;10090;8450;243535;1.1;0.2;81
41;Gelderland;2000;243487;42982;1069;338;41575;34756;1236;45;564;32911;8226;251717;0.7;0.2;78
42;Utrecht;1995;148077;7021;1226;237;5558;6015;406;446;64;5099;1006;149083;;;63
43;Utrecht;1996;152893;14401;2638;107;11656;12918;983;181;265;11489;1483;154376;;;65
44;Utrecht;1997;153850;21212;1792;217;19203;22040;574;787;582;20097;-828;153022;;;60
45;Utrecht;1998;151841;31615;1588;256;29771;30956;601;295;289;29771;659;152500;0.5;0.0;53
46;Utrecht;1999;152500;29583;1709;58;27816;28797;851;72;58;27816;786;153286;0.8;0.1;49
47;Utrecht;2000;152246;3421;1312;7;2102;3587;601;247;514;2225;-166;152090;0.6;0.1;47
48;Noord-Holland;1995;433231;64959;4540;3186;57233;59355;897;293;932;57233;5604;438835;;;135
49;Noord-Holland;1996;458035;47603;5719;2646;39238;41750;1151;330;864;39405;5853;463888;;;127
50;Noord-Holland;1997;465735;31380;5525;2550;23305;27183;1754;2384;541;22504;4197;469932;;;120
51;Noord-Holland;1998;468502;26153;3857;3630;18666;22853;1301;1434;1452;18666;3300;471802;1.0;0.3;114
52;Noord-Holland;1999;469988;42704;3061;1380;38263;38767;1324;1191;2051;34201;3937;473925;0.9;0.2;104
53;Noord-Holland;2000;477850;30911;2844;1641;26426;25693;1090;1166;936;22501;5218;482953;3.4;1.0;100
54;Zuid-Holland;1995;576852;17067;6293;5279;5495;10136;1238;1047;2354;5497;6931;583783;;;195
55;Zuid-Holland;1996;592486;28040;9126;2169;16745;21691;1572;1137;2237;16745;6349;598835;;;199
56;Zuid-Holland;1997;595542;43441;6031;1034;36376;42001;2197;1829;1927;36048;1440;596982;;;191
57;Zuid-Holland;1998;597024;61901;4357;3094;54450;64588;3734;3973;2431;54450;-2687;594337;2.5;0.6;185
58;Zuid-Holland;1999;603243;158016;3526;1700;152790;155074;3437;1215;2224;148198;2942;606185;2.9;0.8;178
59;Zuid-Holland;2000;605515;135156;4463;3197;127496;147529;3011;1504;3052;139962;-12373;593111;5.2;1.5;164
60;Zeeland;1995;44674;464;337;127;0;479;178;99;202;0;-15;44659;;;15
61;Zeeland;1996;44827;486;116;370;0;798;508;95;195;0;-312;44515;;;17
62;Zeeland;1997;44322;532;371;161;0;905;662;10;233;0;-373;43949;;;17
63;Zeeland;1998;43952;224;203;21;0;839;709;89;41;0;-615;43337;8.9;2.5;17
64;Zeeland;1999;43338;372;343;29;0;5239;983;65;129;4062;-4867;38471;5.6;1.3;17
65;Zeeland;2000;38468;293;174;119;0;1197;570;66;561;0;-904;37564;3.9;0.9;15
66;Noord-Brabant;1995;288440;6359;4347;301;1711;3711;1078;323;539;1771;2648;291088;;;109
67;Noord-Brabant;1996;292653;13254;3718;649;8887;11963;1868;572;636;8887;1291;293944;;;120
68;Noord-Brabant;1997;294012;14851;2605;1993;10253;13524;1746;1161;364;10253;1327;295339;;;113
69;Noord-Brabant;1998;296049;34027;2978;671;30378;33033;1959;343;353;30378;994;297043;2.4;0.6;108
70;Noord-Brabant;1999;288892;11421;1795;389;9237;9886;1501;131;271;7983;1535;290427;0.5;0.1;99
71;Noord-Brabant;2000;288291;19815;2133;943;16739;18401;1238;91;333;16739;1414;289663;1.2;0.2;93
72;Limburg;1995;153129;2150;1922;228;0;1107;444;426;237;0;1043;154172;;;78
73;Limburg;1996;153235;6027;1585;311;4131;5884;996;703;54;4131;143;153378;;;77
74;Limburg;1997;153417;6834;1804;288;4742;6961;1512;447;260;4742;-127;153290;;;74
75;Limburg;1998;153080;28153;1146;2118;24889;29045;1950;2036;170;24889;-892;152188;3.1;0.5;70
76;Limburg;1999;152265;34243;624;10;33609;41357;1345;359;198;39455;-7114;145151;2.3;0.8;67
77;Limburg;2000;145094;14519;451;85;13983;16063;890;404;786;13983;-1544;143532;2.7;0.6;56
