ID;Bedrijfsgroepen;WarmtekrachtkoppelingWKK;TypenInstallatie;Perioden;InzetTotaal_1;InzetVanAardgas_2;InzetVanStookolie_3;InzetVanSteenkool_4;InzetVanOverigeBrandstoffen_5;InzetTotaal_6;InzetVanAardgas_7;InzetVanStookolie_8;InzetVanSteenkool_9;InzetVanOverigeBrandstoffen_10;ProductieTotaal_11;ProductieVanElektriciteit_12;ProductieVanWarmte_13;ProductieTotaal_14;ProductieVanElektriciteit_15;ProductieVanWarmte_16;ElektrischVermogen_17;ThermischVermogen_18;Installaties_19
0;Totaal centrale/decentrale productie;Totaal installaties met en zonder WKK;Totaal installaties;1998;917304.0;15955966.0;411338.0;9279196.0;169784.0;917304.0;505006.0;16875.0;225639.0;169784.0;543666.0;92006273.0;212443.0;543666.0;331223.0;212443.0;20043.0;59842535.0;5140.0
1;Totaal centrale/decentrale productie;Totaal installaties met en zonder WKK;Totaal installaties;1999;873424.0;15927464.0;373432.0;7480738.0;167459.0;873424.0;504104.0;15316.0;186545.0;167459.0;523993.0;87617304.0;208570.0;523993.0;315422.0;208570.0;20420.0;59267556.0;5274.0
2;Totaal centrale/decentrale productie;Totaal installaties met en zonder WKK;Totaal installaties;2000;898064.0;15887395.0;360033.0;8650888.0;169703.0;898064.0;502836.0;14765.0;210759.0;169703.0;544265.0;90180577.0;219615.0;544265.0;324650.0;219615.0;20782.0;60423880.0;5322.0
3;Totaal centrale/decentrale productie;Totaal installaties met en zonder WKK;Totaal installaties;2001;941190.0;16696246.0;361313.0;9189188.0;173194.0;941190.0;528436.0;14820.0;224740.0;173194.0;552063.0;94072426.0;213402.0;552063.0;338661.0;213402.0;20465.0;59507711.0;5265.0
4;Totaal centrale/decentrale productie;Totaal installaties met en zonder WKK;Totaal installaties;2002;946736.0;16746385.0;368503.0;9180651.0;174020.0;946736.0;530023.0;15110.0;227583.0;174020.0;555856.0;95082892.0;213558.0;555856.0;342298.0;213558.0;20592.0;59123994.0;5273.0
5;Totaal centrale/decentrale productie;Totaal installaties met en zonder WKK;Totaal installaties;2003;969785.0;17269681.0;385744.0;9211691.0;176773.0;969785.0;546585.0;15847.0;230580.0;176773.0;566507.0;98140305.0;213202.0;566507.0;353305.0;213202.0;20908.0;59602550.0;5236.0
6;Totaal centrale/decentrale productie;Totaal installaties met en zonder WKK;Totaal installaties;2004;988034.0;18213580.0;372856.0;8821853.0;175030.0;988034.0;576460.0;15306.0;221237.0;175030.0;583869.0;102144798.0;216147.0;583869.0;367721.0;216147.0;21505.0;60497754.0;5329.0
7;Totaal centrale/decentrale productie;Totaal installaties met en zonder WKK;Totaal installaties;2005;983898.0;17715753.0;285894.0;8247598.0;204387.0;983898.0;560704.0;11744.0;207063.0;204387.0;583571.0;100768710.0;220804.0;583571.0;362767.0;220804.0;21978.0;61748556.0;5490.0
8;Totaal centrale/decentrale productie;Totaal installaties met en zonder WKK;Totaal installaties;2006;951468.0;17135108.0;270911.0;8236830.0;193224.0;951468.0;542326.0;11123.0;204795.0;193224.0;576359.0;98834621.0;220554.0;576359.0;355805.0;220554.0;22982.0;65007096.0;5955.0
9;Totaal centrale/decentrale productie;Totaal installaties met en zonder WKK;Totaal installaties;2007;1001336.0;18263811.0;278865.0;8669089.0;197372.0;1001336.0;578050.0;11444.0;214470.0;197372.0;606168.0;105644720.0;225847.0;606168.0;380321.0;225847.0;23818.0;67226560.0;6370.0
10;Totaal centrale/decentrale productie;Totaal installaties met en zonder WKK;Totaal installaties;2008;1033459.0;19293735.0;282817.0;8223912.0;208692.0;1033459.0;610647.0;11252.0;202868.0;208692.0;632699.0;108215070.0;243124.0;632699.0;389574.0;243124.0;24885.0;69994272.0;6756.0
11;Totaal centrale/decentrale productie;Totaal installaties met en zonder WKK;Totaal installaties;2009;1031680.0;19613917.0;13512.0;8405034.0;201842.0;1031680.0;620780.0;577.0;208481.0;201842.0;625171.0;113502836.0;216560.0;625171.0;408610.0;216560.0;25314.0;70829897.0;6583.0
12;Totaal centrale/decentrale productie;Totaal installaties met en zonder WKK;Totaal installaties;2010;1076104.0;20987038.0;12220.0;7874980.0;215902.0;1076104.0;664240.0;522.0;195440.0;215902.0;656960.0;118139044.0;231660.0;656960.0;425301.0;231660.0;26608.0;68001611.0;6454.0
13;Totaal centrale/decentrale productie;Totaal installaties met en zonder WKK;Totaal installaties;2011;1006840.0;18979953.0;9557.0;7398919.0;223588.0;1006840.0;600716.0;408.0;182128.0;223588.0;631248.0;112965935.0;224571.0;631248.0;406677.0;224571.0;28048.0;68601060.0;6461.0
