ID;DecentraleOverheden;BegrootEMUSaldo2016_1;BegrootEMUSaldo_2;MacronormVoorHetEMUSaldo_3;Verschil_4;BegrootEMUSaldo2018_5
0;Totaal decentrale overheden;-4758;-4177;-2128.0;-2049.0;-1556
1;Provincies;-877;-1152;;;-791
2;Gemeenten;-3457;-2652;;;-449
3;Gemeenten: minder dan 20 000 inwoners;-194;-131;;;31
4;Gemeenten: 20 000 tot 50 000 inwoners;-461;-164;;;382
5;Gemeenten: 50 000 tot 100 000 inwoners;-218;-234;;;86
6;Gemeenten: 100 000 tot 150 000 inwoners;-591;-314;;;-61
7;Gemeenten: 150 000 tot 250 000 inwoners;-425;-377;;;-186
8;Gemeenten: 250 000 inwoners of meer;-1569;-1433;;;-701
9;Waterschappen;-375;-307;;;-296
10;Gemeenschappelijke regelingen;-49;-66;;;-20
