ID;TotaalHerkomstgroeperingen;Leeftijdsgroepen;Geslacht;Perioden;TotaalBevolkingsgroep_1;k_0Tot5_2;k_5Tot15_3;k_15Tot50_4;MeerDan50_5;Eenpersoonshuishouden_6;PaarZonderKinderen_7;PaarMetKinderen_8;Eenouderhuishouden_9;InstitutioneelHuishouden_10;OverigeTypenHuishouden_11;OnbekendTypeHuishouden_12;HeeftGeenWerk_13;HeeftWelWerk_14;HeeftGeenUitkering_15;HeeftWelUitkering_16;TotaalBevolkingsgroep_17;k_0Tot5_18;k_5Tot15_19;k_15Tot50_20;MeerDan50_21;Eenpersoonshuishouden_22;PaarZonderKinderen_23;PaarMetKinderen_24;Eenouderhuishouden_25;InstitutioneelHuishouden_26;OverigeTypenHuishouden_27;OnbekendTypeHuishouden_28;HeeftGeenWerk_29;HeeftWelWerk_30;HeeftGeenUitkering_31;HeeftWelUitkering_32
0;Totale bevolking;12 tot 18 jaar;Totaal mannen en vrouwen;1999;1.5;0.9;1.8;3.3;4.7;5.2;4.4;1.1;3.3;10.3;4.2;4.5;1.4;2.1;1.5;2.6;1.4;0.8;1.7;3.0;4.5;5.2;4.0;1.0;3.0;9.4;4.1;4.5;1.2;2.0;1.3;2.4
1;Totale bevolking;12 tot 18 jaar;Totaal mannen en vrouwen;2000;1.5;0.9;1.7;3.2;4.3;5.4;3.7;1.1;3.2;10.0;3.7;3.5;1.4;2.0;1.5;2.0;1.3;0.8;1.6;2.9;4.1;5.3;3.6;1.0;2.9;9.1;3.4;3.5;1.2;1.9;1.3;1.9
2;Totale bevolking;12 tot 18 jaar;Totaal mannen en vrouwen;2001;1.7;1.0;1.9;3.3;4.6;5.6;4.5;1.2;3.5;10.0;4.1;4.6;1.5;2.1;1.7;2.2;1.5;0.9;1.7;3.0;4.4;5.5;3.9;1.1;3.2;9.1;3.9;4.6;1.3;2.0;1.5;2.2
3;Totale bevolking;12 tot 18 jaar;Totaal mannen en vrouwen;2002;1.8;1.0;2.0;3.5;4.2;5.2;5.0;1.3;3.6;10.0;4.3;5.1;1.6;2.2;1.8;2.5;1.6;1.0;1.9;3.2;4.1;4.9;4.8;1.2;3.3;9.4;4.1;5.2;1.4;2.1;1.6;2.4
4;Totale bevolking;12 tot 18 jaar;Totaal mannen en vrouwen;2003;2.0;1.1;2.2;3.7;4.8;6.1;4.9;1.4;3.9;11.1;5.6;5.3;1.8;2.4;2.0;2.6;1.8;1.1;2.0;3.4;4.6;5.8;4.5;1.3;3.6;10.5;4.9;5.3;1.6;2.3;1.8;2.4
5;Totale bevolking;12 tot 18 jaar;Totaal mannen en vrouwen;2004;2.2;1.3;2.4;4.1;5.6;6.5;5.8;1.6;4.4;11.9;5.3;5.6;2.1;2.6;2.2;3.0;2.0;1.3;2.3;3.8;5.3;6.2;5.8;1.5;4.1;11.3;4.8;5.5;1.9;2.5;2.0;2.9
6;Totale bevolking;12 tot 18 jaar;Totaal mannen en vrouwen;2005;2.4;1.5;2.7;4.4;6.0;7.4;5.5;1.8;4.7;14.3;7.0;6.3;2.3;2.9;2.4;3.0;2.2;1.4;2.5;4.0;5.7;6.9;5.0;1.6;4.4;13.5;6.8;6.4;2.1;2.7;2.2;2.9
7;Totale bevolking;12 tot 18 jaar;Totaal mannen en vrouwen;2006*;2.5;;;;;;;;;;;;;;;;2.3;;;;;;;;;;;;;;;
8;Totale bevolking;12 tot 18 jaar;Mannen;1999;2.6;1.5;3.0;5.3;7.9;8.1;7.5;1.9;5.3;13.7;6.5;6.7;2.2;3.6;2.5;4.3;2.3;1.4;2.8;4.7;7.5;8.6;7.0;1.7;4.8;12.5;6.6;6.7;1.9;3.3;2.2;4.1
9;Totale bevolking;12 tot 18 jaar;Mannen;2000;2.5;1.5;2.8;5.2;7.3;8.3;5.9;1.8;5.3;13.2;5.5;5.3;2.2;3.4;2.5;3.3;2.2;1.4;2.6;4.6;6.9;8.8;6.2;1.6;4.8;12.0;5.4;5.3;1.9;3.2;2.2;3.1
10;Totale bevolking;12 tot 18 jaar;Mannen;2001;2.7;1.6;2.9;5.2;7.7;8.3;7.3;1.9;5.5;13.3;5.8;6.7;2.4;3.5;2.7;3.6;2.4;1.6;2.7;4.7;7.3;8.7;6.6;1.7;5.0;12.1;5.6;6.8;2.1;3.3;2.4;3.5
11;Totale bevolking;12 tot 18 jaar;Mannen;2002;2.9;1.7;3.2;5.5;6.8;7.6;8.9;2.1;5.6;12.6;6.0;7.6;2.6;3.7;2.9;3.9;2.6;1.7;3.0;5.0;6.6;7.7;9.1;1.9;5.2;12.0;6.1;7.9;2.3;3.5;2.6;3.8
12;Totale bevolking;12 tot 18 jaar;Mannen;2003;3.2;1.9;3.4;5.9;7.9;9.5;8.3;2.3;6.1;14.8;8.6;7.6;2.9;4.0;3.1;4.1;2.9;1.9;3.2;5.3;7.6;9.2;7.5;2.1;5.6;14.0;8.0;7.6;2.6;3.8;2.8;3.8
13;Totale bevolking;12 tot 18 jaar;Mannen;2004;3.5;2.1;3.8;6.6;9.4;10.6;9.8;2.6;6.8;15.7;8.5;8.3;3.4;4.2;3.5;4.8;3.2;2.1;3.6;6.0;8.8;10.6;9.5;2.4;6.3;14.9;7.8;8.2;3.0;4.1;3.2;4.6
14;Totale bevolking;12 tot 18 jaar;Mannen;2005;3.9;2.4;4.2;7.0;9.8;12.5;9.3;2.9;7.3;18.4;10.5;9.0;3.7;4.7;3.9;5.0;3.5;2.3;3.9;6.2;9.2;11.9;8.6;2.6;6.8;17.5;10.0;9.1;3.3;4.5;3.5;4.7
15;Totale bevolking;12 tot 18 jaar;Mannen;2006*;4.0;;;;;;;;;;;;;;;;3.7;;;;;;;;;;;;;;;
