ID;Overheidsinstellingen;Toepassingssectoren;Bestrijdingsmiddelen;Perioden;GebruikInKgWerkzameStof_1
48;Totaal overheidsinstellingen;Totaal toepassingssectoren;Amitrol;2018;0
49;Totaal overheidsinstellingen;Totaal toepassingssectoren;Dalapon;1992;7476
50;Totaal overheidsinstellingen;Totaal toepassingssectoren;Dalapon;1995;581
51;Totaal overheidsinstellingen;Totaal toepassingssectoren;Dalapon;2001;0
52;Totaal overheidsinstellingen;Totaal toepassingssectoren;Dalapon;2005;0
53;Totaal overheidsinstellingen;Totaal toepassingssectoren;Dalapon;2009;0
54;Totaal overheidsinstellingen;Totaal toepassingssectoren;Dalapon;2013;0
55;Totaal overheidsinstellingen;Totaal toepassingssectoren;Dalapon;2018;0
56;Totaal overheidsinstellingen;Totaal toepassingssectoren;Bacillus thuringiensis subsp. aizawai;1992;0
57;Totaal overheidsinstellingen;Totaal toepassingssectoren;Bacillus thuringiensis subsp. aizawai;1995;0
58;Totaal overheidsinstellingen;Totaal toepassingssectoren;Bacillus thuringiensis subsp. aizawai;2001;0
59;Totaal overheidsinstellingen;Totaal toepassingssectoren;Bacillus thuringiensis subsp. aizawai;2005;0
60;Totaal overheidsinstellingen;Totaal toepassingssectoren;Bacillus thuringiensis subsp. aizawai;2009;0
61;Totaal overheidsinstellingen;Totaal toepassingssectoren;Bacillus thuringiensis subsp. aizawai;2013;0
62;Totaal overheidsinstellingen;Totaal toepassingssectoren;Bacillus thuringiensis subsp. aizawai;2018;317
63;Totaal overheidsinstellingen;Totaal toepassingssectoren;Dicamba;1992;0
64;Totaal overheidsinstellingen;Totaal toepassingssectoren;Dicamba;1995;259
65;Totaal overheidsinstellingen;Totaal toepassingssectoren;Dicamba;2001;297
66;Totaal overheidsinstellingen;Totaal toepassingssectoren;Dicamba;2005;241
67;Totaal overheidsinstellingen;Totaal toepassingssectoren;Dicamba;2009;134
68;Totaal overheidsinstellingen;Totaal toepassingssectoren;Dicamba;2013;86
69;Totaal overheidsinstellingen;Totaal toepassingssectoren;Dicamba;2018;50
70;Totaal overheidsinstellingen;Totaal toepassingssectoren;Dichlobenil;1992;10085
71;Totaal overheidsinstellingen;Totaal toepassingssectoren;Dichlobenil;1995;6223
72;Totaal overheidsinstellingen;Totaal toepassingssectoren;Dichlobenil;2001;8316
73;Totaal overheidsinstellingen;Totaal toepassingssectoren;Dichlobenil;2005;9632
74;Totaal overheidsinstellingen;Totaal toepassingssectoren;Dichlobenil;2009;0
75;Totaal overheidsinstellingen;Totaal toepassingssectoren;Dichlobenil;2013;0
76;Totaal overheidsinstellingen;Totaal toepassingssectoren;Dichlobenil;2018;0
77;Totaal overheidsinstellingen;Totaal toepassingssectoren;Diuron;1992;22971
78;Totaal overheidsinstellingen;Totaal toepassingssectoren;Diuron;1995;13030
79;Totaal overheidsinstellingen;Totaal toepassingssectoren;Diuron;2001;13
80;Totaal overheidsinstellingen;Totaal toepassingssectoren;Diuron;2005;0
81;Totaal overheidsinstellingen;Totaal toepassingssectoren;Diuron;2009;0
82;Totaal overheidsinstellingen;Totaal toepassingssectoren;Diuron;2013;0
83;Totaal overheidsinstellingen;Totaal toepassingssectoren;Diuron;2018;0
84;Totaal overheidsinstellingen;Totaal toepassingssectoren;Fluroxypyr-meptyl;1992;0
85;Totaal overheidsinstellingen;Totaal toepassingssectoren;Fluroxypyr-meptyl;1995;0
86;Totaal overheidsinstellingen;Totaal toepassingssectoren;Fluroxypyr-meptyl;2001;0
87;Totaal overheidsinstellingen;Totaal toepassingssectoren;Fluroxypyr-meptyl;2005;0
88;Totaal overheidsinstellingen;Totaal toepassingssectoren;Fluroxypyr-meptyl;2009;0
89;Totaal overheidsinstellingen;Totaal toepassingssectoren;Fluroxypyr-meptyl;2013;0
90;Totaal overheidsinstellingen;Totaal toepassingssectoren;Fluroxypyr-meptyl;2018;186
91;Totaal overheidsinstellingen;Totaal toepassingssectoren;Glyfosaat;1992;5554
92;Totaal overheidsinstellingen;Totaal toepassingssectoren;Glyfosaat;1995;16299
93;Totaal overheidsinstellingen;Totaal toepassingssectoren;Glyfosaat;2001;23744
94;Totaal overheidsinstellingen;Totaal toepassingssectoren;Glyfosaat;2005;33840
95;Totaal overheidsinstellingen;Totaal toepassingssectoren;Glyfosaat;2009;19472
96;Totaal overheidsinstellingen;Totaal toepassingssectoren;Glyfosaat;2013;19307
97;Totaal overheidsinstellingen;Totaal toepassingssectoren;Glyfosaat;2018;2219
98;Totaal overheidsinstellingen;Totaal toepassingssectoren;Glufosinaat-ammonium;1992;1325
99;Totaal overheidsinstellingen;Totaal toepassingssectoren;Glufosinaat-ammonium;1995;806
100;Totaal overheidsinstellingen;Totaal toepassingssectoren;Glufosinaat-ammonium;2001;231
101;Totaal overheidsinstellingen;Totaal toepassingssectoren;Glufosinaat-ammonium;2005;150
102;Totaal overheidsinstellingen;Totaal toepassingssectoren;Glufosinaat-ammonium;2009;9
103;Totaal overheidsinstellingen;Totaal toepassingssectoren;Glufosinaat-ammonium;2013;4
104;Totaal overheidsinstellingen;Totaal toepassingssectoren;Glufosinaat-ammonium;2018;0
105;Totaal overheidsinstellingen;Totaal toepassingssectoren;MCPA;1992;2975
106;Totaal overheidsinstellingen;Totaal toepassingssectoren;MCPA;1995;4189
107;Totaal overheidsinstellingen;Totaal toepassingssectoren;MCPA;2001;5370
108;Totaal overheidsinstellingen;Totaal toepassingssectoren;MCPA;2005;5703
109;Totaal overheidsinstellingen;Totaal toepassingssectoren;MCPA;2009;3447
110;Totaal overheidsinstellingen;Totaal toepassingssectoren;MCPA;2013;3611
111;Totaal overheidsinstellingen;Totaal toepassingssectoren;MCPA;2018;1480
112;Totaal overheidsinstellingen;Totaal toepassingssectoren;Mecoprop-P;1992;1268
113;Totaal overheidsinstellingen;Totaal toepassingssectoren;Mecoprop-P;1995;591
114;Totaal overheidsinstellingen;Totaal toepassingssectoren;Mecoprop-P;2001;684
115;Totaal overheidsinstellingen;Totaal toepassingssectoren;Mecoprop-P;2005;697
116;Totaal overheidsinstellingen;Totaal toepassingssectoren;Mecoprop-P;2009;378
117;Totaal overheidsinstellingen;Totaal toepassingssectoren;Mecoprop-P;2013;269
118;Totaal overheidsinstellingen;Totaal toepassingssectoren;Mecoprop-P;2018;95
119;Totaal overheidsinstellingen;Totaal toepassingssectoren;Simazin;1992;4193
120;Totaal overheidsinstellingen;Totaal toepassingssectoren;Simazin;1995;1202
121;Totaal overheidsinstellingen;Totaal toepassingssectoren;Simazin;2001;32
122;Totaal overheidsinstellingen;Totaal toepassingssectoren;Simazin;2005;0
123;Totaal overheidsinstellingen;Totaal toepassingssectoren;Simazin;2009;0
124;Totaal overheidsinstellingen;Totaal toepassingssectoren;Simazin;2013;0
125;Totaal overheidsinstellingen;Totaal toepassingssectoren;Simazin;2018;0
126;Totaal overheidsinstellingen;Totaal toepassingssectoren;Triclopyr;1992;0
127;Totaal overheidsinstellingen;Totaal toepassingssectoren;Triclopyr;1995;0
128;Totaal overheidsinstellingen;Totaal toepassingssectoren;Triclopyr;2001;0
129;Totaal overheidsinstellingen;Totaal toepassingssectoren;Triclopyr;2005;0
130;Totaal overheidsinstellingen;Totaal toepassingssectoren;Triclopyr;2009;0
131;Totaal overheidsinstellingen;Totaal toepassingssectoren;Triclopyr;2013;0
132;Totaal overheidsinstellingen;Totaal toepassingssectoren;Triclopyr;2018;60
133;Totaal overheidsinstellingen;Totaal toepassingssectoren;Overige herbiciden;1992;4455
134;Totaal overheidsinstellingen;Totaal toepassingssectoren;Overige herbiciden;1995;2692
135;Totaal overheidsinstellingen;Totaal toepassingssectoren;Overige herbiciden;2001;1064
136;Totaal overheidsinstellingen;Totaal toepassingssectoren;Overige herbiciden;2005;928
137;Totaal overheidsinstellingen;Totaal toepassingssectoren;Overige herbiciden;2009;895
138;Totaal overheidsinstellingen;Totaal toepassingssectoren;Overige herbiciden;2013;1784
139;Totaal overheidsinstellingen;Totaal toepassingssectoren;Overige herbiciden;2018;73
140;Totaal overheidsinstellingen;Totaal toepassingssectoren;Overige insecticiden;1992;0
141;Totaal overheidsinstellingen;Totaal toepassingssectoren;Overige insecticiden;1995;0
142;Totaal overheidsinstellingen;Totaal toepassingssectoren;Overige insecticiden;2001;0
143;Totaal overheidsinstellingen;Totaal toepassingssectoren;Overige insecticiden;2005;0
144;Totaal overheidsinstellingen;Totaal toepassingssectoren;Overige insecticiden;2009;0
145;Totaal overheidsinstellingen;Totaal toepassingssectoren;Overige insecticiden;2013;0
146;Totaal overheidsinstellingen;Totaal toepassingssectoren;Overige insecticiden;2018;12
147;Totaal overheidsinstellingen;Waterlopen en vijvers;Totaal;1992;3761
148;Totaal overheidsinstellingen;Waterlopen en vijvers;Totaal;1995;557
149;Totaal overheidsinstellingen;Waterlopen en vijvers;Totaal;2001;0
150;Totaal overheidsinstellingen;Waterlopen en vijvers;Totaal;2005;6
151;Totaal overheidsinstellingen;Waterlopen en vijvers;Totaal;2009;9
