ID;WijkenEnBuurten;Gemeentenaam_1;SoortRegio_2;Codering_3;IndelingswijzigingWijkenEnBuurten_4;AantalInstallatiesBijWoningen_5;OpgesteldVermogenVanZonnepanelen_6
0;Nederland;Nederland                               ;Land      ;NL00      ;.;397390.0;1261273.0
1;Aa en Hunze;Aa en Hunze                             ;Gemeente  ;GM1680    ;.;1240.0;4645.0
2;Wijk 00 Annen;Aa en Hunze                             ;Wijk      ;WK168000  ;1;135.0;531.0
3;Annen;Aa en Hunze                             ;Buurt     ;BU16800000;1;128.0;504.0
4;Verspreide huizen Annen;Aa en Hunze                             ;Buurt     ;BU16800009;1;7.0;28.0
5;Wijk 01 Eext;Aa en Hunze                             ;Wijk      ;WK168001  ;1;50.0;202.0
6;Eext;Aa en Hunze                             ;Buurt     ;BU16800100;1;40.0;155.0
7;Verspreide huizen Eext;Aa en Hunze                             ;Buurt     ;BU16800109;1;10.0;47.0
8;Wijk 02 Anloo;Aa en Hunze                             ;Wijk      ;WK168002  ;1;18.0;96.0
9;Anloo;Aa en Hunze                             ;Buurt     ;BU16800200;1;12.0;66.0
10;Verspreide huizen Anloo;Aa en Hunze                             ;Buurt     ;BU16800209;1;6.0;29.0
11;Wijk 03 Gasteren;Aa en Hunze                             ;Wijk      ;WK168003  ;1;18.0;68.0
12;Gasteren;Aa en Hunze                             ;Buurt     ;BU16800300;1;18.0;68.0
13;Verspreide huizen Gasteren;Aa en Hunze                             ;Buurt     ;BU16800309;1;;
14;Wijk 04 Anderen;Aa en Hunze                             ;Wijk      ;WK168004  ;1;14.0;64.0
15;Anderen;Aa en Hunze                             ;Buurt     ;BU16800400;1;;
16;Verspreide huizen Anderen;Aa en Hunze                             ;Buurt     ;BU16800409;1;;
17;Wijk 05 Schipborg;Aa en Hunze                             ;Wijk      ;WK168005  ;1;43.0;155.0
18;Schipborg;Aa en Hunze                             ;Buurt     ;BU16800500;1;;
