ID;Projectgrootte;RegioS;Perioden;DoorlooptijdWoningenInMaanden_1;WoningenIngedeeldNaarProjectgrootte_2
0;0;Nederland;1995;14;100
1;0;Nederland;1996;15;100
2;0;Nederland;1997;15;100
3;0;Nederland;1998;16;100
4;0;Nederland;1999;17;100
5;0;Nederland;2000;19;100
6;0;Nederland;2001;20;100
7;0;Nederland;2002;20;100
8;0;Nederland;2003;22;100
9;0;Nederland;2004;21;100
10;0;Nederland;2005;21;100
11;0;Nederland;2006;21;100
12;0;Nederland;2007;22;100
13;0;Nederland;2008;23;100
14;0;Nederland;2009;24;100
15;0;Nederland;2010;25;100
16;0;Nederland;2011;24;100
17;0;Noord-Nederland (LD);1995;12;100
18;0;Noord-Nederland (LD);1996;12;100
19;0;Noord-Nederland (LD);1997;13;100
20;0;Noord-Nederland (LD);1998;14;100
21;0;Noord-Nederland (LD);1999;16;100
22;0;Noord-Nederland (LD);2000;15;100
23;0;Noord-Nederland (LD);2001;17;100
24;0;Noord-Nederland (LD);2002;16;100
25;0;Noord-Nederland (LD);2003;21;100
26;0;Noord-Nederland (LD);2004;19;100
27;0;Noord-Nederland (LD);2005;18;100
28;0;Noord-Nederland (LD);2006;17;100
29;0;Noord-Nederland (LD);2007;19;100
30;0;Noord-Nederland (LD);2008;19;100
31;0;Noord-Nederland (LD);2009;22;100
32;0;Noord-Nederland (LD);2010;21;100
33;0;Noord-Nederland (LD);2011;20;100
34;0;Oost-Nederland (LD);1995;14;100
35;0;Oost-Nederland (LD);1996;13;100
36;0;Oost-Nederland (LD);1997;13;100
37;0;Oost-Nederland (LD);1998;14;100
38;0;Oost-Nederland (LD);1999;16;100
39;0;Oost-Nederland (LD);2000;17;100
40;0;Oost-Nederland (LD);2001;18;100
41;0;Oost-Nederland (LD);2002;18;100
42;0;Oost-Nederland (LD);2003;18;100
43;0;Oost-Nederland (LD);2004;18;100
44;0;Oost-Nederland (LD);2005;18;100
45;0;Oost-Nederland (LD);2006;19;100
46;0;Oost-Nederland (LD);2007;19;100
47;0;Oost-Nederland (LD);2008;22;100
48;0;Oost-Nederland (LD);2009;21;100
49;0;Oost-Nederland (LD);2010;21;100
50;0;Oost-Nederland (LD);2011;21;100
51;0;West-Nederland (LD);1995;14;100
52;0;West-Nederland (LD);1996;16;100
53;0;West-Nederland (LD);1997;16;100
54;0;West-Nederland (LD);1998;18;100
55;0;West-Nederland (LD);1999;18;100
56;0;West-Nederland (LD);2000;20;100
57;0;West-Nederland (LD);2001;21;100
58;0;West-Nederland (LD);2002;22;100
59;0;West-Nederland (LD);2003;24;100
60;0;West-Nederland (LD);2004;22;100
61;0;West-Nederland (LD);2005;22;100
62;0;West-Nederland (LD);2006;23;100
63;0;West-Nederland (LD);2007;24;100
64;0;West-Nederland (LD);2008;23;100
65;0;West-Nederland (LD);2009;25;100
66;0;West-Nederland (LD);2010;26;100
67;0;West-Nederland (LD);2011;27;100
68;0;Zuid-Nederland (LD);1995;14;100
69;0;Zuid-Nederland (LD);1996;15;100
70;0;Zuid-Nederland (LD);1997;16;100
71;0;Zuid-Nederland (LD);1998;16;100
72;0;Zuid-Nederland (LD);1999;17;100
73;0;Zuid-Nederland (LD);2000;18;100
74;0;Zuid-Nederland (LD);2001;21;100
75;0;Zuid-Nederland (LD);2002;21;100
76;0;Zuid-Nederland (LD);2003;22;100
77;0;Zuid-Nederland (LD);2004;22;100
78;0;Zuid-Nederland (LD);2005;21;100
79;0;Zuid-Nederland (LD);2006;21;100
80;0;Zuid-Nederland (LD);2007;23;100
81;0;Zuid-Nederland (LD);2008;22;100
82;0;Zuid-Nederland (LD);2009;25;100
83;0;Zuid-Nederland (LD);2010;26;100
84;0;Zuid-Nederland (LD);2011;25;100
85;0;Groningen (PV);1995;12;100
86;0;Groningen (PV);1996;12;100
87;0;Groningen (PV);1997;14;100
88;0;Groningen (PV);1998;14;100
89;0;Groningen (PV);1999;18;100
90;0;Groningen (PV);2000;15;100
91;0;Groningen (PV);2001;16;100
92;0;Groningen (PV);2002;12;100
93;0;Groningen (PV);2003;21;100
94;0;Groningen (PV);2004;20;100
95;0;Groningen (PV);2005;18;100
96;0;Groningen (PV);2006;15;100
97;0;Groningen (PV);2007;16;100
98;0;Groningen (PV);2008;19;100
99;0;Groningen (PV);2009;22;100
100;0;Groningen (PV);2010;24;100
101;0;Groningen (PV);2011;18;100
102;0;Friesland (PV);1995;11;100
103;0;Friesland (PV);1996;12;100
104;0;Friesland (PV);1997;12;100
105;0;Friesland (PV);1998;13;100
106;0;Friesland (PV);1999;15;100
107;0;Friesland (PV);2000;14;100
108;0;Friesland (PV);2001;16;100
109;0;Friesland (PV);2002;17;100
110;0;Friesland (PV);2003;18;100
111;0;Friesland (PV);2004;18;100
112;0;Friesland (PV);2005;16;100
113;0;Friesland (PV);2006;19;100
114;0;Friesland (PV);2007;18;100
115;0;Friesland (PV);2008;19;100
116;0;Friesland (PV);2009;20;100
117;0;Friesland (PV);2010;22;100
118;0;Friesland (PV);2011;23;100
119;0;Drenthe (PV);1995;13;100
120;0;Drenthe (PV);1996;14;100
121;0;Drenthe (PV);1997;13;100
122;0;Drenthe (PV);1998;15;100
123;0;Drenthe (PV);1999;15;100
124;0;Drenthe (PV);2000;15;100
125;0;Drenthe (PV);2001;20;100
126;0;Drenthe (PV);2002;20;100
127;0;Drenthe (PV);2003;24;100
128;0;Drenthe (PV);2004;19;100
129;0;Drenthe (PV);2005;20;100
130;0;Drenthe (PV);2006;18;100
131;0;Drenthe (PV);2007;21;100
132;0;Drenthe (PV);2008;20;100
133;0;Drenthe (PV);2009;24;100
134;0;Drenthe (PV);2010;17;100
135;0;Drenthe (PV);2011;20;100
136;0;Overijssel (PV);1995;13;100
137;0;Overijssel (PV);1996;13;100
138;0;Overijssel (PV);1997;12;100
139;0;Overijssel (PV);1998;14;100
140;0;Overijssel (PV);1999;17;100
141;0;Overijssel (PV);2000;15;100
142;0;Overijssel (PV);2001;19;100
143;0;Overijssel (PV);2002;20;100
144;0;Overijssel (PV);2003;20;100
145;0;Overijssel (PV);2004;17;100
146;0;Overijssel (PV);2005;14;100
147;0;Overijssel (PV);2006;19;100
148;0;Overijssel (PV);2007;20;100
149;0;Overijssel (PV);2008;21;100
150;0;Overijssel (PV);2009;21;100
151;0;Overijssel (PV);2010;21;100
152;0;Overijssel (PV);2011;20;100
153;0;Flevoland (PV);1995;14;100
154;0;Flevoland (PV);1996;12;100
155;0;Flevoland (PV);1997;13;100
156;0;Flevoland (PV);1998;13;100
