ID;Geslacht;Leeftijd;TypeZorg;Herkomstgroepering;Perioden;AantalInVerslagjaar_1;PercentageInVerslagjaar_2;TotaalUrenInVerslagjaar_3;GemiddeldPerPersoonInVerslagjaar_4;GemiddeldInBevolkingInVerslagjaar_5
0;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Totaal herkomstgroeperingen;2004;608095;4.77;89515;147;7.02
1;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Totaal herkomstgroeperingen;2005;595375;4.66;90493;152;7.08
2;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Totaal herkomstgroeperingen;2006;607575;4.74;95031;156;7.42
3;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Totaal herkomstgroeperingen;2007;610180;4.76;95279;156;7.43
4;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Totaal herkomstgroeperingen;2008;620190;4.79;96447;156;7.44
5;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Totaal herkomstgroeperingen;2009;620890;4.76;99194;160;7.6
6;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Totaal herkomstgroeperingen;2010;629155;4.79;101725;162;7.74
7;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Autochtoon;2004;540110;5.15;80354;149;7.66
8;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Autochtoon;2005;527695;5.03;81086;154;7.72
9;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Autochtoon;2006;537485;5.12;84845;158;8.07
10;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Autochtoon;2007;538580;5.12;84925;158;8.08
11;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Autochtoon;2008;545340;5.16;85735;157;8.12
12;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Autochtoon;2009;544755;5.14;87944;161;8.3
13;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Autochtoon;2010;549320;5.17;89575;163;8.43
14;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Totaal allochtoon;2004;67985;3.01;9162;135;4.05
15;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Totaal allochtoon;2005;67675;2.96;9407;139;4.11
16;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Totaal allochtoon;2006;70090;3.04;10186;145;4.42
17;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Totaal allochtoon;2007;71600;3.09;10354;145;4.47
18;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Totaal allochtoon;2008;74850;3.13;10712;143;4.47
