ID;Leeftijd;Jaar;Mannen_1;Vrouwen_2;Mannen_3;Vrouwen_4
0;Totaal alle leeftijden;1996;7662289.0;7831600.0;69008.0;68553.0
1;Totaal alle leeftijden;1997;7696803.0;7870304.0;67243.0;68540.0
2;Totaal alle leeftijden;1998;7740074.0;7914118.0;68209.0;69273.0
3;Totaal alle leeftijden;1999;7793271.0;7966954.0;68872.0;71615.0
4;Totaal alle leeftijden;2000;7846317.0;8017633.0;68773.0;71754.0
5;Totaal alle leeftijden;2001;7909855.0;8077220.0;;
6;Overleden in jaar van geboorte;1996;;;532.0;419.0
7;Overleden in jaar van geboorte;1997;;;479.0;383.0
8;Overleden in jaar van geboorte;1998;;;554.0;386.0
9;Overleden in jaar van geboorte;1999;;;514.0;443.0
10;Overleden in jaar van geboorte;2000;;;526.0;425.0
11;Overleden in jaar van geboorte;2001;;;;
12;0;1996;97614.0;93122.0;115.0;74.0
13;0;1997;97867.0;92351.0;87.0;59.0
14;0;1998;98146.0;94162.0;83.0;52.0
15;0;1999;102214.0;97514.0;72.0;70.0
16;0;2000;103549.0;98199.0;81.0;75.0
17;0;2001;105856.0;101241.0;;
18;1;1996;100437.0;95882.0;44.0;37.0
19;1;1997;97879.0;93588.0;41.0;29.0
20;1;1998;98321.0;92870.0;41.0;32.0
21;1;1999;98860.0;94917.0;40.0;23.0
22;1;2000;102854.0;98163.0;42.0;30.0
23;1;2001;104153.0;99002.0;;
24;2;1996;100043.0;95775.0;29.0;21.0
25;2;1997;100674.0;96112.0;30.0;28.0
26;2;1998;98123.0;93767.0;39.0;18.0
27;2;1999;98724.0;93339.0;32.0;24.0
28;2;2000;99191.0;95356.0;30.0;22.0
29;2;2001;103235.0;98552.0;;
30;3;1996;101225.0;96329.0;19.0;21.0
31;3;1997;100243.0;95979.0;21.0;19.0
32;3;1998;100907.0;96339.0;18.0;14.0
33;3;1999;98489.0;94120.0;22.0;12.0
34;3;2000;99112.0;93733.0;19.0;12.0
35;3;2001;99549.0;95786.0;;
