ID;Perioden;TotaalSocialePremies_1;AlgemeenArbeidsongeschiktheidsfonds_2;Arbeidsongeschiktheidsfonds_3;ArbeidsongeschiktheidsfondsZelfst_4;Werkhervattingskas_5;Arbeidsongeschiktheidskas_6;AlgemeenWerkloosheidsfonds_7;Sectorfondsen_8;UitvoeringsfondsVoorDeOverheid_9;WetKinderopvang_10;Ziekengeldkassen_11;AlgemeneKas_12;Zorgverzekeringsfonds_13;AlgemeenOuderdomsfonds_14;AlgemeenNabestaandenfonds_15;AlgemeenKinderbijslagfonds_16;AlgemeenFondsBijzondereZiektekosten_17;FondsLangdurigeZorg_18;TotaalSocialePremiesTLVWerkgevers_19;AlgemeenArbeidsongeschiktheidsfonds_20;Arbeidsongeschiktheidsfonds_21;Werkhervattingskas_22;Arbeidsongeschiktheidskas_23;AlgemeenWerkloosheidsfonds_24;Sectorfondsen_25;UitvoeringsfondsVoorDeOverheid_26;WetKinderopvang_27;Ziekengeldkassen_28;AlgemeneKas_29;Zorgverzekeringsfonds_30;AlgemeenKinderbijslagfonds_31;AlgemeenFondsBijzondereZiektekosten_32;FondsLangdurigeZorg_33;TotaalSocPremiesNietTLVWerkg_34;AlgemeenArbeidsongeschiktheidsfonds_35;Arbeidsongeschiktheidsfonds_36;ArbeidsongeschiktheidsfondsZelfst_37;AlgemeenWerkloosheidsfonds_38;Sectorfondsen_39;Ziekengeldkassen_40;AlgemeneKas_41;Zorgverzekeringsfonds_42;AlgemeenOuderdomsfonds_43;AlgemeenNabestaandenfonds_44;AlgemeenKinderbijslagfonds_45;AlgemeenFondsBijzondereZiektekosten_46;FondsLangdurigeZorg_47
87;2015 4e kwartaal;31293;;2765;;394.0;;873;912;174.0;282.0;;;8955.0;9046;490;;3538;3864.0;8996;;2751.0;394.0;;873;912;174.0;282.0;;;3610.0;;;;22297;;14.0;;;;;;5345.0;9046;490;;3538;3864.0
88;2015;96426;;10635;;1502.0;;3330;3463;689.0;1083.0;;;34879.0;24399;1059;;148;15239.0;34614;;10579.0;1502.0;;3330;3463;689.0;1083.0;;;13968.0;;;;61812;;56.0;;;;;;20911.0;24399;1059;;148;15239.0
89;2016 1e kwartaal;25695;;2784;;330.0;;898;647;172.0;254.0;;;8889.0;6747;286;;439;4249.0;8368;;2769.0;330.0;;898;647;172.0;254.0;;;3298.0;;;;17327;;15.0;;;;;;5591.0;6747;286;;439;4249.0
90;2016 2e kwartaal;23730;;3499;;435.0;;1157;845;184.0;316.0;;;9516.0;4855;167;;421;2335.0;10196;;3484.0;435.0;;1157;845;184.0;316.0;;;3775.0;;;;13534;;15.0;;;;;;5741.0;4855;167;;421;2335.0
91;2016 3e kwartaal;24599;;2827;;335.0;;932;658;169.0;259.0;;;8828.0;6022;259;;711;3599.0;8438;;2812.0;335.0;;932;658;169.0;259.0;;;3273.0;;;;16161;;15.0;;;;;;5555.0;6022;259;;711;3599.0
92;2016 4e kwartaal;30229;;3190;;400.0;;1078;788;173.0;291.0;;;9424.0;7974;447;;2375;4089.0;9576;;3175.0;400.0;;1078;788;173.0;291.0;;;3671.0;;;;20653;;15.0;;;;;;5753.0;7974;447;;2375;4089.0
93;2016;104253;;12300;;1500.0;;4065;2938;698.0;1120.0;;;36657.0;25598;1159;;3946;14272.0;36578;;12240.0;1500.0;;4065;2938;698.0;1120.0;;;14017.0;;;;67675;;60.0;;;;;;22640.0;25598;1159;;3946;14272.0
94;2017 1e kwartaal;24249;;3000;;305.0;;1002;510;176.0;262.0;;;9205.0;5844;58;;208;3679.0;8534;;2986.0;305.0;;1002;510;176.0;262.0;;;3293.0;;;;15715;;14.0;;;;;;5912.0;5844;58;;208;3679.0
95;2017 2e kwartaal;24478;;3743;;412.0;;1291;664;186.0;322.0;;;9999.0;5017;-62;;104;2802.0;10489;;3729.0;412.0;;1291;664;186.0;322.0;;;3885.0;;;;13989;;14.0;;;;;;6114.0;5017;-62;;104;2802.0
96;2017 3e kwartaal;25751;;3078;;326.0;;1068;539;170.0;269.0;;;9306.0;6507;93;;73;4322.0;8826;;3064.0;326.0;;1068;539;170.0;269.0;;;3390.0;;;;16925;;14.0;;;;;;5916.0;6507;93;;73;4322.0
97;2017 4e kwartaal;27780;;3471;;370.0;;1208;625;176.0;300.0;;;9764.0;6521;86;;1319;3940.0;9845;;3457.0;370.0;;1208;625;176.0;300.0;;;3709.0;;;;17935;;14.0;;;;;;6055.0;6521;86;;1319;3940.0
98;2017;102258;;13292;;1413.0;;4569;2338;708.0;1153.0;;;38274.0;23889;175;;1704;14743.0;37694;;13236.0;1413.0;;4569;2338;708.0;1153.0;;;14277.0;;;;64564;;56.0;;;;;;23997.0;23889;175;;1704;14743.0
