ID;Geslacht;HoogstGevolgdeOpleiding;Perioden;TotaalHaltJongeren_1;TotaalMisdrijvenHalt_2;GeweldsmisdrijvenHalt_3;VernielingEnOpenbareOrdeHalt_4;VermogensmisdrijvenHalt_5;OverigeMisdrijvenHalt_6;TotaalOvertredingenHalt_7;BaldadigheidHalt_8;OvertredingLeerplichtwetHalt_9;VuurwerkovertredingenHalt_10;OverigeOvertredingenHalt_11;OnbekendMisdrijfOfOvertreding_12;TotaalHaltJongeren_13;TotaalMisdrijvenHalt_14;GeweldsmisdrijvenHalt_15;VernielingEnOpenbareOrdeHalt_16;VermogensmisdrijvenHalt_17;OverigeMisdrijvenHalt_18;TotaalOvertredingenHalt_19;BaldadigheidHalt_20;OvertredingLeerplichtwetHalt_21;VuurwerkovertredingenHalt_22;OverigeOvertredingenHalt_23;OnbekendMisdrijfOfOvertreding_24
0;Totaal mannen en vrouwen;Totaal opleidingen;2005;22230.0;12690.0;0.0;4620.0;8070.0;0.0;7630.0;2050.0;0.0;5080.0;500.0;1900.0;;;;;;;;;;;;
1;Totaal mannen en vrouwen;Totaal opleidingen;2006;21550.0;12730.0;0.0;5080.0;7650.0;0.0;6750.0;2370.0;0.0;3830.0;550.0;2080.0;167.0;99.0;;39.0;59.0;;52.0;19.0;;29.0;4.0;16.0
2;Totaal mannen en vrouwen;Totaal opleidingen;2007;23310.0;12790.0;30.0;5230.0;7510.0;20.0;8170.0;2460.0;110.0;5210.0;390.0;2350.0;182.0;101.0;0.0;41.0;59.0;0.0;62.0;19.0;1.0;39.0;3.0;19.0
3;Totaal mannen en vrouwen;Totaal opleidingen;2008;21510.0;11980.0;160.0;4730.0;7020.0;60.0;8580.0;2110.0;1890.0;4170.0;420.0;950.0;170.0;95.0;1.0;38.0;56.0;1.0;67.0;17.0;15.0;32.0;3.0;8.0
4;Totaal mannen en vrouwen;Totaal opleidingen;2009;20480.0;10800.0;140.0;3520.0;7080.0;50.0;9140.0;1950.0;2020.0;3510.0;1660.0;540.0;165.0;87.0;1.0;28.0;57.0;0.0;73.0;16.0;17.0;27.0;13.0;4.0
5;Totaal mannen en vrouwen;Totaal opleidingen;2010;17020.0;8040.0;120.0;1990.0;5700.0;230.0;8960.0;2260.0;2310.0;2630.0;1770.0;30.0;138.0;65.0;1.0;16.0;46.0;2.0;73.0;18.0;19.0;21.0;14.0;
6;Totaal mannen en vrouwen;Totaal opleidingen;2011;17300.0;7260.0;100.0;1740.0;5160.0;250.0;10030.0;2720.0;2500.0;2230.0;2570.0;20.0;140.0;59.0;1.0;14.0;42.0;2.0;81.0;22.0;20.0;18.0;21.0;
7;Totaal mannen en vrouwen;Totaal opleidingen;2012;17510.0;7440.0;220.0;1730.0;4910.0;580.0;10020.0;2930.0;3020.0;1930.0;2160.0;50.0;141.0;60.0;2.0;14.0;40.0;5.0;81.0;24.0;25.0;15.0;18.0;
8;Totaal mannen en vrouwen;Totaal opleidingen;2013;16540.0;6880.0;440.0;1300.0;4350.0;800.0;9650.0;2430.0;2860.0;1970.0;2390.0;10.0;132.0;55.0;4.0;10.0;35.0;6.0;78.0;19.0;23.0;16.0;19.0;
9;Totaal mannen en vrouwen;Totaal opleidingen;2014;16590.0;7340.0;630.0;1270.0;4470.0;970.0;9250.0;2120.0;2720.0;1880.0;2530.0;10.0;133.0;59.0;5.0;10.0;36.0;8.0;74.0;17.0;22.0;15.0;20.0;
10;Totaal mannen en vrouwen;Basisonderwijs;2005;;;;;;;;;;;;;;;;;;;;;;;;
11;Totaal mannen en vrouwen;Basisonderwijs;2006;2040.0;1220.0;0.0;560.0;660.0;0.0;730.0;260.0;0.0;430.0;40.0;100.0;223.0;133.0;;61.0;72.0;;80.0;29.0;;47.0;4.0;10.0
12;Totaal mannen en vrouwen;Basisonderwijs;2007;2180.0;1190.0;0.0;610.0;580.0;0.0;870.0;250.0;10.0;570.0;40.0;120.0;272.0;148.0;;75.0;73.0;;109.0;31.0;1.0;72.0;5.0;15.0
13;Totaal mannen en vrouwen;Basisonderwijs;2008;1600.0;970.0;20.0;460.0;490.0;10.0;590.0;200.0;30.0;350.0;20.0;50.0;218.0;131.0;2.0;62.0;66.0;1.0;81.0;27.0;4.0;48.0;3.0;6.0
14;Totaal mannen en vrouwen;Basisonderwijs;2009;1370.0;760.0;20.0;300.0;440.0;0.0;590.0;180.0;20.0;310.0;80.0;20.0;201.0;112.0;2.0;44.0;65.0;;86.0;26.0;3.0;46.0;11.0;3.0
