ID;SBI93;Periode;Bedrijven_1;WerkzamePersonen_2;Bedrijfsopbrengsten_3;BrutoWinst_4;BedrijfslastenTotaal_5;Personeelskosten_6;Bedrijfsresultaat_7;ResultaatVoorBelasting_8
0;511 Totaal handelsbemiddeling;1997;54.6;155.9;1185;1130;74.0;34.4;26.0;25.9
1;511 Totaal handelsbemiddeling;1998;59.1;160.8;1311;1248;74.4;33.3;25.6;24.1
2;511 Totaal handelsbemiddeling;1999;61.7;193.1;1550;1497;73.5;33.2;26.5;30.9
3;511 Totaal handelsbemiddeling 0-10 wn;1997;53.6;103.9;588;575;68.4;28.5;31.6;31.4
4;511 Totaal handelsbemiddeling 0-10 wn;1998;58.1;112.3;712;702;69.5;28.5;30.5;29.5
5;511 Totaal handelsbemiddeling 0-10 wn;1999;60.6;135.9;797;789;67.8;28.5;32.2;32.4
6;511 Totaal handelsbemiddeling 10 en meer;1997;1.0;52.1;596;555;79.2;40.0;20.8;20.4
7;511 Totaal handelsbemiddeling 10 en meer;1998;1.0;48.4;599;547;80.1;39.1;19.9;17.7
8;511 Totaal handelsbemiddeling 10 en meer;1999;1.1;57.1;753;708;79.6;38.1;20.4;29.4
9;5111 Landbouwproducten, levende dieren;1997;4.9;12.2;82;78;76.7;32.1;23.4;20.7
10;5111 Landbouwproducten, levende dieren;1998;5.1;12.0;95;91;73.1;31.5;26.9;24.8
11;5111 Landbouwproducten, levende dieren;1999;5.6;14.1;100;96;66.5;28.2;33.5;35.0
12;5112 Brandstoffen, ertsen, metalen;1997;2.4;7.8;66;66;74.0;39.0;26.1;27.1
13;5112 Brandstoffen, ertsen, metalen;1998;2.8;7.6;69;68;75.0;39.9;25.0;26.0
14;5112 Brandstoffen, ertsen, metalen;1999;2.4;10.8;78;76;77.4;47.2;22.6;21.1
15;5113 Hout, vlakglas, sanitair en bouwmat;1997;2.8;9.2;79;75;67.6;33.4;32.8;28.2
16;5113 Hout, vlakglas, sanitair en bouwmat;1998;3.1;10.0;96;93;72.8;30.2;27.2;22.9
17;5113 Hout, vlakglas, sanitair en bouwmat;1999;3.0;8.4;77;77;77.5;28.8;22.5;23.0
18;5114 Machines, schepen en vliegtuigen;1997;8.1;36.1;354;329;71.9;36.5;28.1;27.7
19;5114 Machines, schepen en vliegtuigen;1998;9.0;36.9;397;356;74.2;34.8;25.8;25.1
20;5114 Machines, schepen en vliegtuigen;1999;9.8;49.5;565;534;69.1;32.0;30.9;28.9
21;5115 Meubels, hh artikelen en ijzerwaren;1997;6.7;15.2;106;101;73.8;27.6;26.2;28.9
22;5115 Meubels, hh artikelen en ijzerwaren;1998;7.3;16.0;114;109;70.3;28.2;29.7;29.5
23;5115 Meubels, hh artikelen en ijzerwaren;1999;7.9;22.1;146;144;74.0;35.8;26.0;27.6
24;5116 Kleding, textiel, schoeisel;1997;12.6;28.9;196;191;77.0;32.1;23.0;23.7
25;5116 Kleding, textiel, schoeisel;1998;12.9;29.1;186;183;76.9;33.9;23.1;21.4
26;5116 Kleding, textiel, schoeisel;1999;12.0;30.5;192;190;76.3;33.6;23.7;24.2
27;5117 Voedings- en genotmiddelen;1997;4.4;10.8;102;98;64.1;30.5;35.9;35.8
28;5117 Voedings- en genotmiddelen;1998;4.8;12.8;119;118;63.5;28.6;36.5;30.4
29;5117 Voedings- en genotmiddelen;1999;4.7;12.8;114;111;56.6;27.0;43.4;45.6
30;5118 Gespecialiseerd in overige goederen;1997;9.8;28.8;168;162;81.8;38.3;18.2;19.0
31;5118 Gespecialiseerd in overige goederen;1998;10.2;28.2;193;189;80.3;34.5;19.7;19.3
32;5118 Gespecialiseerd in overige goederen;1999;11.9;35.0;202;199;;37.8;;
33;5119 Niet gespecialiseerde handelsbem;1997;2.9;7.0;31;31;79.7;40.6;20.3;17.4
34;5119 Niet gespecialiseerde handelsbem;1998;3.9;8.1;42;42;84.3;39.1;15.7;14.8
35;5119 Niet gespecialiseerde handelsbem;1999;4.3;9.8;77;70;82.6;29.1;17.4;
