ID;Achtergrondkenmerken;Perioden;EigenBuurtOfWijk_1;EldersInWoongemeente_2;EldersInNederland_3;InHetBuitenland_4;BijSlachtofferThuis_5;InBijAndereWoning_6;InBijCafeBarDiscoRestaurant_7;OpStraat_8;InBijStationBushalte_9;InTramBusTrein_10;InAuto_11;OpWerkOpSchool_12;InBijWinkelWarenhuis_13;InBijSportaccommodatie_14;InBijParkStrandParking_15;Elders_16
0;Delicten totaal;1997;52.4;25.7;19.3;2.6;;;;;;;;;;;;
1;Delicten totaal;1998;49.5;27.0;19.4;4.0;;;;;;;;;;;;
2;Delicten totaal;1999;52.4;24.2;20.1;3.4;;;;;;;;;;;;
3;Delicten totaal;2000;51.8;24.0;21.0;3.2;;;;;;;;;;;;
4;Delicten totaal;2001;49.2;27.3;20.6;2.9;;;;;;;;;;;;
5;Delicten totaal;2002;52.2;24.4;20.6;2.8;;;;;;;;;;;;
6;Delicten totaal;2003;50.3;26.2;20.9;2.6;;;;;;;;;;;;
7;Delicten totaal;2004;54.7;24.2;18.7;2.5;;;;;;;;;;;;
8;Geweldsdelicten totaal;1997;35.2;31.9;30.7;2.2;;;;;;;;;;;;
9;Geweldsdelicten totaal;1998;33.3;33.4;29.1;4.3;;;;;;;;;;;;
10;Geweldsdelicten totaal;1999;36.8;30.0;29.6;3.6;;;;;;;;;;;;
11;Geweldsdelicten totaal;2000;31.3;29.9;34.1;4.7;;;;;;;;;;;;
12;Geweldsdelicten totaal;2001;32.4;36.5;28.1;3.1;;;;;;;;;;;;
13;Geweldsdelicten totaal;2002;37.7;29.1;31.1;2.1;;;;;;;;;;;;
14;Geweldsdelicten totaal;2003;31.1;33.8;32.9;2.2;;;;;;;;;;;;
15;Geweldsdelicten totaal;2004;35.9;29.2;31.7;3.2;;;;;;;;;;;;
16;Seksuele delicten;1997;35.3;29.7;30.2;4.8;7.7;6.9;26.2;13.5;2.0;0.5;3.0;29.2;0.5;2.7;1.3;6.4
17;Seksuele delicten;1998;23.7;36.4;34.7;5.2;5.8;7.4;28.0;20.4;0.4;1.3;0.0;20.6;0.0;2.1;2.6;11.2
18;Seksuele delicten;1999;27.3;28.1;34.7;9.9;11.3;4.4;28.0;8.6;0.0;6.3;0.0;28.5;0.0;2.1;3.3;7.6
19;Seksuele delicten;2000;23.6;35.4;27.5;13.5;11.2;5.4;19.4;17.4;3.3;3.5;0.0;27.3;1.0;3.1;2.7;5.7
20;Seksuele delicten;2001;24.0;39.4;32.7;3.9;5.9;6.0;32.4;14.1;2.5;5.0;0.0;21.1;1.6;1.5;2.6;7.3
21;Seksuele delicten;2002;18.1;42.6;35.7;3.6;5.1;8.8;28.2;18.0;0.7;3.5;0.0;28.2;1.7;0.7;2.4;2.8
22;Seksuele delicten;2003;34.1;31.3;32.2;2.4;9.1;7.6;19.0;15.7;1.4;4.2;0.0;35.3;0.0;1.6;0.6;5.6
23;Seksuele delicten;2004;31.4;25.0;36.2;7.4;4.3;0.7;17.2;28.0;2.2;1.0;0.9;30.7;3.2;3.1;1.7;7.2
24;Mishandeling;1997;33.3;31.2;32.3;3.2;11.3;3.2;14.1;37.7;0.5;2.4;0.6;16.4;0.0;3.7;3.1;6.9
25;Mishandeling;1998;33.4;29.5;30.0;7.1;7.0;5.1;15.3;35.0;2.4;1.1;1.4;18.2;1.2;2.2;2.6;8.4
26;Mishandeling;1999;37.9;31.9;26.7;3.6;12.1;1.4;15.7;38.5;1.2;0.8;1.5;21.3;0.7;0.0;2.5;4.3
27;Mishandeling;2000;32.3;26.6;36.3;4.7;6.7;11.4;11.5;41.6;1.3;1.7;1.2;17.0;0.0;3.2;2.3;2.1
28;Mishandeling;2001;28.1;40.9;26.9;4.1;6.6;2.2;16.8;36.9;1.3;1.6;0.9;20.1;0.6;1.7;2.4;8.8
29;Mishandeling;2002;43.3;26.6;27.2;2.9;13.8;3.6;7.6;45.7;1.3;2.1;0.5;13.7;0.8;2.3;1.1;7.6
30;Mishandeling;2003;32.4;33.7;30.5;3.5;11.7;3.8;20.1;33.0;1.1;1.4;0.0;17.8;2.5;1.9;1.3;5.5
31;Mishandeling;2004;37.1;28.1;29.6;5.3;10.6;3.5;15.3;35.3;2.8;1.1;0.0;18.1;3.1;2.9;1.0;6.2
32;Bedreiging;1997;36.1;33.2;30.1;0.6;11.6;2.7;12.6;31.2;2.5;0.7;0.9;23.9;0.5;4.0;3.0;6.4
33;Bedreiging;1998;36.8;34.5;26.4;2.3;10.1;2.5;9.6;39.1;1.4;0.2;2.7;22.5;0.9;2.9;1.4;6.8
34;Bedreiging;1999;39.5;29.7;29.3;1.5;11.5;2.9;13.2;34.3;1.8;1.7;1.1;22.3;1.8;2.7;1.0;5.7
35;Bedreiging;2000;33.2;29.6;35.2;2.0;11.1;1.7;11.6;33.0;1.8;3.3;0.7;26.8;1.5;1.5;1.8;5.0
36;Bedreiging;2001;37.0;33.4;27.3;2.3;10.8;0.9;13.5;30.9;2.2;1.6;1.2;27.8;1.0;2.5;1.5;6.2
37;Bedreiging;2002;41.3;26.0;31.4;1.3;10.7;1.5;10.8;33.8;2.0;2.0;1.6;28.4;1.7;1.5;1.5;4.5
38;Bedreiging;2003;29.9;34.5;34.1;1.6;9.1;3.4;14.0;28.5;2.3;2.6;0.1;30.3;1.5;1.3;1.4;5.4
39;Bedreiging;2004;36.4;30.7;31.7;1.2;12.8;1.2;13.2;29.4;1.7;1.8;0.9;25.1;1.6;2.0;2.7;7.7
