ID;ProductenProdCom;Perioden;Zelfvervaardigd_1;Onderaannemer_2;Zelfvervaardigd_3;Onderaannemer_4;EenheidVerkochtProduct_5
0;07 Metaalertsen;2021;;0.0;;;                              nvt  
1;07 Metaalertsen;2022;;0.0;;;                              nvt  
2;07 Metaalertsen;2023;;0.0;;;                              nvt  
3;071 IJzererts;2021;;0.0;;;                              nvt  
4;071 IJzererts;2022;;0.0;;;                              nvt  
5;071 IJzererts;2023;;0.0;;;                              nvt  
6;07101010 IJzererts en concentraten da...;2021;;0.0;;0.0;                          mln. kg  
7;07101010 IJzererts en concentraten da...;2022;;0.0;;0.0;                          mln. kg  
8;07101010 IJzererts en concentraten da...;2023;;0.0;;0.0;                          mln. kg  
9;07101020 IJzererts en concentraten da...;2021;0.0;0.0;0.0;0.0;                          mln. kg  
10;07101020 IJzererts en concentraten da...;2022;0.0;0.0;0.0;0.0;                          mln. kg  
11;07101020 IJzererts en concentraten da...;2023;0.0;0.0;0.0;0.0;                          mln. kg  
12;0729 Andere non-ferrometaalertsen en...;2021;;0.0;;;                              nvt  
13;0729 Andere non-ferrometaalertsen en...;2022;;0.0;;;                              nvt  
14;0729 Andere non-ferrometaalertsen en...;2023;;0.0;;;                              nvt  
15;07291100 Kopererts en concentraten da...;2021;0.0;0.0;0.0;0.0;                          mln. kg  
16;07291100 Kopererts en concentraten da...;2022;0.0;0.0;0.0;0.0;                          mln. kg  
17;07291100 Kopererts en concentraten da...;2023;0.0;0.0;0.0;0.0;                          mln. kg  
18;07291200 Nikkelerts en concentraten d...;2021;0.0;0.0;0.0;0.0;                          mln. kg  
19;07291200 Nikkelerts en concentraten d...;2022;0.0;0.0;0.0;0.0;                          mln. kg  
20;07291200 Nikkelerts en concentraten d...;2023;0.0;0.0;0.0;0.0;                          mln. kg  
21;07291300 Aluminiumerts en concentrate...;2021;;0.0;;0.0;                          mln. kg  
22;07291300 Aluminiumerts en concentrate...;2022;;0.0;;0.0;                          mln. kg  
23;07291300 Aluminiumerts en concentrate...;2023;;0.0;;0.0;                          mln. kg  
24;07291410 Zilvererts en concentraten d...;2021;0.0;0.0;0.0;0.0;                          mln. kg  
25;07291410 Zilvererts en concentraten d...;2022;0.0;0.0;0.0;0.0;                          mln. kg  
26;07291410 Zilvererts en concentraten d...;2023;0.0;0.0;0.0;0.0;                          mln. kg  
27;07291420 Andere ertsen van edele meta...;2021;0.0;0.0;0.0;0.0;                          mln. kg  
28;07291420 Andere ertsen van edele meta...;2022;0.0;0.0;0.0;0.0;                          mln. kg  
29;07291420 Andere ertsen van edele meta...;2023;0.0;0.0;0.0;0.0;                          mln. kg  
30;07291510 Looderts en concentraten daa...;2021;0.0;0.0;0.0;0.0;                          mln. kg  
31;07291510 Looderts en concentraten daa...;2022;0.0;0.0;0.0;0.0;                          mln. kg  
32;07291510 Looderts en concentraten daa...;2023;0.0;0.0;0.0;0.0;                          mln. kg  
33;07291520 Zinkerts en concentraten daa...;2021;0.0;0.0;0.0;0.0;                          mln. kg  
34;07291520 Zinkerts en concentraten daa...;2022;0.0;0.0;0.0;0.0;                          mln. kg  
35;07291520 Zinkerts en concentraten daa...;2023;0.0;0.0;0.0;0.0;                          mln. kg  
36;07291530 Tinerts en concentraten daarvan;2021;0.0;0.0;0.0;0.0;                          mln. kg  
37;07291530 Tinerts en concentraten daarvan;2022;0.0;0.0;0.0;0.0;                          mln. kg  
38;07291530 Tinerts en concentraten daarvan;2023;0.0;0.0;0.0;0.0;                          mln. kg  
39;07291905 Kobalterts en concentraten d...;2021;0.0;0.0;0.0;0.0;                          mln. kg  
40;07291905 Kobalterts en concentraten d...;2022;0.0;0.0;0.0;0.0;                          mln. kg  
41;07291905 Kobalterts en concentraten d...;2023;0.0;0.0;0.0;0.0;                          mln. kg  
42;07291910 Chroomerts en concentraten d...;2021;;0.0;;0.0;                          mln. kg  
43;07291910 Chroomerts en concentraten d...;2022;;0.0;;0.0;                          mln. kg  
44;07291910 Chroomerts en concentraten d...;2023;;0.0;;0.0;                          mln. kg  
45;07291915 Mangaanerts en concentraten ...;2021;;0.0;;0.0;                          mln. kg  
46;07291915 Mangaanerts en concentraten ...;2022;;0.0;;0.0;                          mln. kg  
47;07291915 Mangaanerts en concentraten ...;2023;;0.0;;0.0;                          mln. kg  
48;07291920 Wolfraamerts en concentraten...;2021;0.0;0.0;0.0;0.0;                          mln. kg  
49;07291920 Wolfraamerts en concentraten...;2022;0.0;0.0;0.0;0.0;                          mln. kg  
50;07291920 Wolfraamerts en concentraten...;2023;0.0;0.0;0.0;0.0;                          mln. kg  
51;07291925 Molybdeenerts en concentrate...;2021;0.0;0.0;0.0;0.0;                          mln. kg  
52;07291925 Molybdeenerts en concentrate...;2022;0.0;0.0;0.0;0.0;                          mln. kg  
53;07291925 Molybdeenerts en concentrate...;2023;0.0;0.0;0.0;0.0;                          mln. kg  
