ID;SBI93;Perioden;Bedrijven_1;WerkzamePersonenEindSeptember_2;WerkzamePersonenFTEEindSeptember_3;WerknemersOpDeEigenLoonlijst_4;WerknemersFTEOpDeEigenLoonlijst_5;TotaleBedrijfsopbrengsten_6;TotaleNettoOmzet_7;NettoOmzetUitHoofdactiviteit_8;NettoOmzetUitNevenactiviteiten_9;OverigeBedrijfsopbrengsten_10;TotaleBedrijfslasten_11;TotaleInkoopwaardeOmzet_12;InkoopwaardeBouwmaterialen_13;InkoopwaardeHandelsgoederen_14;BetalingAanOnderaannemers_15;OverigeInkoopwaarde_16;TotaleArbeidskosten_17;BrutoLonenEnSalarissen_18;SocialeLasten_19;AfschrijvingenOpVasteActiva_20;TotaleOverigeBedrijfslasten_21;KostenEnergieverbruik_22;KostenVervoermiddelen_23;Huisvestingskosten_24;KostenMachinesEnInstallaties_25;OverigePersoneelskosten_26;Verkoopkosten_27;Communicatiekosten_28;KostenVanDienstverleningDoorDerden_29;NietEerderGenoemdeBedrijfslasten_30;Bedrijfsresultaat_31;SaldoFinancieleBatenEnLasten_32;FinancieleBaten_33;FinancieleLasten_34;SaldoVoorzieningen_35;OnttrekkingenVrijvalVanVoorzieningen_36;ToevoegingenAanVoorzieningen_37;SaldoBuitengewoneBatenEnLasten_38;BuitengewoneBaten_39;BuitengewoneLasten_40;ResultaatVoorBelastingen_41
76;4534 Overige bouwinstallatiebedrijven;2004;180.0;11.0;11.0;10.0;10.0;2613.0;2643.0;1739.0;904.0;-29.0;2502.0;1622.0;804.0;473.0;276.0;69.0;545.0;445.0;100.0;33.0;302.0;4.0;46.0;32.0;13.0;72.0;39.0;14.0;37.0;46.0;111.0;28.0;73.0;45.0;5.0;16.0;11.0;562.0;563.0;1.0;707.0
77;4534 Overige bouwinstallatiebedrijven;2005;185.0;11.0;10.0;9.0;9.0;2342.0;2127.0;1729.0;398.0;214.0;2216.0;1420.0;962.0;172.0;279.0;7.0;487.0;401.0;86.0;26.0;283.0;4.0;37.0;26.0;9.0;86.0;46.0;12.0;27.0;34.0;125.0;10.0;45.0;35.0;-2.0;4.0;6.0;-1.0;1.0;2.0;132.0
78;454 Afwerken van gebouwen;2000;19650.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
79;454 Afwerken van gebouwen;2001;21330.0;74.0;67.0;60.0;57.0;6809.0;6746.0;6553.0;193.0;63.0;6078.0;2994.0;;;;;2061.0;1455.0;606.0;158.0;864.0;18.0;185.0;90.0;49.0;164.0;71.0;27.0;77.0;182.0;731.0;-23.0;28.0;52.0;-5.0;6.0;12.0;0.0;13.0;13.0;702.0
80;454 Afwerken van gebouwen;2002;22540.0;74.0;69.0;61.0;57.0;7286.0;7253.0;7077.0;176.0;33.0;6512.0;3211.0;1580.0;149.0;807.0;675.0;2214.0;1553.0;661.0;156.0;931.0;19.0;186.0;106.0;51.0;197.0;81.0;31.0;86.0;174.0;774.0;-31.0;25.0;56.0;-9.0;4.0;13.0;-3.0;12.0;15.0;730.0
81;454 Afwerken van gebouwen;2003;23360.0;75.0;68.0;58.0;54.0;7130.0;7062.0;6969.0;92.0;69.0;6372.0;3137.0;1605.0;45.0;1481.0;7.0;2122.0;1532.0;589.0;163.0;884.0;21.0;186.0;110.0;47.0;212.0;79.0;33.0;96.0;167.0;758.0;-23.0;24.0;47.0;-5.0;5.0;11.0;-4.0;12.0;16.0;725.0
82;454 Afwerken van gebouwen;2004;23995.0;71.0;65.0;55.0;50.0;7013.0;6918.0;6801.0;117.0;95.0;6281.0;2876.0;1811.0;62.0;972.0;31.0;2230.0;1617.0;613.0;167.0;1008.0;23.0;195.0;140.0;55.0;188.0;80.0;35.0;89.0;202.0;732.0;-29.0;31.0;60.0;-2.0;5.0;6.0;-3.0;9.0;12.0;699.0
83;454 Afwerken van gebouwen;2005;24435.0;69.0;63.0;52.0;48.0;7374.0;7279.0;7200.0;79.0;95.0;6507.0;3008.0;1899.0;24.0;1050.0;35.0;2259.0;1647.0;612.0;177.0;1064.0;26.0;214.0;148.0;55.0;190.0;85.0;38.0;101.0;207.0;867.0;-27.0;38.0;65.0;1.0;8.0;7.0;1.0;10.0;10.0;842.0
84;4541 Stukadoren;2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
85;4541 Stukadoren;2001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
86;4541 Stukadoren;2002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
87;4541 Stukadoren;2003;2255.0;9.0;9.0;7.0;7.0;773.0;760.0;754.0;7.0;13.0;695.0;296.0;151.0;1.0;146.0;-3.0;272.0;196.0;77.0;21.0;102.0;2.0;25.0;13.0;5.0;23.0;8.0;4.0;9.0;18.0;78.0;-2.0;2.0;4.0;-1.0;0.0;1.0;0.0;2.0;2.0;75.0
88;4541 Stukadoren;2004;2350.0;10.0;9.0;6.0;6.0;700.0;685.0;684.0;0.0;15.0;598.0;218.0;125.0;0.0;92.0;1.0;255.0;183.0;72.0;19.0;106.0;1.0;28.0;10.0;5.0;22.0;8.0;4.0;9.0;20.0;102.0;-4.0;1.0;5.0;0.0;0.0;0.0;0.0;1.0;2.0;97.0
89;4541 Stukadoren;2005;2470.0;9.0;8.0;5.0;5.0;741.0;735.0;734.0;1.0;5.0;624.0;262.0;144.0;0.0;117.0;1.0;240.0;169.0;72.0;20.0;100.0;1.0;29.0;7.0;5.0;17.0;6.0;4.0;10.0;20.0;117.0;-5.0;1.0;6.0;0.0;0.0;0.0;-1.0;1.0;2.0;111.0
90;4542 Timmeren;2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
91;4542 Timmeren;2001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
92;4542 Timmeren;2002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
93;4542 Timmeren;2003;8955.0;15.0;13.0;10.0;9.0;1961.0;1954.0;1916.0;39.0;6.0;1739.0;1146.0;485.0;23.0;637.0;0.0;349.0;259.0;90.0;40.0;169.0;7.0;42.0;25.0;11.0;44.0;13.0;8.0;20.0;35.0;222.0;-6.0;9.0;14.0;0.0;3.0;2.0;-1.0;4.0;6.0;215.0
94;4542 Timmeren;2004;9355.0;14.0;13.0;10.0;9.0;2061.0;2032.0;1978.0;55.0;29.0;1806.0;1063.0;582.0;37.0;424.0;21.0;453.0;336.0;116.0;50.0;239.0;8.0;44.0;39.0;14.0;31.0;15.0;9.0;22.0;58.0;256.0;-6.0;12.0;18.0;-1.0;1.0;2.0;1.0;4.0;2.0;251.0
95;4542 Timmeren;2005;9355.0;14.0;12.0;10.0;9.0;2145.0;2114.0;2103.0;11.0;32.0;1847.0;1045.0;607.0;1.0;417.0;20.0;480.0;359.0;121.0;55.0;267.0;9.0;52.0;45.0;15.0;41.0;16.0;10.0;24.0;54.0;299.0;-10.0;11.0;22.0;0.0;2.0;2.0;2.0;5.0;3.0;290.0
96;4543 Afwerken van vloeren en wanden;2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97;4543 Afwerken van vloeren en wanden;2001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98;4543 Afwerken van vloeren en wanden;2002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
99;4543 Afwerken van vloeren en wanden;2003;4085.0;11.0;9.0;8.0;7.0;1242.0;1225.0;1219.0;6.0;17.0;1099.0;598.0;378.0;1.0;224.0;-6.0;297.0;219.0;77.0;30.0;164.0;3.0;37.0;21.0;9.0;37.0;16.0;7.0;21.0;23.0;144.0;-5.0;4.0;9.0;-2.0;0.0;2.0;-1.0;1.0;1.0;136.0
100;4543 Afwerken van vloeren en wanden;2004;4150.0;9.0;8.0;7.0;6.0;1125.0;1117.0;1111.0;6.0;9.0;1023.0;589.0;451.0;2.0;136.0;1.0;252.0;185.0;67.0;25.0;156.0;4.0;33.0;23.0;10.0;21.0;17.0;7.0;15.0;25.0;103.0;-6.0;4.0;10.0;0.0;0.0;0.0;0.0;1.0;1.0;97.0
101;4543 Afwerken van vloeren en wanden;2005;4225.0;10.0;8.0;8.0;7.0;1296.0;1282.0;1274.0;9.0;14.0;1153.0;661.0;504.0;2.0;153.0;2.0;287.0;215.0;73.0;25.0;180.0;4.0;40.0;27.0;9.0;22.0;17.0;7.0;23.0;31.0;143.0;-4.0;5.0;10.0;-1.0;0.0;1.0;0.0;1.0;1.0;138.0
102;4544 Schilderen en glaszetten;2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
103;4544 Schilderen en glaszetten;2001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
104;4544 Schilderen en glaszetten;2002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
105;4544 Schilderen en glaszetten;2003;7280.0;36.0;34.0;30.0;28.0;2904.0;2873.0;2834.0;39.0;30.0;2615.0;967.0;517.0;18.0;416.0;17.0;1147.0;815.0;332.0;67.0;421.0;9.0;77.0;47.0;20.0;104.0;38.0;13.0;40.0;86.0;289.0;-9.0;9.0;18.0;-3.0;2.0;5.0;-1.0;5.0;6.0;275.0
106;4544 Schilderen en glaszetten;2004;7350.0;35.0;32.0;28.0;26.0;2782.0;2743.0;2689.0;55.0;38.0;2535.0;821.0;513.0;24.0;276.0;9.0;1193.0;854.0;338.0;64.0;457.0;9.0;79.0;58.0;22.0;109.0;35.0;14.0;40.0;90.0;246.0;-11.0;13.0;24.0;-1.0;3.0;4.0;-4.0;2.0;7.0;230.0
107;4544 Schilderen en glaszetten;2005;7565.0;33.0;31.0;26.0;25.0;2910.0;2869.0;2812.0;58.0;41.0;2639.0;891.0;532.0;21.0;327.0;12.0;1199.0;866.0;333.0;70.0;479.0;10.0;84.0;61.0;24.0;106.0;41.0;14.0;42.0;97.0;271.0;-7.0;18.0;25.0;2.0;6.0;3.0;-1.0;3.0;4.0;266.0
108;4545 Overige afwerking van gebouwen;2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
109;4545 Overige afwerking van gebouwen;2001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
110;4545 Overige afwerking van gebouwen;2002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
111;4545 Overige afwerking van gebouwen;2003;790.0;2.0;2.0;1.0;1.0;250.0;249.0;247.0;2.0;2.0;224.0;131.0;74.0;1.0;57.0;-1.0;57.0;43.0;14.0;5.0;28.0;1.0;5.0;5.0;2.0;2.0;4.0;1.0;6.0;5.0;26.0;-1.0;0.0;2.0;0.0;0.0;0.0;-1.0;0.0;1.0;24.0
112;4545 Overige afwerking van gebouwen;2004;790.0;2.0;2.0;2.0;2.0;344.0;341.0;339.0;1.0;4.0;319.0;185.0;141.0;0.0;44.0;0.0;77.0;58.0;19.0;8.0;49.0;1.0;11.0;9.0;3.0;5.0;6.0;3.0;4.0;8.0;25.0;-2.0;1.0;3.0;0.0;0.0;0.0;0.0;1.0;1.0;24.0
113;4545 Overige afwerking van gebouwen;2005;820.0;2.0;1.0;1.0;1.0;282.0;279.0;277.0;1.0;3.0;244.0;148.0;112.0;0.0;36.0;0.0;52.0;39.0;14.0;6.0;37.0;1.0;8.0;7.0;2.0;4.0;5.0;2.0;3.0;6.0;38.0;-1.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;37.0
114;455 Verhuur bouwmachines met personeel;2000;925.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
115;455 Verhuur bouwmachines met personeel;2001;950.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
116;455 Verhuur bouwmachines met personeel;2002;980.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
117;455 Verhuur bouwmachines met personeel;2003;965.0;8.0;7.0;7.0;7.0;955.0;938.0;906.0;32.0;17.0;893.0;205.0;66.0;2.0;129.0;9.0;292.0;224.0;68.0;122.0;257.0;11.0;85.0;23.0;69.0;26.0;7.0;6.0;18.0;30.0;61.0;-17.0;5.0;22.0;-1.0;2.0;4.0;3.0;7.0;4.0;46.0
118;455 Verhuur bouwmachines met personeel;2004;940.0;7.0;7.0;6.0;6.0;998.0;967.0;887.0;81.0;31.0;922.0;274.0;64.0;16.0;183.0;11.0;260.0;198.0;63.0;97.0;291.0;7.0;96.0;23.0;62.0;31.0;9.0;5.0;20.0;38.0;76.0;-12.0;3.0;15.0;-1.0;1.0;1.0;4.0;6.0;2.0;68.0
119;455 Verhuur bouwmachines met personeel;2005;930.0;7.0;7.0;6.0;6.0;1048.0;1013.0;971.0;42.0;34.0;950.0;250.0;59.0;2.0;174.0;15.0;274.0;207.0;67.0;101.0;325.0;8.0;100.0;22.0;87.0;40.0;7.0;4.0;20.0;38.0;98.0;-13.0;3.0;16.0;0.0;1.0;1.0;3.0;5.0;2.0;88.0
120;4511a  Burgerlijke en utiliteitsbouw;2000;24700.0;167.0;158.0;152.0;145.0;29037.0;28585.0;28320.0;265.0;452.0;27234.0;18804.0;;;;;5623.0;4004.0;1619.0;406.0;2401.0;51.0;386.0;207.0;189.0;502.0;141.0;55.0;283.0;585.0;1803.0;42.0;173.0;130.0;-29.0;51.0;80.0;-5.0;100.0;106.0;1811.0
121;4511a  Burgerlijke en utiliteitsbouw;2001;26485.0;172.0;161.0;151.0;145.0;30068.0;29557.0;29281.0;277.0;511.0;28243.0;19461.0;;;;;5835.0;4111.0;1724.0;451.0;2495.0;55.0;407.0;228.0;202.0;521.0;142.0;63.0;318.0;559.0;1826.0;32.0;176.0;144.0;-27.0;50.0;76.0;5.0;84.0;79.0;1836.0
122;4511a  Burgerlijke en utiliteitsbouw;2002;27505.0;168.0;159.0;148.0;141.0;29357.0;28957.0;28680.0;277.0;400.0;27469.0;18390.0;8404.0;30.0;9687.0;269.0;6006.0;4217.0;1789.0;476.0;2597.0;53.0;408.0;242.0;197.0;540.0;156.0;67.0;320.0;615.0;1888.0;29.0;181.0;152.0;-26.0;57.0;83.0;-3.0;65.0;68.0;1888.0
123;4511a  Burgerlijke en utiliteitsbouw;2003;28150.0;166.0;157.0;144.0;137.0;29630.0;29373.0;29124.0;250.0;257.0;27746.0;18505.0;8773.0;38.0;9405.0;288.0;6157.0;4458.0;1699.0;462.0;2348.0;57.0;418.0;277.0;188.0;575.0;149.0;72.0;335.0;551.0;1884.0;20.0;164.0;144.0;-43.0;55.0;97.0;-2.0;47.0;48.0;1860.0
124;4511a  Burgerlijke en utiliteitsbouw;2004;28860.0;163.0;153.0;140.0;133.0;30035.0;29742.0;29529.0;213.0;293.0;28329.0;19096.0;9072.0;28.0;9810.0;185.0;6265.0;4529.0;1736.0;387.0;2582.0;47.0;431.0;303.0;223.0;539.0;167.0;70.0;279.0;523.0;1706.0;20.0;157.0;137.0;-31.0;39.0;71.0;16.0;60.0;44.0;1711.0
125;4511a  Burgerlijke en utiliteitsbouw;2005;29900.0;159.0;150.0;135.0;128.0;31086.0;30681.0;30529.0;152.0;404.0;29400.0;20242.0;9171.0;23.0;10880.0;167.0;6079.0;4431.0;1648.0;388.0;2692.0;49.0;426.0;311.0;237.0;567.0;184.0;70.0;292.0;556.0;1685.0;17.0;172.0;154.0;-27.0;52.0;78.0;17.0;64.0;48.0;1693.0
126;4511b Grond-, water en wegenbouw;2000;4805.0;75.0;72.0;70.0;68.0;11086.0;10714.0;10504.0;210.0;372.0;10483.0;5878.0;;;;;2668.0;1914.0;754.0;309.0;1626.0;49.0;313.0;113.0;379.0;246.0;74.0;30.0;144.0;279.0;603.0;-16.0;86.0;102.0;-4.0;64.0;68.0;176.0;254.0;78.0;758.0
127;4511b Grond-, water en wegenbouw;2001;5160.0;76.0;73.0;70.0;68.0;12150.0;11442.0;11229.0;212.0;708.0;11507.0;6545.0;;;;;2859.0;2039.0;820.0;352.0;1750.0;59.0;323.0;111.0;359.0;256.0;88.0;35.0;166.0;354.0;644.0;-2.0;99.0;102.0;-28.0;69.0;96.0;237.0;322.0;85.0;851.0
128;4511b Grond-, water en wegenbouw;2002;5185.0;77.0;74.0;71.0;69.0;12521.0;12063.0;11860.0;203.0;458.0;11847.0;6580.0;3054.0;54.0;3323.0;149.0;3019.0;2161.0;858.0;367.0;1881.0;58.0;340.0;125.0;379.0;305.0;85.0;42.0;162.0;385.0;674.0;9.0;131.0;122.0;-31.0;78.0;109.0;171.0;257.0;86.0;823.0
129;4511b Grond-, water en wegenbouw;2003;5325.0;72.0;69.0;66.0;64.0;11367.0;10850.0;10699.0;151.0;517.0;10927.0;5673.0;2579.0;19.0;2892.0;184.0;3043.0;2233.0;810.0;378.0;1769.0;55.0;332.0;122.0;357.0;282.0;83.0;36.0;164.0;401.0;440.0;25.0;148.0;122.0;-35.0;105.0;140.0;149.0;231.0;82.0;581.0
130;4511b Grond-, water en wegenbouw;2004;5310.0;70.0;67.0;62.0;60.0;11744.0;11105.0;10928.0;177.0;639.0;11204.0;6100.0;2819.0;42.0;3163.0;75.0;2969.0;2195.0;784.0;403.0;1761.0;51.0;333.0;117.0;352.0;291.0;56.0;36.0;137.0;360.0;540.0;-12.0;93.0;105.0;-29.0;86.0;114.0;-23.0;25.0;49.0;476.0
131;4511b Grond-, water en wegenbouw;2005;5430.0;75.0;71.0;63.0;61.0;13108.0;12396.0;12241.0;154.0;712.0;12267.0;6813.0;3035.0;26.0;3676.0;76.0;3087.0;2328.0;760.0;395.0;1972.0;63.0;389.0;132.0;427.0;383.0;66.0;38.0;147.0;327.0;841.0;23.0;140.0;117.0;-36.0;68.0;104.0;-7.0;25.0;32.0;821.0
132;4525a Bouw,  geen B&U en GWW;2000;33875.0;232.0;218.0;206.0;196.0;24792.0;24548.0;23300.0;1248.0;244.0;22727.0;11704.0;;;;;6957.0;5227.0;1730.0;605.0;3461.0;66.0;678.0;301.0;252.0;907.0;271.0;109.0;267.0;610.0;2064.0;-46.0;185.0;231.0;-13.0;55.0;68.0;11.0;62.0;51.0;2016.0
133;4525a Bouw,  geen B&U en GWW;2001;35950.0;237.0;221.0;203.0;194.0;25319.0;24921.0;23739.0;1182.0;398.0;23261.0;11836.0;;;;;7170.0;5355.0;1816.0;650.0;3604.0;67.0;688.0;333.0;262.0;887.0;275.0;124.0;297.0;671.0;2058.0;74.0;328.0;254.0;-19.0;39.0;58.0;144.0;224.0;81.0;2257.0
134;4525a Bouw,  geen B&U en GWW;2002;36745.0;236.0;223.0;205.0;195.0;25756.0;25214.0;24255.0;959.0;541.0;23706.0;11732.0;7383.0;652.0;2983.0;713.0;7518.0;5597.0;1920.0;656.0;3801.0;71.0;724.0;382.0;276.0;921.0;271.0;136.0;325.0;695.0;2050.0;45.0;320.0;274.0;-33.0;38.0;71.0;817.0;892.0;75.0;2880.0
135;4525a Bouw,  geen B&U en GWW;2003;37820.0;233.0;217.0;198.0;188.0;25712.0;25532.0;24621.0;911.0;179.0;23766.0;11989.0;7667.0;609.0;3579.0;133.0;7370.0;5667.0;1703.0;646.0;3609.0;75.0;735.0;398.0;253.0;907.0;264.0;142.0;327.0;660.0;1946.0;52.0;290.0;237.0;-23.0;54.0;77.0;38.0;97.0;59.0;2014.0
136;4525a Bouw,  geen B&U en GWW;2004;38195.0;225.0;209.0;187.0;176.0;25039.0;24707.0;23291.0;1416.0;332.0;23158.0;11366.0;7561.0;637.0;2987.0;162.0;7375.0;5676.0;1699.0;607.0;3812.0;69.0;760.0;446.0;263.0;884.0;266.0;138.0;331.0;655.0;1880.0;-48.0;161.0;210.0;-7.0;55.0;61.0;604.0;650.0;46.0;2429.0
137;4525a Bouw,  geen B&U en GWW;2005;38695.0;227.0;211.0;187.0;177.0;26177.0;25635.0;24860.0;775.0;541.0;24038.0;11836.0;8087.0;273.0;3374.0;102.0;7548.0;5826.0;1722.0;611.0;4043.0;81.0;817.0;462.0;270.0;1004.0;282.0;143.0;339.0;643.0;2139.0;-72.0;155.0;227.0;-9.0;38.0;46.0;-18.0;33.0;51.0;2041.0
