ID;SBI93;Perioden;Bedrijven_1;WerkzamePersonenEindSeptember_2;WerkzamePersonenFTEEindSeptember_3;WerknemersOpDeEigenLoonlijst_4;WerknemersFTEOpDeEigenLoonlijst_5;TotaleBedrijfsopbrengsten_6;TotaleNettoOmzet_7;NettoOmzetUitHoofdactiviteit_8;NettoOmzetUitNevenactiviteiten_9;OverigeBedrijfsopbrengsten_10;TotaleBedrijfslasten_11;TotaleInkoopwaardeOmzet_12;InkoopwaardeBouwmaterialen_13;InkoopwaardeHandelsgoederen_14;BetalingAanOnderaannemers_15;OverigeInkoopwaarde_16;TotaleArbeidskosten_17;BrutoLonenEnSalarissen_18;SocialeLasten_19;AfschrijvingenOpVasteActiva_20;TotaleOverigeBedrijfslasten_21;KostenEnergieverbruik_22;KostenVervoermiddelen_23;Huisvestingskosten_24;KostenMachinesEnInstallaties_25;OverigePersoneelskosten_26;Verkoopkosten_27;Communicatiekosten_28;KostenVanDienstverleningDoorDerden_29;NietEerderGenoemdeBedrijfslasten_30;Bedrijfsresultaat_31;SaldoFinancieleBatenEnLasten_32;FinancieleBaten_33;FinancieleLasten_34;SaldoVoorzieningen_35;OnttrekkingenVrijvalVanVoorzieningen_36;ToevoegingenAanVoorzieningen_37;SaldoBuitengewoneBatenEnLasten_38;BuitengewoneBaten_39;BuitengewoneLasten_40;ResultaatVoorBelastingen_41
12;452 B&U- en GWW-bouw (geen grondverzet);2000;30080.0;249.0;236.0;228.0;219.0;40835.0;40012.0;39426.0;586.0;823.0;38352.0;25044.0;;;;;8568.0;6106.0;2461.0;706.0;4034.0;93.0;696.0;312.0;555.0;774.0;222.0;87.0;423.0;872.0;2483.0;23.0;253.0;229.0;-33.0;117.0;149.0;141.0;313.0;173.0;2614.0
13;452 B&U- en GWW-bouw (geen grondverzet);2001;32180.0;252.0;238.0;225.0;217.0;42889.0;41668.0;41204.0;464.0;1221.0;40351.0;26389.0;;;;;8936.0;6320.0;2616.0;786.0;4238.0;109.0;723.0;345.0;515.0;803.0;239.0;100.0;474.0;931.0;2538.0;28.0;271.0;244.0;-55.0;120.0;175.0;216.0;374.0;159.0;2727.0
14;452 B&U- en GWW-bouw (geen grondverzet);2002;33320.0;250.0;238.0;224.0;214.0;42336.0;41465.0;41035.0;431.0;870.0;39719.0;25231.0;11806.0;66.0;12952.0;407.0;9251.0;6537.0;2715.0;813.0;4424.0;106.0;736.0;380.0;523.0;846.0;248.0;111.0;474.0;1001.0;2617.0;42.0;313.0;271.0;-59.0;138.0;198.0;140.0;281.0;141.0;2740.0
15;452 B&U- en GWW-bouw (geen grondverzet);2003;34130.0;244.0;231.0;215.0;206.0;41974.0;41295.0;40956.0;339.0;679.0;39576.0;24911.0;12032.0;49.0;12368.0;461.0;9411.0;6839.0;2572.0;820.0;4090.0;103.0;738.0;409.0;499.0;874.0;236.0;111.0;483.0;982.0;2398.0;49.0;308.0;259.0;-80.0;164.0;244.0;126.0;245.0;119.0;2493.0
16;452 B&U- en GWW-bouw (geen grondverzet);2004;34680.0;239.0;225.0;207.0;198.0;42550.0;41618.0;41235.0;384.0;931.0;40301.0;25658.0;12362.0;63.0;12960.0;254.0;9543.0;6947.0;2606.0;769.0;4361.0;91.0;750.0;439.0;535.0;852.0;225.0;108.0;412.0;919.0;2248.0;12.0;254.0;242.0;-61.0;130.0;191.0;-14.0;83.0;97.0;2185.0
17;452 B&U- en GWW-bouw (geen grondverzet);2005;35815.0;236.0;223.0;201.0;193.0;44670.0;43543.0;43285.0;258.0;1127.0;42113.0;27452.0;12641.0;44.0;14548.0;219.0;9332.0;6879.0;2454.0;759.0;4569.0;103.0;788.0;452.0;599.0;937.0;251.0;111.0;431.0;898.0;2557.0;44.0;309.0;265.0;-61.0;125.0;185.0;-4.0;78.0;82.0;2536.0
18;"4521 Alg B&U;bouw kunstwerken,kabelleg.";2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;"4521 Alg B&U;bouw kunstwerken,kabelleg.";2001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;"4521 Alg B&U;bouw kunstwerken,kabelleg.";2002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;"4521 Alg B&U;bouw kunstwerken,kabelleg.";2003;23795.0;161.0;153.0;144.0;137.0;29994.0;29659.0;29432.0;228.0;335.0;28311.0;18953.0;8871.0;28.0;9775.0;279.0;6241.0;4527.0;1714.0;437.0;2424.0;55.0;431.0;283.0;219.0;543.0;143.0;74.0;322.0;610.0;1683.0;25.0;172.0;146.0;-60.0;69.0;129.0;45.0;119.0;74.0;1694.0
22;"4521 Alg B&U;bouw kunstwerken,kabelleg.";2004;24350.0;154.0;145.0;137.0;131.0;30358.0;30038.0;29844.0;194.0;320.0;28850.0;19586.0;9195.0;22.0;10188.0;181.0;6295.0;4561.0;1734.0;351.0;2619.0;47.0;429.0;305.0;244.0;526.0;156.0;70.0;270.0;572.0;1508.0;30.0;166.0;136.0;-44.0;58.0;102.0;6.0;62.0;55.0;1500.0
23;"4521 Alg B&U;bouw kunstwerken,kabelleg.";2005;25350.0;152.0;144.0;133.0;127.0;31793.0;31344.0;31207.0;138.0;448.0;30238.0;20924.0;9409.0;20.0;11332.0;163.0;6186.0;4523.0;1663.0;361.0;2767.0;50.0;432.0;305.0;284.0;576.0;165.0;70.0;287.0;598.0;1554.0;23.0;189.0;166.0;-48.0;65.0;113.0;14.0;62.0;48.0;1543.0
24;4522 Dakdekken, bouw van dakconstructies;2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;4522 Dakdekken, bouw van dakconstructies;2001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;4522 Dakdekken, bouw van dakconstructies;2002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;4522 Dakdekken, bouw van dakconstructies;2003;1725.0;9.0;9.0;8.0;7.0;1031.0;1022.0;1015.0;6.0;10.0;907.0;455.0;321.0;4.0;123.0;7.0;281.0;216.0;65.0;25.0;133.0;3.0;31.0;13.0;8.0;31.0;11.0;4.0;19.0;26.0;124.0;0.0;6.0;6.0;0.0;2.0;3.0;0.0;1.0;2.0;123.0
28;4522 Dakdekken, bouw van dakconstructies;2004;1760.0;9.0;9.0;7.0;6.0;1011.0;1002.0;995.0;7.0;9.0;907.0;470.0;332.0;3.0;135.0;0.0;270.0;206.0;63.0;20.0;147.0;2.0;34.0;16.0;9.0;26.0;12.0;4.0;16.0;27.0;103.0;-2.0;3.0;4.0;-1.0;1.0;2.0;-2.0;2.0;4.0;99.0
29;4522 Dakdekken, bouw van dakconstructies;2005;1790.0;10.0;10.0;8.0;7.0;1108.0;1094.0;1091.0;3.0;14.0;1009.0;513.0;376.0;1.0;136.0;0.0;306.0;231.0;75.0;25.0;165.0;3.0;36.0;18.0;10.0;29.0;13.0;5.0;19.0;33.0;99.0;-2.0;3.0;5.0;-3.0;2.0;4.0;-3.0;1.0;4.0;92.0
30;4523 Aanleg (spoor)wegen, sporttereinen;2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;4523 Aanleg (spoor)wegen, sporttereinen;2001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
