ID;BedrijfstakkenBranches;Perioden;Waarde_1;Prijs_2;Volume_3;Waarde_4;Prijs_5;Volume_6;Waarde_7;Volume_8;Waarde_9;Volume_10
0;Traditionele Horeca;2005 1e kwartaal;81.0;87.1;93.1;;;;95.0;109.2;;
1;Traditionele Horeca;2005 2e kwartaal;101.8;87.7;116.0;;;;95.8;109.6;0.8;0.4
2;Traditionele Horeca;2005 3e kwartaal;106.1;87.7;120.9;;;;98.4;111.9;2.7;2.2
3;Traditionele Horeca;2005 4e kwartaal;99.5;88.1;112.9;;;;99.1;112.3;0.7;0.4
4;Traditionele Horeca;2005;97.1;87.7;110.7;;;;97.1;110.7;;
5;Traditionele Horeca;2006 1e kwartaal;84.3;88.6;95.1;4.0;1.8;2.2;99.2;112.0;0.1;-0.3
6;Traditionele Horeca;2006 2e kwartaal;107.2;89.5;119.8;5.3;2.0;3.2;101.7;113.9;2.5;1.7
7;Traditionele Horeca;2006 3e kwartaal;111.5;89.6;124.4;5.1;2.1;2.9;102.8;114.4;1.1;0.4
8;Traditionele Horeca;2006 4e kwartaal;104.7;90.5;115.7;5.2;2.7;2.4;103.9;114.6;1.1;0.2
9;Traditionele Horeca;2006;101.9;89.5;113.8;5.0;2.2;2.7;101.9;113.8;5.0;2.7
10;Traditionele Horeca;2007 1e kwartaal;91.6;91.6;100.0;8.7;3.4;5.1;105.5;115.3;1.5;0.5
11;Traditionele Horeca;2007 2e kwartaal;114.4;92.3;124.0;6.7;3.1;3.5;107.5;116.8;1.9;1.4
12;Traditionele Horeca;2007 3e kwartaal;114.3;92.4;123.6;2.5;3.2;-0.6;106.9;115.3;-0.6;-1.4
13;Traditionele Horeca;2007 4e kwartaal;107.9;93.5;115.4;3.1;3.3;-0.2;108.2;115.7;1.3;0.4
14;Traditionele Horeca;2007;107.0;92.4;115.8;5.0;3.2;1.8;107.0;115.8;5.0;1.8
15;Traditionele Horeca;2008 1e kwartaal;94.0;94.5;99.5;2.7;3.1;-0.4;108.7;115.1;0.4;-0.5
16;Traditionele Horeca;2008 2e kwartaal;114.9;96.1;119.5;0.4;4.2;-3.7;107.6;112.2;-1.0;-2.6
17;Traditionele Horeca;2008 3e kwartaal;113.4;95.9;118.2;-0.8;3.8;-4.4;105.6;109.6;-1.9;-2.3
18;Traditionele Horeca;2008 4e kwartaal;104.7;97.0;107.9;-3.0;3.8;-6.5;105.1;108.2;-0.5;-1.3
19;Traditionele Horeca;2008;106.7;95.9;111.3;-0.3;3.7;-3.9;106.7;111.3;-0.3;-3.9
20;Traditionele Horeca;2009 1e kwartaal;88.6;97.3;91.0;-5.8;3.0;-8.6;103.2;106.2;-1.7;-1.9
21;Traditionele Horeca;2009 2e kwartaal;108.3;98.1;110.5;-5.7;2.0;-7.5;101.8;104.2;-1.4;-1.9
22;Traditionele Horeca;2009 3e kwartaal;108.9;98.1;111.0;-4.0;2.3;-6.1;101.0;102.7;-0.8;-1.4
23;Traditionele Horeca;2009 4e kwartaal;98.7;98.8;99.9;-5.7;1.9;-7.4;98.4;99.4;-2.6;-3.2
