ID;Perioden;Index_1;MutatiesTovDezelfdePeriodeVorigJaar_2;Index_3;MutatiesTovDezelfdePeriodeVorigJaar_4
0;1914;1.8;;;
1;1915;1.9;5.9;;
2;1916;2.5;27.8;;
3;1917;3.5;39.1;;
4;1918;4.8;37.5;;
5;1919;5.4;13.6;;
6;1920;5.7;6.0;;
7;1921;5.1;-11.3;;
8;1922;3.9;-23.4;;
9;1923;3.1;-19.4;;
10;1924;3.0;-3.4;;
11;1925;2.9;-3.6;;
12;1926;2.9;0.0;;
13;1927;2.8;-3.7;;
14;1928;2.8;0.0;;
15;1929;2.8;0.0;;
16;1930;2.7;-3.8;;
17;1931;2.5;-8.0;;
18;1932;2.3;-8.7;;
19;1933;2.3;0.0;;
20;1934;2.2;-4.8;;
21;1935;1.9;-10.0;;
22;1936;1.8;-5.6;;
23;1937;2.2;17.6;;
24;1938;2.1;-5.0;;
25;1939;2.3;10.5;;
26;1940;3.2;42.9;;
27;1941;4.5;40.0;;
28;1942;5.4;19.0;;
29;1943;6.1;12.0;;
30;1944;6.5;7.1;;
31;1945;6.9;6.7;;
32;1946;6.9;0.0;;
33;1947;7.6;9.4;;
34;1948;7.7;1.4;;
35;1949;7.6;-1.4;;
36;1950 1e kwartaal;7.7;;;
37;1950 2e kwartaal;7.6;;;
38;1950 3e kwartaal;7.7;;;
39;1950 4e kwartaal;8.1;;;
40;1950;7.8;3.0;;
41;1951 1e kwartaal;8.5;10.2;;
42;1951 2e kwartaal;8.9;17.2;;
43;1951 3e kwartaal;9.2;19.0;;
44;1951 4e kwartaal;9.3;14.0;;
45;1951;9.0;15.1;;
46;1952 1e kwartaal;9.2;7.6;;
47;1952 2e kwartaal;9.1;2.3;;
48;1952 3e kwartaal;8.9;-2.5;;
49;1952 4e kwartaal;9.0;-2.8;;
50;1952;9.1;1.0;;
51;1953 1e kwartaal;8.6;-6.2;;
52;1953 2e kwartaal;9.1;-0.9;;
53;1953 3e kwartaal;9.0;0.6;;
54;1953 4e kwartaal;9.1;1.4;;
55;1953;8.9;-1.3;;
56;1954 1e kwartaal;9.3;7.8;;
57;1954 2e kwartaal;9.4;4.0;;
