ID;Energiedrager;Perioden;Winning_1;Invoer_2;Uitvoer_3;Verbruik_4;WinningTonDrogeStof_5;InvoerTonDrogeStof_6;UitvoerTonDrogeStof_7;VerbruikTonDrogeStof_8
0;Houtige biomassa totaal;2015;48721;6077;10906;43892;2841066;390934;686727;2545272
1;Houtige biomassa totaal;2016;53867;5113;10921;48059;3091995;310713;695288;2707420
2;Houtige biomassa totaal;2017;56784;4475;12114;49145;3259568;232895;774921;2717542
3;Houtige biomassa totaal;2018;53408;6336;11991;47753;3096263;315999;757860;2654403
4;Houtige biomassa totaal;2019;55277;16618;11343;60553;3213655;854934;713492;3355097
5;Houtige biomassa totaal;2020;54342;41851;14084;82109;3195401;2145268;882088;4458581
6;Houtige biomassa totaal;2021;55682;59223;14174;100732;3313629;3023137;900086;5436679
7;Houtige biomassa totaal;2022;49092;49039;12061;86071;2881970;2498765;781801;4598933
8;Houtige biomassa totaal;2023;48926;33473;12243;70157;2914136;1719818;789617;3844337
9;Houtige biomassa uit (bos)beheer totaal;2015;28678;557;1781;27454;1581223;31814;126527;1486510
10;Houtige biomassa uit (bos)beheer totaal;2016;30204;586;1979;28811;1637125;33053;140716;1529463
11;Houtige biomassa uit (bos)beheer totaal;2017;29320;804;1757;28367;1589313;42554;124829;1507038
12;Houtige biomassa uit (bos)beheer totaal;2018;29265;599;1690;28174;1575367;33647;120076;1488939
13;Houtige biomassa uit (bos)beheer totaal;2019;28346;667;1383;27629;1530050;36634;98154;1468530
14;Houtige biomassa uit (bos)beheer totaal;2020;26913;1500;1031;27382;1458978;72800;72958;1458821
15;Houtige biomassa uit (bos)beheer totaal;2021;25945;2826;1094;27678;1424616;130522;77465;1477673
16;Houtige biomassa uit (bos)beheer totaal;2022;24287;546;724;24109;1317822;31327;51032;1298117
17;Houtige biomassa uit (bos)beheer totaal;2023;21592;1032;664;21960;1187486;52674;46769;1193391
18;Schoon resthout (takken, stammen);2015;15451;207;1675;13983;718579;9016;119641;607953
19;Schoon resthout (takken, stammen);2016;17712;237;1872;16077;822411;10304;133694;699021
20;Schoon resthout (takken, stammen);2017;16972;455;1650;15777;784047;19776;117851;685972
21;Schoon resthout (takken, stammen);2018;17454;249;1583;16119;805052;10812;113082;702782
22;Schoon resthout (takken, stammen);2019;16452;314;1278;15488;754325;13670;91292;676702
23;Schoon resthout (takken, stammen);2020;15308;1150;925;15533;702150;50001;66092;686060
24;Schoon resthout (takken, stammen);2021;14637;2475;988;16124;687112;107629;70599;724142
25;Schoon resthout (takken, stammen);2022;14224;196;618;13802;661540;8526;44166;625900
26;Schoon resthout (takken, stammen);2023;11525;672;559;11639;530912;29234;39900;520246
27;Shreds van schoonresthout;2015;1675;0;1675;0;119641;0;119641;0
28;Shreds van schoonresthout;2016;1872;0;1872;0;133694;0;133694;0
29;Shreds van schoonresthout;2017;1650;0;1650;0;117851;0;117851;0
30;Shreds van schoonresthout;2018;1652;0;1583;69;118029;0;113082;4947
31;Shreds van schoonresthout;2019;1397;0;1278;118;99751;0;91292;8459
32;Shreds van schoonresthout;2020;1308;0;925;383;93440;0;66092;27349
33;Shreds van schoonresthout;2021;1815;0;988;827;129662;0;70599;59063
34;Shreds van schoonresthout;2022;1542;0;618;924;110174;0;44166;66008
35;Shreds van schoonresthout;2023;1067;0;559;509;76224;0;39900;36324
36;Vers houtblokken;2015;13227;350;106;13471;862644;22798;6886;878556
37;Vers houtblokken;2016;12492;349;108;12733;814714;22750;7021;830442
38;Vers houtblokken;2017;12347;349;107;12590;805266;22778;6978;821066
39;Vers houtblokken;2018;11812;350;107;12054;770316;22835;6993;786158
40;Vers houtblokken;2019;11894;352;105;12141;775726;22964;6861;791829
41;Vers houtblokken;2020;11605;350;105;11849;756828;22799;6866;772761
42;Vers houtblokken;2021;11308;351;105;11554;737504;22894;6867;753531
43;Vers houtblokken;2022;10063;350;105;10307;656283;22800;6866;672217
44;Vers houtblokken;2023;10067;359;105;10322;656574;23441;6869;673145
45;Restproducten houtindustrie, totaal;2015;2447;139;753;1833;151285;6093;49088;108290
46;Restproducten houtindustrie, totaal;2016;4587;639;858;4369;242410;25457;55952;211916
47;Restproducten houtindustrie, totaal;2017;5901;1675;752;6823;290818;66076;49060;307834
48;Restproducten houtindustrie, totaal;2018;3021;1668;726;3962;181170;65081;47374;198877
49;Restproducten houtindustrie, totaal;2019;3632;652;574;3710;200868;26238;37452;189654
50;Restproducten houtindustrie, totaal;2020;2836;310;415;2731;169111;16106;27038;158180
51;Restproducten houtindustrie, totaal;2021;3209;751;443;3517;185850;37909;28885;194873
52;Restproducten houtindustrie, totaal;2022;2815;1965;277;4503;160890;76276;18068;219098
53;Restproducten houtindustrie, totaal;2023;3164;152;250;3066;166137;8291;16334;158094
54;Schors;2015;2137;28;753;1413;139387;1847;49088;92146
55;Schors;2016;2466;33;858;1640;160803;2131;55952;106981
56;Schors;2017;2387;62;752;1697;155650;4074;49060;110664
57;Schors;2018;2429;34;726;1737;158427;2233;47374;113286
58;Schors;2019;2287;43;574;1756;149160;2802;37452;114510
59;Schors;2020;2244;157;415;1987;146371;10228;27038;129561
60;Schors;2021;2333;338;443;2228;152144;22021;28885;145280
61;Schors;2022;1966;27;277;1716;128241;1744;18068;111917
62;Schors;2023;1661;92;250;1502;108318;5978;16334;97962
63;Resthout uit houtverwerkende industrie;2015;309;110;0;420;11898;4246;0;16144
64;Resthout uit houtverwerkende industrie;2016;2122;606;0;2728;81608;23327;0;104934
65;Resthout uit houtverwerkende industrie;2017;3514;1612;0;5126;135168;62002;0;197169
66;Resthout uit houtverwerkende industrie;2018;591;1634;0;2225;22743;62848;0;85591
67;Resthout uit houtverwerkende industrie;2019;1344;609;0;1954;51708;23436;0;75145
68;Resthout uit houtverwerkende industrie;2020;591;153;0;744;22741;5879;0;28619
69;Resthout uit houtverwerkende industrie;2021;876;413;0;1289;33706;15887;0;49593
70;Resthout uit houtverwerkende industrie;2022;849;1938;0;2787;32649;74532;0;107181
71;Resthout uit houtverwerkende industrie;2023;1503;60;0;1563;57819;2313;0;60132
72;Gebruikt hout totaal;2015;12833;5111;5077;12867;863727;344026;341738;866015
73;Gebruikt hout totaal;2016;14586;3600;5227;12959;981770;242278;351819;872228
74;Gebruikt hout totaal;2017;17044;1668;6749;11963;1147189;112271;454240;805220
75;Gebruikt hout totaal;2018;15975;819;6181;10612;1075214;55104;416031;714287
76;Gebruikt hout totaal;2019;17930;673;6006;12597;1206843;45271;404226;847889
77;Gebruikt hout totaal;2020;19067;221;8329;10958;1283324;14874;560613;737585
78;Gebruikt hout totaal;2021;21353;0;9066;12286;1437201;0;610240;826962
79;Gebruikt hout totaal;2022;17163;312;9066;8408;1155176;20998;610230;565944
80;Gebruikt hout totaal;2023;20005;276;9068;11213;1346463;18610;610326;754747
81;AB-hout;2015;11468;5111;3712;12867;771862;344026;249873;866015
82;AB-hout;2016;13297;3600;3938;12959;895004;242278;265053;872228
83;AB-hout;2017;15622;1668;5327;11963;1051487;112271;358539;805220
84;AB-hout;2018;14537;819;4743;10612;978440;55104;319257;714287
85;AB-hout;2019;16664;673;4739;12597;1121601;45271;318984;847889
86;AB-hout;2020;17442;221;6705;10958;1174001;14874;451290;737585
87;AB-hout;2021;19509;0;7222;12286;1313085;0;486124;826962
88;AB-hout;2022;15319;312;7222;8408;1031061;20998;486116;565944
89;AB-hout;2023;18161;276;7224;11213;1222349;18610;486212;754747
90;C-hout;2015;1365;0;1365;0;91865;0;91865;0
91;C-hout;2016;1289;0;1289;0;86766;0;86766;0
92;C-hout;2017;1422;0;1422;0;95701;0;95701;0
93;C-hout;2018;1438;0;1438;0;96774;0;96774;0
