ID;TypeOfDwelling;Periods;PriceIndex_1;ChangesComparedToThePreviousPeriod_2;ChangesComparedToThePreviousYear_3;Number_4;ChangesComparedToThePreviousPeriod_5;ChangesComparedToThePreviousYear_6;AveragePurchasePrice_7;TotalValuePurchasePrices_8
0;Total of own houses;2015 1st quarter;98.3;;;39558;;;226552;8962
1;Total of own houses;2015 2nd quarter;99.1;0.9;;47373;19.8;;232740;11026
2;Total of own houses;2015 3rd quarter;101.1;2.0;;56959;20.2;;239068;13617
3;Total of own houses;2015 4th quarter;101.4;0.3;;60788;6.7;;241532;14682
4;Total of own houses;2015;100.0;;;204678;;;235916;48287
5;Total of own houses;2016 1st quarter;102.8;1.3;4.6;48466;-20.3;22.5;242680;11762
6;Total of own houses;2016 2nd quarter;103.6;0.7;4.5;57155;17.9;20.6;246016;14061
7;Total of own houses;2016 3rd quarter;106.2;2.5;5.0;67257;17.7;18.1;253744;17066
8;Total of own houses;2016 4th quarter;107.5;1.3;6.0;69653;3.6;14.6;253540;17660
9;Total of own houses;2016;105.0;5.0;5.0;242531;18.5;18.5;249653;60549
10;Total of own houses;2017 1st quarter;109.7;2.0;6.7;62700;-10.0;29.4;261617;16403
11;Total of own houses;2017 2nd quarter;111.4;1.6;7.5;65905;5.1;15.3;266807;17584
12;Total of own houses;2017 3rd quarter;114.0;2.4;7.4;68113;3.4;1.3;273040;18598
13;Total of own houses;2017 4th quarter;116.7;2.3;8.5;76349;12.1;9.6;276548;21114
14;Total of own houses;2017;112.9;7.5;7.5;273067;12.6;12.6;269894;73699
15;Total of own houses;2018 1st quarter;119.9;2.8;9.3;58256;-23.7;-7.1;286690;16701
16;Total of own houses;2018 2nd quarter;121.7;1.5;9.2;59998;3.0;-9.0;292680;17560
17;Total of own houses;2018 3rd quarter;125.6;3.2;10.1;63074;5.1;-7.4;302092;19054
18;Total of own houses;2018 4th quarter;127.3;1.4;9.1;65292;3.5;-14.5;304225;19863
19;Total of own houses;2018;123.6;9.5;9.5;246620;-9.7;-9.7;296729;73179
20;Total of own houses;2019 1st quarter;129.7;1.9;8.1;53176;-18.6;-8.7;310410;16468
21;Total of own houses;2019 2nd quarter;131.8;1.6;8.3;58876;10.7;-1.9;314017;18431
22;Total of own houses;2019 3rd quarter;133.4;1.3;6.3;64753;10.0;2.7;320727;20717
23;Total of own houses;2019 4th quarter;135.6;1.6;6.5;66721;3.0;2.2;324518;21586
24;Total of own houses;2019;132.6;7.3;7.3;243526;-1.3;-1.3;317892;77203
25;Total of own houses;2020 1st quarter;137.8;1.7;6.3;58100;-12.9;9.3;335451;19496
26;Total of own houses;2020 2nd quarter;141.1;2.4;7.1;62924;8.3;6.9;338246;21287
27;Total of own houses;2020 3rd quarter;144.6;2.5;8.3;69290;10.1;7.0;347703;24092
28;Total of own houses;2020 4th quarter;147.4;2.0;8.7;77543;11.9;16.2;353419;27405
29;Total of own houses;2020;142.7;7.6;7.6;267857;10.0;10.0;344499;92281
30;Total of own houses;2021 1st quarter;153.3;4.0;11.2;73397;-5.3;26.3;385700;28308
31;Total of own houses;2021 2nd quarter;159.5;4.0;13.0;61572;-16.1;-2.1;377048;23215
32;Total of own houses;2021 3rd quarter;168.8;5.9;16.8;61889;0.5;-10.7;410121;25381
33;Total of own houses;2021 4th quarter;175.2;3.8;18.8;63551;2.7;-18.0;414798;26361
34;Total of own houses;2021;164.2;15.0;15.0;260409;-2.8;-2.8;396547;103264
35;Total of own houses;2022 1st quarter;183.0;4.4;19.3;50875;-19.9;-30.7;435967;22180
