ID;AllSICS;Periods;Value_1;Price_2;Volume_3;Value_4;Price_5;Volume_6
0;9602 Hairdressing and beauty treatment;2005 January;83.7;86.3;96.9;0.0;0.0;0.0
1;9602 Hairdressing and beauty treatment;2005 February;84.5;86.2;98.0;0.0;0.0;0.0
2;9602 Hairdressing and beauty treatment;2005 March;97.8;86.2;113.5;0.0;0.0;0.0
3;9602 Hairdressing and beauty treatment;2005 1st quarter;88.6;86.2;102.8;0.0;0.0;0.0
4;9602 Hairdressing and beauty treatment;2005 April;94.0;86.3;109.0;0.0;0.0;0.0
5;9602 Hairdressing and beauty treatment;2005 May;91.7;86.3;106.3;0.0;0.0;0.0
6;9602 Hairdressing and beauty treatment;2005 June;95.1;86.4;110.2;0.0;0.0;0.0
7;9602 Hairdressing and beauty treatment;2005 2nd quarter;93.6;86.3;108.5;0.0;0.0;0.0
8;9602 Hairdressing and beauty treatment;2005 July;90.7;86.4;105.0;0.0;0.0;0.0
9;9602 Hairdressing and beauty treatment;2005 August;85.4;86.5;98.8;0.0;0.0;0.0
10;9602 Hairdressing and beauty treatment;2005 September;90.4;86.7;104.3;0.0;0.0;0.0
11;9602 Hairdressing and beauty treatment;2005 3rd quarter;88.8;86.5;102.7;0.0;0.0;0.0
12;9602 Hairdressing and beauty treatment;2005 October;88.2;86.9;101.5;0.0;0.0;0.0
13;9602 Hairdressing and beauty treatment;2005 November;90.9;86.8;104.7;0.0;0.0;0.0
14;9602 Hairdressing and beauty treatment;2005 December;107.0;86.8;123.2;0.0;0.0;0.0
15;9602 Hairdressing and beauty treatment;2005 4th quarter;95.4;86.8;109.8;0.0;0.0;0.0
16;9602 Hairdressing and beauty treatment;2005;91.6;86.5;106.0;0.0;0.0;0.0
17;9602 Hairdressing and beauty treatment;2006 January;83.5;88.5;94.3;-0.2;2.5;-2.7
18;9602 Hairdressing and beauty treatment;2006 February;85.4;89.0;96.0;1.1;3.3;-2.1
19;9602 Hairdressing and beauty treatment;2006 March;99.3;89.0;111.6;1.5;3.3;-1.7
20;9602 Hairdressing and beauty treatment;2006 1st quarter;89.4;88.8;100.6;0.8;3.0;-2.1
21;9602 Hairdressing and beauty treatment;2006 April;92.6;89.2;103.8;-1.5;3.4;-4.8
22;9602 Hairdressing and beauty treatment;2006 May;95.8;89.2;107.4;4.4;3.4;1.0
23;9602 Hairdressing and beauty treatment;2006 June;98.7;89.2;110.7;3.8;3.3;0.5
24;9602 Hairdressing and beauty treatment;2006 2nd quarter;95.7;89.2;107.3;2.2;3.4;-1.1
25;9602 Hairdressing and beauty treatment;2006 July;89.7;89.3;100.4;-1.2;3.3;-4.3
26;9602 Hairdressing and beauty treatment;2006 August;92.9;89.3;104.1;8.8;3.2;5.4
27;9602 Hairdressing and beauty treatment;2006 September;94.6;89.3;106.0;4.7;3.0;1.6
28;9602 Hairdressing and beauty treatment;2006 3rd quarter;92.4;89.3;103.5;4.0;3.2;0.8
29;9602 Hairdressing and beauty treatment;2006 October;92.6;89.4;103.5;5.0;2.9;2.0
30;9602 Hairdressing and beauty treatment;2006 November;96.4;89.7;107.5;6.0;3.2;2.7
31;9602 Hairdressing and beauty treatment;2006 December;109.5;90.1;121.6;2.4;3.8;-1.3
32;9602 Hairdressing and beauty treatment;2006 4th quarter;99.5;89.7;110.9;4.3;3.3;1.0
33;9602 Hairdressing and beauty treatment;2006;94.2;89.3;105.6;2.9;3.2;-0.4
34;9602 Hairdressing and beauty treatment;2007 January;90.6;91.5;99.0;8.5;3.4;5.0
35;9602 Hairdressing and beauty treatment;2007 February;91.2;91.8;99.3;6.8;3.2;3.4
36;9602 Hairdressing and beauty treatment;2007 March;103.9;91.8;113.1;4.7;3.2;1.4
37;9602 Hairdressing and beauty treatment;2007 1st quarter;95.2;91.7;103.8;6.6;3.3;3.2
38;9602 Hairdressing and beauty treatment;2007 April;95.2;92.1;103.3;2.8;3.3;-0.5
39;9602 Hairdressing and beauty treatment;2007 May;101.5;92.3;109.9;5.9;3.4;2.4
40;9602 Hairdressing and beauty treatment;2007 June;105.2;92.5;113.7;6.6;3.8;2.7
