ID;HarmonizedSystem;Periods;BalassaIndex_1;ShareOfChapterInTotalExports_2;ExportsOfDutchProducts_3;ReExports_4
0;Total goods;1996;1.0;100.0;;
1;Total goods;1997;1.0;100.0;;
2;Total goods;1998;1.0;100.0;;
3;Total goods;1999;1.0;100.0;;
4;Total goods;2000;1.0;100.0;;
5;Total goods;2001;1.0;100.0;;
6;Total goods;2002;1.0;100.0;57.8;42.2
7;Total goods;2003;1.0;100.0;58.2;41.8
8;Total goods;2004;1.0;100.0;56.6;43.4
9;Total goods;2005;1.0;100.0;56.6;43.4
10;Total goods;2006;1.0;100.0;56.1;43.9
11;Total goods;2007;1.0;100.0;55.3;44.7
12;Total goods;2008;1.0;100.0;58.2;41.8
13;Total goods;2009;1.0;100.0;55.6;44.4
14;Total goods;2010;1.0;100.0;55.6;44.4
15;Total goods;2011;1.0;100.0;56.4;43.6
16;Total goods;2012;1.0;100.0;54.4;45.6
17;Total goods;2013;1.0;100.0;53.9;46.1
18;Total goods;2014;1.0;100.0;54.9;45.1
19;Total goods;2015;1.0;100.0;57.9;42.1
20;Total goods;2016;1.0;100.0;56.2;43.8
21;Total goods;2017;1.0;100.0;55.8;44.2
22;Total goods;2018;1.0;100.0;56.0;44.0
23;Total goods;2019;1.0;100.0;55.3;44.7
24;Total goods;2020;1.0;100.0;54.7;45.3
25;Total goods;2021;1.0;100.0;55.0;45.0
26;01 Live animals;1996;3.3;0.7;;
27;01 Live animals;1997;1.3;0.3;;
28;01 Live animals;1998;1.3;0.3;;
29;01 Live animals;1999;1.8;0.4;;
30;01 Live animals;2000;1.9;0.4;;
31;01 Live animals;2001;2.6;0.4;;
32;01 Live animals;2002;2.6;0.4;94.0;6.0
33;01 Live animals;2003;2.2;0.4;91.1;8.9
34;01 Live animals;2004;2.6;0.4;89.3;10.7
35;01 Live animals;2005;2.7;0.5;90.5;9.5
36;01 Live animals;2006;2.9;0.5;89.2;10.8
37;01 Live animals;2007;2.5;0.4;87.8;12.2
38;01 Live animals;2008;3.0;0.5;87.3;12.7
39;01 Live animals;2009;2.9;0.6;85.0;15.0
40;01 Live animals;2010;2.9;0.5;88.2;11.8
41;01 Live animals;2011;2.7;0.5;86.7;13.3
42;01 Live animals;2012;2.6;0.5;90.0;10.0
43;01 Live animals;2013;2.8;0.5;88.3;11.7
44;01 Live animals;2014;2.4;0.5;86.4;13.6
45;01 Live animals;2015;2.4;0.4;84.4;15.6
46;01 Live animals;2016;2.6;0.5;82.8;17.2
47;01 Live animals;2017;2.3;0.5;85.1;14.9
48;01 Live animals;2018;2.0;0.4;83.3;16.7
49;01 Live animals;2019;2.0;0.4;80.0;20.0
50;01 Live animals;2020;1.7;0.4;86.0;14.0
51;01 Live animals;2021;1.6;0.3;80.4;19.6
52;02 Meat and edible meat offal;1996;3.1;2.7;;
53;02 Meat and edible meat offal;1997;3.0;2.5;;
54;02 Meat and edible meat offal;1998;3.1;2.4;;
55;02 Meat and edible meat offal;1999;3.1;2.3;;
56;02 Meat and edible meat offal;2000;3.0;2.1;;
57;02 Meat and edible meat offal;2001;2.7;1.9;;
58;02 Meat and edible meat offal;2002;2.8;1.9;89.1;10.9
59;02 Meat and edible meat offal;2003;2.6;1.9;86.2;13.8
60;02 Meat and edible meat offal;2004;2.5;1.8;88.1;11.9
61;02 Meat and edible meat offal;2005;2.5;1.8;86.6;13.4
62;02 Meat and edible meat offal;2006;2.4;1.7;85.2;14.8
63;02 Meat and edible meat offal;2007;2.4;1.7;86.2;13.8
64;02 Meat and edible meat offal;2008;2.2;1.7;88.1;11.9
65;02 Meat and edible meat offal;2009;2.1;1.9;88.0;12.0
66;02 Meat and edible meat offal;2010;2.0;1.6;89.0;11.0
67;02 Meat and edible meat offal;2011;2.0;1.7;89.4;10.6
68;02 Meat and edible meat offal;2012;2.0;1.7;89.4;10.6
69;02 Meat and edible meat offal;2013;2.0;1.7;90.0;10.0
70;02 Meat and edible meat offal;2014;2.1;1.8;89.8;10.2
71;02 Meat and edible meat offal;2015;2.2;1.8;88.5;11.5
72;02 Meat and edible meat offal;2016;2.2;1.8;88.2;11.8
73;02 Meat and edible meat offal;2017;2.1;1.7;86.9;13.1
74;02 Meat and edible meat offal;2018;2.1;1.6;88.6;11.4
75;02 Meat and edible meat offal;2019;2.1;1.7;89.3;10.7
76;02 Meat and edible meat offal;2020;1.9;1.8;88.2;11.8
77;02 Meat and edible meat offal;2021;1.9;1.6;88.1;11.9
78;03 Fish and crustaceans, molluscs and...;1996;1.9;0.7;;
79;03 Fish and crustaceans, molluscs and...;1997;1.8;0.7;;
80;03 Fish and crustaceans, molluscs and...;1998;1.7;0.6;;
81;03 Fish and crustaceans, molluscs and...;1999;1.8;0.7;;
82;03 Fish and crustaceans, molluscs and...;2000;1.8;0.7;;
83;03 Fish and crustaceans, molluscs and...;2001;1.8;0.7;;
84;03 Fish and crustaceans, molluscs and...;2002;1.7;0.6;63.9;36.1
85;03 Fish and crustaceans, molluscs and...;2003;1.8;0.7;61.7;38.3
86;03 Fish and crustaceans, molluscs and...;2004;1.9;0.7;64.9;35.1
87;03 Fish and crustaceans, molluscs and...;2005;1.8;0.7;68.0;32.0
88;03 Fish and crustaceans, molluscs and...;2006;1.7;0.6;66.3;33.7
89;03 Fish and crustaceans, molluscs and...;2007;1.6;0.5;66.1;33.9
90;03 Fish and crustaceans, molluscs and...;2008;1.5;0.5;69.3;30.7
91;03 Fish and crustaceans, molluscs and...;2009;1.4;0.6;64.6;35.4
92;03 Fish and crustaceans, molluscs and...;2010;1.3;0.5;62.7;37.3
93;03 Fish and crustaceans, molluscs and...;2011;1.3;0.5;63.2;36.8
94;03 Fish and crustaceans, molluscs and...;2012;1.3;0.5;71.3;28.7
95;03 Fish and crustaceans, molluscs and...;2013;1.2;0.5;67.6;32.4
96;03 Fish and crustaceans, molluscs and...;2014;1.3;0.5;70.8;29.2
97;03 Fish and crustaceans, molluscs and...;2015;1.3;0.6;74.7;25.3
98;03 Fish and crustaceans, molluscs and...;2016;1.3;0.6;74.1;25.9
99;03 Fish and crustaceans, molluscs and...;2017;1.3;0.6;71.9;28.1
100;03 Fish and crustaceans, molluscs and...;2018;1.3;0.6;71.9;28.1
101;03 Fish and crustaceans, molluscs and...;2019;1.4;0.6;74.6;25.4
102;03 Fish and crustaceans, molluscs and...;2020;1.4;0.6;72.5;27.5
103;03 Fish and crustaceans, molluscs and...;2021;1.4;0.6;71.4;28.6
104;"04 Dairy produce; birds eggs; natural...";1996;2.8;2.6;;
105;"04 Dairy produce; birds eggs; natural...";1997;2.7;2.4;;
106;"04 Dairy produce; birds eggs; natural...";1998;2.7;2.3;;
107;"04 Dairy produce; birds eggs; natural...";1999;2.7;2.1;;
108;"04 Dairy produce; birds eggs; natural...";2000;2.7;2.0;;
109;"04 Dairy produce; birds eggs; natural...";2001;2.6;2.0;;
110;"04 Dairy produce; birds eggs; natural...";2002;2.7;1.9;84.3;15.7
