ID;SITCEnergie;Landen;Perioden;Invoerwaarde_1;Uitvoerwaarde_2
0;Totaal SITC;Totaal landen;1917;440.0;373.0
1;Totaal SITC;Totaal landen;1918;280.0;175.0
2;Totaal SITC;Totaal landen;1919;1476.0;747.0
3;Totaal SITC;Totaal landen;1920;1518.0;781.0
4;Totaal SITC;Totaal landen;1921;1029.0;628.0
5;Totaal SITC;Totaal landen;1922;922.0;558.0
6;Totaal SITC;Totaal landen;1923;915.0;595.0
7;Totaal SITC;Totaal landen;1924;1074.0;766.0
8;Totaal SITC;Totaal landen;1925;1114.0;821.0
9;Totaal SITC;Totaal landen;1926;1109.0;794.0
10;Totaal SITC;Totaal landen;1927;1157.0;862.0
11;Totaal SITC;Totaal landen;1928;1220.0;903.0
12;Totaal SITC;Totaal landen;1929;1255.0;910.0
13;Totaal SITC;Totaal landen;1930;1101.0;784.0
14;Totaal SITC;Totaal landen;1931;860.0;597.0
15;Totaal SITC;Totaal landen;1932;593.0;386.0
16;Totaal SITC;Totaal landen;1933;569.0;342.0
17;Totaal SITC;Totaal landen;1934;490.0;334.0
18;Totaal SITC;Totaal landen;1935;444.0;323.0
19;Totaal SITC;Totaal landen;1936;486.0;361.0
20;Totaal SITC;Totaal landen;1937;728.0;546.0
21;Totaal SITC;Totaal landen;1938;663.0;490.0
22;Totaal SITC;Totaal landen;1939;708.0;457.0
23;Totaal SITC;Totaal landen;1940;464.0;295.0
24;Totaal SITC;Totaal landen;1941;338.0;288.0
25;Totaal SITC;Totaal landen;1942;219.0;280.0
26;Totaal SITC;Totaal landen;1943;191.0;291.0
27;Totaal SITC;Totaal landen;1944;;
28;Totaal SITC;Totaal landen;1945;;
29;Totaal SITC;Totaal landen;1946;1001.0;370.0
30;Totaal SITC;Totaal landen;1947;1942.0;859.0
31;Totaal SITC;Totaal landen;1948;2253.0;1234.0
32;Totaal SITC;Totaal landen;1949;2420.0;1748.0
33;Totaal SITC;Totaal landen;1950;3544.0;2436.0
34;Totaal SITC;Totaal landen;1951;4402.0;3362.0
35;Totaal SITC;Totaal landen;1952;3834.0;3637.0
36;Totaal SITC;Totaal landen;1953;4096.0;3712.0
37;Totaal SITC;Totaal landen;1954;4928.0;4162.0
38;Totaal SITC;Totaal landen;1955;5532.0;4634.0
39;Totaal SITC;Totaal landen;1956;6424.0;4935.0
40;Totaal SITC;Totaal landen;1957;7079.0;5341.0
41;Totaal SITC;Totaal landen;1958;6250.0;5548.0
42;Totaal SITC;Totaal landen;1959;6792.0;6218.0
43;Totaal SITC;Totaal landen;1960;7813.0;6945.0
44;Totaal SITC;Totaal landen;1961;8464.0;7130.0
45;Totaal SITC;Totaal landen;1962;8784.0;7531.0
46;Totaal SITC;Totaal landen;1963;9802.0;8151.0
47;Totaal SITC;Totaal landen;1964;11593.0;9541.0
48;Totaal SITC;Totaal landen;1965;12257.0;10502.0
49;Totaal SITC;Totaal landen;1966;13171.0;11092.0
50;Totaal SITC;Totaal landen;1967;13696.0;11971.0
51;Totaal SITC;Totaal landen;1968;15264.0;13703.0
52;Totaal SITC;Totaal landen;1969;18131.0;16429.0
53;Totaal SITC;Totaal landen;1970;22055.0;19341.0
54;Totaal SITC;Totaal landen;1971;23730.0;22133.0
55;Totaal SITC;Totaal landen;1972;24831.0;24458.0
56;Totaal SITC;Totaal landen;1973;30204.0;30348.0
57;Totaal SITC;Totaal landen;1974;39851.0;39929.0
58;Totaal SITC;Totaal landen;1975;39937.0;40230.0
59;Totaal SITC;Totaal landen;1976;47307.0;48108.0
60;Totaal SITC;Totaal landen;1977;50812.0;48643.0
