ID;Perioden;Totaal_1;Totaal_2;Aanplantingen_3;Dieren_4;Totaal_5;Totaal_6;MachinesEnWerktuigen_7;Vervoermiddelen_8;Totaal_9;Bedrijfsgebouwen_10;AndereWerkenMUVGrondverbetering_11;Totaal_12;ImmaterieleActivaBVComputerSof_13;BelangrijkeGrondverbetering_14;KostenInVerbandMetDeEigendomsove_15;VerbruikVanVasteActiva_16;NettoInvesteringenInVasteActiva_17;VeranderingenInVoorraden_18;Kapitaaloverdrachten_19;Totaal_20;Totaal_21;Aanplantingen_22;Dieren_23;Totaal_24;Totaal_25;MachinesEnWerktuigen_26;Vervoermiddelen_27;Totaal_28;Bedrijfsgebouwen_29;AndereWerkenMUVGrondverbetering_30;Totaal_31;ImmaterieleActivaBVComputerSof_32;BelangrijkeGrondverbetering_33;KostenInVerbandMetDeEigend_34;VerbruikVanVasteActiva_35;NettoInvesteringenInVasteActiva_36;VeranderingenInVoorraden_37;Kapitaaloverdrachten_38;Totaal_39;Totaal_40;Aanplantingen_41;Dieren_42;Totaal_43;Totaal_44;MachinesEnWerktuigen_45;Vervoermiddelen_46;Totaal_47;Bedrijfsgebouwen_48;AndereWerkenMUVGrondverbetering_49;Totaal_50;ImmaterieleActivaBVComputerSof_51;BelangrijkeGrondverbetering_52;KostenInVerbandMetDeEigendomsove_53;VerbruikVanVasteActiva_54;NettoInvesteringenInVasteActiva_55;VeranderingenInVoorraden_56;Kapitaaloverdrachten_57;Totaal_58;Totaal_59;Aanplantingen_60;Dieren_61;Totaal_62;Totaal_63;MachinesEnWerktuigen_64;Vervoermiddelen_65;Totaal_66;Bedrijfsgebouwen_67;AndereWerkenMUVGrondverbetering_68;Totaal_69;ImmaterieleActivaBVComputerSof_70;BelangrijkeGrondverbetering_71;KostenInVerbandMetDeEigendomsove_72;VerbruikVanVasteActiva_73;NettoInvesteringenInVasteActiva_74;VeranderingenInVoorraden_75;Kapitaaloverdrachten_76
0;1995;2154;311;71;240;1843;935;912;22;685;685;;223;142;30;52;1978;177;-27;0;2907;351;102;281;2603;1151;1133;26;1097;1097;;356;203;40;115;2679;202;;;;;;;;;;;;;;;;;;;;;;74.1;88.7;69.4;85.5;70.8;81.2;80.5;85.7;62.5;62.5;;62.8;69.9;74.8;45.4;73.8;87.3;;
1;1996;2181;282;76;206;1900;990;968;22;671;671;;239;152;32;55;2016;165;-29;0;2991;354;107;281;2686;1243;1226;26;1062;1062;;365;210;42;112;2694;261;;;2.9;1.1;5.0;0.0;3.2;7.9;8.1;0.1;-3.2;-3.2;;2.6;3.7;5.1;-2.0;0.6;28.8;;;72.9;79.5;70.9;73.3;70.7;79.7;79.0;85.7;63.2;63.2;;65.4;72.2;77.1;48.8;74.9;63.3;;
2;1997;2800;673;91;582;2127;1103;1076;26;776;776;;248;176;26;46;2060;740;636;1153;3869;914;126;870;2963;1370;1350;30;1208;1208;;369;241;32;86;2718;1243;;;29.4;157.8;17.1;210.0;10.3;10.3;10.2;15.4;13.7;13.7;;0.9;14.8;-22.9;-23.3;0.9;376.9;;;72.4;73.7;72.8;66.9;71.8;80.5;79.7;87.2;64.2;64.2;;67.3;73.0;80.1;53.4;75.8;59.5;;
3;1998;2385;234;78;155;2151;1087;1061;26;798;798;;266;189;24;53;2118;266;89;142;3246;327;116;234;2937;1358;1338;29;1180;1180;;383;253;30;92;2762;431;;;-16.1;-64.2;-7.7;-73.0;-0.9;-0.9;-0.9;-3.5;-2.3;-2.3;;3.8;4.8;-7.5;6.4;1.6;-65.4;;;73.5;71.3;67.5;66.3;73.2;80.1;79.2;90.6;67.6;67.6;;69.6;74.9;80.1;57.7;76.7;61.8;;
4;1999;2992;326;104;222;2666;1209;1185;24;1104;1104;;353;235;28;90;2188;805;-76;0;4028;470;149;354;3583;1519;1506;25;1580;1580;;488;309;35;139;2806;1305;;;24.1;43.5;28.5;51.0;22.0;11.9;12.5;-12.8;33.9;33.9;;27.4;22.2;16.3;51.2;1.6;203.1;;;74.3;69.5;70.1;62.7;74.4;79.6;78.7;94.4;69.9;69.9;;72.4;76.2;80.1;64.7;78.0;61.7;;
5;2000;2973;242;113;129;2731;1341;1317;25;974;974;;416;247;25;143;2338;635;-72;0;3873;342;151;210;3547;1660;1648;26;1330;1330;;537;312;30;196;2900;998;;;-3.9;-27.2;1.7;-40.8;-1.0;9.3;9.4;0.4;-15.8;-15.8;;10.2;1.2;-14.1;41.4;3.4;-23.5;;;76.8;70.7;74.4;61.5;77.0;80.8;79.9;96.1;73.3;73.3;;77.4;79.2;83.4;73.1;80.6;63.6;;
6;2001;3106;196;99;97;2910;1394;1365;29;1178;1178;;337;206;11;120;2485;621;-74;66;3852;220;123;103;3638;1713;1697;29;1504;1504;;408;249;11;150;2990;860;;;-0.5;-35.7;-18.5;-50.8;2.6;3.2;2.9;15.1;13.1;13.1;;-24.0;-20.5;-61.7;-23.5;3.1;-13.9;;;80.6;89.2;80.4;93.8;80.0;81.4;80.5;97.6;78.4;78.4;;82.6;82.9;91.9;80.3;83.1;72.2;;
7;2002;3272;253;80;173;3019;1129;1104;25;1541;1541;;349;229;27;93;2587;685;-24;0;3870;279;96;183;3590;1291;1276;25;1897;1897;;404;266;28;109;3014;852;;;0.5;27.0;-21.8;77.0;-1.3;-24.6;-24.8;-15.9;26.1;26.1;;-1.0;7.0;144.6;-27.3;0.8;-0.9;;;84.6;90.5;83.1;94.5;84.1;87.4;86.5;101.5;81.3;81.3;;86.3;86.1;95.4;85.7;85.8;80.4;;
8;2003;3364;202;97;105;3162;1114;1081;33;1769;1769;;279;181;24;74;2650;714;-9;0;3929;215;110;109;3719;1266;1242;33;2153;2153;;314;204;25;83;3058;867;;;1.5;-23.2;14.1;-40.5;3.6;-1.9;-2.7;32.7;13.5;13.5;;-22.4;-23.3;-10.5;-23.7;1.5;1.8;;;85.6;94.0;87.8;96.5;85.0;88.0;87.1;99.9;82.2;82.2;;88.8;88.5;95.4;89.3;86.6;82.3;;
9;2004;3050;263;79;184;2787;1090;1035;55;1460;1460;;237;128;16;93;2731;320;39;0;3516;282;98;185;3229;1226;1173;56;1745;1745;;262;145;16;100;3105;388;;;-10.5;31.2;-10.8;69.9;-13.2;-3.2;-5.5;72.0;-19.0;-19.0;;-16.4;-29.0;-35.4;20.5;1.5;-55.3;;;86.8;93.4;80.3;99.6;86.3;89.0;88.2;98.1;83.7;83.7;;90.3;88.5;95.4;93.2;87.9;82.5;;
10;2005;3182;229;82;147;2953;1050;987;63;1623;1623;;280;181;13;87;2778;405;6;0;3609;243;97;150;3365;1164;1102;64;1903;1903;;307;203;13;91;3105;486;;;2.7;-13.8;-1.6;-19.0;4.2;-5.0;-6.1;14.0;9.1;9.1;;16.8;40.0;-18.9;-9.1;0.0;25.4;;;88.2;94.5;85.2;98.1;87.8;90.2;89.5;98.1;85.3;85.3;;91.3;89.0;95.4;95.4;89.5;83.2;;
11;2006;3324;202;81;121;3121;1225;1168;57;1641;1641;;256;171;22;63;2845;478;-4;0;3685;206;94;117;3480;1342;1288;59;1870;1870;;273;186;23;64;3115;555;;;2.1;-15.2;-3.2;-21.9;3.4;15.3;16.8;-8.3;-1.8;-1.8;;-11.0;-8.2;77.4;-29.9;0.3;14.2;;;90.2;98.2;87.1;103.3;89.7;91.3;90.7;96.3;87.7;87.7;;93.8;91.6;95.4;98.5;91.3;86.1;;
12;2007;4037;309;86;223;3728;1654;1580;74;1761;1761;;313;183;35;94;2932;1105;37;0;4372;307;94;212;4062;1778;1710;75;1956;1956;;324;194;37;93;3144;1246;;;18.7;49.0;0.5;81.6;16.7;32.5;32.8;26.6;4.6;4.6;;18.7;3.9;56.2;45.3;0.9;124.4;;;92.3;100.9;91.7;105.0;91.8;93.0;92.4;98.9;90.0;90.0;;96.8;94.7;96.9;101.7;93.3;88.7;;
13;2008;4330;255;82;173;4075;1795;1719;75;1999;1999;;281;174;28;79;3075;1255;64;0;4577;259;87;172;4320;1899;1830;75;2140;2140;;282;179;27;76;3206;1393;;;4.7;-15.7;-7.5;-18.8;6.4;6.8;7.1;0.9;9.4;9.4;;-12.9;-7.7;-25.9;-18.2;2.0;11.8;;;94.6;98.6;94.2;100.4;94.3;94.5;93.9;100.2;93.4;93.4;;99.9;97.5;104.2;104.3;95.9;90.0;;
14;2009;4023;271;76;195;3752;1527;1425;102;1951;1951;;274;162;37;75;3211;813;4;0;4131;275;78;198;3855;1571;1472;102;2008;2008;;276;164;37;74;3266;860;;;-9.7;6.5;-10.6;14.6;-10.8;-17.3;-19.6;35.0;-6.2;-6.2;;-2.0;-8.1;37.4;-2.6;1.9;-38.3;;;97.4;98.5;98.1;98.6;97.3;97.2;96.8;100.2;97.2;97.2;;99.4;98.7;100.0;101.6;98.3;94.5;;
15;2010;4322;259;91;168;4063;1648;1450;198;2107;2107;;308;221;24;62;3302;1020;15;0;4322;259;91;168;4063;1648;1450;198;2107;2107;;308;221;24;62;3302;1020;;;4.6;-6.0;17.0;-15.0;5.4;4.9;-1.5;95.0;4.9;4.9;;11.4;34.8;-35.5;-15.7;1.1;18.6;;;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;;100.0;100.0;100.0;100.0;100.0;100.0;;
16;2011;5412;200;71;129;5213;2083;1851;231;2796;2796;;334;218;34;82;3325;2087;-56;0;5437;206;69;137;5231;2101;1872;230;2795;2795;;335;218;34;83;3362;2075;;;25.8;-20.5;-24.2;-18.4;28.8;27.5;29.0;15.9;32.7;32.7;;8.9;-1.6;42.3;33.2;1.8;103.5;;;99.5;97.0;102.9;94.0;99.6;99.1;98.9;100.9;100.0;100.0;;99.7;100.0;100.0;98.8;98.9;100.6;;
17;2012;4974;251;72;179;4723;1729;1519;210;2609;2609;;386;216;33;136;3448;1526;21;0;5016;277;84;194;4742;1690;1483;207;2613;2613;;437;215;32;191;3480;1542;;;-7.7;34.3;21.1;41.6;-9.4;-19.6;-20.8;-9.7;-6.5;-6.5;;30.6;-1.3;-5.6;130.3;3.5;-25.7;;;99.2;90.8;86.1;92.4;99.6;102.3;102.4;101.3;99.8;99.8;;88.2;100.5;103.1;71.4;99.1;99.0;;
18;2013;4495;316;78;238;4179;1833;1665;168;1999;1999;;348;220;43;85;3576;919;0;0;4517;365;88;276;4164;1788;1622;165;1973;1973;;395;219;43;119;3583;940;;;-10.0;31.9;5.6;42.5;-12.2;5.8;9.4;-20.5;-24.5;-24.5;;-9.6;1.7;31.8;-37.6;2.9;-39.1;;;99.5;86.5;88.4;86.0;100.4;102.5;102.6;101.7;101.3;101.3;;87.9;100.5;100.7;71.4;99.8;97.8;;
19;2014;4863;333;112;221;4531;1888;1730;157;2247;2247;;396;229;46;121;3640;1223;-27;0;4858;381;126;255;4488;1833;1676;156;2207;2207;;445;228;45;162;3633;1235;;;7.6;4.6;42.3;-7.8;7.8;2.5;3.3;-5.5;11.8;11.8;;12.5;4.5;6.8;36.0;1.4;31.5;;;100.1;87.2;89.2;86.7;100.9;103.0;103.3;101.1;101.8;101.8;;89.0;100.5;100.7;74.4;100.2;99.0;;
20;2015;4622;356;102;254;4266;1875;1714;162;2009;2009;;382;243;38;100;3706;916;-36;0;4591;390;113;277;4216;1774;1612;161;2019;2019;;419;239;38;126;3671;927;;;-5.5;2.3;-10.2;8.7;-6.1;-3.2;-3.8;3.4;-8.5;-8.5;;-5.8;4.8;-16.2;-22.2;1.0;-24.9;;;100.7;91.2;90.1;91.9;101.2;105.7;106.3;100.5;99.5;99.5;;91.2;101.7;100.7;79.1;101.0;98.8;;
21;2016;4574;330;110;220;4244;1918;1737;182;1918;1918;;407;243;40;124;3792;782;-50;0;4548;387;122;265;4176;1801;1620;180;1934;1934;;437;236;40;149;3739;814;;;-0.9;-0.9;7.9;-4.4;-0.9;1.5;0.5;12.0;-4.2;-4.2;;4.3;-1.6;5.3;18.0;1.9;-12.3;;;100.6;85.4;90.4;83.3;101.6;106.5;107.2;100.8;99.2;99.2;;93.2;103.0;100.7;83.1;101.4;96.1;;
