ID;Omzetklassen;Perioden;Bedrijven_1;Bedrijfsopbrengsten_2;TotaalNettoOmzet_3;VerleendeDiensten_4;Handelsgoederen_5;OverigeOpbrengsten_6;TotaalBedrijfslasten_7;KostprijsVanDeOmzet_8;Personeelskosten_9;Afschrijvingen_10;OverigeBedrijfslasten_11;TotaalOverigeBedrijfslasten_12;Huisvestingskosten_13;InventarisEnMachinekosten_14;Autokosten_15;Verkoopkosten_16;AndereKosten_17;Bedrijfsresultaat_18;SaldoFinancieleResultaten_19;ResultaatVoorBelastingen_20;BrutoWinstmarge_21;OperationeleWinstmarge_22;WinstmargeVoorBelastingen_23;Investeringsquote_24;NettoOmzetPerFte_25;LoonkostenPerFte_26;NettoOmzet_27;AccuS_28;Autoruiten_29;Banden_30;Schokbrekers_31;RadiatorenStartmotorenDynamoS_32;Uitlaten_33;Overig_34;Autowasserij_35;Carrosserieherstel_36;CleanenReinigenOntvettenAntiroest_37;MLTectyleren_38;SlepenEnBergen_39;UitbesteedWerk_40;OverigeDienstverlening_41;AccessoiresEnOnderdelen_42;Banden_43;OverigeHandelsactiviteiten_44;OntvangstenVoorUitleenEnSubsidie_45;TotaalPersoneelskosten_46;BrutoLonenEnSalarissen_47;SocialeLasten_48;Pensioenpremies_49;KostenUitzendkrachten_50;KostenIngeleendPersoneel_51;OverigePersoneelskosten_52;TotaalOverigeBedrijfslasten_53;TotaalHuisvestingskosten_54;BetaaldeHurenPachtenEDVanLeasing_55;OnroerendeZaakbelastingMilieuheffing_56;Energiekosten_57;ReparatieEnOnderhoudskosten_58;Verzekeringen_59;OverigeHuisvestingskosten_60;TotaalInventarisEnMachinekosten_61;BetaaldeHurenEnKostenVanOperLease_62;Onderhoudskosten_63;OverigeInventarisEnMachinekosten_64;TotaalAutokosten_65;BetaaldeHurenEnKostenVanOperLease_66;Brandstof_67;OverigeAutokosten_68;TotaalVerkoopkosten_69;ReclameEnAdvertentiekosten_70;ReisVerblijfsEnRepresentatiekosten_71;OverigeVerkoopkosten_72;TotaalAndereKosten_73;AccountantsEnAdviesdiensten_74;KantoorbenodigdhDrukwerkVakliteratuur_75;OverigeVerzekeringen_76;OverigeKostprijsverhogendeBelastingen_77;Communicatiekosten_78;Beheerskosten_79;OverigeAutomatiseringskosten_80;NogNietEerderGenoemdeBedrijfskosten_81;TotaalAantalWerkzamePersonen_82;WerknemersOpDeLoonlijst_83;WerknemersNietOpLoonlijst_84;OverigPersoneel_85;AantalVte_86;TotaalInvesteringen_87;TotaalMaterieleVasteActiva_88;Bedrijfsruimten_89;Vervoermiddelen_90;Computers_91;OverigeMachinesApparatenED_92;OverigeMaterieleVasteActiva_93;TotaalImmaterieleVasteActiva_94
0;Totaal SBI 502;1996;32.5;1186;1176;1081;95;10;1055;48.2;29.6;4.7;17.5;184;63;14;24;24;60;131;-18;113;56.8;9.5;9.5;5.9;79.3;25.4;1176;0.6;5.7;14.5;0.6;1.8;3.2;13.6;5.0;41.3;1.3;0.6;2.3;0.3;1.7;3.7;2.0;2.4;0.4;313;82.1;8.0;3.2;1.1;1.2;4.7;184;63;50.9;1.7;26.1;9.7;2.9;8.6;14;12.0;48.3;39.7;24;30.2;28.7;41.1;24;66.3;13.0;20.7;60;21.6;10.9;9.1;1.4;12.8;17.3;3.6;23.1;159;82.8;15.8;1.4;148;70;98.0;37.3;18.3;2.7;29.5;10.2;2.0
1;Totaal SBI 502;1997;32.7;1237;1231;1140;91;6;1097;48.2;29.2;4.5;18.1;198;71;12;24;26;65;140;-16;124;57.1;9.8;10.0;5.5;80.7;26.1;1231;0.6;6.1;15.2;0.5;2.0;2.9;12.4;4.6;42.5;1.8;0.5;2.1;0.4;1.5;2.9;1.7;2.8;0.6;321;82.6;7.7;3.4;1.3;0.6;5.0;198;71;56.1;2.2;24.7;9.1;2.3;5.6;12;17.6;45.0;37.4;24;31.8;25.8;42.4;26;68.5;11.3;20.2;65;23.8;10.2;9.3;2.0;11.5;17.9;3.0;22.4;164;81.0;18.2;0.8;153;68;98.0;29.1;19.6;1.9;30.5;16.8;2.0
2;Totaal SBI 502;1998;34.8;1378;1370;1297;73;8;1198;46.5;29.8;4.9;18.7;224;79;15;27;28;75;180;-15;165;59.3;12.0;12.0;5.2;;;1370;0.6;6.4;14.2;0.4;2.2;2.4;9.4;4.9;47.5;2.6;0.4;2.5;0.3;1.1;1.9;1.5;2.0;0.7;357;77.4;10.8;4.0;1.7;1.4;5.4;224;79;;;;;;;15;;;;27;;;;28;;;;75;;;;;;;;;176;79.2;19.0;1.9;162;71;99.5;24.3;31.0;3.4;28.6;12.3;0.5
3;Totaal SBI 502;1999;34.6;1499;1493;1425;68;6;1310;45.6;30.7;4.8;18.9;248;89;16;30;32;81;189;-1;188;60.0;12.1;12.5;6.7;;;1493;0.6;6.9;13.9;0.4;1.8;2.3;7.9;4.0;50.1;3.6;0.4;2.7;0.2;1.0;1.3;1.3;2.0;0.8;402;76.1;11.4;3.9;2.1;1.8;5.5;248;89;;;;;;;16;;;;30;;;;32;;;;81;;;;;;;;;187;82.0;15.9;2.1;161;101;99.0;29.4;27.2;3.0;28.7;10.8;1.0
4;Tot 250 000 euro;1996;23.1;215;213;195;18;2;173;45.6;23.6;6.9;23.9;41;14;2;6;5;14;43;-5;38;63.0;17.3;17.5;11.5;55.2;19.8;213;0.5;7.0;4.2;0.1;3.1;1.2;15.4;8.9;38.5;6.4;0.1;3.0;0.1;2.8;3.9;0.6;4.2;1.2;41;82.3;8.6;2.1;0.4;2.0;5.8;41;14;53.3;1.8;26.6;7.5;3.0;7.8;2;12.7;45.7;41.6;6;24.1;32.8;43.2;5;71.4;11.2;17.4;14;31.3;8.7;10.4;0.4;10.8;8.7;1.8;27.7;41;55.1;43.9;1.0;39;25;99.3;54.5;12.1;0.9;25.3;6.5;0.7
5;Tot 250 000 euro;1997;22.2;201;200;186;14;1;154;43.6;21.5;7.2;27.8;43;15;2;6;5;15;48;-5;43;66.5;21.1;21.3;5.0;50.2;19.9;200;0.4;7.1;4.9;0.1;4.0;1.3;12.9;12.4;38.4;7.5;0.1;3.1;0.2;0.9;3.2;0.4;3.2;1.3;33;81.9;8.5;2.1;0.4;2.0;6.3;43;15;61.1;2.3;22.4;6.2;3.1;4.8;2;41.2;32.9;25.9;6;44.3;28.3;27.4;5;75.4;9.8;14.8;15;39.2;7.4;9.9;0.2;9.3;5.2;0.7;28.2;42;44.1;55.2;0.7;40;10;98.4;33.3;24.2;0.3;37.9;2.7;1.6
6;Tot 250 000 euro;1998;22.9;206;205;195;9;1;155;43.2;20.6;7.5;28.7;45;17;2;6;4;15;51;-5;46;67.3;22.3;22.5;6.6;;;205;0.5;6.7;6.5;0.1;4.4;1.2;12.0;13.2;37.1;11.5;0.1;1.4;0.1;0.8;2.2;0.0;2.3;1.2;32;79.1;10.2;2.5;1.8;2.3;5.2;45;17;;;;;;;2;;;;6;;;;4;;;;15;;;;;;;;;43;39.5;58.3;2.2;40;14;99.8;27.5;34.0;2.2;25.7;10.4;0.2
7;Tot 250 000 euro;1999;21.5;199;197;190;8;2;149;40.7;20.7;8.2;30.4;45;18;3;6;4;14;50;-3;47;69.3;23.5;23.7;9.0;;;197;0.5;6.1;6.5;0.1;4.4;0.8;11.6;11.9;36.7;14.5;0.1;2.0;0.1;1.0;1.9;0.1;1.9;1.5;31;79.8;11.1;2.4;2.0;3.0;3.2;45;18;;;;;;;3;;;;6;;;;4;;;;14;;;;;;;;;41;46.5;50.9;2.6;34;18;99.1;34.2;24.7;2.2;33.3;4.7;0.9
8;250 000 tot 500 000 euro;1996;3.7;140;139;116;23;1;122;47.0;29.9;5.5;17.7;22;7;2;2;3;7;18;-3;15;58.9;11.0;10.9;7.1;71.4;22.3;139;0.3;2.8;7.8;0.2;3.6;0.8;19.9;9.2;37.3;0.3;0.2;0.0;0.8;0.5;7.6;3.1;5.9;0.2;36;82.7;9.4;2.9;0.9;0.6;3.7;22;7;40.7;2.4;35.5;8.8;3.9;8.6;2;22.2;46.8;31.0;2;31.7;28.0;40.2;3;60.5;14.7;24.8;7;23.3;15.3;9.1;0.2;8.8;15.1;2.6;25.5;23;85.3;14.7;0.0;20;10;99.8;27.8;17.8;1.7;45.6;6.9;0.2
9;250 000 tot 500 000 euro;1997;4.8;180;179;160;19;1;158;45.6;31.0;5.1;18.3;29;10;2;3;3;10;22;-4;18;59.7;10.3;10.2;4.5;69.6;22.7;179;0.9;4.8;7.5;0.2;3.2;0.9;21.1;7.9;36.0;2.9;0.2;0.0;0.8;3.2;5.5;1.3;4.0;0.7;49;84.4;8.5;2.9;0.4;0.6;4.0;29;10;44.9;2.1;33.1;10.8;2.6;6.6;2;22.1;46.1;31.9;3;33.6;20.2;46.2;3;74.2;9.0;16.8;10;27.9;13.1;10.7;0.1;9.1;11.1;1.8;26.3;29;85.6;14.3;0.1;26;8;96.8;18.3;31.3;1.7;35.7;9.7;3.2
