ID;Vleermuissoort;Perioden;Index_1;TrendGehelePeriode_2;TrendLaatste10Jaar_3
0;21000;1986;82;.                             ;.                             
1;21000;1987;79;.                             ;.                             
2;21000;1988;90;.                             ;.                             
3;21000;1989;95;.                             ;.                             
4;21000;1990;100;.                             ;.                             
5;21000;1991;113;.                             ;.                             
6;21000;1992;116;.                             ;.                             
7;21000;1993;112;.                             ;.                             
8;21000;1994;120;.                             ;.                             
9;21000;1995;124;.                             ;.                             
10;21000;1996;126;.                             ;.                             
11;21000;1997;128;.                             ;.                             
12;21000;1998;139;.                             ;.                             
13;21000;1999;147;.                             ;.                             
14;21000;2000;167;.                             ;.                             
15;21000;2001;169;.                             ;.                             
16;21000;2002;193;.                             ;.                             
17;21000;2003;198;.                             ;.                             
18;21000;2004;207;.                             ;.                             
19;21000;2005;250;.                             ;.                             
20;21000;2006;255;Sterke toename                ;Sterke toename                
21;214;1986;67;.                             ;.                             
22;214;1987;78;.                             ;.                             
23;214;1988;65;.                             ;.                             
24;214;1989;91;.                             ;.                             
25;214;1990;100;.                             ;.                             
26;214;1991;131;.                             ;.                             
27;214;1992;121;.                             ;.                             
28;214;1993;134;.                             ;.                             
29;214;1994;177;.                             ;.                             
30;214;1995;209;.                             ;.                             
31;214;1996;273;.                             ;.                             
32;214;1997;294;.                             ;.                             
33;214;1998;290;.                             ;.                             
34;214;1999;331;.                             ;.                             
35;214;2000;312;.                             ;.                             
36;214;2001;380;.                             ;.                             
37;214;2002;454;.                             ;.                             
38;214;2003;479;.                             ;.                             
39;214;2004;556;.                             ;.                             
40;214;2005;646;.                             ;.                             
41;214;2006;798;Sterke toename                ;Sterke toename                
42;27000;1986;81;.                             ;.                             
43;27000;1987;85;.                             ;.                             
44;27000;1988;88;.                             ;.                             
45;27000;1989;92;.                             ;.                             
46;27000;1990;100;.                             ;.                             
47;27000;1991;125;.                             ;.                             
48;27000;1992;85;.                             ;.                             
49;27000;1993;111;.                             ;.                             
50;27000;1994;146;.                             ;.                             
51;27000;1995;143;.                             ;.                             
52;27000;1996;182;.                             ;.                             
53;27000;1997;180;.                             ;.                             
54;27000;1998;146;.                             ;.                             
55;27000;1999;198;.                             ;.                             
56;27000;2000;143;.                             ;.                             
57;27000;2001;162;.                             ;.                             
58;27000;2002;177;.                             ;.                             
59;27000;2003;195;.                             ;.                             
60;27000;2004;171;.                             ;.                             
61;27000;2005;166;.                             ;.                             
62;27000;2006;196;Matige toename                ;Matige toename                
63;213;1986;36;.                             ;.                             
64;213;1987;63;.                             ;.                             
65;213;1988;84;.                             ;.                             
66;213;1989;99;.                             ;.                             
67;213;1990;100;.                             ;.                             
68;213;1991;101;.                             ;.                             
69;213;1992;120;.                             ;.                             
70;213;1993;115;.                             ;.                             
71;213;1994;141;.                             ;.                             
72;213;1995;157;.                             ;.                             
73;213;1996;185;.                             ;.                             
74;213;1997;212;.                             ;.                             
75;213;1998;195;.                             ;.                             
76;213;1999;253;.                             ;.                             
77;213;2000;264;.                             ;.                             
78;213;2001;311;.                             ;.                             
79;213;2002;387;.                             ;.                             
80;213;2003;424;.                             ;.                             
81;213;2004;542;.                             ;.                             
82;213;2005;559;.                             ;.                             
83;213;2006;617;Sterke toename                ;Sterke toename                
84;218;1986;81;.                             ;.                             
85;218;1987;76;.                             ;.                             
86;218;1988;100;.                             ;.                             
87;218;1989;98;.                             ;.                             
88;218;1990;100;.                             ;.                             
89;218;1991;107;.                             ;.                             
90;218;1992;114;.                             ;.                             
91;218;1993;126;.                             ;.                             
92;218;1994;136;.                             ;.                             
93;218;1995;126;.                             ;.                             
94;218;1996;128;.                             ;.                             
95;218;1997;140;.                             ;.                             
96;218;1998;174;.                             ;.                             
97;218;1999;185;.                             ;.                             
98;218;2000;187;.                             ;.                             
99;218;2001;200;.                             ;.                             
100;218;2002;197;.                             ;.                             
101;218;2003;215;.                             ;.                             
102;218;2004;187;.                             ;.                             
103;218;2005;215;.                             ;.                             
104;218;2006;223;Matige toename                ;Matige toename                
105;216;1986;81;.                             ;.                             
106;216;1987;106;.                             ;.                             
107;216;1988;100;.                             ;.                             
108;216;1989;109;.                             ;.                             
109;216;1990;100;.                             ;.                             
110;216;1991;70;.                             ;.                             
111;216;1992;89;.                             ;.                             
112;216;1993;100;.                             ;.                             
113;216;1994;72;.                             ;.                             
114;216;1995;67;.                             ;.                             
115;216;1996;94;.                             ;.                             
116;216;1997;117;.                             ;.                             
117;216;1998;120;.                             ;.                             
118;216;1999;128;.                             ;.                             
119;216;2000;150;.                             ;.                             
120;216;2001;172;.                             ;.                             
121;216;2002;195;.                             ;.                             
122;216;2003;153;.                             ;.                             
123;216;2004;189;.                             ;.                             
124;216;2005;225;.                             ;.                             
125;216;2006;189;Matige toename                ;Matige toename                
126;217;1986;70;.                             ;.                             
127;217;1987;72;.                             ;.                             
128;217;1988;86;.                             ;.                             
129;217;1989;100;.                             ;.                             
130;217;1990;100;.                             ;.                             
131;217;1991;108;.                             ;.                             
132;217;1992;94;.                             ;.                             
133;217;1993;113;.                             ;.                             
134;217;1994;110;.                             ;.                             
135;217;1995;112;.                             ;.                             
136;217;1996;115;.                             ;.                             
137;217;1997;127;.                             ;.                             
138;217;1998;113;.                             ;.                             
139;217;1999;129;.                             ;.                             
140;217;2000;125;.                             ;.                             
141;217;2001;134;.                             ;.                             
142;217;2002;155;.                             ;.                             
143;217;2003;143;.                             ;.                             
144;217;2004;141;.                             ;.                             
145;217;2005;157;.                             ;.                             
146;217;2006;173;Matige toename                ;Matige toename                
