ID;Perioden;TotaalHeffingen_1;WatersysteemheffingTotaal_2;WatersysteemheffingIngezetenen_3;WatersysteemheffingOngebouwd_4;WatersysteemheffingNatuur_5;WatersysteemheffingGebouwd_6;HeffingWegenbeheerTotaal_7;HeffingWegenbeheerIngezetenen_8;HeffingWegenbeheerOngebouwd_9;HeffingWegenbeheerNatuur_10;HeffingWegenbeheerGebouwd_11;NietTaakgebondenHeffingTotaal_12;NietTaakgebondenHeffingIngezetenen_13;NietTaakgebondenHeffingOngebouwd_14;NietTaakgebondenHeffingNatuur_15;NietTaakgebondenHeffingGebouwd_16;ZuiveringsheffingTotaal_17;ZuiveringsheffingEenpersoonshuishoudens_18;ZuiveringsheffingMeerpersoonshuishouden_19;ZuiveringsheffingKleineBedrijven_20;ZuiveringsheffingGroteBedrijven_21;VerontreinigingsheffingTotaal_22;VerontreinigingsheffingHuishoudens_23;VerontreinigingsheffingBedrijven_24
0;2009;2173;999;378;122;1;498;35;16;3;0;16;29.0;8.0;2.0;0.0;20.0;1097;105;695;33;265;12;5;7
1;2010;2262;1059;404;128;1;525;37;17;3;0;17;22.0;6.0;1.0;0.0;14.0;1134;108;724;33;269;10;4;6
2;2011;2343;1104;429;129;2;545;37;16;3;0;17;17.0;5.0;1.0;0.0;10.0;1176;113;749;35;279;9;3;6
3;2012;2426;1158;454;133;2;569;38;17;3;0;18;17.0;6.0;1.0;0.0;11.0;1204;117;769;36;282;10;3;6
4;2013;2504;1223;480;140;2;601;35;15;3;0;16;16.0;5.0;1.0;0.0;11.0;1221;122;780;37;283;9;3;6
5;2014;2575;1279;510;151;3;614;35;16;3;0;16;11.0;3.0;0.0;0.0;8.0;1241;124;798;38;281;9;3;6
6;2015;2643;1344;533;158;4;649;36;16;3;0;16;;;;;;1255;126;820;39;270;9;3;6
7;2016;2694;1378;549;162;4;663;36;16;3;0;17;;;;;;1270;131;824;41;275;9;3;6
8;2017;2742;1422;576;167;4;675;37;17;4;0;17;;;;;;1275;134;823;38;279;8;3;6
