ID;LandenGroepen;Perioden;TotaleInvoerwaarde_1;BENijverheidGeenBouwEnEnergie_2;GHandel_3;SBICodeOnbekend_4;TotaleUitvoerwaarde_5;BENijverheidGeenBouwEnEnergie_6;GHandel_7;SBICodeOnbekend_8
0;Totaal Wereld;2009;274025;26.0;37.0;18;309369;34;32;23
1;Totaal Wereld;2010;331914;26.0;38.0;17;371549;33;31;25
2;Europese Unie;2009;151826;26.0;46.0;19;231344;34;35;23
3;Europese Unie;2010;176670;27.0;48.0;17;275666;33;34;24
4;Niet Europese Unie;2009;122199;26.0;27.0;17;78025;35;23;22
5;Niet Europese Unie;2010;155243;24.0;28.0;18;95883;35;23;27
6;Algerije;2009;1777;;5.0;56;355;31;39;16
7;Algerije;2010;2344;;9.0;71;433;33;36;26
8;Argentinië;2009;1518;7.0;58.0;11;291;28;24;21
9;Argentinië;2010;1527;9.0;55.0;11;702;15;27;18
10;Australië;2009;529;46.0;20.0;18;1239;42;23;17
11;Australië;2010;545;28.0;22.0;24;1412;36;24;28
12;België;2009;27452;30.0;46.0;16;34620;36;34;23
13;België;2010;31864;32.0;44.0;17;41265;35;32;26
14;Brazilië;2009;3893;31.0;36.0;11;1109;48;22;18
15;Brazilië;2010;4397;34.0;34.0;11;1797;41;20;20
16;Bulgarije;2009;187;31.0;43.0;14;414;30;40;22
17;Bulgarije;2010;195;;50.0;11;481;27;42;24
18;Canada;2009;1110;33.0;18.0;18;1391;32;25;15
19;Canada;2010;1669;38.0;18.0;18;1415;33;26;22
20;Centr., Oost- en overig zuidelijk Afrika;2009;1909;35.0;25.0;7;1279;30;28;19
21;Centr., Oost- en overig zuidelijk Afrika;2010;2540;34.0;29.0;7;1527;24;28;26
22;China;2009;21975;7.0;38.0;25;4589;38;26;22
23;China;2010;31001;7.0;35.0;22;5391;41;25;24
24;Cyprus;2009;83;16.0;63.0;6;325;25;49;17
25;Cyprus;2010;110;;;11;390;28;39;19
26;Denemarken;2009;2975;37.0;45.0;9;4076;34;36;19
27;Denemarken;2010;2725;29.0;51.0;12;4716;31;35;24
28;Duitsland;2009;52538;26.0;50.0;16;75225;34;35;23
29;Duitsland;2010;58914;27.0;54.0;10;90269;33;37;21
30;Estland;2009;346;6.0;19.0;71;264;28;50;12
31;Estland;2010;245;14.0;72.0;6;325;28;40;22
32;Finland;2009;2640;20.0;26.0;49;2888;27;41;21
33;Finland;2010;3177;17.0;21.0;57;3913;23;43;25
34;Frankrijk;2009;13591;26.0;41.0;25;27484;36;31;22
35;Frankrijk;2010;14438;27.0;44.0;21;32489;37;30;24
36;Griekenland;2009;389;18.0;60.0;15;2571;35;34;23
37;Griekenland;2010;394;21.0;58.0;15;2518;35;34;25
38;Hongarije;2009;1845;19.0;47.0;10;2108;27;44;21
39;Hongarije;2010;2154;22.0;52.0;9;2321;25;41;26
40;Hongkong;2009;1800;6.0;25.0;9;1151;31;24;22
41;Hongkong;2010;2076;8.0;23.0;6;1334;32;25;27
42;Ierland;2009;3154;15.0;52.0;18;2601;31;30;32
43;Ierland;2010;3994;14.0;55.0;22;2782;31;30;31
44;India;2009;2406;14.0;37.0;8;1668;39;20;26
45;India;2010;3301;16.0;31.0;10;1717;35;24;31
46;Indonesië;2009;1721;24.0;31.0;11;542;58;20;15
47;Indonesië;2010;1885;23.0;32.0;14;465;47;18;30
48;Iran;2009;1083;;10.0;3;550;42;15;24
49;Iran;2010;1041;;3.0;4;586;35;19;37
50;Israël;2009;1295;8.0;64.0;7;1038;34;25;24
51;Israël;2010;1578;26.0;50.0;10;1220;32;25;36
52;Italië;2009;6322;23.0;56.0;13;16007;34;35;21
53;Italië;2010;7163;24.0;54.0;14;18596;33;35;24
54;Japan;2009;7251;13.0;25.0;11;2381;42;14;25
55;Japan;2010;9275;15.0;25.0;11;3190;45;17;28
56;Koeweit;2009;1177;;0.0;0;308;38;25;19
57;Koeweit;2010;1755;;0.0;0;334;40;25;22
58;Letland;2009;152;11.0;79.0;5;231;24;49;16
59;Letland;2010;172;15.0;71.0;4;296;20;50;20
60;Litouwen;2009;312;18.0;53.0;22;449;25;43;24
61;Litouwen;2010;831;;38.0;41;566;23;44;24
62;Luxemburg;2009;716;24.0;56.0;17;959;27;42;23
63;Luxemburg;2010;648;36.0;49.0;9;1377;19;41;34
64;Maleisië;2009;4310;13.0;13.0;35;629;41;24;16
65;Maleisië;2010;5564;13.0;13.0;36;715;39;24;30
66;Malta;2009;40;;53.0;3;247;35;40;10
67;Malta;2010;87;4.0;;4;247;42;38;11
68;Niet nader bepaalde landen binnen EU;2009;261;11.0;62.0;9;302;25;41;20
69;Niet nader bepaalde landen binnen EU;2010;262;10.0;72.0;6;411;32;42;12
70;Niet nader bepaalde landen buiten EU;2009;148;50.0;38.0;8;2218;45;18;29
71;Niet nader bepaalde landen buiten EU;2010;264;;16.0;43;2906;23;28;39
72;Nigeria;2009;1267;57.0;11.0;20;2371;11;14;7
73;Nigeria;2010;2085;38.0;22.0;33;3358;8;15;26
74;Noorwegen;2009;6787;69.0;5.0;15;3092;31;25;28
75;Noorwegen;2010;8430;57.0;13.0;14;3001;30;21;38
76;Oostenrijk;2009;1636;24.0;54.0;15;4103;31;34;27
77;Oostenrijk;2010;1765;28.0;51.0;14;4885;29;34;29
78;Polen;2009;3595;23.0;50.0;20;5948;29;31;32
79;Polen;2010;4624;23.0;46.0;24;7378;28;32;32
80;Portugal;2009;1088;22.0;49.0;23;2413;30;33;22
81;Portugal;2010;1440;26.0;41.0;25;2893;30;29;25
82;Roemenië;2009;957;22.0;35.0;12;1298;27;44;20
83;Roemenië;2010;942;29.0;35.0;8;1494;26;43;21
84;Rusland;2009;9628;63.0;7.0;16;4419;27;34;30
85;Rusland;2010;14023;49.0;18.0;19;5641;24;28;41
86;Saoedi-Arabië;2009;1415;;1.0;3;1586;36;23;22
87;Saoedi-Arabië;2010;2376;;2.0;7;1671;40;26;24
88;Singapore;2009;2252;5.0;19.0;2;2074;39;12;15
89;Singapore;2010;2676;11.0;22.0;6;2910;40;9;15
90;Slovenië;2009;228;34.0;52.0;8;529;34;38;19
91;Slovenië;2010;288;31.0;53.0;8;612;34;37;22
92;Slowakije;2009;1118;11.0;41.0;40;890;28;31;25
93;Slowakije;2010;1246;13.0;71.0;6;1220;23;33;27
94;Spanje;2009;4799;20.0;50.0;22;10512;26;37;26
95;Spanje;2010;7037;18.0;60.0;17;12604;25;37;29
96;Taiwan;2009;1852;20.0;43.0;9;1288;64;12;10
97;Taiwan;2010;2408;16.0;46.0;11;2460;80;7;8
98;Thailand;2009;2358;11.0;26.0;9;703;53;16;23
99;Thailand;2010;2815;13.0;25.0;8;806;60;13;24
100;Tsjechië;2009;3761;;27.0;32;3818;21;27;44
101;Tsjechië;2010;4544;;31.0;33;5317;17;31;45
102;Turkije;2009;1367;17.0;66.0;9;3482;29;32;25
103;Turkije;2010;1614;19.0;63.0;7;4487;25;24;39
104;Verenigde Staten;2009;22995;20.0;30.0;18;13928;36;15;22
105;Verenigde Staten;2010;25055;19.0;32.0;15;16875;41;25;17
106;Verenigd Koninkrijk;2009;17648;33.0;36.0;22;25879;35;36;20
107;Verenigd Koninkrijk;2010;22130;31.0;39.0;22;29651;34;33;25
108;Zuid-Afrika;2009;1210;9.0;33.0;27;1446;25;30;20
109;Zuid-Afrika;2010;1260;7.0;42.0;22;1713;25;20;38
110;Zuid-Korea;2009;1740;10.0;34.0;9;1728;55;15;21
111;Zuid-Korea;2010;1892;9.0;39.0;10;3223;68;13;16
112;Zweden;2009;3993;21.0;36.0;24;5185;32;36;22
113;Zweden;2010;5282;22.0;30.0;34;6650;32;36;24
114;Zwitserland;2009;1696;21.0;55.0;8;4781;35;29;19
115;Zwitserland;2010;2094;35.0;51.0;5;5381;32;24;27
116;Overig Nabije- en Midden-Oosten;2009;230;;11.0;1;687;36;29;18
117;Overig Nabije- en Midden-Oosten;2010;396;;10.0;0;719;36;28;22
118;Overige Arabische Golfstaten;2009;1385;66.0;7.0;6;2891;31;22;28
119;Overige Arabische Golfstaten;2010;1871;63.0;7.0;5;3103;32;21;38
120;Overig Midden- en Zuid-Amerika;2009;5690;16.0;23.0;31;3858;30;24;18
121;Overig Midden- en Zuid-Amerika;2010;7193;13.0;25.0;36;5082;26;22;27
122;Overig Noord-Afrika;2009;1093;29.0;42.0;7;2226;34;28;21
123;Overig Noord-Afrika;2010;1650;20.0;44.0;9;2431;28;28;29
124;Overig West-Afrika;2009;1129;41.0;10.0;13;1488;29;25;7
125;Overig West-Afrika;2010;1216;47.0;10.0;18;1876;20;31;21
126;Overig Oost-Europa;2009;853;47.0;26.0;13;1635;26;30;35
127;Overig Oost-Europa;2010;1468;32.0;45.0;13;2016;23;30;41
128;Overig West-Europa;2009;787;22.0;13.0;20;2137;31;21;14
129;Overig West-Europa;2010;941;18.0;14.0;31;2298;29;22;29
130;Overig Noord-Amerika;2009;2;;;50;7;14;4;4
131;Overig Noord-Amerika;2010;2;;;0;18;9;2;88
132;Overig Azië;2009;2177;13.0;49.0;16;1246;42;29;22
133;Overig Azië;2010;2628;16.0;47.0;17;1443;43;24;26
134;Overig Oceanië;2009;381;12.0;34.0;30;213;57;19;13
135;Overig Oceanië;2010;386;20.0;36.0;16;228;43;21;25
