ID;BalanceSheetItemsIntergovOrg;Periods;BalanceSheetItemsAtYearEnd_1
0;A - Assets;2022;8446.0
1;A - Assets;2023;8513.0
2;A1 - Fixed assets;2022;3545.0
3;A1 - Fixed assets;2023;3676.0
4;A11 - Intangible assets;2022;29.0
5;A11 - Intangible assets;2023;27.0
6;A12 - Tangible fixed assets;2022;2218.0
7;A12 - Tangible fixed assets;2023;2414.0
8;A121 - Land;2022;270.0
9;A121 - Land;2023;308.0
10;A123 - Commercial buildings;2022;781.0
11;A123 - Commercial buildings;2023;809.0
12;A124 - Civil engineering works;2022;56.0
13;A124 - Civil engineering works;2023;70.0
14;A12a - Other tangible fixed assets;2022;1110.0
15;A12a - Other tangible fixed assets;2023;1227.0
16;A13 - Financial fixed assets;2022;1298.0
17;A13 - Financial fixed assets;2023;1235.0
18;A131a - Equity and investm. fund shares;2022;65.0
19;A131a - Equity and investm. fund shares;2023;57.0
20;A132a - Loans to related parties;2022;1025.0
21;A132a - Loans to related parties;2023;471.0
22;A1331 - Other long-term loans;2022;132.0
23;A1331 - Other long-term loans;2023;642.0
24;A1332 - Other long-term debt securities;2022;75.0
25;A1332 - Other long-term debt securities;2023;65.0
26;A2 - Current assets;2022;4901.0
27;A2 - Current assets;2023;4838.0
28;A21 - Stocks;2022;517.0
29;A21 - Stocks;2023;358.0
30;A211 - Not in operation taken land;2022;
31;A211 - Not in operation taken land;2023;
32;A213 - Works in progress;2022;507.0
33;A213 - Works in progress;2023;348.0
34;A21a - Other stocks;2022;10.0
35;A21a - Other stocks;2023;11.0
36;A22 - Current assets;2022;4384.0
37;A22 - Current assets;2023;4479.0
38;A22a - Current claims and loans;2022;3598.0
39;A22a - Current claims and loans;2023;3725.0
40;A23 - Liquid assets;2022;234.0
41;A23 - Liquid assets;2023;258.0
42;A29 - Deferred asset;2022;553.0
43;A29 - Deferred asset;2023;497.0
44;P - Liabilities;2022;8446.0
45;P - Liabilities;2023;8513.0
46;P1 - Fixed liabilities;2022;4560.0
47;P1 - Fixed liabilities;2023;4599.0
48;P11 - Equity;2022;1159.0
49;P11 - Equity;2023;1188.0
50;P111 - General reserve;2022;344.0
51;P111 - General reserve;2023;369.0
52;P112 - Earmarked reserves;2022;678.0
53;P112 - Earmarked reserves;2023;673.0
54;P114 - Balance of the accounts;2022;137.0
55;P114 - Balance of the accounts;2023;146.0
56;P12 - Provisions;2022;271.0
57;P12 - Provisions;2023;328.0
58;P13 - Fixed liabilities;2022;3131.0
59;P13 - Fixed liabilities;2023;3082.0
60;P133 - Over-the-counter loans from ..;2022;3013.0
61;P133 - Over-the-counter loans from ..;2023;2938.0
62;P13a - Other fixed liabilities;2022;118.0
63;P13a - Other fixed liabilities;2023;144.0
64;P2 - Current liabilities;2022;3885.0
65;P2 - Current liabilities;2023;3915.0
66;P21 - Current liabilities;2022;1757.0
67;P21 - Current liabilities;2023;1738.0
68;P29 - Deferred liabilities;2022;2128.0
69;P29 - Deferred liabilities;2023;2176.0
