ID;Persoonskenmerken;Perioden;MetPensioenGaan_1;MedianeLeeftijd_2
0;Totaal alle leeftijden;2001;60.0;60.0
1;Totaal alle leeftijden;2002;62.0;60.0
2;Totaal alle leeftijden;2003;63.0;60.0
3;Totaal alle leeftijden;2004;74.0;60.0
4;Totaal alle leeftijden;2005;80.0;60.0
5;Totaal alle leeftijden;2006;59.0;61.0
6;Totaal alle leeftijden;2007;58.0;61.0
7;55 jaar of jonger;2001;7.0;
8;55 jaar of jonger;2002;7.0;
9;55 jaar of jonger;2003;6.0;
10;55 jaar of jonger;2004;4.0;
11;55 jaar of jonger;2005;4.0;
12;55 jaar of jonger;2006;3.0;
13;55 jaar of jonger;2007;2.0;
14;56 jaar;2001;2.0;
15;56 jaar;2002;3.0;
16;56 jaar;2003;;
17;56 jaar;2004;2.0;
18;56 jaar;2005;;
19;56 jaar;2006;;
20;56 jaar;2007;;
21;57 jaar;2001;3.0;
22;57 jaar;2002;3.0;
23;57 jaar;2003;2.0;
24;57 jaar;2004;4.0;
25;57 jaar;2005;4.0;
26;57 jaar;2006;2.0;
27;57 jaar;2007;;
28;58 jaar;2001;4.0;
29;58 jaar;2002;4.0;
30;58 jaar;2003;4.0;
31;58 jaar;2004;5.0;
32;58 jaar;2005;8.0;
33;58 jaar;2006;2.0;
34;58 jaar;2007;2.0;
35;59 jaar;2001;8.0;
36;59 jaar;2002;8.0;
37;59 jaar;2003;9.0;
38;59 jaar;2004;9.0;
39;59 jaar;2005;10.0;
40;59 jaar;2006;5.0;
41;59 jaar;2007;5.0;
42;60 jaar;2001;14.0;
43;60 jaar;2002;12.0;
44;60 jaar;2003;15.0;
45;60 jaar;2004;16.0;
46;60 jaar;2005;16.0;
47;60 jaar;2006;16.0;
48;60 jaar;2007;15.0;
49;61 jaar;2001;7.0;
50;61 jaar;2002;9.0;
51;61 jaar;2003;8.0;
52;61 jaar;2004;12.0;
53;61 jaar;2005;14.0;
54;61 jaar;2006;9.0;
55;61 jaar;2007;10.0;
56;62 jaar;2001;;
57;62 jaar;2002;3.0;
58;62 jaar;2003;4.0;
59;62 jaar;2004;6.0;
60;62 jaar;2005;7.0;
61;62 jaar;2006;7.0;
62;62 jaar;2007;6.0;
63;63 jaar;2001;2.0;
64;63 jaar;2002;2.0;
65;63 jaar;2003;2.0;
66;63 jaar;2004;2.0;
67;63 jaar;2005;2.0;
68;63 jaar;2006;3.0;
69;63 jaar;2007;2.0;
70;64 jaar;2001;3.0;
71;64 jaar;2002;4.0;
72;64 jaar;2003;3.0;
73;64 jaar;2004;2.0;
74;64 jaar;2005;3.0;
75;64 jaar;2006;2.0;
76;64 jaar;2007;2.0;
77;65 jaar;2001;4.0;
78;65 jaar;2002;3.0;
79;65 jaar;2003;5.0;
80;65 jaar;2004;5.0;
81;65 jaar;2005;8.0;
82;65 jaar;2006;5.0;
83;65 jaar;2007;3.0;
84;66 jaar of ouder;2001;4.0;
85;66 jaar of ouder;2002;4.0;
86;66 jaar of ouder;2003;4.0;
87;66 jaar of ouder;2004;7.0;
88;66 jaar of ouder;2005;3.0;
89;66 jaar of ouder;2006;5.0;
90;66 jaar of ouder;2007;8.0;
91;Totaal mannen en vrouwen;2001;60.0;60.0
92;Totaal mannen en vrouwen;2002;62.0;60.0
93;Totaal mannen en vrouwen;2003;63.0;60.0
94;Totaal mannen en vrouwen;2004;74.0;60.0
95;Totaal mannen en vrouwen;2005;80.0;60.0
96;Totaal mannen en vrouwen;2006;59.0;61.0
97;Totaal mannen en vrouwen;2007;58.0;61.0
98;Mannen;2001;39.0;60.0
99;Mannen;2002;44.0;60.0
100;Mannen;2003;44.0;60.0
101;Mannen;2004;55.0;60.0
102;Mannen;2005;56.0;60.0
103;Mannen;2006;34.0;61.0
104;Mannen;2007;36.0;61.0
105;Vrouwen;2001;21.0;60.0
106;Vrouwen;2002;18.0;60.0
107;Vrouwen;2003;18.0;60.0
108;Vrouwen;2004;19.0;60.0
109;Vrouwen;2005;24.0;60.0
110;Vrouwen;2006;25.0;60.0
111;Vrouwen;2007;22.0;61.0
112;Totaal opleidingsniveau;2001;60.0;60.0
113;Totaal opleidingsniveau;2002;62.0;60.0
114;Totaal opleidingsniveau;2003;63.0;60.0
115;Totaal opleidingsniveau;2004;74.0;60.0
116;Totaal opleidingsniveau;2005;80.0;60.0
117;Totaal opleidingsniveau;2006;59.0;61.0
118;Totaal opleidingsniveau;2007;58.0;61.0
119;Lager;2001;19.0;60.0
120;Lager;2002;20.0;60.0
121;Lager;2003;20.0;60.0
122;Lager;2004;21.0;60.0
123;Lager;2005;24.0;60.0
124;Lager;2006;20.0;61.0
125;Lager;2007;21.0;61.0
126;Middelbaar;2001;24.0;60.0
127;Middelbaar;2002;25.0;60.0
128;Middelbaar;2003;24.0;60.0
129;Middelbaar;2004;29.0;60.0
130;Middelbaar;2005;30.0;60.0
131;Middelbaar;2006;21.0;61.0
132;Middelbaar;2007;22.0;61.0
133;Hoger;2001;16.0;60.0
134;Hoger;2002;16.0;60.0
135;Hoger;2003;19.0;60.0
136;Hoger;2004;24.0;61.0
137;Hoger;2005;27.0;61.0
138;Hoger;2006;18.0;60.0
139;Hoger;2007;15.0;61.0
