ID;Persoonskenmerken;Perioden;SlachtofferschapTotaal_1;SlachtofferVanGeweldsdelicten_2;SlachtofferVanDiefstaldelicten_3;SlachtofferVanVernielingen_4;SlachtofferVanDoorrijdenNaOngeval_5;SlachtofferKwaadwilligeTelefoontjes_6
0;1;1992;24.4;5.4;13.6;8.7;1.5;8.3
1;1;1993;25.0;5.1;13.5;10.3;1.2;7.6
2;1;1994;26.0;5.2;13.8;9.9;1.6;6.6
3;1;1995;25.9;5.4;13.9;9.7;1.4;7.1
4;1;1996;23.1;4.2;12.5;8.8;1.3;6.2
5;10;1992;26.5;6.3;14.3;10.0;1.9;5.3
6;10;1993;27.5;5.7;14.4;12.5;1.4;4.8
7;10;1994;29.4;5.8;15.2;12.0;2.0;3.9
8;10;1995;27.9;6.0;13.7;11.7;1.7;5.1
9;10;1996;26.4;5.3;13.5;10.7;1.6;4.4
10;11;1992;22.3;4.5;12.7;7.3;1.2;11.3
11;11;1993;22.6;4.4;12.6;8.1;1.1;10.3
12;11;1994;22.6;4.5;12.6;7.8;1.3;9.2
13;11;1995;24.0;4.8;14.2;7.7;1.1;9.1
14;11;1996;20.0;3.2;11.6;7.0;1.1;8.0
15;Lft. cat. 2: 15-24 jaar;1992;40.8;13.9;23.3;12.0;2.1;8.7
16;Lft. cat. 2: 15-24 jaar;1993;38.4;11.4;21.8;13.1;1.9;6.0
17;Lft. cat. 2: 15-24 jaar;1994;39.2;10.7;22.5;12.5;2.6;5.1
18;Lft. cat. 2: 15-24 jaar;1995;40.9;13.0;23.2;11.1;2.1;7.7
19;Lft. cat. 2: 15-24 jaar;1996;37.4;9.6;24.3;10.7;2.2;6.3
20;Lft. cat. 2: 25-44 jaar;1992;27.5;5.3;15.2;10.7;1.8;7.8
21;Lft. cat. 2: 25-44 jaar;1993;27.9;5.2;14.6;12.3;1.5;8.8
22;Lft. cat. 2: 25-44 jaar;1994;29.5;5.9;14.9;12.2;1.9;6.9
23;Lft. cat. 2: 25-44 jaar;1995;28.0;6.0;14.2;11.7;1.4;7.0
24;Lft. cat. 2: 25-44 jaar;1996;25.7;5.0;12.8;10.3;1.5;6.6
25;Lft. cat. 2: 45-64 jaar;1992;16.7;2.5;9.3;6.0;1.4;9.4
26;Lft. cat. 2: 45-64 jaar;1993;19.5;2.8;10.2;8.9;1.0;6.9
27;Lft. cat. 2: 45-64 jaar;1994;19.9;2.9;10.2;8.0;1.1;6.9
28;Lft. cat. 2: 45-64 jaar;1995;21.2;2.0;11.6;8.9;1.1;7.7
29;Lft. cat. 2: 45-64 jaar;1996;17.9;1.8;8.9;8.0;1.1;5.9
30;Lft. cat. 2: 65 jaar en ouder;1992;10.1;0.5;5.0;4.1;0.5;7.2
31;Lft. cat. 2: 65 jaar en ouder;1993;10.6;1.0;6.4;3.7;0.2;7.6
32;Lft. cat. 2: 65 jaar en ouder;1994;12.4;1.0;7.4;4.3;0.8;7.2
33;Lft. cat. 2: 65 jaar en ouder;1995;12.1;1.2;7.1;4.4;1.0;5.9
34;Lft. cat. 2: 65 jaar en ouder;1996;10.7;0.9;6.0;4.4;0.4;5.7
35;Lft. cat. 3: 15-19 jaar;1992;41.9;14.1;24.3;11.0;2.1;8.0
36;Lft. cat. 3: 15-19 jaar;1993;40.3;11.3;23.6;11.5;3.0;5.4
37;Lft. cat. 3: 15-19 jaar;1994;40.5;10.8;23.6;13.2;2.9;4.5
38;Lft. cat. 3: 15-19 jaar;1995;43.9;12.8;24.9;11.9;3.0;4.3
39;Lft. cat. 3: 15-19 jaar;1996;38.0;9.2;25.3;10.5;3.0;5.3
40;Lft. cat. 3: 20-24 jaar;1992;40.0;13.8;22.5;12.7;2.1;9.2
41;Lft. cat. 3: 20-24 jaar;1993;36.8;11.5;20.3;14.5;1.0;6.6
42;Lft. cat. 3: 20-24 jaar;1994;38.1;10.6;21.6;11.9;2.4;5.6
43;Lft. cat. 3: 20-24 jaar;1995;38.4;13.2;21.7;10.4;1.3;10.6
