ID;PolitiekeGroeperingen;TotaalGeldigeStemmen_1;InVanTotaalGeldigeStemmen_2;TotaalMannenEnVrouwen_3;TotaalMannenEnVrouwenRelatief_4;Mannen_5;Vrouwen_6
0;1;3544408;100.0;31;100.0;20;11
1;2;954898;26.9;9;29.0;5;4
2;3;17740;0.5;0;0.0;0;0
3;4;23231;0.7;0;0.0;0;0
4;5;205623;5.8;2;6.5;1;1
5;6;13234;0.4;0;0.0;0;0
6;7;419869;11.8;4;12.9;3;1
7;8;10580;0.3;0;0.0;0;0
8;9;712929;20.1;6;19.4;3;3
9;10;178642;5.0;1;3.2;1;0
10;11;309612;8.7;3;9.7;3;0
11;12;698050;19.7;6;19.4;4;2
