ID;Achtergrondkenmerken;Perioden;SlotenGrendelsOpBuitendeuren_1;LuikenVoorRamenDeuren_2;Buitenverlichting_3;Alarminstallatie_4;Waakhond_5;AndereVoorzieningen_6;GeenMaatregelen_7;AndereMensenTijdelijkInHuis_8;BurenEAHoudenOogjeInTZeil_9;PolitieWordtIngelicht_10;ErBrandtAltijdLicht_11;WaardevolleDingenOpgeborgen_12;Waakhond_13;AndereMaatregelen_14;GeenNVTAltijdIemandInHuis_15;NVTAltijdIemandInHuis_16;GeenMaatregelen_17
0;10;1997;79.0;12.3;74.2;7.6;16.6;9.7;7.5;13.1;79.2;9.9;43.0;48.2;5.7;4.7;12.4;;
1;10;1998;79.2;12.2;75.9;8.4;16.5;10.7;6.6;14.4;80.5;10.4;45.7;49.6;5.9;5.5;12.0;;
2;10;1999;80.6;12.8;75.6;8.5;14.7;9.8;6.4;12.3;80.7;10.3;43.6;49.8;5.7;4.8;;9.2;4.0
3;10;2000;81.2;13.0;76.0;8.6;15.3;10.2;6.1;13.0;81.6;10.0;46.2;51.1;6.2;5.0;;7.9;3.8
4;10;2001;81.4;12.9;74.7;9.1;16.2;8.8;6.1;12.3;79.7;8.5;43.8;50.2;5.6;4.4;;8.7;5.4
5;10;2002;82.1;12.4;77.3;9.0;15.7;8.1;5.9;13.3;80.4;7.5;42.6;48.9;4.6;4.7;;9.2;4.1
6;10;2003;82.1;14.0;76.8;9.4;16.7;7.5;5.8;13.6;80.0;6.8;41.3;48.3;5.4;4.9;;9.0;4.5
7;10;2004;83.3;13.5;78.4;9.3;15.7;8.5;5.3;12.0;79.8;6.6;40.1;50.3;3.8;4.3;;9.9;4.3
8;38;1997;70.4;7.9;51.3;8.3;5.6;8.1;16.9;7.7;70.8;5.9;28.4;33.7;2.3;6.9;18.4;;
9;38;1998;68.9;4.9;56.1;8.0;8.0;9.8;14.6;10.5;67.6;5.0;32.2;33.9;1.6;6.4;20.8;;
10;38;1999;72.1;6.2;58.4;7.9;6.7;10.9;13.9;9.2;70.2;6.3;29.4;36.8;2.0;4.1;;11.6;10.1
11;38;2000;73.3;7.9;55.7;6.4;4.8;8.2;14.9;10.3;70.5;5.5;34.8;40.0;2.6;4.2;;9.9;10.4
12;38;2001;71.8;7.1;56.8;6.5;5.9;9.4;13.2;9.9;67.4;5.0;30.6;37.0;2.6;3.5;;11.6;13.6
13;38;2002;73.6;5.8;60.6;6.1;5.3;9.1;13.6;9.9;66.5;5.9;28.1;33.6;1.5;6.4;;13.1;11.6
