ID;Multinationality;SIC2008;Periods;Production_1;AddedValue_2;ImportOfGoods_3;ImportsOfServices_4;DomesticExports_5;ReExports_6;ExportOfServices_7;ExportEarnings_8;LabourVolume_9;LabourVolumeForExports_10
0;Total;A-U All economic activities;2015;1338856.0;620835.0;134352.0;99616.0;211671.0;37011.0;142670.0;229284.1;7013.0;2090.5
1;Total;A-U All economic activities;2016;1360246.0;634824.0;130760.0;100321.0;209140.0;38692.0;134658.0;226802.8;7155.5;2103.1
2;Total;A-U All economic activities;2017;1431012.0;661566.0;144536.0;109878.0;227061.0;42447.0;146710.0;241763.4;7312.6;2198.6
3;Total;A-U All economic activities;2018;1514480.0;692632.0;156638.0;122917.0;238789.0;43260.0;163314.0;251377.0;7561.0;2279.6
4;Total;A-U All economic activities;2019;1569815.0;724960.0;155061.0;121793.0;231444.0;44504.0;172087.0;261021.2;7726.2;2326.0
5;Total;A-U All economic activities;2020;1520478.0;709628.0;137721.0;119258.0;215398.0;39788.0;158933.0;242502.1;7775.5;2226.6
6;Total;A-U All economic activities;2021;1673985.0;774497.0;169789.0;120888.0;254926.0;47370.0;170182.0;278403.9;7820.1;2255.6
7;Total;A Agriculture, forestry and fishing;2015;30359.0;11898.0;2053.0;456.0;11836.0;99.0;221.0;9659.9;161.6;126.8
8;Total;A Agriculture, forestry and fishing;2016;30813.0;12513.0;2060.0;480.0;12160.0;108.0;223.0;10333.3;164.9;131.7
9;Total;A Agriculture, forestry and fishing;2017;32801.0;13697.0;2160.0;527.0;12476.0;134.0;228.0;11307.1;167.2;134.0
10;Total;A Agriculture, forestry and fishing;2018;32058.0;12776.0;2303.0;551.0;12062.0;162.0;240.0;10332.8;173.0;135.6
11;Total;A Agriculture, forestry and fishing;2019;33130.0;13300.0;2365.0;555.0;12530.0;164.0;246.0;10832.3;175.0;138.2
12;Total;A Agriculture, forestry and fishing;2020;32349.0;12737.0;2196.0;595.0;12128.0;215.0;191.0;10273.8;178.2;138.8
13;Total;A Agriculture, forestry and fishing;2021;34871.0;13206.0;2628.0;640.0;13516.0;230.0;176.0;10812.7;181.3;142.8
14;Total;B Mining and quarrying;2015;18874.0;12569.0;141.0;1468.0;7543.0;54.0;4838.0;10182.1;10.3;8.7
15;Total;B Mining and quarrying;2016;13388.0;7923.0;132.0;1268.0;5658.0;37.0;3540.0;6669.9;9.6;8.2
16;Total;B Mining and quarrying;2017;11659.0;7422.0;119.0;825.0;5526.0;43.0;2406.0;6349.4;8.4;6.7
17;Total;B Mining and quarrying;2018;11196.0;7165.0;131.0;839.0;5589.0;48.0;2258.0;6163.7;8.0;6.3
18;Total;B Mining and quarrying;2019;9209.0;5546.0;122.0;574.0;4303.0;45.0;1687.0;4675.1;7.7;5.9
19;Total;B Mining and quarrying;2020;6512.0;2797.0;124.0;609.0;2269.0;31.0;1739.0;2342.3;7.7;6.2
20;Total;B Mining and quarrying;2021;10012.0;6018.0;158.0;638.0;5468.0;52.0;1252.0;5413.9;7.0;5.9
21;Total;B-E Industry (no construction), energy;2015;350144.0;99091.0;100223.0;26367.0;177284.0;4046.0;17858.0;67861.4;763.3;439.9
22;Total;B-E Industry (no construction), energy;2016;342323.0;96745.0;95763.0;26115.0;173941.0;4178.0;16085.0;65907.8;767.1;448.4
23;Total;B-E Industry (no construction), energy;2017;365695.0;100705.0;107258.0;26405.0;190091.0;4057.0;16215.0;69960.7;772.7;454.8
24;Total;B-E Industry (no construction), energy;2018;385752.0;105270.0;116773.0;25883.0;201282.0;4219.0;16559.0;73348.1;790.0;471.4
25;Total;B-E Industry (no construction), energy;2019;378975.0;106790.0;113328.0;19532.0;191971.0;3869.0;16110.0;73594.2;805.6;484.9
26;Total;B-E Industry (no construction), energy;2020;352595.0;103994.0;98428.0;18781.0;175644.0;3987.0;15772.0;69806.6;803.9;480.9
27;Total;B-E Industry (no construction), energy;2021;408785.0;117435.0;122747.0;16803.0;208784.0;4916.0;16112.0;83645.5;806.9;497.0
28;Total;B-F Manufacturing and energy;2015;434984.0;125485.0;109136.0;29472.0;177460.0;4046.0;21084.0;70901.6;1194.5;485.3
29;Total;B-F Manufacturing and energy;2016;434675.0;124933.0;105518.0;29060.0;174107.0;4178.0;19039.0;68689.5;1206.7;488.1
30;Total;B-F Manufacturing and energy;2017;463925.0;130675.0;117505.0;29473.0;190218.0;4057.0;20168.0;72986.2;1220.0;495.2
31;Total;B-F Manufacturing and energy;2018;494189.0;137814.0;128117.0;29336.0;201417.0;4219.0;20394.0;76362.4;1262.0;511.3
32;Total;B-F Manufacturing and energy;2019;496052.0;142791.0;125684.0;22723.0;192110.0;3869.0;19620.0;76703.9;1295.9;523.4
33;Total;B-F Manufacturing and energy;2020;473992.0;142235.0;110889.0;22286.0;175868.0;3987.0;19070.0;72800.6;1308.3;517.4
34;Total;B-F Manufacturing and energy;2021;540345.0;158113.0;137122.0;20203.0;209059.0;4916.0;19597.0;86913.1;1325.2;536.3
35;Total;C Manufacturing;2015;303244.0;74533.0;95988.0;24181.0;166725.0;3904.0;12585.0;53193.3;697.3;410.2
36;Total;C Manufacturing;2016;302101.0;76862.0;92415.0;24099.0;166216.0;4009.0;12005.0;54974.8;701.7;419.8
37;Total;C Manufacturing;2017;326476.0;81583.0;103229.0;24808.0;182529.0;3885.0;13306.0;59464.7;707.4;427.6
38;Total;C Manufacturing;2018;345328.0;85581.0;112595.0;24272.0;193569.0;4017.0;13773.0;62798.2;723.0;444.3
39;Total;C Manufacturing;2019;339201.0;87602.0;109328.0;18192.0;185505.0;3671.0;13887.0;64222.5;738.3;458.5
40;Total;C Manufacturing;2020;315289.0;86236.0;95278.0;17291.0;171295.0;3806.0;13453.0;62541.2;735.9;454.8
41;Total;C Manufacturing;2021;364173.0;96563.0;117460.0;15244.0;200249.0;4594.0;14343.0;72570.4;737.8;467.8
42;Total;10-12 Manufacture of food and beverages;2015;66359.0;14500.0;18536.0;2050.0;35903.0;133.0;1654.0;10751.2;112.8;69.7
43;Total;10-12 Manufacture of food and beverages;2016;69268.0;15174.0;19717.0;2204.0;39012.0;148.0;1590.0;11484.3;114.6;74.5
44;Total;10-12 Manufacture of food and beverages;2017;72715.0;15726.0;20176.0;2308.0;40738.0;249.0;1759.0;11975.0;116.0;74.7
45;Total;10-12 Manufacture of food and beverages;2018;72477.0;16221.0;20369.0;2297.0;40964.0;292.0;1836.0;12325.3;120.0;78.1
46;Total;10-12 Manufacture of food and beverages;2019;74077.0;16634.0;20751.0;2351.0;42344.0;198.0;1822.0;12748.8;123.0;81.3
47;Total;10-12 Manufacture of food and beverages;2020;75390.0;17305.0;20734.0;2396.0;42137.0;214.0;1632.0;12893.7;122.5;77.9
48;Total;10-12 Manufacture of food and beverages;2021;80124.0;17747.0;23021.0;2602.0;44920.0;241.0;1753.0;13436.4;126.1;81.8
49;Total;13-15 Man. of textile-, leatherproducts;2015;3386.0;1099.0;894.0;115.0;1782.0;68.0;31.0;783.9;14.8;9.8
50;Total;13-15 Man. of textile-, leatherproducts;2016;3496.0;1140.0;961.0;145.0;1969.0;71.0;24.0;829.9;14.7;10.0
51;Total;13-15 Man. of textile-, leatherproducts;2017;3485.0;1156.0;977.0;159.0;1993.0;79.0;36.0;852.2;14.7;10.1
52;Total;13-15 Man. of textile-, leatherproducts;2018;3734.0;1170.0;1112.0;159.0;2122.0;116.0;42.0;879.6;15.0;10.5
53;Total;13-15 Man. of textile-, leatherproducts;2019;3791.0;1185.0;1139.0;163.0;2207.0;102.0;43.0;886.2;15.1;10.6
