ID;CountryOfCitizenship;Sex;Age;Periods;TotalAsylumRequests_1;FirstAsylumRequests_2;FollowUpAsylumRequests_3
0;85;Total men and women;All ages;2007;9730;7430;2300
1;85;Total men and women;All ages;2008;15280;13400;1870
2;85;Total men and women;All ages;2009;16160;14910;1260
3;85;Total men and women;All ages;2010;15150;13340;1820
4;85;Total men and women;Younger than 15 years;2007;1800;1370;430
5;85;Total men and women;Younger than 15 years;2008;2910;2560;350
6;85;Total men and women;Younger than 15 years;2009;3360;3160;200
7;85;Total men and women;Younger than 15 years;2010;4230;3950;280
8;85;Total men and women;15 to 17 years;2007;620;560;60
9;85;Total men and women;15 to 17 years;2008;1060;1000;60
10;85;Total men and women;15 to 17 years;2009;1470;1440;30
11;85;Total men and women;15 to 17 years;2010;1220;1170;50
12;85;Total men and women;18 years or older;2007;7310;5500;1810
13;85;Total men and women;18 years or older;2008;11300;9840;1460
14;85;Total men and women;18 years or older;2009;11330;10300;1030
15;85;Total men and women;18 years or older;2010;9700;8220;1480
16;85;Men;All ages;2007;6360;4810;1550
17;85;Men;All ages;2008;10070;8830;1250
18;85;Men;All ages;2009;10710;9800;900
19;85;Men;All ages;2010;9060;7780;1290
20;85;Men;Younger than 15 years;2007;910;710;210
21;85;Men;Younger than 15 years;2008;1540;1360;180
22;85;Men;Younger than 15 years;2009;1750;1650;100
23;85;Men;Younger than 15 years;2010;2180;2050;130
24;85;Men;15 to 17 years;2007;390;360;30
25;85;Men;15 to 17 years;2008;760;730;30
26;85;Men;15 to 17 years;2009;1140;1120;20
27;85;Men;15 to 17 years;2010;810;780;40
28;85;Men;18 years or older;2007;5060;3750;1320
29;85;Men;18 years or older;2008;7770;6730;1040
30;85;Men;18 years or older;2009;7820;7040;780
31;85;Men;18 years or older;2010;6070;4950;1120
32;85;Women;All ages;2007;3370;2620;740
33;85;Women;All ages;2008;5200;4580;620
34;85;Women;All ages;2009;5460;5100;350
35;85;Women;All ages;2010;6090;5560;530
36;85;Women;Younger than 15 years;2007;880;660;220
37;85;Women;Younger than 15 years;2008;1370;1200;170
38;85;Women;Younger than 15 years;2009;1620;1510;100
39;85;Women;Younger than 15 years;2010;2050;1900;160
40;85;Women;15 to 17 years;2007;230;210;20
41;85;Women;15 to 17 years;2008;300;270;30
42;85;Women;15 to 17 years;2009;330;320;10
43;85;Women;15 to 17 years;2010;400;390;10
44;85;Women;18 years or older;2007;2250;1750;500
45;85;Women;18 years or older;2008;3530;3110;420
