ID;Perioden;Producentenvertrouwen_1;MutatieTOVVorigeMaand_2;MutatieTOVDezelfdeMaandVorigJaar_3
0;1985 januari;0.0;;
1;1985 februari;4.9;4.9;
2;1985 maart;5.1;0.2;
3;1985 april;0.9;-4.2;
4;1985 mei;1.3;0.4;
5;1985 juni;2.3;1.0;
6;1985 juli;1.0;-1.3;
7;1985 augustus;1.2;0.2;
8;1985 september;0.4;-0.8;
9;1985 oktober;-0.2;-0.6;
10;1985 november;0.4;0.6;
11;1985 december;-1.5;-1.9;
12;1986 januari;2.4;3.9;2.4
13;1986 februari;-0.1;-2.5;-5.0
14;1986 maart;-1.2;-1.1;-6.3
15;1986 april;-2.6;-1.4;-3.5
16;1986 mei;-1.4;1.2;-2.7
17;1986 juni;-1.4;0.0;-3.7
18;1986 juli;-0.3;1.1;-1.3
19;1986 augustus;-1.6;-1.3;-2.8
20;1986 september;-3.0;-1.4;-3.4
21;1986 oktober;-2.2;0.8;-2.0
22;1986 november;-1.7;0.5;-2.1
23;1986 december;-1.8;-0.1;-0.3
24;1987 januari;-2.9;-1.1;-5.3
25;1987 februari;-1.7;1.2;-1.6
26;1987 maart;-2.5;-0.8;-1.3
27;1987 april;-3.8;-1.3;-1.2
28;1987 mei;-3.7;0.1;-2.3
29;1987 juni;-3.5;0.2;-2.1
30;1987 juli;-1.9;1.6;-1.6
31;1987 augustus;-2.4;-0.5;-0.8
32;1987 september;-1.0;1.4;2.0
33;1987 oktober;-0.2;0.8;2.0
34;1987 november;-0.1;0.1;1.6
35;1987 december;-1.5;-1.4;0.3
36;1988 januari;-1.9;-0.4;1.0
37;1988 februari;-1.7;0.2;0.0
38;1988 maart;-1.6;0.1;0.9
39;1988 april;-0.2;1.4;3.6
40;1988 mei;0.1;0.3;3.8
41;1988 juni;0.4;0.3;3.9
42;1988 juli;1.9;1.5;3.8
43;1988 augustus;2.4;0.5;4.8
44;1988 september;1.6;-0.8;2.6
45;1988 oktober;2.1;0.5;2.3
46;1988 november;2.8;0.7;2.9
47;1988 december;3.8;1.0;5.3
48;1989 januari;4.5;0.7;6.4
49;1989 februari;2.7;-1.8;4.4
50;1989 maart;2.8;0.1;4.4
51;1989 april;4.6;1.8;4.8
52;1989 mei;5.5;0.9;5.4
53;1989 juni;4.3;-1.2;3.9
54;1989 juli;4.2;-0.1;2.3
55;1989 augustus;4.3;0.1;1.9
56;1989 september;3.0;-1.3;1.4
57;1989 oktober;4.7;1.7;2.6
58;1989 november;5.4;0.7;2.6
59;1989 december;2.5;-2.9;-1.3
60;1990 januari;2.5;0.0;-2.0
