ID;Vervoerstroom;ContainerGrootte;Perioden;OvergeslagenContainers_1;BrutoplusgewichtOvergeslagenContainers_2
0;Totaal aan- en afvoer;Totaal overgeslagen containers;2015 1e kwartaal;3204;32875
1;Totaal aan- en afvoer;Totaal overgeslagen containers;2015 2e kwartaal;3173;33640
2;Totaal aan- en afvoer;Totaal overgeslagen containers;2015 3e kwartaal;3132;31899
3;Totaal aan- en afvoer;Totaal overgeslagen containers;2015 4e kwartaal;3007;31281
4;Totaal aan- en afvoer;Totaal overgeslagen containers;2015;12516;129695
5;Totaal aan- en afvoer;Totaal overgeslagen containers;2016 1e kwartaal;3100;32053
6;Totaal aan- en afvoer;Totaal overgeslagen containers;2016 2e kwartaal;3155;32711
7;Totaal aan- en afvoer;Totaal overgeslagen containers;2016 3e kwartaal;3261;32731
8;Totaal aan- en afvoer;Totaal overgeslagen containers;2016 4e kwartaal;3254;33708
9;Totaal aan- en afvoer;Totaal overgeslagen containers;2016;12769;131203
10;Totaal aan- en afvoer;Totaal overgeslagen containers;2017 1e kwartaal;3384;35377
11;Totaal aan- en afvoer;Totaal overgeslagen containers;2017 2e kwartaal;3545;36830
12;Totaal aan- en afvoer;Totaal overgeslagen containers;2017 3e kwartaal;3662;37928
13;Totaal aan- en afvoer;Totaal overgeslagen containers;2017 4e kwartaal;3654;38050
14;Totaal aan- en afvoer;Totaal overgeslagen containers;2017;14246;148183
15;Totaal aan- en afvoer;Totaal overgeslagen containers;2018 1e kwartaal;3635;37703
16;Totaal aan- en afvoer;Totaal overgeslagen containers;2018 2e kwartaal;3754;39409
17;Totaal aan- en afvoer;Totaal overgeslagen containers;2018 3e kwartaal;3849;39291
18;Totaal aan- en afvoer;Totaal overgeslagen containers;2018 4e kwartaal;3860;39901
19;Totaal aan- en afvoer;Totaal overgeslagen containers;2018;15098;156303
20;Totaal aan- en afvoer;Totaal overgeslagen containers;2019 1e kwartaal;3924;40170
21;Totaal aan- en afvoer;Totaal overgeslagen containers;2019 2e kwartaal;3958;41082
22;Totaal aan- en afvoer;Totaal overgeslagen containers;2019 3e kwartaal;3847;39514
23;Totaal aan- en afvoer;Totaal overgeslagen containers;2019 4e kwartaal;3867;39812
24;Totaal aan- en afvoer;Totaal overgeslagen containers;2019;15596;160578
25;Totaal aan- en afvoer;Totaal overgeslagen containers;2020 1e kwartaal;3802;39753
26;Totaal aan- en afvoer;Totaal overgeslagen containers;2020 2e kwartaal;3631;38254
27;Totaal aan- en afvoer;Totaal overgeslagen containers;2020 3e kwartaal;3968;39789
28;Totaal aan- en afvoer;Totaal overgeslagen containers;2020 4e kwartaal;3951;40452
29;Totaal aan- en afvoer;Totaal overgeslagen containers;2020;15353;158248
30;Totaal aan- en afvoer;Totaal overgeslagen containers;2021 1e kwartaal;3910;39686
31;Totaal aan- en afvoer;Totaal overgeslagen containers;2021 2e kwartaal;4097;42002
32;Totaal aan- en afvoer;Totaal overgeslagen containers;2021 3e kwartaal;4099;40949
33;Totaal aan- en afvoer;Totaal overgeslagen containers;2021 4e kwartaal;3982;39479
34;Totaal aan- en afvoer;Totaal overgeslagen containers;2021;16088;162116
35;Totaal aan- en afvoer;Totaal overgeslagen containers;2022 1e kwartaal;3849;37388
36;Totaal aan- en afvoer;Totaal overgeslagen containers;2022 2e kwartaal;3822;37016
37;Totaal aan- en afvoer;Totaal overgeslagen containers;2022 3e kwartaal;3934;37315
38;Totaal aan- en afvoer;Totaal overgeslagen containers;2022 4e kwartaal;3715;34486
39;Totaal aan- en afvoer;Totaal overgeslagen containers;2022;15321;146204
40;Totaal aan- en afvoer;Totaal overgeslagen containers;2023 1e kwartaal;3446;33292
41;Totaal aan- en afvoer;Totaal overgeslagen containers;2023 2e kwartaal;3630;34458
42;Totaal aan- en afvoer;Totaal overgeslagen containers;2023 3e kwartaal;3681;34988
