ID;RegioS;Perioden;VarkensrechtenInEenheden_1;VarkensrechtenInFosfaat_2;PluimveerechtenInEenheden_3;PluimveerechtenInFosfaat_4;VleesEnFokvarkens_5;KippenEnKalkoenen_6;Varkens_7;Pluimvee_8
0;Nederland;1998;10843;80237;;;8351;100192;54000;29100
1;Nederland;1999;10584;78322;;;8328;106205;49800;32500
2;Nederland;2000;10355;76628;;;8015;105558;48200;32100
3;Nederland;2001;9542;70612;74890.0;37445.0;7640;101857;42300;27500
4;Nederland;2002;9452;69947;73459.0;36729.0;6903;102502;39700;27400
5;Nederland;2003;9222;68240;72055.0;36027.0;6627;80347;38600;20600
6;Nederland;2004;8860;65564;68054.0;34027.0;6629;87055;37100;23900
7;Nederland;2005;8838;65402;67870.0;33935.0;6749;94160;41500;26800
8;Nederland;2006;8839;65409;67830.0;33915.0;6709;92922;42800;26900
9;Nederland;2007;8840;65413;67716.0;33858.0;6825;93993;42700;27000
10;Nederland;2008;8849;65484;67574.0;33787.0;7061;97745;45100;27900
11;Nederland;2009;8848;65478;67404.0;33702.0;7118;97921;46500;28800
12;Nederland;2010;8974;66411;67494.0;33747.0;7131;102284;45500;29100
13;Nederland;2011;8826;65309;67217.0;33608.0;7132;97909;43700;28100
14;Nederland;2012;8806;65165;67207.0;33604.0;7054;96100;39200;26000
15;Nederland;2013;8791;65055;67165.0;33582.0;6939;98560;39600;27200
16;Nederland;2014;8771;64904;67164.0;33582.0;6856;103832;38800;27700
17;Nederland;2015;8747;64728;67164.0;33582.0;7005;107626;40100;28300
18;Nederland;2016;8728;64588;67164.0;33582.0;6883;106382;39200;28900
19;Nederland;2017;8700;64383;67162.0;33581.0;6789;105855;37100;28000
20;Nederland;2018;8687;64284;67162.0;33581.0;6738;98348;37700;25900
21;Nederland;2019;8663;64105;67162.0;33581.0;6665;94495;36800;25100
22;Nederland;2020;8586;63534;67161.0;33580.0;6447;95719;36700;24100
23;Nederland;2021;8048;59553;67161.0;33580.0;6203;90098;34500;23200
24;Nederland;2022;7987;59104;67041.0;33520.0;6115;88846;34400;22500
25;Nederland;2023;7937;58735;66786.0;33393.0;5836;86804;33100;22400
26;Noord-Nederland (LD);1998;494;3656;;;372;16526;2420;3910
27;Noord-Nederland (LD);1999;482;3566;;;365;19094;2200;4990
28;Noord-Nederland (LD);2000;471;3487;;;348;18995;2140;4920
29;Noord-Nederland (LD);2001;444;3284;10980.0;5490.0;314;18806;1810;4140
30;Noord-Nederland (LD);2002;442;3271;10838.0;5419.0;312;19932;1830;4390
31;Noord-Nederland (LD);2003;439;3248;10755.0;5377.0;307;17037;1820;4120
32;Noord-Nederland (LD);2004;423;3133;10953.0;5477.0;316;17221;1800;3960
33;Noord-Nederland (LD);2005;415;3070;11050.0;5525.0;318;18677;1960;4500
34;Noord-Nederland (LD);2006;414;3062;11146.0;5573.0;312;18560;2030;4480
35;Noord-Nederland (LD);2007;424;3134;11164.0;5582.0;316;19567;2010;4610
36;Noord-Nederland (LD);2008;391;2890;11227.0;5614.0;327;19829;2080;4680
37;Noord-Nederland (LD);2009;394;2916;11149.0;5575.0;328;20225;2130;4830
38;Noord-Nederland (LD);2010;403;2981;11390.0;5695.0;328;20491;2080;4680
39;Noord-Nederland (LD);2011;395;2921;11371.0;5685.0;294;20123;1810;4660
40;Noord-Nederland (LD);2012;404;2990;11646.0;5823.0;294;20161;1660;4240
41;Noord-Nederland (LD);2013;383;2836;11798.0;5899.0;297;20087;1720;4330
42;Noord-Nederland (LD);2014;386;2855;11920.0;5960.0;301;20878;1700;4390
43;Noord-Nederland (LD);2015;399;2954;12212.0;6106.0;299;22535;1720;4500
44;Noord-Nederland (LD);2016;404;2990;12277.0;6139.0;307;21593;1740;4460
45;Noord-Nederland (LD);2017;422;3121;12398.0;6199.0;283;21626;1510;4320
46;Noord-Nederland (LD);2018;417;3085;12605.0;6302.0;287;19332;1900;3960
47;Noord-Nederland (LD);2019;418;3097;12611.0;6306.0;290;19715;1890;3910
48;Noord-Nederland (LD);2020;433;3202;12506.0;6253.0;322;19459;2000;3820
49;Noord-Nederland (LD);2021;429;3171;12276.0;6138.0;311;18118;1930;3720
50;Noord-Nederland (LD);2022;431;3191;12022.0;6011.0;306;16845;1870;3320
51;Noord-Nederland (LD);2023;418;3097;12153.0;6077.0;306;16144;1590;3160
52;Oost-Nederland (LD);1998;3687;27282;;;3219;31049;20120;9660
53;Oost-Nederland (LD);1999;3604;26670;;;2826;33025;16620;10510
54;Oost-Nederland (LD);2000;3524;26075;;;2730;32544;16100;10320
55;Oost-Nederland (LD);2001;3236;23944;25768.0;12884.0;2525;31624;13710;9020
56;Oost-Nederland (LD);2002;3191;23611;25089.0;12545.0;2277;30887;12930;8990
57;Oost-Nederland (LD);2003;3114;23043;24729.0;12365.0;2229;20975;12830;6370
58;Oost-Nederland (LD);2004;3022;22362;23384.0;11692.0;2208;26993;12240;8040
59;Oost-Nederland (LD);2005;3008;22258;23090.0;11545.0;2252;28462;13670;8860
60;Oost-Nederland (LD);2006;3022;22361;22766.0;11383.0;2239;27808;14110;8820
61;Oost-Nederland (LD);2007;2989;22117;22580.0;11290.0;2288;28271;14180;8880
62;Oost-Nederland (LD);2008;2796;20690;22181.0;11090.0;2349;30912;14800;9610
63;Oost-Nederland (LD);2009;2719;20120;22257.0;11128.0;2313;29949;14960;9620
64;Oost-Nederland (LD);2010;2793;20670;22455.0;11228.0;2299;31547;14490;9860
65;Oost-Nederland (LD);2011;2712;20067;22462.0;11231.0;2285;30802;13780;9760
66;Oost-Nederland (LD);2012;2705;20019;21896.0;10948.0;2188;28927;11940;8960
67;Oost-Nederland (LD);2013;2720;20128;21915.0;10958.0;2156;30255;12060;9500
68;Oost-Nederland (LD);2014;2701;19986;21948.0;10974.0;2108;32588;11760;9740
69;Oost-Nederland (LD);2015;2710;20051;21989.0;10995.0;2098;33018;11890;9870
70;Oost-Nederland (LD);2016;2704;20007;22035.0;11018.0;2011;32374;11340;9920
71;Oost-Nederland (LD);2017;2689;19898;22055.0;11028.0;1989;31821;10710;9550
72;Oost-Nederland (LD);2018;2730;20201;21770.0;10885.0;1963;30920;11000;9330
73;Oost-Nederland (LD);2019;2690;19907;21885.0;10942.0;1947;29132;10620;8900
74;Oost-Nederland (LD);2020;2678;19815;22101.0;11051.0;1852;30508;10370;8550
75;Oost-Nederland (LD);2021;2622;19401;22308.0;11154.0;1858;29386;10170;8280
76;Oost-Nederland (LD);2022;2616;19360;22605.0;11303.0;1849;29361;10300;8340
77;Oost-Nederland (LD);2023;2628;19444;22533.0;11267.0;1783;28603;9960;8360
78;West-Nederland (LD);1998;646;4777;;;609;7027;3680;1980
79;West-Nederland (LD);1999;625;4627;;;546;6912;3080;2010
80;West-Nederland (LD);2000;604;4472;;;497;6589;2790;1910
81;West-Nederland (LD);2001;556;4117;4661.0;2330.0;459;6300;2390;1630
82;West-Nederland (LD);2002;544;4029;4635.0;2318.0;431;6715;2310;1710
83;West-Nederland (LD);2003;537;3970;4525.0;2263.0;390;5436;2150;1420
84;West-Nederland (LD);2004;508;3757;4326.0;2163.0;361;5642;1940;1490
85;West-Nederland (LD);2005;494;3658;4435.0;2218.0;356;6058;2110;1590
86;West-Nederland (LD);2006;478;3535;4484.0;2242.0;345;5950;2110;1660
87;West-Nederland (LD);2007;469;3468;4397.0;2199.0;343;5724;2050;1580
88;West-Nederland (LD);2008;418;3091;4139.0;2069.0;346;5867;2110;1650
89;West-Nederland (LD);2009;403;2983;4192.0;2096.0;335;5255;2100;1520
90;West-Nederland (LD);2010;386;2854;4309.0;2155.0;317;5987;1960;1710
91;West-Nederland (LD);2011;376;2784;4308.0;2154.0;300;5775;1790;1620
92;West-Nederland (LD);2012;388;2871;4656.0;2328.0;293;5830;1590;1570
93;West-Nederland (LD);2013;364;2696;4680.0;2340.0;291;6031;1590;1680
94;West-Nederland (LD);2014;366;2707;4607.0;2304.0;277;6724;1500;1920
95;West-Nederland (LD);2015;358;2648;4616.0;2308.0;277;7143;1530;1940
96;West-Nederland (LD);2016;362;2677;4601.0;2301.0;276;7317;1510;2000
97;West-Nederland (LD);2017;363;2689;4425.0;2212.0;274;7269;1460;1870
98;West-Nederland (LD);2018;357;2639;4400.0;2200.0;272;6686;1580;1620
99;West-Nederland (LD);2019;358;2650;4258.0;2129.0;262;6112;1450;1530
100;West-Nederland (LD);2020;354;2619;4172.0;2086.0;251;5918;1470;1440
101;West-Nederland (LD);2021;346;2564;4204.0;2102.0;250;5723;1360;1450
102;West-Nederland (LD);2022;348;2577;4129.0;2065.0;253;5113;1400;1330
103;West-Nederland (LD);2023;350;2587;4061.0;2030.0;227;5619;1350;1360
104;Zuid-Nederland (LD);1998;6017;44523;;;4151;45591;27780;13580
105;Zuid-Nederland (LD);1999;5873;43457;;;4592;47173;27880;14960
106;Zuid-Nederland (LD);2000;5756;42595;;;4441;47431;27140;14920
107;Zuid-Nederland (LD);2001;5306;39267;33482.0;16741.0;4342;45127;24340;12740
108;Zuid-Nederland (LD);2002;5275;39036;32897.0;16448.0;3883;44969;22600;12290
109;Zuid-Nederland (LD);2003;5132;37980;32046.0;16023.0;3702;36899;21800;8650
110;Zuid-Nederland (LD);2004;4840;35820;29085.0;14543.0;3743;37198;21130;10440
111;Zuid-Nederland (LD);2005;4867;36018;29104.0;14552.0;3823;40963;23770;11840
112;Zuid-Nederland (LD);2006;4872;36053;29240.0;14620.0;3814;40604;24540;11950
113;Zuid-Nederland (LD);2007;4912;36348;29443.0;14722.0;3878;40431;24470;11920
114;Zuid-Nederland (LD);2008;5188;38392;29906.0;14953.0;4038;41136;26060;11990
115;Zuid-Nederland (LD);2009;5273;39020;29698.0;14849.0;4142;42493;27340;12780
116;Zuid-Nederland (LD);2010;5387;39867;29318.0;14659.0;4188;44260;26920;12870
117;Zuid-Nederland (LD);2011;5341;39523;29066.0;14533.0;4253;41209;26280;12020
118;Zuid-Nederland (LD);2012;5306;39267;29010.0;14505.0;4280;41182;24010;11280
119;Zuid-Nederland (LD);2013;5322;39383;28769.0;14384.0;4195;42187;24180;11710
120;Zuid-Nederland (LD);2014;5314;39321;28594.0;14297.0;4170;43642;23850;11690
121;Zuid-Nederland (LD);2015;5280;39070;28345.0;14173.0;4331;44930;24970;12040
122;Zuid-Nederland (LD);2016;5258;38910;28249.0;14124.0;4289;45098;24610;12550
123;Zuid-Nederland (LD);2017;5226;38672;28283.0;14141.0;4243;45139;23410;12250
124;Zuid-Nederland (LD);2018;5183;38355;28386.0;14193.0;4216;41410;23190;10950
125;Zuid-Nederland (LD);2019;5196;38447;28406.0;14203.0;4166;39536;22820;10750
126;Zuid-Nederland (LD);2020;5121;37895;28381.0;14190.0;4022;39834;22840;10240
127;Zuid-Nederland (LD);2021;4650;34413;28371.0;14186.0;3783;36870;21050;9720
128;Zuid-Nederland (LD);2022;4591;33972;28283.0;14141.0;3706;37527;20840;9520
129;Zuid-Nederland (LD);2023;4541;33603;28037.0;14019.0;3520;36438;20210;9490
130;Niet in te delen (LD);1998;0;0;;;0;0;0;0
131;Niet in te delen (LD);1999;0;0;;;0;0;0;0
132;Niet in te delen (LD);2000;0;0;;;0;0;0;0
133;Niet in te delen (LD);2001;0;0;0.0;0.0;0;0;0;0
134;Niet in te delen (LD);2002;0;0;0.0;0.0;0;0;0;0
135;Niet in te delen (LD);2003;0;0;0.0;0.0;0;0;0;0
136;Niet in te delen (LD);2004;67;493;306.0;153.0;0;0;0;0
137;Niet in te delen (LD);2005;54;398;191.0;96.0;0;0;0;0
138;Niet in te delen (LD);2006;54;399;194.0;97.0;0;0;0;0
139;Niet in te delen (LD);2007;47;345;131.0;66.0;0;0;0;0
140;Niet in te delen (LD);2008;57;421;122.0;61.0;0;0;0;0
141;Niet in te delen (LD);2009;59;438;107.0;54.0;0;0;0;0
142;Niet in te delen (LD);2010;5;39;21.0;11.0;0;0;0;0
143;Niet in te delen (LD);2011;2;15;11.0;5.0;0;0;0;0
144;Niet in te delen (LD);2012;2;17;0.0;0.0;0;0;0;0
145;Niet in te delen (LD);2013;2;13;2.0;1.0;0;0;0;0
146;Niet in te delen (LD);2014;5;34;95.0;47.0;0;0;0;0
147;Niet in te delen (LD);2015;1;4;2.0;1.0;0;0;0;0
148;Niet in te delen (LD);2016;1;4;2.0;1.0;0;0;0;0
149;Niet in te delen (LD);2017;1;4;2.0;1.0;0;0;0;0
150;Niet in te delen (LD);2018;1;4;2.0;1.0;0;0;0;0
151;Niet in te delen (LD);2019;1;4;2.0;1.0;0;0;0;0
152;Niet in te delen (LD);2020;1;4;2.0;1.0;0;0;0;0
153;Niet in te delen (LD);2021;1;4;2.0;1.0;0;0;0;0
154;Niet in te delen (LD);2022;1;4;2.0;1.0;0;0;0;0
155;Niet in te delen (LD);2023;1;4;2.0;1.0;0;0;0;0
156;Groningen (PV);1998;146;1077;;;107;4639;670;1100
157;Groningen (PV);1999;146;1083;;;110;5601;640;1480
