ID;Perioden;Totaal1564JaarBeroepsbevolking_1;Mannen1564JaarBeroepsbevolking_2;Vrouwen1564JaarBeroepsbevolking_3;MannenEnVrouwenAlleLeeftijden_4;MannenEnVrouwenJongerDan14Jaar_5;MannenEnVrouwen1419Jaar_6;MannenEnVrouwen2024Jaar_7;MannenEnVrouwen2539Jaar_8;MannenEnVrouwen4049Jaar_9;MannenEnVrouwen5064Jaar_10;MannenEnVrouwen65JaarEnOuder_11;MannenAlleLeeftijden_12;MannenJongerDan14Jaar_13;Mannen1419Jaar_14;Mannen2024Jaar_15;Mannen2539Jaar_16;Mannen4049Jaar_17;Mannen5064Jaar_18;Mannen65JaarEnOuder_19;VrouwenAlleLeeftijden_20;VrouwenJongerDan14Jaar_21;Vrouwen1419Jaar_22;Vrouwen2024Jaar_23;Vrouwen2539Jaar_24;Vrouwen4049Jaar_25;Vrouwen5064Jaar_26;Vrouwen65JaarEnOuder_27;Totaal1564JaarWerkzameBeroepsbev_28;Mannen1564JaarWerkzameBeroepsbev_29;Vrouwen1564JaarWerkzameBeroepsbev_30;AlleLeeftijdenMannenEnVrouwen_31;LandbouwEnVisserij_32;Delfstoffenwinning_33;Industrie_34;OpenbareNutsbedrijven_35;BouwnijverheidEnInstallatiebedrijven_36;HandelEnHoreca_37;TransportOpslagEnCommunicatie_38;BankVerzekeringswezenZakelijkeDienst_39;DienstverleningTotaal_40;OverigeEconomischeActiviteiten_41;HuiselijkeDiensten_42;AlleLeeftijdenMannen_43;LandbouwEnVisserij_44;Delfstoffenwinning_45;Industrie_46;OpenbareNutsbedrijven_47;BouwnijverheidEnInstallatiebedrijven_48;HandelEnHoreca_49;TransportOpslagEnCommunicatie_50;BankVerzekeringswezenZakelijkeDienst_51;DienstverleningTotaal_52;HuiselijkeDiensten_53;OverigeEconomischeActiviteiten_54;AlleLeeftijdenVrouwen_55;LandbouwEnVisserij_56;Delfstoffenwinning_57;Industrie_58;OpenbareNutsbedrijven_59;BouwnijverheidEnInstallatiebedrijven_60;HandelEnHoreca_61;TransportOpslagEnCommunicatie_62;BankVerzekeringswezenZakelijkeDienst_63;DienstverleningTotaal_64;HuiselijkeDiensten_65;OverigeEconomischeActiviteiten_66;LandbouwEnVisserij_67;Delfstoffenwinning_68;Industrie_69;OpenbareNutsbedrijven_70;BouwnijverheidEnInstallatiebedrijven_71;HandelEnHoreca_72;TransportOpslagEnCommunicatie_73;BankVerzekeringswezenZakelijkeDienst_74;DienstverleningTotaal_75;HuiselijkeDiensten_76;OverigeEconomischeActiviteiten_77;LandbouwEnVisserij_78;Delfstoffenwinning_79;Industrie_80;OpenbareNutsbedrijven_81;BouwnijverheidEnInstallatiebedrijven_82;HandelEnHoreca_83;TransportOpslagEnCommunicatie_84;BankVerzekeringswezenZakelijkeDienst_85;DienstverleningTotaal_86;HuiselijkeDiensten_87;OverigeEconomischeActiviteiten_88;LandbouwEnVisserij_89;Delfstoffenwinning_90;Industrie_91;OpenbareNutsbedrijven_92;BouwnijverheidEnInstallatiebedrijven_93;HandelEnHoreca_94;TransportOpslagEnCommunicatie_95;BankVerzekeringswezenZakelijkeDienst_96;DienstverleningTotaal_97;HuiselijkeDiensten_98;OverigeEconomischeActiviteiten_99;WerklozeBeroepsbevolkingTotaal_100;WerklozeBeroepsbevolkingMannen_101;WerklozeBeroepsbevolkingVrouwen_102;BeroepsdeelnemingTotaal_103;Beroepsdeelneming1419Jaar_104;Beroepsdeelneming2024Jaar_105;Beroepsdeelneming2539Jaar_106;Beroepsdeelneming4049Jaar_107;Beroepsdeelneming5064Jaar_108;Beroepsdeelneming65JaarEnOuder_109;BeroepsdeelnemingTotaalMannen_110;Beroepsdeelneming1419JaarMannen_111;Beroepsdeelneming2024JaarMannen_112;Beroepsdeelneming2539JaarMannen_113;Beroepsdeelneming4049JaarMannen_114;Beroepsdeelneming5064JaarMannen_115;Beroepsdeelneming65JaarEnOuderMan_116;BeroepsdeelnemingTotaalVrouwen_117;Beroepsdeelneming1419JaarVrouwen_118;Beroepsdeelneming2024JaarVrouwen_119;Beroepsdeelneming2539JaarVrouwen_120;Beroepsdeelneming4049JaarVrouwen_121;Beroepsdeelneming5064JaarVrouwen_122;Beroepsdeelneming65JaarEnOuderVrouw_123;GeregistreerdeWerklozenTotaal_124;GeregistreerdeWerklozenMannen_125;GeregistreerdeWerklozenVrouwen_126;GeregistreerdeWerklozenBeroepsbev_127;Banen_128;Arbeidsjaren_129;Banen_130;Arbeidsjaren_131;ArbeidsduurVoltijdersInUren_132;ArbeidsvolumeInUren_133;Banen_134;Arbeidsjaren_135;PerWeekOvereengekomenArbeidsduur_136;VakantiedagenPerJaar_137;TewerkgesteldenOpAanvullendeWerken_138;IndexcijfersCaoLonenTotaal_139;IndexCaoLonenTotaalPartBedrijven_140;IndexCaoLonenLandbouwEnVisserij_141;IndexCaoLonenIndustrie_142;IndexCaoLonenBouwnijverheid_143;IndexCaoLonenFinZakelijkeDienst_144;IndexCaoLonenOverheid_145;IndexCaoLonenGesubsidieerdeSector_146;UurloonNijverheidsarbeiders_147;MaandloonTotaal_148;MaandloonMannen_149;MaandloonVrouwen_150;MaandloonNijverheid_151;MaandloonHandel_152;MaandloonTransport_153;MaandloonBankEnVerzekeringswezen_154;MaandloonOverigeDienstverlening_155;LandbouwVisserijNijverheidEnOverig_156;BrutoUurloonNijverheidsarbeiders_157;LoonkostenPerGewerktUurNijverheid_158;Minimumloon_159
0;1899;;;;1934.0;1.9;16.7;15.3;30.4;14.5;15.4;5.8;1502.0;1.7;14.3;13.2;32.2;15.9;16.6;6.0;432.0;2.3;24.9;22.5;24.4;9.7;11.2;4.9;;;;1934.0;588.0;16.0;491.0;4.0;140.0;209.0;121.0;44.0;258.0;62.0;197.0;1502.0;508.0;15.0;406.0;4.0;140.0;162.0;118.0;30.0;58.0;8.0;61.0;432.0;80.0;2.0;85.0;0.0;1.0;47.0;3.0;14.0;201.0;190.0;0.0;30.4;0.9;25.4;0.2;7.3;10.8;6.2;2.3;13.4;10.2;3.2;33.8;1.0;27.0;0.3;9.3;10.8;7.9;2.0;3.8;0.5;4.1;18.6;0.4;19.7;0.0;0.1;10.8;0.6;3.3;46.5;43.9;0.0;0.0;0.0;0.0;55.9;54.6;66.3;56.8;56.0;53.1;36.4;88.5;72.5;90.4;95.5;96.1;91.5;64.4;24.6;36.5;42.9;20.0;16.7;16.8;12.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;
1;1909;;;;2244.0;1.3;17.1;15.3;31.5;15.0;14.5;5.3;1723.0;1.1;14.5;13.4;33.3;16.4;15.7;5.6;521.0;1.7;25.4;21.5;25.8;10.3;10.7;4.5;;;;2244.0;618.0;23.0;594.0;9.0;162.0;256.0;158.0;66.0;295.0;62.0;214.0;1723.0;524.0;21.0;483.0;9.0;162.0;198.0;154.0;41.0;69.0;9.0;62.0;521.0;94.0;3.0;111.0;0.0;1.0;58.0;4.0;24.0;226.0;205.0;0.0;27.5;1.0;26.5;0.4;7.2;11.4;7.0;2.9;13.1;9.5;2.8;30.4;1.2;28.0;0.5;9.4;11.5;8.9;2.4;4.0;0.5;3.6;18.1;0.5;21.3;0.0;0.1;11.2;0.8;4.7;43.3;39.4;0.0;0.0;0.0;0.0;56.6;56.8;69.1;58.2;56.1;53.3;33.4;88.2;73.5;93.6;96.6;96.2;90.8;57.9;25.9;39.5;44.7;21.7;17.7;18.0;12.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;1920;;;;2721.0;0.9;17.8;15.6;31.3;15.4;14.8;4.2;2091.0;0.8;14.6;13.5;33.2;17.1;16.2;4.6;630.0;1.3;28.6;22.4;24.7;9.8;10.0;3.1;;;;2721.0;639.0;47.0;768.0;20.0;190.0;312.0;220.0;114.0;358.0;54.0;221.0;2091.0;549.0;43.0;625.0;19.0;188.0;230.0;209.0;70.0;104.0;10.0;54.0;630.0;90.0;3.0;143.0;1.0;2.0;82.0;10.0;45.0;254.0;211.0;0.0;23.5;1.7;28.2;0.7;7.0;11.5;8.1;4.2;13.2;8.1;2.0;26.2;2.1;29.9;0.9;9.0;11.0;10.0;3.3;5.0;0.5;2.6;14.3;0.5;22.6;0.1;0.3;13.1;1.6;7.1;40.3;33.6;0.0;0.0;0.0;0.0;56.9;59.6;70.7;58.9;56.0;53.0;28.2;88.4;74.1;94.9;98.0;97.5;91.4;50.0;26.1;44.7;46.9;21.2;16.1;16.3;9.1;;;;;;;;;;;;;49.0;;;;;;;;;;;;;;;;;;;;;;;
3;1930;;;;3171.0;0.1;17.0;16.0;32.7;15.4;15.2;3.7;2417.0;0.0;13.5;13.5;34.7;17.1;17.0;4.2;753.0;0.1;28.3;23.6;26.3;9.8;9.5;2.4;;;;3171.0;640.0;51.0;903.0;20.0;256.0;453.0;241.0;133.0;414.0;58.0;244.0;2417.0;541.0;49.0;738.0;20.0;253.0;324.0;231.0;79.0;122.0;9.0;58.0;753.0;99.0;2.0;164.0;1.0;3.0;129.0;10.0;54.0;292.0;234.0;0.0;20.2;1.6;28.5;0.6;8.1;14.3;7.6;4.2;13.1;7.7;1.8;22.4;2.0;30.5;0.8;10.5;13.4;9.6;3.3;5.1;0.4;2.4;13.1;0.3;21.8;0.1;0.4;17.1;1.3;7.1;38.8;31.1;0.0;0.0;0.0;0.0;56.2;60.4;71.3;59.4;56.2;50.9;23.9;86.5;72.5;93.3;98.1;97.2;88.5;42.6;26.4;48.1;49.6;22.3;16.8;14.9;7.1;74.0;69.0;5.0;;;;;;;;;;48.5;;;;;8.0;12.0;;;;;0.3;;;;;;;;;;;;
4;1935;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;0.0;329.0;313.0;16.0;;;;;;;;;;48.5;;55.9;;;6.0;10.0;;;;;0.2;;;;;;;;;;;;
5;1936;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;0.0;368.0;350.0;19.0;;;;;;;;;;49.0;;46.0;;;6.0;10.0;;;11.0;;0.2;;;;;;;;;;;;
6;1937;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;0.0;324.0;308.0;16.0;;;;;;;;;;49.0;;44.9;;;6.0;10.0;;;;;0.2;;;;;;;;;;;;
7;1938;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;0.0;303.0;288.0;15.0;;;;;;;;;;49.5;;50.2;10.0;;6.0;11.0;;;11.0;;0.2;;;;;;;;;;0.2;;
8;1939;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;0.0;236.0;224.0;12.0;;;;;;;;;;49.0;;60.0;10.0;;6.0;11.0;;;11.0;;0.2;;;;;;;;;;;;
9;1940;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;49.0;;;;;7.0;11.0;;;;;0.2;;;;;;;;;;;;
