ID;RegioS;Periode;TotaleVaarweglengte_1;Rivier_2;RivierGekanaliseerd_3;Vaargeul_4;Kanaal_5;Voorhaven_6;MeerPlassengebied_7;VaarwegenInHavens_8;VaarwegkarakterOnbekend_9;Rijk_10;Provincies_11;Waterschappen_12;Gemeenten_13;Havenbedrijven_14;ParticuliereBeheerders_15;BeheerderOnbekend_16;Hoofdtransportas_17;Hoofdvaarweg_18;OverigeVaarweg_19;EconomischBelangOnbekend_20;KleineVaartuigenEnRecreatievaart0_21;SpitsI_22;KempenaarII_23;DortmundEemskanaalIII_24;RijnHernekanaalschipEenbaksduwstIV_25;GrootRijnschipEenbaksduwstelVa_26;TweebaksduwstelLangeFormatieVb_27;TweebaksduwstelBredeFormatieVla_28;VierbaksduwstelVlb_29;ZesbaksduwstelVlc_30;BevaarbaarheidOnbekend_31;VerbindingVoorMotorbotenAM_32;VerbindingVoorZeilMotorbotenAZM_33;OntsluitingVoorMotorbotenBM_34;OntsluitingVoorZeilMotorbotenBZM_35;BeperkteOntslVoorMotorbotenCM_36;BeperkteOntslVZeilMotorbotenCZM_37;BeperkteOntslVoorMotorbotenDM_38;RecreatievaartklasseOnbekend_39
118;Overijssel (PV);2011;354;90;59;8;164;1;15;14;2;151;140;35;14;0;0;13;0;124;217;13;91;26;75;2;52;105;0;0;0;0;3;54;24;166;59;0;0;16;36
119;Overijssel (PV);2012;355;90;59;8;164;1;15;17;0;151;140;35;14;0;0;15;0;124;217;14;91;26;75;2;52;105;0;0;0;0;4;54;24;166;59;0;0;16;37
120;Overijssel (PV);2013;354;90;59;8;164;1;14;17;0;151;140;35;14;0;0;14;0;124;216;14;91;26;75;2;52;105;0;0;0;0;4;54;23;165;59;0;0;16;36
121;Overijssel (PV);2014;354;90;59;8;164;1;14;17;0;151;140;35;14;0;0;14;0;124;216;14;91;26;75;2;52;105;0;0;0;0;4;54;23;165;59;0;0;16;36
122;Overijssel (PV);2015;354;90;59;8;164;1;14;17;0;151;140;35;14;0;0;14;0;124;216;14;91;26;75;2;52;105;0;0;0;0;4;54;23;165;59;0;0;16;36
123;Overijssel (PV);2016;354;90;59;8;164;1;14;17;0;151;140;35;14;0;0;14;0;124;216;14;91;26;75;2;52;105;0;0;0;0;4;54;23;165;59;0;0;16;36
124;Overijssel (PV);2017;354;90;59;8;164;1;14;17;0;151;140;35;14;0;0;14;0;124;216;14;91;26;75;2;52;105;0;0;0;0;4;54;23;165;59;0;0;16;36
125;Overijssel (PV);2018;354;90;59;8;157;1;14;24;0;151;140;35;14;0;0;14;0;124;216;14;91;26;75;2;52;105;0;0;0;0;4;54;23;165;59;0;0;16;36
126;Flevoland (PV);2005;601;0;0;43;240;6;292;16;5;328;169;67;23;0;0;14;0;97;491;14;105;43;130;0;92;81;136;0;0;0;15;13;141;180;11;0;0;5;251
127;Flevoland (PV);2006;601;0;0;43;240;6;292;16;5;328;169;67;23;0;0;14;0;97;491;14;105;44;133;0;92;82;136;0;0;0;9;13;141;180;11;0;0;5;251
128;Flevoland (PV);2007;601;0;0;43;240;6;296;16;0;333;169;67;23;0;0;10;0;99;493;9;105;44;133;0;92;86;136;0;0;0;5;13;144;180;11;0;0;5;249
129;Flevoland (PV);2008;601;0;0;43;240;6;296;16;0;333;169;67;23;0;0;10;0;99;493;9;105;44;133;0;92;86;136;0;0;0;5;13;144;180;11;0;0;5;249
130;Flevoland (PV);2009;601;0;0;43;240;6;296;15;0;333;169;67;23;0;0;10;0;99;493;9;105;44;133;0;92;86;136;0;0;0;5;13;144;180;11;0;0;5;249
131;Flevoland (PV);2010;601;0;0;43;239;6;297;16;0;327;169;67;28;0;0;10;0;99;493;9;105;44;133;0;92;86;136;0;0;0;5;13;144;180;11;0;0;5;249
132;Flevoland (PV);2011;601;0;0;43;239;6;297;15;0;327;169;67;28;0;0;10;0;99;493;9;105;44;133;0;92;86;136;0;0;0;5;13;144;180;10;0;0;5;249
133;Flevoland (PV);2012;601;0;0;43;239;6;297;15;0;327;169;67;28;0;0;10;0;99;493;9;105;44;133;0;92;66;110;0;0;0;51;13;144;180;10;0;0;5;249
134;Flevoland (PV);2013;601;0;0;42;239;6;272;14;27;326;169;67;28;0;0;10;0;99;493;10;105;44;133;0;92;64;110;0;0;0;52;13;143;180;11;0;0;5;249
135;Flevoland (PV);2014;601;0;0;43;239;6;297;14;1;328;169;67;28;0;0;9;0;99;492;9;105;44;133;0;92;65;110;0;0;0;51;13;144;180;11;0;0;5;248
136;Flevoland (PV);2015;601;0;0;43;239;6;297;14;1;328;169;67;28;0;0;9;0;99;492;9;105;44;133;0;92;65;110;0;0;0;51;13;144;180;11;0;0;5;248
137;Flevoland (PV);2016;601;0;0;43;239;6;297;14;1;328;169;67;28;0;0;9;0;99;492;9;105;44;133;0;92;65;110;0;0;0;51;13;144;180;11;0;0;5;248
138;Flevoland (PV);2017;601;0;0;43;239;6;297;14;1;328;169;67;28;0;0;9;0;99;492;9;105;44;133;0;92;65;110;0;0;0;51;13;144;180;11;0;0;5;248
139;Flevoland (PV);2018;601;0;0;42;238;6;294;19;1;328;169;67;28;0;0;9;0;99;492;9;105;44;133;0;92;65;110;0;0;0;51;13;144;180;11;0;0;5;248
140;Gelderland (PV);2005;497;241;145;1;52;11;20;24;3;409;0;59;13;0;0;16;105;249;126;16;8;22;38;3;26;264;13;0;12;93;16;260;19;170;0;0;0;0;47
141;Gelderland (PV);2006;500;241;145;1;52;11;20;24;6;409;0;59;13;0;0;20;106;249;126;20;9;22;39;5;27;268;13;0;14;95;9;260;19;170;0;0;0;0;51
142;Gelderland (PV);2007;503;242;145;1;52;11;20;25;8;408;0;61;13;0;0;22;106;250;126;22;9;22;39;5;27;268;13;0;14;95;11;261;19;170;0;0;0;0;53
