ID;Effluentbestemming;Perioden;TotaalZuiveringsinstallaties_1;MechanischeZuiveringsinstallaties_2;FysischChemischeZuiveringsinstallaties_3;TotaalBiologischeInstallaties_4;BiologischAerobeInstallaties_5;BiologischAnaerobeInstallaties_6;CombinatieAnaeroobAerobeInst_7;CorresponderendAantalInstallaties_8;TotaalCapaciteitAlleProcessen_9;BiologischAerobeInstallaties_10;BiologischAnaerobeInstallaties_11;CombinatieAnaeroobAeroobInst_12;NietBiologischeInstallaties_13
0;Totaal bestemming;1993;599;35;324;240;189;26;25;274;15395;9043;1482;3860;1011
1;Totaal bestemming;1994;621;38;338;245;192;27;26;279;15659;9092;1484;4060;1023
2;Totaal bestemming;1995;600;38;327;235;186;19;30;268;15734;9019;1296;4474;946
3;Totaal bestemming;1996;618;41;339;238;186;21;31;272;15768;8969;1300;4564;935
4;Totaal bestemming;1997;609;38;332;239;184;22;33;264;15858;8993;1294;4661;910
5;Totaal bestemming;1998;595;40;325;230;177;20;33;254;15242;8761;1114;4566;801
6;Totaal bestemming;1999;627;47;340;240;185;20;35;258;15333;8441;1245;4848;800
7;Totaal bestemming;2000;623;47;338;238;183;20;35;253;15156;8283;1245;4848;781
8;Totaal bestemming;2001;615;44;338;233;178;20;35;246;15038;8211;1255;4848;724
9;Totaal bestemming;2002;577;40;318;219;164;20;35;235;14758;7677;1505;4848;728
10;Totaal bestemming;2003;553;35;305;213;160;20;33;227;14508;7484;1515;4809;700
11;Totaal bestemming;2004;532;32;290;210;156;21;33;223;14353;7480;1515;4809;550
12;Totaal bestemming;2005;488;29;263;196;146;17;33;208;14342;7355;1515;5009;463
13;Totaal bestemming;2006;466;26;255;185;138;16;31;198;13667;7279;1498;4450;440
14;Totaal bestemming;2007;452;26;242;184;137;16;31;195;13541;7313;1338;4450;440
15;Totaal bestemming;2008;453;21;242;190;144;16;30;199;13473;7289;1318;4394;472
16;Totaal bestemming;2009;467;28;233;206;156;17;33;209;13804;7297;1319;4675;514
17;Totaal bestemming;2010;474;29;236;209;158;17;34;215;14118;7516;1319;4720;564
18;Totaal bestemming;2011;462;28;228;206;156;16;34;211;13966;7466;1237;4720;544
19;Totaal bestemming;2012;449;24;219;206;154;13;39;214;13943;7431;807;5069;637
20;Totaal bestemming;2013;440;24;207;209;157;13;39;216;13966;7486;807;5069;605
21;Totaal bestemming;2014;427;23;198;206;154;12;40;214;13822;7377;754;5069;623
22;Totaal bestemming;2015;432;24;199;209;154;14;41;218;13805;7226;759;5184;637
23;Totaal bestemming;2016;419;23;187;209;153;15;41;215;13640;7009;809;5184;639
24;Lozing op riolering/rwzi;1993;432;29;290;113;77;24;12;146;5746;1814;1398;1581;953
25;Lozing op riolering/rwzi;1994;455;29;307;119;82;25;12;152;5923;1937;1400;1621;966
26;Lozing op riolering/rwzi;1995;439;30;297;112;80;18;14;144;5556;1607;1226;1781;942
27;Lozing op riolering/rwzi;1996;454;32;308;114;80;20;14;147;5554;1611;1230;1781;932
28;Lozing op riolering/rwzi;1997;445;28;301;116;81;20;15;141;5579;1532;1224;1916;907
29;Lozing op riolering/rwzi;1998;437;31;295;111;78;18;15;135;5112;1355;1044;1916;797
30;Lozing op riolering/rwzi;1999;470;39;311;120;87;18;15;140;5265;1555;1175;1738;796
31;Lozing op riolering/rwzi;2000;465;38;309;118;85;18;15;136;5090;1397;1175;1738;779
32;Lozing op riolering/rwzi;2001;468;36;311;121;87;18;16;137;5058;1358;1185;1793;722
33;Lozing op riolering/rwzi;2002;436;33;292;111;78;17;16;130;5022;1318;1185;1793;726
34;Lozing op riolering/rwzi;2003;418;30;278;110;78;17;15;128;5151;1487;1195;1768;700
35;Lozing op riolering/rwzi;2004;401;28;264;109;76;18;15;126;5002;1489;1195;1768;550
36;Lozing op riolering/rwzi;2005;361;26;239;96;67;15;14;111;4773;1402;1195;1713;463
37;Lozing op riolering/rwzi;2006;341;24;230;87;60;14;13;104;4503;1330;1178;1554;440
38;Lozing op riolering/rwzi;2007;327;24;217;86;59;14;13;101;4360;1347;1018;1554;440
39;Lozing op riolering/rwzi;2008;330;19;217;94;66;15;13;109;4480;1385;1068;1554;472
40;Lozing op riolering/rwzi;2009;338;23;208;107;79;15;13;118;4577;1441;1068;1554;514
41;Lozing op riolering/rwzi;2010;343;24;210;109;80;15;14;125;4941;1710;1068;1599;564
42;Lozing op riolering/rwzi;2011;334;24;203;107;79;14;14;122;4819;1690;986;1599;544
43;Lozing op riolering/rwzi;2012;324;20;195;109;80;12;17;124;4759;1862;806;1455;636
44;Lozing op riolering/rwzi;2013;316;20;183;113;84;12;17;126;4782;1917;806;1455;604
45;Lozing op riolering/rwzi;2014;304;19;175;110;81;11;18;125;4714;1884;753;1455;622
46;Lozing op riolering/rwzi;2015;310;20;176;114;83;12;19;130;4780;1816;758;1570;636
47;Lozing op riolering/rwzi;2016;299;20;163;116;84;13;19;129;4778;1762;808;1570;638
48;Lozing op regionaal oppervlaktewater;1993;53;0;5;48;46;0;2;47;3912;3462;0;450;0
49;Lozing op regionaal oppervlaktewater;1994;54;2;5;47;44;0;3;46;3998;3388;0;610;0
50;Lozing op regionaal oppervlaktewater;1995;50;1;5;44;40;0;4;43;4337;3487;0;850;0
51;Lozing op regionaal oppervlaktewater;1996;53;2;5;46;41;0;5;45;4629;3489;0;1140;0
52;Lozing op regionaal oppervlaktewater;1997;55;2;6;47;40;1;6;45;4776;3621;0;1155;0
53;Lozing op regionaal oppervlaktewater;1998;51;2;5;44;37;1;6;42;4607;3547;0;1060;0
54;Lozing op regionaal oppervlaktewater;1999;53;2;5;46;37;1;8;44;4385;3140;0;1245;0
55;Lozing op regionaal oppervlaktewater;2000;53;2;5;46;37;1;8;44;4385;3140;0;1245;0
56;Lozing op regionaal oppervlaktewater;2001;48;3;5;40;32;1;7;39;4324;3132;0;1190;2
57;Lozing op regionaal oppervlaktewater;2002;43;3;4;36;28;1;7;35;4173;2981;0;1190;2
58;Lozing op regionaal oppervlaktewater;2003;40;2;4;34;26;1;7;32;3901;2711;0;1190;0
59;Lozing op regionaal oppervlaktewater;2004;37;2;3;32;24;1;7;30;3885;2695;0;1190;0
60;Lozing op regionaal oppervlaktewater;2005;36;1;3;32;24;0;8;31;3911;2666;0;1245;0
61;Lozing op regionaal oppervlaktewater;2006;34;1;3;30;22;0;8;29;3847;2602;0;1245;0
62;Lozing op regionaal oppervlaktewater;2007;34;1;3;30;22;0;8;29;3864;2619;0;1245;0
63;Lozing op regionaal oppervlaktewater;2008;33;1;3;29;21;0;8;28;3846;2601;0;1245;0
64;Lozing op regionaal oppervlaktewater;2009;34;1;3;30;21;0;9;29;3936;2601;0;1335;0
65;Lozing op regionaal oppervlaktewater;2010;34;1;3;30;21;0;9;28;3886;2551;0;1335;0
66;Lozing op regionaal oppervlaktewater;2011;32;0;2;30;21;0;9;28;3886;2551;0;1335;0
67;Lozing op regionaal oppervlaktewater;2012;32;0;2;30;20;0;10;29;3915;2460;0;1455;0
68;Lozing op regionaal oppervlaktewater;2013;32;0;2;30;20;0;10;29;3915;2460;0;1455;0
69;Lozing op regionaal oppervlaktewater;2014;31;0;2;29;19;0;10;28;3861;2406;0;1455;0
70;Lozing op regionaal oppervlaktewater;2015;31;0;2;29;19;0;10;28;3861;2406;0;1455;0
71;Lozing op regionaal oppervlaktewater;2016;31;0;2;29;19;0;10;28;3853;2398;0;1455;0
72;Lozing op rijkswater;1993;103;5;25;73;61;1;11;76;5329;3429;14;1829;58
73;Lozing op rijkswater;1994;102;6;23;73;61;1;11;76;5329;3429;14;1829;58
74;Lozing op rijkswater;1995;98;5;19;74;62;0;12;75;5429;3585;0;1843;2
75;Lozing op rijkswater;1996;98;5;19;74;62;0;12;75;5176;3532;0;1643;2
76;Lozing op rijkswater;1997;96;6;18;72;60;0;12;73;5084;3492;0;1590;2
77;Lozing op rijkswater;1998;94;5;18;71;59;0;12;72;5103;3512;0;1590;2
78;Lozing op rijkswater;1999;93;5;17;71;59;0;12;70;5275;3409;0;1865;2
79;Lozing op rijkswater;2000;93;5;17;71;59;0;12;70;5275;3409;0;1865;2
80;Lozing op rijkswater;2001;87;3;15;69;57;0;12;67;5248;3384;0;1865;0
81;Lozing op rijkswater;2002;88;3;16;69;57;0;12;67;5236;3372;0;1865;0
82;Lozing op rijkswater;2003;85;2;16;67;56;0;11;65;5136;3286;0;1851;0
83;Lozing op rijkswater;2004;84;1;16;67;56;0;11;65;5146;3296;0;1851;0
84;Lozing op rijkswater;2005;82;1;15;66;55;0;11;64;5337;3287;0;2051;0
85;Lozing op rijkswater;2006;81;0;16;65;55;0;10;63;4997;3347;0;1651;0
86;Lozing op rijkswater;2007;81;0;16;65;55;0;10;63;4997;3347;0;1651;0
87;Lozing op rijkswater;2008;81;0;16;64;56;0;9;61;4897;3303;0;1595;0
88;Lozing op rijkswater;2009;85;2;16;67;55;1;11;61;5041;3255;1;1786;0
89;Lozing op rijkswater;2010;85;2;16;67;55;1;11;61;5041;3255;1;1786;0
90;Lozing op rijkswater;2011;84;2;16;66;54;1;11;60;5011;3225;1;1786;0
91;Lozing op rijkswater;2012;81;2;14;65;52;1;12;60;5268;3109;1;2159;1
92;Lozing op rijkswater;2013;81;2;14;65;52;1;12;60;5268;3109;1;2159;1
93;Lozing op rijkswater;2014;81;2;14;65;52;1;12;59;5238;3079;1;2159;1
94;Lozing op rijkswater;2015;81;2;14;65;51;2;12;59;5163;3004;1;2159;1
95;Lozing op rijkswater;2016;79;2;14;63;49;2;12;57;5008;2849;1;2159;1
96;Bodemverzinking;1993;2;0;0;2;2;0;0;2;7;7;0;0;0
97;Bodemverzinking;1994;2;0;0;2;2;0;0;2;7;7;0;0;0
98;Bodemverzinking;1995;2;0;0;2;2;0;0;2;7;7;0;0;0
99;Bodemverzinking;1996;2;0;0;2;2;0;0;2;7;7;0;0;0
100;Bodemverzinking;1997;1;0;0;1;1;0;0;1;6;6;0;0;0
101;Bodemverzinking;1998;1;0;0;1;1;0;0;1;6;6;0;0;0
102;Bodemverzinking;1999;1;0;0;1;1;0;0;1;6;6;0;0;0
103;Bodemverzinking;2000;1;0;0;1;1;0;0;1;6;6;0;0;0
104;Bodemverzinking;2001;1;0;0;1;1;0;0;1;6;6;0;0;0
105;Bodemverzinking;2002;1;0;0;1;1;0;0;1;6;6;0;0;0
106;Bodemverzinking;2003;0;0;0;0;0;0;0;0;0;0;0;0;0
107;Bodemverzinking;2004;0;0;0;0;0;0;0;0;0;0;0;0;0
108;Bodemverzinking;2005;0;0;0;0;0;0;0;0;0;0;0;0;0
109;Bodemverzinking;2006;0;0;0;0;0;0;0;0;0;0;0;0;0
110;Bodemverzinking;2007;0;0;0;0;0;0;0;0;0;0;0;0;0
111;Bodemverzinking;2008;0;0;0;0;0;0;0;0;0;0;0;0;0
112;Bodemverzinking;2009;0;0;0;0;0;0;0;0;0;0;0;0;0
113;Bodemverzinking;2010;0;0;0;0;0;0;0;0;0;0;0;0;0
114;Bodemverzinking;2011;0;0;0;0;0;0;0;0;0;0;0;0;0
115;Bodemverzinking;2012;0;0;0;0;0;0;0;0;0;0;0;0;0
